assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,id,key_passes,kickoff_time_formatted,loaned_in,loaned_out,offside,open_play_crosses,penalties_conceded,recoveries,tackled,tackles,target_missed,winning_goals
0,0,1,0,1.8,300,0.01,0.01,0.0,0.24,9,0,0,0.6,4.6,2023-08-13T15:30:00Z,24,7,0,0,0,0,1,0,11655,0.0,1,1,0.0,1,0,0,0,50,False,0,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0.0,300,0.0,0.0,0.0,0.0,14,0,0,0.0,0.0,2023-08-19T14:00:00Z,0,3,0,0,0,0,2,0,11824,0.0,1,3,0.0,0,-1302,547,1849,50,True,0,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0.0,300,0.0,0.0,0.0,0.0,29,0,0,0.0,0.0,2023-08-27T15:30:00Z,0,15,0,0,0,0,3,0,7969,0.0,2,1,0.0,0,-3889,41,3930,49,False,0,,,,,,,,,,,,,,,,,,,,,,,
0,0,11,1,1.8,300,0.01,0.01,0.0,0.57,37,0,0,0.7,3.0,2023-09-03T13:00:00Z,63,2,0,0,0,0,4,0,6428,1.0,0,3,2.0,3,-1649,23,1672,49,True,0,,,,,,,,,,,,,,,,,,,,,,,
0,0,12,0,7.8,300,0.03,0.03,0.0,0.63,50,1,0,1.7,9.6,2023-09-16T11:30:00Z,90,20,0,0,0,0,5,0,6606,1.0,3,1,0.0,1,-222,443,665,49,False,1,,,,,,,,,,,,,,,,,,,,,,,
0,0,12,0,5.8,300,0.03,0.07,0.04,1.07,57,1,0,3.6,16.8,2023-09-24T13:00:00Z,76,19,0,0,0,0,6,0,6787,1.0,1,3,13.0,2,11,486,475,49,True,0,,,,,,,,,,,,,,,,,,,,,,,
0,0,-7,0,0.4,300,0.0,0.07,0.07,4.17,68,2,0,0.1,0.0,2023-09-30T16:30:00Z,25,18,0,0,0,1,7,0,7244,1.0,1,2,5.0,-2,271,909,638,49,False,0,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0.0,300,0.0,0.0,0.0,0.0,72,0,0,0.0,0.0,2023-10-08T13:00:00Z,0,5,0,0,0,0,8,0,5979,0.0,2,2,0.0,0,-1205,138,1343,49,False,0,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0.0,300,0.0,0.0,0.0,0.0,85,0,0,0.0,0.0,2023-10-21T11:30:00Z,0,9,0,0,0,0,9,0,5430,0.0,0,2,0.0,0,-609,36,645,49,True,0,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0.0,300,0.0,0.0,0.0,0.0,97,0,0,0.0,0.0,2023-10-29T14:00:00Z,0,16,0,0,0,0,10,0,5079,0.0,0,3,0.0,0,-363,46,409,49,True,0,,,,,,,,,,,,,,,,,,,,,,,
