assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,71,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,19,0,0,0,0,1,0,6701,0.0,1,1,0.0,0,0,0,0,45,True,0
0,0,0,0,0.0,71,0.0,0.0,0.0,0.0,14,0,0,0.0,0.0,2023-08-19T14:00:00Z,0,11,0,0,0,0,2,0,7263,0.0,1,3,0.0,0,-458,412,870,45,False,0
0,0,0,0,0.0,71,0.0,0.0,0.0,0.0,22,0,0,0.0,0.0,2023-08-26T11:30:00Z,0,18,0,0,0,0,3,0,6635,0.0,2,0,0.0,0,-822,157,979,45,True,0
0,0,0,0,0.0,71,0.0,0.0,0.0,0.0,32,0,0,0.0,0.0,2023-09-02T14:00:00Z,0,4,0,0,0,0,4,0,6346,0.0,2,2,0.0,0,-501,274,775,44,False,0
0,0,0,0,0.0,71,0.0,0.0,0.0,0.0,42,0,0,0.0,0.0,2023-09-17T13:00:00Z,0,7,0,0,0,0,5,0,7087,0.0,0,0,0.0,0,215,850,635,44,True,0
0,0,0,0,0.0,71,0.0,0.0,0.0,0.0,53,0,0,0.0,0.0,2023-09-24T13:00:00Z,0,5,0,0,0,0,6,0,7239,0.0,1,3,0.0,0,73,520,447,44,False,0
0,0,0,0,0.0,71,0.0,0.0,0.0,0.0,62,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,1,0,0,0,0,7,0,7251,0.0,4,0,0.0,0,-80,489,569,44,True,0
0,0,0,0,0.0,71,0.0,0.0,0.0,0.0,75,0,0,0.0,0.0,2023-10-07T14:00:00Z,0,9,0,0,0,0,8,0,7348,0.0,0,3,0.0,0,-26,537,563,44,False,0
0,0,0,0,0.0,71,0.0,0.0,0.0,0.0,82,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,20,0,0,0,0,9,0,7320,0.0,2,1,0.0,0,-57,328,385,44,True,0
0,0,0,0,0.0,71,0.0,0.0,0.0,0.0,93,0,0,0.0,0.0,2023-10-28T14:00:00Z,0,6,0,0,0,0,10,0,7068,0.0,1,2,0.0,0,-267,185,452,44,True,0
0,0,0,0,0.0,71,0.0,0.0,0.0,0.0,106,0,0,0.0,0.0,2023-11-04T15:00:00Z,0,13,0,0,0,0,11,0,6962,0.0,1,6,0.0,0,-151,149,300,44,False,0
0,0,0,0,0.0,71,0.0,0.0,0.0,0.0,113,0,0,0.0,0.0,2023-11-11T17:30:00Z,0,15,0,0,0,0,12,0,6697,0.0,0,2,0.0,0,-266,74,340,44,True,0
0,0,0,0,0.0,71,0.0,0.0,0.0,0.0,129,0,0,0.0,0.0,2023-11-25T15:00:00Z,0,17,0,0,0,0,13,0,6573,0.0,3,1,0.0,0,-148,105,253,44,False,0
0,0,0,0,0.0,71,0.0,0.0,0.0,0.0,132,0,0,0.0,0.0,2023-12-03T14:00:00Z,0,2,0,0,0,0,14,0,6489,0.0,2,2,0.0,0,-107,70,177,44,True,0
0,0,0,0,0.0,71,0.0,0.0,0.0,0.0,143,0,0,0.0,0.0,2023-12-06T19:30:00Z,0,8,0,0,0,0,15,0,6442,0.0,2,0,0.0,0,-67,73,140,44,False,0
0,0,0,0,0.0,71,0.0,0.0,0.0,0.0,157,0,0,0.0,0.0,2023-12-09T15:00:00Z,0,14,0,0,0,0,16,0,6364,0.0,3,0,0.0,0,-96,74,170,44,False,0
0,0,0,0,0.0,71,0.0,0.0,0.0,0.0,177,0,0,0.0,0.0,2023-12-23T15:00:00Z,0,16,0,0,0,0,18,0,8151,0.0,3,2,0.0,0,287,847,560,43,False,0
0,0,0,0,0.0,71,0.0,0.0,0.0,0.0,182,0,0,0.0,0.0,2023-12-26T15:00:00Z,0,10,0,0,0,0,19,0,8378,0.0,0,3,0.0,0,261,602,341,43,True,0
0,0,0,0,0.0,71,0.0,0.0,0.0,0.0,198,0,0,0.0,0.0,2023-12-31T14:00:00Z,0,18,0,0,0,0,20,0,8269,0.0,1,3,0.0,0,-107,405,512,43,False,0
0,0,0,0,0.0,71,0.0,0.0,0.0,0.0,202,0,0,0.0,0.0,2024-01-21T16:30:00Z,0,11,0,0,0,0,21,0,7816,0.0,4,0,0.0,0,-504,444,948,43,True,0
0,0,0,0,0.0,71,0.0,0.0,0.0,0.0,217,0,0,0.0,0.0,2024-02-01T19:30:00Z,0,19,0,0,0,0,22,0,7584,0.0,1,1,0.0,0,-265,97,362,43,False,0
0,0,0,0,0.0,71,0.0,0.0,0.0,0.0,222,0,0,0.0,0.0,2024-02-04T14:00:00Z,0,16,0,0,0,0,23,0,7559,0.0,1,1,0.0,0,-40,103,143,43,True,0
0,0,0,0,0.0,565,,,,,139,0,0,0.0,0.0,2019-11-30T15:00:00Z,0,17,0,0,0,0,14,0,0,,2,3,0.0,0,0,0,0,45,False,0
0,0,0,0,0.0,565,,,,,148,0,0,0.0,0.0,2019-12-03T19:30:00Z,0,7,0,0,0,0,15,0,38,,0,1,0.0,0,22,25,3,45,False,0
0,0,0,0,0.0,565,,,,,152,0,0,0.0,0.0,2019-12-07T15:00:00Z,0,10,0,0,0,0,16,0,66,,3,0,0.0,0,15,31,16,45,True,0
0,0,0,0,0.0,565,,,,,163,0,0,0.0,0.0,2019-12-14T15:00:00Z,0,6,0,0,0,0,17,0,120,,1,0,0.0,0,21,40,19,45,False,0
0,0,0,0,0.0,565,,,,,172,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,5,0,0,0,0,18,0,156,,1,0,0.0,0,11,37,26,45,True,0
0,0,0,0,0.0,565,,,,,182,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,1,0,0,0,0,19,0,172,,1,1,0.0,0,-4,17,21,45,True,0
0,0,0,0,0.0,565,,,,,192,0,0,0.0,0.0,2019-12-28T12:30:00Z,0,4,0,0,0,0,20,0,211,,0,2,0.0,0,15,34,19,45,False,0
0,0,0,0,0.0,565,,,,,210,0,0,0.0,0.0,2020-01-01T17:30:00Z,0,19,0,0,0,0,21,0,244,,0,4,0.0,0,1,39,38,45,False,0
0,0,0,0,0.0,565,,,,,212,0,0,0.0,0.0,2020-01-12T14:00:00Z,0,18,0,0,0,0,22,0,257,,3,0,0.0,0,-4,39,43,45,True,0
0,0,0,0,0.0,565,,,,,227,0,0,0.0,0.0,2020-01-18T15:00:00Z,0,14,0,0,0,0,23,0,286,,0,1,0.0,0,5,38,33,45,False,0
0,0,0,0,0.0,565,,,,,232,0,0,0.0,0.0,2020-01-21T19:30:00Z,0,4,0,0,0,0,24,0,304,,1,3,0.0,0,2,14,12,45,True,0
0,0,0,0,0.0,565,,,,,241,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,2,0,0,0,0,25,0,325,,1,2,0.0,0,4,31,27,45,True,0
0,0,0,0,0.0,565,,,,,258,0,0,0.0,0.0,2020-02-09T14:00:00Z,0,15,0,0,0,0,26,0,360,,1,2,0.0,0,10,34,24,45,False,0
0,0,0,0,0.0,565,,,,,262,0,0,0.0,0.0,2020-02-22T15:00:00Z,0,5,0,0,0,0,27,0,387,,0,3,0.0,0,4,20,16,45,False,0
0,0,0,0,0.0,565,,,,,272,0,0,0.0,0.0,2020-02-29T15:00:00Z,0,6,0,0,0,0,28,0,388,,2,2,0.0,0,-14,8,22,45,True,0
0,0,0,0,0.0,565,,,,,286,0,0,0.0,0.0,2020-03-07T12:30:00Z,0,10,0,0,0,0,29,0,408,,1,2,0.0,0,9,27,18,45,False,0
0,0,0,0,0.0,565,,,,,292,0,0,0.0,0.0,2020-06-20T18:45:00Z,0,7,0,0,0,0,39,0,539,,2,0,0.0,0,65,147,82,45,True,0
