assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,476,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,8,0,0,0,0,1,0,2053,0.0,1,0,0.0,0,0,0,0,45,True,0
0,0,0,0,0.0,476,0.0,0.0,0.0,0.0,17,0,0,0.0,0.0,2023-08-18T18:45:00Z,0,16,0,0,0,0,2,0,1753,0.0,1,2,0.0,0,-366,102,468,45,False,0
0,0,18,0,0.4,476,0.0,0.14,0.14,0.72,30,1,1,5.3,36.0,2023-08-27T13:00:00Z,19,13,0,0,0,0,3,0,1601,0.0,2,1,17.0,7,-202,96,298,45,True,0
0,0,0,0,0.0,476,0.0,0.0,0.0,0.0,40,0,0,0.0,0.0,2023-09-02T11:30:00Z,0,9,0,0,0,0,4,0,6195,0.0,2,2,0.0,0,3242,3966,724,45,True,0
0,0,18,1,10.8,476,0.05,0.05,0.0,1.32,48,0,0,1.9,6.4,2023-09-16T14:00:00Z,85,18,0,0,0,0,5,0,4460,1.0,1,2,2.0,6,-1921,429,2350,45,False,0
0,0,6,0,14.6,476,0.02,0.02,0.0,1.34,60,3,0,2.1,6.0,2023-09-24T15:30:00Z,45,15,0,0,0,0,6,0,6505,1.0,8,0,0.0,0,1289,2013,724,45,True,0
0,0,1,0,5.8,476,0.06,0.14,0.08,1.67,69,2,0,1.9,2.4,2023-09-30T14:00:00Z,78,19,0,0,0,0,7,0,6167,1.0,0,2,11.0,1,-465,431,896,45,False,0
1,0,12,0,1.8,476,0.01,0.41,0.4,2.14,76,3,0,1.9,3.8,2023-10-07T14:00:00Z,90,10,0,0,0,0,8,0,7486,1.0,1,3,13.0,4,891,1570,679,45,False,0
0,0,10,0,2.0,476,0.01,0.01,0.0,1.05,89,2,0,1.4,12.0,2023-10-21T19:00:00Z,90,14,0,0,0,0,9,0,7297,1.0,2,1,0.0,1,-482,746,1228,45,True,0
0,0,1,0,0.1,476,0.0,0.0,0.0,1.46,91,3,0,0.0,0.0,2023-10-28T14:00:00Z,70,1,0,0,0,0,10,0,7823,1.0,0,5,0.0,0,344,1039,695,45,False,1
0,0,8,0,1.0,476,0.02,0.07,0.05,1.33,109,1,0,2.5,12.6,2023-11-04T15:00:00Z,90,20,0,0,0,0,11,0,7425,1.0,1,2,11.0,2,-584,487,1071,45,True,0
1,0,10,0,6.1,476,0.03,0.32,0.29,1.54,114,1,0,3.0,2.0,2023-11-12T14:00:00Z,90,5,0,0,0,0,12,0,7488,1.0,1,1,22.0,4,-101,401,502,45,False,1
0,0,4,0,0.4,476,0.04,0.04,0.0,1.19,129,2,0,0.7,4.8,2023-11-25T15:00:00Z,45,3,0,0,0,0,13,0,9338,1.0,3,1,2.0,0,1174,1724,550,45,True,0
0,0,11,0,0.5,476,0.0,0.0,0.0,1.56,134,4,0,1.2,11.6,2023-12-02T15:00:00Z,65,6,0,0,0,0,14,0,10779,0.0,0,5,0.0,0,1486,2329,843,45,False,0
0,0,6,0,0.4,476,0.0,0.0,0.0,1.78,147,2,0,1.5,15.0,2023-12-06T19:30:00Z,90,11,0,0,0,0,15,0,9144,1.0,2,0,0.0,0,-1625,214,1839,45,True,1
0,0,20,1,5.8,476,0.03,0.03,0.0,0.64,158,0,0,2.9,22.8,2023-12-09T15:00:00Z,90,4,0,0,0,0,16,0,10393,1.0,0,1,0.0,5,1047,1756,709,45,True,1
0,0,7,0,0.6,476,0.01,0.06,0.05,2.75,165,2,0,3.1,26.2,2023-12-16T15:00:00Z,90,7,0,0,0,0,17,0,11721,1.0,0,2,4.0,1,1003,2354,1351,45,False,0
0,0,4,0,1.0,476,0.01,0.01,0.0,0.89,171,1,0,2.0,13.0,2023-12-22T20:00:00Z,90,2,0,0,0,0,18,0,11908,1.0,1,1,6.0,1,-10,1658,1668,45,False,1
0,0,0,0,0.0,476,0.0,0.0,0.0,0.0,190,0,0,0.0,0.0,2023-12-26T15:00:00Z,0,12,0,0,0,0,19,0,9784,0.0,3,2,0.0,0,-2093,287,2380,45,True,0
0,0,7,0,18.6,476,0.07,0.24,0.17,2.26,196,2,0,6.5,24.0,2023-12-30T15:00:00Z,90,13,0,0,0,0,20,0,10349,1.0,0,2,22.0,0,330,1113,783,45,False,1
0,0,22,0,23.9,476,0.04,0.04,0.0,2.27,210,2,0,5.3,23.2,2024-01-21T14:00:00Z,90,19,0,0,0,0,21,0,9827,1.0,2,2,6.0,1,-784,776,1560,45,True,0
0,0,15,0,24.0,476,0.3,0.3,0.0,1.13,212,3,0,5.4,21.8,2024-01-30T20:00:00Z,90,8,0,0,0,0,22,0,10817,1.0,2,3,8.0,1,756,1327,571,45,False,0
0,0,0,0,0.7,476,0.05,0.07,0.02,2.27,230,5,0,0.3,0.0,2024-02-03T17:30:00Z,90,2,0,0,0,0,23,0,10029,1.0,5,0,4.0,-1,-827,222,1049,45,True,1
0,0,0,0,0.0,510,,,,,8,0,0,0.0,0.0,2020-09-14T17:00:00Z,0,20,0,0,0,0,1,0,7325,,2,0,0.0,0,0,0,0,45,True,0
0,0,0,0,0.0,510,,,,,10,0,0,0.0,0.0,2020-09-21T17:00:00Z,0,2,0,0,0,0,2,0,7666,,0,1,0.0,0,-1027,362,1389,45,False,0
0,0,0,0,0.0,510,,,,,25,0,0,0.0,0.0,2020-09-27T11:00:00Z,0,10,0,0,0,0,3,0,6912,,1,0,0.0,0,-1176,225,1401,45,True,0
0,0,0,0,0.0,510,,,,,29,0,0,0.0,0.0,2020-10-04T13:00:00Z,0,1,0,0,0,0,4,0,6352,,1,2,0.0,0,-869,102,971,45,False,0
0,0,0,0,0.0,510,,,,,46,0,0,0.0,0.0,2020-10-18T11:00:00Z,0,8,0,0,0,0,5,0,5911,,1,1,0.0,0,-598,132,730,44,True,0
0,0,0,0,0.0,510,,,,,54,0,0,0.0,0.0,2020-10-24T19:00:00Z,0,11,0,0,0,0,6,0,5648,,1,2,0.0,0,-355,77,432,44,False,0
0,0,0,0,0.0,510,,,,,66,0,0,0.0,0.0,2020-10-31T12:30:00Z,0,12,0,0,0,0,7,0,5446,,1,0,0.0,0,-280,77,357,44,True,0
0,0,0,0,0.0,510,,,,,71,0,0,0.0,0.0,2020-11-07T17:30:00Z,0,5,0,0,0,0,8,0,5194,,1,4,0.0,0,-294,34,328,44,False,0
0,0,0,0,0.0,510,,,,,86,0,0,0.0,0.0,2020-11-22T14:00:00Z,0,19,0,0,0,0,9,0,5071,,1,0,0.0,0,-209,105,314,43,True,0
0,0,0,0,0.0,510,,,,,97,0,0,0.0,0.0,2020-11-28T20:00:00Z,0,18,0,0,0,0,10,0,5000,,0,1,0.0,0,-103,86,189,43,False,0
0,0,0,0,0.0,510,,,,,105,0,0,0.0,0.0,2020-12-06T14:15:00Z,0,9,0,0,0,0,11,0,4935,,2,1,0.0,0,-107,76,183,43,True,0
0,0,0,0,0.0,510,,,,,117,0,0,0.0,0.0,2020-12-13T12:00:00Z,0,16,0,0,0,0,12,0,4876,,0,3,0.0,0,-102,54,156,43,False,0
0,0,0,0,0.0,510,,,,,124,0,0,0.0,0.0,2020-12-17T20:00:00Z,0,13,0,0,0,0,13,0,4808,,3,2,0.0,0,-83,30,113,43,True,0
0,0,16,0,0.1,510,,,,,129,1,1,5.7,40.0,2020-12-20T12:00:00Z,36,3,0,0,0,0,14,0,4742,,1,1,17.0,7,-85,31,116,43,False,0
0,0,0,0,0.0,510,,,,,146,0,0,0.0,0.0,2020-12-26T20:00:00Z,0,7,0,0,0,0,15,0,6929,,1,0,0.0,0,1825,2197,372,43,True,0
0,0,0,0,0.0,510,,,,,150,0,0,0.0,0.0,2020-12-29T18:00:00Z,0,4,0,0,0,0,16,0,6524,,0,1,0.0,0,-252,211,463,43,False,0
0,0,12,0,18.2,510,,,,,162,2,0,5.5,17.8,2021-01-02T15:00:00Z,90,6,0,0,0,0,17,0,6171,,0,2,19.0,0,-387,133,520,43,False,1
0,0,19,1,24.0,510,,,,,174,0,0,10.5,13.0,2021-01-12T18:00:00Z,90,14,0,0,0,0,18,0,10936,,0,1,68.0,6,462,1146,684,43,True,0
0,0,6,0,1.4,510,,,,,186,3,0,3.5,11.8,2021-01-17T14:00:00Z,90,17,0,0,0,0,19,0,6814,,3,1,22.0,1,90,648,558,43,True,0
