assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,id,key_passes,kickoff_time_formatted,loaned_in,loaned_out,offside,open_play_crosses,penalties_conceded,recoveries,tackled,tackles,target_missed,winning_goals
0,0,0,0,0.0,68,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,19,0,0,0,0,1,0,2520,0.0,1,1,0.0,0,0,0,0,45,True,0,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0.0,68,0.0,0.0,0.0,0.0,14,0,0,0.0,0.0,2023-08-19T14:00:00Z,0,11,0,0,0,0,2,0,1888,0.0,1,3,0.0,0,-666,43,709,45,False,0,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0.0,68,0.0,0.0,0.0,0.0,22,0,0,0.0,0.0,2023-08-26T11:30:00Z,0,18,0,0,0,0,3,0,1663,0.0,2,0,0.0,0,-282,59,341,45,True,0,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0.0,68,0.0,0.0,0.0,0.0,32,0,0,0.0,0.0,2023-09-02T14:00:00Z,0,4,0,0,0,0,4,0,1532,0.0,2,2,0.0,0,-154,44,198,44,False,0,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0.0,68,0.0,0.0,0.0,0.0,42,0,0,0.0,0.0,2023-09-17T13:00:00Z,0,7,0,0,0,0,5,0,1399,0.0,0,0,0.0,0,-145,51,196,44,True,0,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0.0,68,0.0,0.0,0.0,0.0,53,0,0,0.0,0.0,2023-09-24T13:00:00Z,0,5,0,0,0,0,6,0,1460,0.0,1,3,0.0,0,21,118,97,44,False,0,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0.0,68,0.0,0.0,0.0,0.0,62,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,1,0,0,0,0,7,0,1384,0.0,4,0,0.0,0,-79,51,130,44,True,0,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0.0,68,0.0,0.0,0.0,0.0,75,0,0,0.0,0.0,2023-10-07T14:00:00Z,0,9,0,0,0,0,8,0,1319,0.0,0,3,0.0,0,-68,35,103,44,False,0,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0.0,68,0.0,0.0,0.0,0.0,82,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,20,0,0,0,0,9,0,1310,0.0,2,1,0.0,0,-17,70,87,44,True,0,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0.0,68,0.0,0.0,0.0,0.0,93,0,0,0.0,0.0,2023-10-28T14:00:00Z,0,6,0,0,0,0,10,0,1280,0.0,1,2,0.0,0,-35,36,71,44,True,0,,,,,,,,,,,,,,,,,,,,,,,
