assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,649,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,10,0,0,0,0,1,0,0,0,1,0,0.0,0,0,0,0,45,True,0
0,0,0,0,0.0,649,0.0,0.0,0.0,0.0,11,0,0,0.0,0.0,2023-08-20T13:00:00Z,0,2,0,0,0,0,2,0,2832,0,0,4,0.0,0,697,894,197,45,False,0
0,0,3,0,0.0,649,0.0,0.0,0.0,0.28,27,0,0,0.0,0.0,2023-08-26T14:00:00Z,1,20,0,0,0,0,3,0,3791,0,1,0,0.0,1,165,750,585,45,True,0
0,0,0,0,0.0,649,0.0,0.0,0.0,0.0,40,0,0,0.0,0.0,2023-09-02T11:30:00Z,0,17,0,0,0,0,4,0,4562,0,2,2,0.0,0,168,777,609,45,False,0
0,0,0,0,0.0,649,0.0,0.0,0.0,0.0,43,0,0,0.0,0.0,2023-09-17T15:30:00Z,0,1,0,0,0,0,5,0,3460,0,1,0,0.0,0,-1079,59,1138,45,True,0
0,0,0,0,0.0,649,0.0,0.0,0.0,0.0,52,0,0,0.0,0.0,2023-09-23T16:30:00Z,0,4,0,0,0,0,6,0,3193,0,3,1,0.0,0,-300,0,300,45,False,0
0,0,0,0,0.0,649,0.0,0.0,0.0,0.0,63,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,12,0,0,0,0,7,0,2937,0,2,1,0.0,0,-250,0,250,45,True,0
0,0,0,0,0.0,649,0.0,0.0,0.0,0.0,75,0,0,0.0,0.0,2023-10-07T14:00:00Z,0,3,0,0,0,0,8,0,2799,0,0,3,0.0,0,-150,0,150,45,True,0
0,0,0,0,0.0,649,0.0,0.0,0.0,0.0,85,0,0,0.0,0.0,2023-10-21T11:30:00Z,0,11,0,0,0,0,9,0,2696,0,0,2,0.0,0,-106,0,106,45,False,0
0,0,0,0,0.0,649,0.0,0.0,0.0,0.0,99,0,0,0.0,0.0,2023-10-29T13:00:00Z,0,19,0,0,0,0,10,0,2631,0,1,0,0.0,0,-65,0,65,45,False,0
0,0,0,0,0.0,649,0.0,0.0,0.0,0.0,103,0,0,0.0,0.0,2023-11-04T15:00:00Z,0,5,0,0,0,0,11,0,2577,0,1,1,0.0,0,-57,0,57,45,True,0
0,0,0,0,0.0,649,0.0,0.0,0.0,0.0,116,0,0,0.0,0.0,2023-11-11T15:00:00Z,0,8,0,0,0,0,12,0,2537,0,3,2,0.0,0,-41,0,41,45,False,0
0,0,0,0,0.0,649,0.0,0.0,0.0,0.0,123,0,0,0.0,0.0,2023-11-26T16:30:00Z,0,14,0,0,0,0,13,0,2478,0,3,0,0.0,0,-57,0,57,45,True,0
0,0,0,0,0.0,649,0.0,0.0,0.0,0.0,139,0,0,0.0,0.0,2023-12-02T17:30:00Z,0,16,0,0,0,0,14,0,2445,0,1,0,0.0,0,-39,0,39,45,False,0
0,0,0,0,0.0,649,0.0,0.0,0.0,0.0,144,0,0,0.0,0.0,2023-12-07T19:30:00Z,0,15,0,0,0,0,15,0,2422,0,0,3,0.0,0,-23,0,23,45,True,0
0,0,0,0,0.0,649,0.0,0.0,0.0,0.0,154,0,0,0.0,0.0,2023-12-10T14:00:00Z,0,7,0,0,0,0,16,0,2404,0,0,2,0.0,0,-15,0,15,45,True,0
0,0,0,0,0.0,649,0.0,0.0,0.0,0.0,164,0,0,0.0,0.0,2023-12-16T17:30:00Z,0,6,0,0,0,0,17,0,2373,0,2,0,0.0,0,-32,0,32,45,False,0
0,0,0,0,0.0,649,0.0,0.0,0.0,0.0,178,0,0,0.0,0.0,2023-12-23T15:00:00Z,0,18,0,0,0,0,18,0,2347,0,1,2,0.0,0,-27,0,27,45,False,0
0,0,0,0,0.0,649,0.0,0.0,0.0,0.0,187,0,0,0.0,0.0,2023-12-27T20:15:00Z,0,13,0,0,0,0,19,0,2328,0,3,1,0.0,0,-21,0,21,45,True,0
0,0,0,0,0.0,649,0.0,0.0,0.0,0.0,200,0,0,0.0,0.0,2023-12-30T15:00:00Z,0,20,0,0,0,0,20,0,2304,0,0,3,0.0,0,-24,0,24,45,False,0
0,0,0,0,0.0,649,0.0,0.0,0.0,0.0,207,0,0,0.0,0.0,2024-01-14T14:00:00Z,0,2,0,0,0,0,21,0,2269,0,0,0,0.0,0,-34,0,34,45,True,0
0,0,0,0,0.0,649,0.0,0.0,0.0,0.0,213,0,0,0.0,0.0,2024-01-30T19:45:00Z,0,10,0,0,0,0,22,0,2250,0,0,0,0.0,0,-21,0,21,45,False,0
0,0,0,0,0.0,649,0.0,0.0,0.0,0.0,227,0,0,0.0,0.0,2024-02-03T12:30:00Z,0,18,0,0,0,0,23,0,2242,0,2,2,0.0,0,-9,0,9,45,True,0
0,0,3,0,1.5,662,0.0,0.09,0.09,0.21,151,0,0,2.4,3.0,2022-11-12T15:00:00Z,16,3,0,0,0,0,16,0,0,0,0,3,19.0,1,0,0,0,45,False,0
0,0,4,0,10.1,662,0.0,0.0,0.0,0.23,166,1,0,1.4,2.0,2022-12-26T15:00:00Z,7,20,0,0,0,0,17,0,3105,0,2,1,2.0,1,2517,3711,1194,45,True,0
0,0,0,0,0.0,662,0.0,0.0,0.0,0.0,175,0,0,0.0,0.0,2022-12-31T15:00:00Z,0,13,0,0,0,0,18,0,4066,0,1,1,0.0,0,699,1204,505,45,False,0
0,0,0,0,0.0,662,0.0,0.0,0.0,0.0,186,0,0,0.0,0.0,2023-01-03T19:45:00Z,0,5,0,0,0,0,19,0,4214,0,4,1,0.0,0,17,666,649,45,True,0
0,0,0,0,0.0,662,0.0,0.0,0.0,0.0,195,0,0,0.0,0.0,2023-01-14T15:00:00Z,0,17,0,0,0,0,20,0,3701,0,2,1,0.0,0,-665,375,1040,45,True,0
0,0,0,0,0.0,662,0.0,0.0,0.0,0.0,210,0,0,0.0,0.0,2023-01-21T15:00:00Z,0,19,0,0,0,0,21,0,2882,0,0,2,0.0,0,-825,0,825,45,False,0
0,0,0,0,0.0,662,0.0,0.0,0.0,0.0,215,0,0,0.0,0.0,2023-02-04T12:30:00Z,0,1,0,0,0,0,22,0,2397,0,0,1,0.0,0,-496,0,496,45,True,0
