Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,gw,season,player
0,0,0,0,0,0,0,0.0,634,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2023-08-12T16:30:00Z,0,2,0,0,0,0,1,0,20805,0,1,5,0.0,0,0,0,0,40,True,0,4,3,1,2023-24,Alex_Murphy
1,1,1,0,0,0,0,0.0,634,0.0,0.0,0.0,0.0,16,0,0,0.0,0.0,2023-08-19T19:00:00Z,0,13,0,0,0,0,2,0,33013,0,0,1,0.0,0,2039,5567,3528,40,False,0,3,5,2,2023-24,Alex_Murphy
2,2,2,0,0,0,0,0.0,634,0.0,0.0,0.0,0.0,29,0,0,0.0,0.0,2023-08-27T15:30:00Z,0,11,0,0,0,0,3,0,36117,0,2,1,0.0,0,555,4422,3867,40,True,0,4,4,3,2023-24,Alex_Murphy
3,3,3,0,0,0,0,0.0,634,0.0,0.0,0.0,0.0,33,0,0,0.0,0.0,2023-09-02T16:30:00Z,0,5,0,0,0,0,4,0,36738,0,1,3,0.0,0,-917,2489,3406,40,False,0,3,3,4,2023-24,Alex_Murphy
4,4,4,0,0,0,0,0.0,634,0.0,0.0,0.0,0.0,46,0,0,0.0,0.0,2023-09-16T16:30:00Z,0,4,0,0,0,0,5,0,34935,0,0,1,0.0,0,-2843,2048,4891,40,True,0,4,3,5,2023-24,Alex_Murphy
5,5,5,0,0,0,0,0.0,634,0.0,0.0,0.0,0.0,60,0,0,0.0,0.0,2023-09-24T15:30:00Z,0,17,0,0,0,0,6,0,31790,0,8,0,0.0,0,-3197,198,3395,40,False,0,3,2,6,2023-24,Alex_Murphy
6,6,6,0,0,0,0,0.0,634,0.0,0.0,0.0,0.0,66,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,6,0,0,0,0,7,0,29164,0,0,2,0.0,0,-2594,371,2965,40,True,0,4,2,7,2023-24,Alex_Murphy
7,7,7,0,0,0,0,0.0,634,0.0,0.0,0.0,0.0,79,0,0,0.0,0.0,2023-10-08T13:00:00Z,0,19,0,0,0,0,8,0,28677,0,2,2,0.0,0,-922,1044,1966,39,False,0,3,3,8,2023-24,Alex_Murphy
8,8,8,0,0,0,0,0.0,634,0.0,0.0,0.0,0.0,87,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,8,0,0,0,0,9,0,28042,0,0,4,0.0,0,-705,773,1478,39,True,0,4,2,9,2023-24,Alex_Murphy
9,9,9,0,0,0,0,0.0,634,0.0,0.0,0.0,0.0,100,0,0,0.0,0.0,2023-10-28T16:30:00Z,0,20,0,0,0,0,10,0,28517,0,2,2,0.0,0,228,1664,1436,39,False,0,3,2,10,2023-24,Alex_Murphy
10,10,10,0,0,0,0,0.0,634,0.0,0.0,0.0,0.0,107,0,0,0.0,0.0,2023-11-04T17:30:00Z,0,1,0,0,0,0,11,0,28230,0,0,1,0.0,0,-352,907,1259,39,True,0,4,4,11,2023-24,Alex_Murphy
11,11,11,0,0,0,0,0.0,634,0.0,0.0,0.0,0.0,113,0,0,0.0,0.0,2023-11-11T17:30:00Z,0,3,0,0,0,0,12,0,27603,0,0,2,0.0,0,-609,573,1182,39,False,0,3,2,12,2023-24,Alex_Murphy
12,12,12,0,0,2,0,0.1,634,0.0,0.0,0.0,0.0,127,0,0,0.0,0.2,2023-11-25T15:00:00Z,3,7,0,0,0,0,13,0,33201,0,1,4,0.0,1,4120,5124,1004,39,True,0,4,3,13,2023-24,Alex_Murphy
13,13,13,0,0,0,0,0.0,634,0.0,0.0,0.0,0.0,138,0,0,0.0,0.0,2023-12-02T20:00:00Z,0,14,0,0,0,0,14,0,36170,0,0,1,0.0,0,2797,4082,1285,39,True,0,4,3,14,2023-24,Alex_Murphy
14,14,14,0,0,0,0,0.0,634,0.0,0.0,0.0,0.0,144,0,0,0.0,0.0,2023-12-07T19:30:00Z,0,9,0,0,0,0,15,0,39548,0,0,3,0.0,0,2963,4519,1556,39,False,0,3,2,15,2023-24,Alex_Murphy
15,15,15,0,0,0,0,0.0,634,0.0,0.0,0.0,0.0,159,0,0,0.0,0.0,2023-12-10T16:30:00Z,0,18,0,0,0,0,16,0,42515,0,1,4,0.0,0,2238,3822,1584,39,False,0,3,3,16,2023-24,Alex_Murphy
16,16,16,0,0,0,0,0.0,634,0.0,0.0,0.0,0.0,168,0,0,0.0,0.0,2023-12-16T15:00:00Z,0,10,0,0,0,0,17,0,44530,0,0,3,0.0,0,1382,3621,2239,39,True,0,4,2,17,2023-24,Alex_Murphy
17,17,17,0,0,0,0,0.0,634,0.0,0.0,0.0,0.0,175,0,0,0.0,0.0,2023-12-23T15:00:00Z,0,12,0,0,0,0,18,0,43728,0,0,1,0.0,0,-722,1532,2254,39,False,0,3,2,18,2023-24,Alex_Murphy
18,18,18,0,0,0,0,0.0,634,0.0,0.0,0.0,0.0,189,0,0,0.0,0.0,2023-12-26T12:30:00Z,0,16,0,0,0,0,19,0,44380,0,3,1,0.0,0,380,1654,1274,39,True,0,4,2,19,2023-24,Alex_Murphy
19,19,19,0,0,0,0,0.0,634,0.0,0.0,0.0,0.0,194,0,0,0.0,0.0,2024-01-01T20:00:00Z,0,11,0,0,0,0,20,0,44221,0,2,4,0.0,0,-357,1432,1789,39,False,0,3,5,20,2023-24,Alex_Murphy
20,20,20,0,0,0,0,0.0,634,0.0,0.0,0.0,0.0,209,0,0,0.0,0.0,2024-01-13T17:30:00Z,0,13,0,0,0,0,21,0,42163,0,3,2,0.0,0,-2278,1281,3559,39,True,0,4,5,21,2023-24,Alex_Murphy
21,21,21,0,0,0,0,0.0,634,0.0,0.0,0.0,0.0,211,0,0,0.0,0.0,2024-01-30T20:15:00Z,0,2,0,0,0,0,22,0,41641,0,3,1,0.0,0,-893,725,1618,39,False,0,3,4,22,2023-24,Alex_Murphy
22,22,22,0,0,0,0,0.0,634,0.0,0.0,0.0,0.0,229,0,0,0.0,0.0,2024-02-03T15:00:00Z,0,12,0,0,0,0,23,0,41544,0,4,4,0.0,0,-260,567,827,39,True,0,4,2,23,2023-24,Alex_Murphy
