Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,id,key_passes,kickoff_time_formatted,loaned_in,loaned_out,offside,open_play_crosses,penalties_conceded,recoveries,tackled,tackles,target_missed,winning_goals
0,0,0,0,0,0.0,536,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,3,0,0,0,0,1,0,6619,0.0,1,1,0.0,0,0,0,0,45,False,0,2,2,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0.0,536,0.0,0.0,0.0,0.0,19,0,0,0.0,0.0,2023-08-20T15:30:00Z,0,7,0,0,0,0,2,0,7197,0.0,1,3,0.0,0,-856,92,948,45,True,0,3,3,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,0,0.0,536,0.0,0.0,0.0,0.0,24,0,0,0.0,0.0,2023-08-26T16:30:00Z,0,5,0,0,0,0,3,0,7109,0.0,3,1,0.0,0,-626,114,740,45,False,0,2,3,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,0,0.0,536,0.0,0.0,0.0,0.0,38,0,0,0.0,0.0,2023-09-01T19:00:00Z,0,12,0,0,0,0,4,0,7123,0.0,2,1,0.0,0,-399,254,653,44,False,0,2,2,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,0,0.0,536,0.0,0.0,0.0,0.0,49,0,0,0.0,0.0,2023-09-16T14:00:00Z,0,13,0,0,0,0,5,0,7054,0.0,3,1,0.0,0,-409,175,584,44,True,0,3,5,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,0,0.0,536,0.0,0.0,0.0,0.0,57,0,0,0.0,0.0,2023-09-24T13:00:00Z,0,11,0,0,0,0,6,0,6958,0.0,1,3,0.0,0,-191,128,319,44,False,0,2,5,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,0,0.0,536,0.0,0.0,0.0,0.0,69,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,17,0,0,0,0,7,0,6969,0.0,0,2,0.0,0,-72,243,315,44,True,0,3,2,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,0,0.0,536,0.0,0.0,0.0,0.0,79,0,0,0.0,0.0,2023-10-08T13:00:00Z,0,15,0,0,0,0,8,0,6667,0.0,2,2,0.0,0,-366,95,461,44,True,0,3,3,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,0,0.0,536,0.0,0.0,0.0,0.0,81,0,0,0.0,0.0,2023-10-22T15:30:00Z,0,2,0,0,0,0,9,0,6221,0.0,1,4,0.0,0,-462,17,479,44,False,0,2,4,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,0,0.0,536,0.0,0.0,0.0,0.0,99,0,0,0.0,0.0,2023-10-29T13:00:00Z,0,9,0,0,0,0,10,0,6094,0.0,1,0,0.0,0,-176,69,245,44,True,0,3,2,,,,,,,,,,,,,,,,,,,,,,,
