Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,gw,season,player
0,0,0,0.0,0,0,8,0,3.8,53,0.08,0.11,0.03,0.59,2,2,0,1.4,5.6,2022-08-06T14:00:00Z,81,3,0,0,0,0,1,0,12140,1,0,2,5.0,2,0,0,0,50,False,0,2,2,1,2022-23,Boubacar_Kamara
1,1,1,1.0,0,0,20,0,3.2,53,0.02,0.02,0.0,1.58,12,1,0,2.9,26.2,2022-08-13T11:30:00Z,90,8,0,0,0,0,2,0,15173,1,1,2,0.0,2,-480,1603,2083,50,True,0,2,2,2,2022-23,Boubacar_Kamara
2,2,2,2.0,0,0,9,0,10.8,53,0.01,0.01,0.0,2.69,22,3,0,2.9,17.8,2022-08-20T14:00:00Z,90,7,0,0,0,0,3,0,18770,1,1,3,0.0,2,1157,4204,3047,50,False,0,2,2,3,2022-23,Boubacar_Kamara
3,3,3,3.0,0,0,12,0,12.8,53,0.01,0.01,0.0,0.56,32,1,0,2.5,11.8,2022-08-28T13:00:00Z,90,19,0,0,0,0,4,0,17163,1,1,0,0.0,1,-2490,1315,3805,50,True,1,2,2,4,2022-23,Boubacar_Kamara
4,4,4,4.0,0,0,8,0,1.3,53,0.01,0.01,0.0,2.48,41,2,0,2.0,18.6,2022-08-31T18:30:00Z,82,1,0,0,0,0,5,0,16000,1,1,2,0.0,2,-1856,722,2578,50,False,0,2,4,5,2022-23,Boubacar_Kamara
5,5,5,5.0,0,0,9,0,0.8,53,0.0,0.0,0.0,2.1,51,1,0,0.8,7.4,2022-09-03T16:30:00Z,90,13,0,0,0,0,6,0,15903,1,1,1,0.0,2,-826,1232,2058,49,True,0,2,5,6,2022-23,Boubacar_Kamara
6,6,6,6.0,0,0,4,0,0.8,53,0.0,0.0,0.0,0.16,71,0,0,1.3,12.6,2022-09-16T19:00:00Z,43,17,0,0,0,0,8,0,16734,1,0,1,0.0,1,280,815,535,49,True,0,2,2,8,2022-23,Boubacar_Kamara
7,7,7,7.0,0,0,0,0,0.0,53,0.0,0.0,0.0,0.0,85,0,0,0.0,0.0,2022-10-02T15:30:00Z,0,11,0,0,0,0,9,0,13697,0,0,0,0.0,0,-2731,99,2830,49,False,0,2,2,9,2022-23,Boubacar_Kamara
8,8,8,8.0,0,0,0,0,0.0,53,0.0,0.0,0.0,0.0,99,0,0,0.0,0.0,2022-10-10T19:00:00Z,0,16,0,0,0,0,10,0,11896,0,1,1,0.0,0,-1851,23,1874,48,False,0,2,2,10,2022-23,Boubacar_Kamara
9,9,9,9.0,0,0,0,0,0.0,53,0.0,0.0,0.0,0.0,101,0,0,0.0,0.0,2022-10-16T13:00:00Z,0,6,0,0,0,0,11,0,11211,0,2,0,0.0,0,-729,82,811,48,True,0,2,3,11,2022-23,Boubacar_Kamara
10,10,10,10.0,0,0,0,0,0.0,53,0.0,0.0,0.0,0.0,116,0,0,0.0,0.0,2022-10-20T18:30:00Z,0,9,0,0,0,0,12,0,10701,0,0,3,0.0,0,-450,12,462,48,False,0,2,2,12,2022-23,Boubacar_Kamara
11,11,11,11.0,0,0,0,0,0.0,53,0.0,0.0,0.0,0.0,121,0,0,0.0,0.0,2022-10-23T13:00:00Z,0,4,0,0,0,0,13,0,10531,0,0,4,0.0,0,-264,44,308,48,True,0,2,3,13,2022-23,Boubacar_Kamara
12,12,12,12.0,0,0,0,0,0.0,53,0.0,0.0,0.0,0.0,140,0,0,0.0,0.0,2022-10-29T14:00:00Z,0,15,0,0,0,0,14,0,10160,0,0,4,0.0,0,-372,17,389,48,False,0,2,4,14,2022-23,Boubacar_Kamara
13,13,13,13.0,0,0,5,0,0.7,53,0.0,0.0,0.0,0.0,141,0,0,0.4,3.4,2022-11-06T14:00:00Z,12,14,0,0,0,0,15,0,9883,0,1,3,0.0,1,-287,11,298,48,True,0,2,3,15,2022-23,Boubacar_Kamara
14,14,14,14.0,0,0,8,0,1.3,53,0.01,0.03,0.02,0.66,152,1,0,2.1,18.0,2022-11-13T14:00:00Z,90,5,0,0,0,0,16,0,9860,1,2,1,2.0,1,-64,86,150,48,False,1,2,3,16,2022-23,Boubacar_Kamara
15,15,15,15.0,0,0,10,0,2.2,53,0.02,0.02,0.0,2.7,162,3,0,1.1,8.4,2022-12-26T17:30:00Z,84,12,0,0,0,0,17,0,9997,1,3,1,0.0,2,38,335,297,48,True,0,2,4,17,2022-23,Boubacar_Kamara
16,16,16,16.0,0,0,15,1,16.1,53,0.03,0.03,0.0,0.42,178,0,0,4.2,19.8,2023-01-01T14:00:00Z,90,18,0,0,0,0,18,0,10042,1,2,0,6.0,3,3,93,90,48,False,0,2,4,18,2022-23,Boubacar_Kamara
17,17,17,17.0,0,0,8,0,3.1,53,0.02,0.06,0.04,0.85,182,1,0,1.2,8.2,2023-01-04T20:00:00Z,90,20,0,0,0,0,19,0,10167,1,1,1,1.0,2,102,193,91,48,True,0,2,2,19,2022-23,Boubacar_Kamara
18,18,18,18.0,1,0,22,0,13.3,53,0.02,0.02,0.0,2.38,191,1,0,5.3,39.8,2023-01-13T20:00:00Z,90,11,0,0,0,0,20,0,10244,1,1,2,0.0,4,12,204,192,48,True,1,2,2,20,2022-23,Boubacar_Kamara
19,19,19,19.0,0,0,10,1,5.1,53,0.03,0.09,0.06,0.41,209,0,0,3.6,13.4,2023-01-21T15:00:00Z,90,17,0,0,0,0,21,0,10467,1,1,0,17.0,3,173,342,169,48,False,0,2,2,21,2022-23,Boubacar_Kamara
20,20,20,20.0,0,0,9,0,11.9,53,0.07,0.07,0.0,2.19,211,4,0,1.9,7.2,2023-02-04T15:00:00Z,81,10,0,0,0,0,22,0,10492,1,4,2,0.0,2,-47,224,271,48,True,0,2,3,22,2022-23,Boubacar_Kamara
21,21,21,21.0,0,0,14,0,1.0,53,0.19,0.19,0.0,3.59,228,3,0,1.9,13.6,2023-02-12T16:30:00Z,90,13,0,0,0,0,23,0,10421,1,1,3,4.0,2,-102,90,192,48,False,0,2,5,23,2022-23,Boubacar_Kamara
22,22,22,22.0,0,0,23,0,11.3,53,0.01,0.01,0.0,3.28,231,4,0,3.1,19.8,2023-02-18T12:30:00Z,90,1,0,0,0,0,24,0,10418,1,4,2,0.0,2,-33,109,142,48,True,0,2,4,24,2022-23,Boubacar_Kamara
23,23,23,23.0,0,0,17,1,17.6,53,0.23,0.23,0.0,1.71,243,0,0,2.5,7.2,2023-02-25T15:00:00Z,90,8,0,0,0,0,25,0,10690,1,2,0,0.0,3,155,301,146,48,False,0,2,2,25,2022-23,Boubacar_Kamara
