Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR
0,0,0,0,0,0.0,530,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,2022-08-05T19:00:00Z,0,1,0,0,0,0,1,0,5048,0,2,0,0.0,0,0,0,0,45,True,0,2,4
1,0,0,9,0,10.5,530,0.0,0.07,0.07,0.15,16,0,0,2.9,14.2,2022-08-15T19:00:00Z,11,12,0,0,0,0,2,0,5714,0,1,1,4.0,1,-655,106,761,45,False,0,2,4
2,0,0,3,0,0.8,530,0.0,0.0,0.0,0.11,22,0,0,0.1,0.6,2022-08-20T14:00:00Z,1,2,0,0,0,0,3,0,6059,0,1,3,0.0,1,-425,200,625,45,True,0,2,2
3,0,0,3,0,0.9,530,0.0,0.0,0.0,1.83,37,3,0,0.4,3.2,2022-08-27T14:00:00Z,33,13,0,0,0,0,4,0,6378,0,2,4,0.0,0,-396,192,588,45,False,0,2,5
4,0,0,0,0,0.0,530,0.0,0.0,0.0,0.0,43,0,0,0.0,0.0,2022-08-30T18:30:00Z,0,4,0,0,0,0,5,0,6661,0,1,1,0.0,0,-345,265,610,45,True,0,2,3
5,0,0,0,0,0.0,530,0.0,0.0,0.0,0.0,57,0,0,0.0,0.0,2022-09-03T14:00:00Z,0,15,0,0,0,0,6,0,6726,0,0,0,0.0,0,-478,219,697,44,False,0,2,4
6,0,0,0,0,0.0,530,0.0,0.0,0.0,0.0,83,0,0,0.0,0.0,2022-10-01T14:00:00Z,0,6,0,0,0,0,9,0,6657,0,2,1,0.0,0,-124,99,223,44,True,0,2,3
7,0,0,0,0,0.0,530,0.0,0.0,0.0,0.0,95,0,0,0.0,0.0,2022-10-09T13:00:00Z,0,11,0,0,0,0,10,0,6399,0,1,2,0.0,0,-315,105,420,44,True,0,2,2
8,0,0,0,0,0.0,530,0.0,0.0,0.0,0.0,105,0,0,0.0,0.0,2022-10-15T11:30:00Z,0,10,0,0,0,0,11,0,6032,0,0,0,0.0,0,-373,21,394,44,False,0,2,3
9,0,0,0,0,0.0,530,0.0,0.0,0.0,0.0,115,0,0,0.0,0.0,2022-10-18T19:15:00Z,0,20,0,0,0,0,12,0,5769,0,1,2,0.0,0,-231,12,243,44,True,0,2,2
10,0,0,0,0,0.0,530,0.0,0.0,0.0,0.0,123,0,0,0.0,0.0,2022-10-22T14:00:00Z,0,8,0,0,0,0,13,0,5665,0,0,3,0.0,0,-164,8,172,44,False,0,2,2
11,0,0,0,0,0.0,530,0.0,0.0,0.0,0.0,135,0,0,0.0,0.0,2022-10-29T14:00:00Z,0,17,0,0,0,0,14,0,5486,0,0,1,0.0,0,-183,6,189,44,True,0,2,2
12,0,0,0,0,0.0,530,0.0,0.0,0.0,0.0,149,0,0,0.0,0.0,2022-11-06T14:00:00Z,0,19,0,0,0,0,15,0,5320,0,2,1,0.0,0,-164,7,171,44,False,0,2,3
13,0,0,0,0,0.0,530,0.0,0.0,0.0,0.0,157,0,0,0.0,0.0,2022-11-12T15:00:00Z,0,16,0,0,0,0,16,0,5225,0,0,1,0.0,0,-107,18,125,44,False,0,2,2
14,0,0,5,0,0.0,530,0.0,0.0,0.0,1.81,165,2,0,0.7,7.4,2022-12-26T15:00:00Z,30,9,0,0,0,0,17,0,5287,0,3,0,0.0,0,12,227,215,44,True,0,2,2
15,0,0,0,0,0.0,530,0.0,0.0,0.0,0.0,171,0,0,0.0,0.0,2022-12-31T15:00:00Z,0,3,0,0,0,0,18,0,5315,0,2,0,0.0,0,-11,55,66,44,False,0,2,2
16,0,0,0,0,0.0,530,0.0,0.0,0.0,0.0,185,0,0,0.0,0.0,2023-01-04T20:00:00Z,0,18,0,0,0,0,19,0,5315,0,4,0,0.0,0,-25,36,61,44,True,0,2,3
17,0,0,0,0,0.0,530,0.0,0.0,0.0,0.0,194,0,0,0.0,0.0,2023-01-15T14:00:00Z,0,6,0,0,0,0,20,0,5368,0,0,1,0.0,0,-18,54,72,44,False,0,2,4
18,0,0,12,0,0.1,530,0.0,0.02,0.02,2.1,63,1,0,2.4,19.2,2023-01-18T20:00:00Z,90,14,0,0,0,0,20,0,5368,1,1,1,5.0,2,-18,54,72,44,True,0,2,3
19,0,0,21,1,0.0,530,0.0,0.09,0.09,1.41,203,0,0,2.2,16.4,2023-01-21T17:30:00Z,90,15,0,0,0,0,21,0,5511,1,0,0,6.0,6,91,150,59,44,True,0,2,3
20,0,0,12,0,0.8,530,0.0,0.53,0.53,2.04,216,2,0,2.2,14.0,2023-02-04T15:00:00Z,90,14,0,0,0,0,22,0,6009,1,1,2,7.0,1,362,485,123,44,False,0,2,4
21,0,0,0,0,0.0,530,0.0,0.0,0.0,0.0,223,0,0,0.0,0.0,2023-02-11T15:00:00Z,0,5,0,0,0,0,23,0,6380,0,1,1,0.0,0,322,425,103,44,True,0,2,3
22,0,0,4,0,0.5,530,0.0,0.0,0.0,0.38,232,1,0,0.4,3.8,2023-02-18T15:00:00Z,8,4,0,0,0,0,24,0,5962,0,1,1,0.0,1,-424,22,446,44,False,0,2,3
23,0,0,0,0,0.0,530,0.0,0.0,0.0,0.0,242,0,0,0.0,0.0,2023-02-25T19:45:00Z,0,12,0,0,0,0,25,0,5968,0,0,0,0.0,0,-37,87,124,44,True,0,2,4
24,0,0,0,0,0.0,530,0.0,0.0,0.0,0.0,252,0,0,0.0,0.0,2023-03-04T15:00:00Z,0,2,0,0,0,0,26,0,5963,0,0,1,0.0,0,-38,61,99,44,False,0,2,2
25,0,0,0,0,0.0,530,0.0,0.0,0.0,0.0,262,0,0,0.0,0.0,2023-03-11T17:30:00Z,0,13,0,0,0,0,27,0,5952,0,1,0,0.0,0,-38,48,86,44,True,0,2,5
26,0,0,0,0,0.0,530,0.0,0.0,0.0,0.0,73,0,0,0.0,0.0,2023-03-15T19:30:00Z,0,5,0,0,0,0,27,0,5952,0,0,1,0.0,0,-38,48,86,44,False,0,2,3
27,0,0,0,0,0.0,530,0.0,0.0,0.0,0.0,271,0,0,0.0,0.0,2023-03-19T14:00:00Z,0,1,0,0,0,0,28,0,5936,0,1,4,0.0,0,-46,34,80,44,False,0,2,4
28,0,0,0,0,0.0,530,0.0,0.0,0.0,0.0,285,0,0,0.0,0.0,2023-04-01T14:00:00Z,0,10,0,0,0,0,29,0,5876,0,1,2,0.0,0,-100,26,126,44,True,0,2,3
29,0,0,0,0,0.0,530,0.0,0.0,0.0,0.0,294,0,0,0.0,0.0,2023-04-09T13:00:00Z,0,11,0,0,0,0,30,0,5805,0,5,1,0.0,0,-75,15,90,44,False,0,2,2
30,0,0,0,0,0.0,530,0.0,0.0,0.0,0.0,307,0,0,0.0,0.0,2023-04-15T14:00:00Z,0,17,0,0,0,0,31,0,5775,0,2,0,0.0,0,-33,27,60,44,False,0,2,2
31,0,0,0,0,0.0,530,0.0,0.0,0.0,0.0,315,0,0,0.0,0.0,2023-04-22T14:00:00Z,0,8,0,0,0,0,32,0,5865,0,0,0,0.0,0,44,82,38,44,True,0,2,2
