Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,gw,season,player
0,0,0,0,0,0,0,0.0,685,0.0,0.0,0.0,0.0,28,0,0,0.0,0.0,2023-08-26T14:00:00Z,0,16,0,0,0,0,3,0,0,0,2,3,0.0,0,0,0,0,45,True,0,4,2,3,2023-24,Daniel_Gore
1,1,1,0,0,0,0,0.0,685,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,2023-09-03T15:30:00Z,0,1,0,0,0,0,4,0,99,0,1,3,0.0,0,27,36,9,45,False,0,3,4,4,2023-24,Daniel_Gore
2,2,2,0,0,0,0,0.0,685,0.0,0.0,0.0,0.0,45,0,0,0.0,0.0,2023-09-16T14:00:00Z,0,5,0,0,0,0,5,0,276,0,3,1,0.0,0,52,72,20,45,True,0,4,3,5,2023-24,Daniel_Gore
3,3,3,0,0,0,0,0.0,685,0.0,0.0,0.0,0.0,54,0,0,0.0,0.0,2023-09-23T19:00:00Z,0,6,0,0,0,0,6,0,319,0,1,0,0.0,0,15,52,37,45,False,0,3,2,6,2023-24,Daniel_Gore
4,4,4,0,0,0,0,0.0,685,0.0,0.0,0.0,0.0,65,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,8,0,0,0,0,7,0,378,0,1,0,0.0,0,25,67,42,45,True,0,4,2,7,2023-24,Daniel_Gore
5,5,5,0,0,0,0,0.0,685,0.0,0.0,0.0,0.0,78,0,0,0.0,0.0,2023-10-07T14:00:00Z,0,4,0,0,0,0,8,0,446,0,1,2,0.0,0,13,69,56,45,True,0,4,3,8,2023-24,Daniel_Gore
6,6,6,0,0,0,0,0.0,685,0.0,0.0,0.0,0.0,89,0,0,0.0,0.0,2023-10-21T19:00:00Z,0,17,0,0,0,0,9,0,486,0,2,1,0.0,0,-5,35,40,45,False,0,3,2,9,2023-24,Daniel_Gore
7,7,7,0,0,0,0,0.0,685,0.0,0.0,0.0,0.0,98,0,0,0.0,0.0,2023-10-29T15:30:00Z,0,13,0,0,0,0,10,0,524,0,3,0,0.0,0,13,58,45,45,True,0,4,5,10,2023-24,Daniel_Gore
8,8,8,0,0,0,0,0.0,685,0.0,0.0,0.0,0.0,104,0,0,0.0,0.0,2023-11-04T12:30:00Z,0,10,0,0,0,0,11,0,593,0,1,0,0.0,0,33,80,47,45,False,0,3,2,11,2023-24,Daniel_Gore
9,9,9,0,0,0,0,0.0,685,0.0,0.0,0.0,0.0,118,0,0,0.0,0.0,2023-11-11T15:00:00Z,0,12,0,0,0,0,12,0,594,0,0,1,0.0,0,-13,40,53,45,True,0,4,2,12,2023-24,Daniel_Gore
10,10,10,0,0,0,0,0.0,685,0.0,0.0,0.0,0.0,123,0,0,0.0,0.0,2023-11-26T16:30:00Z,0,9,0,0,0,0,13,0,624,0,3,0,0.0,0,7,54,47,45,False,0,3,2,13,2023-24,Daniel_Gore
11,11,11,0,0,0,0,0.0,685,0.0,0.0,0.0,0.0,138,0,0,0.0,0.0,2023-12-02T20:00:00Z,0,15,0,0,0,0,14,0,641,0,0,1,0.0,0,13,49,36,45,False,0,3,4,14,2023-24,Daniel_Gore
12,12,12,0,0,0,0,0.0,685,0.0,0.0,0.0,0.0,150,0,0,0.0,0.0,2023-12-06T20:15:00Z,0,7,0,0,0,0,15,0,644,0,1,2,0.0,0,-5,26,31,45,True,0,4,3,15,2023-24,Daniel_Gore
13,13,13,0,0,0,0,0.0,685,0.0,0.0,0.0,0.0,157,0,0,0.0,0.0,2023-12-09T15:00:00Z,0,3,0,0,0,0,16,0,644,0,3,0,0.0,0,-14,15,29,45,True,0,4,2,16,2023-24,Daniel_Gore
14,14,14,0,0,0,0,0.0,685,0.0,0.0,0.0,0.0,166,0,0,0.0,0.0,2023-12-17T16:30:00Z,0,11,0,0,0,0,17,0,676,0,0,0,0.0,0,-1,28,29,45,False,0,3,5,17,2023-24,Daniel_Gore
15,15,15,0,0,0,0,0.0,685,0.0,0.0,0.0,0.0,179,0,0,0.0,0.0,2023-12-23T12:30:00Z,0,19,0,0,0,0,18,0,671,0,0,2,0.0,0,-17,13,30,45,False,0,3,3,18,2023-24,Daniel_Gore
16,16,16,0,0,5,0,0.0,685,0.0,0.0,0.0,0.0,188,0,0,0.3,3.0,2023-12-26T20:00:00Z,1,2,0,0,0,0,19,0,674,0,2,3,0.0,1,-10,10,20,45,True,0,4,3,19,2023-24,Daniel_Gore
17,17,17,0,0,0,0,0.0,685,0.0,0.0,0.0,0.0,197,0,0,0.0,0.0,2023-12-30T17:30:00Z,0,16,0,0,0,0,20,0,683,0,1,2,0.0,0,-7,20,27,45,False,0,3,2,20,2023-24,Daniel_Gore
18,18,18,0,0,0,0,0.0,685,0.0,0.0,0.0,0.0,208,0,0,0.0,0.0,2024-01-14T16:30:00Z,0,18,0,0,0,0,21,0,681,0,2,2,0.0,0,-20,24,44,45,True,0,4,3,21,2023-24,Daniel_Gore
19,19,19,0,0,0,0,0.0,685,0.0,0.0,0.0,0.0,218,0,0,0.0,0.0,2024-02-01T20:15:00Z,0,20,0,0,0,0,22,0,675,0,4,3,0.0,0,-21,14,35,45,False,0,3,2,22,2023-24,Daniel_Gore
20,20,20,0,0,0,0,0.0,685,0.0,0.0,0.0,0.0,228,0,0,0.0,0.0,2024-02-04T14:00:00Z,0,19,0,0,0,0,23,0,659,0,0,3,0.0,0,-17,0,17,45,True,0,4,2,23,2023-24,Daniel_Gore
