Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR
0,0,0,3,0,1.3,293,0.02,0.06,0.04,0.24,9,0,0,1.2,2.2,2023-08-13T15:30:00Z,24,7,0,0,0,0,1,0,1153451,0,1,1,8.0,1,0,0,0,75,False,0,4,3
1,0,0,5,0,0.0,293,0.0,0.0,0.0,0.28,14,0,0,0.2,2.2,2023-08-19T14:00:00Z,4,3,0,0,0,0,2,0,1106632,0,1,3,0.0,1,-143608,67659,211267,75,True,0,5,2
2,0,3,50,0,0.3,293,0.09,0.61,0.52,0.4,29,0,2,10.2,65.2,2023-08-27T15:30:00Z,13,15,0,0,0,0,3,0,695498,0,2,1,36.0,11,-424333,12547,436880,73,False,1,4,4
3,2,0,16,1,13.2,293,0.01,1.15,1.14,0.57,37,0,0,5.1,11.6,2023-09-03T13:00:00Z,64,2,0,0,0,0,4,0,901420,1,0,3,26.0,8,141487,208975,67488,73,True,0,5,3
4,0,0,-2,0,2.5,293,0.23,0.4,0.17,0.23,50,0,0,2.9,2.6,2023-09-16T11:30:00Z,34,20,0,0,0,0,5,0,1198651,0,3,1,24.0,1,244378,331927,87549,74,False,0,4,2
5,0,0,23,0,5.9,293,0.01,0.9,0.89,1.09,57,1,1,9.4,38.4,2023-09-24T13:00:00Z,80,19,0,0,0,0,6,0,1102629,1,1,3,50.0,6,-97254,68891,166145,74,True,0,5,2
6,0,0,0,0,0.0,293,0.0,0.0,0.0,0.0,68,0,0,0.0,0.0,2023-09-30T16:30:00Z,0,18,0,0,0,0,7,0,1287096,0,1,2,0.0,0,158759,225682,66923,74,False,0,4,3
7,1,0,14,0,23.1,293,0.38,0.49,0.11,2.3,72,2,0,7.2,19.4,2023-10-08T13:00:00Z,90,5,0,0,0,0,8,0,1247706,1,2,2,29.0,5,-45037,140442,185479,74,False,0,4,3
8,1,0,17,0,11.5,293,0.08,0.1,0.02,0.03,85,0,0,5.1,22.4,2023-10-21T11:30:00Z,28,9,0,0,0,0,9,0,1348856,0,0,2,17.0,4,85504,167134,81630,74,True,0,5,2
9,1,1,29,1,14.4,293,0.02,1.17,1.15,0.13,97,0,1,13.4,37.2,2023-10-29T14:00:00Z,79,16,0,0,0,0,10,0,1334977,1,0,3,82.0,10,-16756,117451,134207,74,True,0,5,2
10,0,0,-4,0,15.2,293,0.01,0.91,0.9,0.81,105,1,0,8.9,7.8,2023-11-05T16:30:00Z,90,12,0,0,0,0,11,0,1623608,1,1,1,66.0,2,266938,304368,37430,75,False,0,4,2
11,1,0,19,1,25.8,293,0.11,0.32,0.21,1.57,117,0,0,9.9,38.4,2023-11-12T14:00:00Z,90,4,0,0,0,0,12,0,1674014,1,0,3,35.0,5,47015,136406,89391,75,True,0,5,3
12,0,0,-5,0,2.2,293,0.03,0.46,0.43,1.07,126,1,0,4.5,2.8,2023-11-25T12:30:00Z,84,13,0,0,0,0,13,0,1743271,1,1,1,40.0,1,59507,144014,84507,76,False,1,4,5
13,0,0,-2,0,14.8,293,0.06,0.37,0.31,1.22,136,3,0,4.8,0.0,2023-12-03T14:00:00Z,90,10,0,0,0,0,14,0,2034313,1,3,4,33.0,2,278670,364391,85721,76,True,0,5,2
14,1,0,7,0,10.8,293,0.06,0.4,0.34,0.41,147,0,0,5.0,22.2,2023-12-06T19:30:00Z,23,17,0,0,0,0,15,0,1997253,0,2,0,17.0,3,-35611,73421,109032,77,False,1,4,2
15,0,0,-1,0,3.6,293,0.01,0.49,0.48,1.4,153,1,0,1.3,0.0,2023-12-09T12:30:00Z,73,8,0,0,0,0,16,0,1879169,1,2,1,11.0,2,-118223,33850,152073,77,False,0,4,2
16,0,0,2,1,42.0,293,0.35,0.58,0.23,0.63,166,0,0,7.4,6.0,2023-12-17T16:30:00Z,77,14,0,0,0,0,17,0,1731650,1,0,0,26.0,1,-150170,55443,205613,76,True,1,5,3
17,0,0,6,0,0.6,293,0.02,0.06,0.04,0.09,174,0,0,0.9,2.0,2023-12-23T17:30:00Z,22,1,0,0,0,0,18,0,1558128,0,1,1,6.0,1,-174320,29239,203559,75,True,0,5,4
18,0,2,32,1,34.0,293,0.1,0.19,0.09,0.6,185,0,1,10.3,42.6,2023-12-26T17:30:00Z,83,6,0,0,0,0,19,0,1445656,1,2,0,26.0,8,-124421,26154,150575,75,False,0,4,2
19,1,0,6,0,22.3,293,0.62,2.29,1.67,0.32,194,1,0,16.4,28.8,2024-01-01T20:00:00Z,63,15,0,0,0,0,20,0,1404377,1,2,4,113.0,5,-46519,39266,85785,75,True,0,5,3
20,0,2,52,1,39.5,293,0.4,1.26,0.86,1.39,202,0,2,19.3,86.8,2024-01-21T16:30:00Z,90,3,0,0,0,0,21,0,1548189,1,4,0,67.0,11,118164,236811,118647,74,False,1,4,2
21,1,0,-1,0,17.9,293,0.29,1.74,1.45,0.56,219,1,0,13.2,23.6,2024-01-31T20:15:00Z,90,7,0,1,0,0,22,0,1707314,1,1,4,90.0,2,161041,219762,58721,75,True,1,5,3
22,0,0,0,0,0.1,293,0.0,0.02,0.02,1.42,221,2,0,1.0,4.2,2024-02-04T16:30:00Z,32,1,0,0,0,0,23,0,1529389,0,1,3,6.0,0,-171564,40135,211699,75,False,1,4,4
0,1,1,31,0,20.6,297,0.1,0.66,0.56,0.92,4,1,1,18.6,53.2,2022-08-06T11:30:00Z,39,9,0,0,0,0,1,0,1572141,0,2,2,112.0,9,0,0,0,90,False,0,4,2
1,0,0,-15,0,1.1,297,0.09,0.78,0.69,1.6,16,1,0,3.5,0.0,2022-08-15T19:00:00Z,56,7,0,0,0,1,2,0,2233745,1,1,1,44.0,-2,251913,328473,76560,91,True,0,4,2
2,0,0,0,0,0.0,297,0.0,0.0,0.0,0.0,27,0,0,0.0,0.0,2022-08-22T19:00:00Z,0,14,0,0,0,0,3,0,994216,0,1,2,0.0,0,-1211928,77679,1289607,90,False,0,4,4
3,0,0,0,0,0.0,297,0.0,0.0,0.0,0.0,36,0,0,0.0,0.0,2022-08-27T14:00:00Z,0,3,0,0,0,0,4,0,735464,0,0,9,0.0,0,-309331,8504,317835,89,True,0,4,2
4,0,0,0,0,0.0,297,0.0,0.0,0.0,0.0,48,0,0,0.0,0.0,2022-08-31T19:00:00Z,0,15,0,0,0,0,5,0,650693,0,1,2,0.0,0,-95860,12644,108504,89,True,0,4,3
5,0,0,2,1,21.3,297,0.05,0.59,0.54,1.63,55,0,0,9.7,4.2,2022-09-03T11:30:00Z,79,8,0,0,0,0,6,0,772463,1,0,0,71.0,2,91719,157456,65737,89,False,0,4,2
6,0,0,1,0,0.0,297,0.0,0.09,0.09,0.0,87,0,0,0.1,0.0,2022-10-01T14:00:00Z,1,5,0,0,0,0,9,0,667495,0,3,3,4.0,1,-15028,33207,48235,89,True,0,4,3
7,0,0,21,0,0.9,297,0.01,0.61,0.6,3.09,91,3,1,8.6,36.6,2022-10-09T15:30:00Z,90,1,0,0,0,0,10,0,574922,1,2,3,48.0,6,-91848,9164,101012,88,False,0,4,4
8,0,0,2,0,10.3,297,0.54,0.87,0.33,0.17,106,0,0,2.5,0.0,2022-10-16T15:30:00Z,18,13,0,0,0,0,11,0,589337,0,0,1,15.0,1,8781,33417,24636,88,True,0,4,5
9,0,0,23,0,2.9,297,0.01,0.47,0.46,1.09,118,0,1,10.1,33.2,2022-10-19T18:30:00Z,56,19,0,0,0,0,12,0,704853,1,0,1,65.0,5,50021,71897,21876,88,True,0,4,2
10,0,0,0,0,0.0,297,0.0,0.0,0.0,0.0,126,0,0,0.0,0.0,2022-10-22T11:30:00Z,0,16,0,0,0,0,13,0,724351,0,0,1,0.0,0,81270,145220,63950,88,False,0,4,2
11,0,0,5,0,42.9,297,0.08,0.45,0.37,1.77,138,2,0,9.4,10.2,2022-10-29T18:45:00Z,90,11,0,0,0,0,14,0,773193,1,2,1,41.0,2,45840,104296,58456,88,True,0,4,2
12,1,2,24,0,25.6,297,0.21,0.59,0.38,1.11,148,1,0,9.4,26.6,2022-11-06T16:30:00Z,86,18,0,0,0,0,15,0,813042,1,2,1,42.0,7,35416,93757,58341,89,False,0,4,4
13,0,3,62,0,27.0,297,0.27,0.98,0.71,1.05,154,1,2,16.1,77.4,2022-11-12T15:00:00Z,86,17,0,0,0,0,16,0,1115008,1,1,3,57.0,13,295459,328367,32908,90,True,0,4,2
14,0,0,-10,0,10.8,297,0.06,1.21,1.15,1.16,162,1,0,9.9,8.0,2022-12-26T17:30:00Z,87,2,0,0,0,0,17,0,1916365,1,3,1,80.0,2,788838,1200809,411971,90,False,0,4,2
15,1,0,9,0,24.5,297,0.1,0.78,0.68,0.99,174,1,0,10.6,9.2,2022-12-30T20:00:00Z,90,10,0,0,0,0,18,0,1839309,1,1,2,72.0,5,-76701,85078,161779,90,True,0,4,3
16,0,0,-4,0,2.3,297,0.01,0.81,0.8,1.97,183,3,0,7.1,0.4,2023-01-02T17:30:00Z,90,4,0,0,0,0,19,0,1728272,1,1,3,68.0,1,-113998,91400,205398,90,False,1,4,3
17,0,0,0,0,0.0,297,0.0,0.0,0.0,0.0,193,0,0,0.0,0.0,2023-01-14T15:00:00Z,0,5,0,0,0,0,20,0,1191377,0,0,3,0.0,0,-528624,55259,583883,89,False,0,4,3
18,0,0,6,0,11.0,297,0.08,0.12,0.04,0.33,207,0,0,4.3,9.4,2023-01-21T12:30:00Z,27,6,0,0,0,0,21,0,948302,0,0,0,23.0,1,-256152,13306,269458,88,True,0,4,3
19,0,0,-1,0,12.3,297,0.07,0.71,0.64,2.09,220,3,0,6.9,4.6,2023-02-04T15:00:00Z,90,20,0,0,0,0,22,0,883897,1,0,3,52.0,2,-69420,35483,104903,88,False,0,4,2
20,1,0,19,1,21.8,297,0.06,0.45,0.39,0.2,227,0,0,8.2,19.8,2023-02-13T20:00:00Z,69,8,0,0,0,0,23,0,838045,1,0,2,40.0,5,-47210,19091,66301,87,True,0,4,2
21,0,0,26,0,0.9,297,0.02,0.65,0.63,1.51,237,0,1,7.3,34.4,2023-02-18T17:30:00Z,58,15,0,0,0,0,24,0,859272,1,2,0,38.0,5,18775,47749,28974,87,False,0,4,4
22,0,0,0,0,0.0,297,0.0,0.0,0.0,0.0,242,0,0,0.0,0.0,2023-02-25T19:45:00Z,0,7,0,0,0,0,25,0,1729882,0,0,0,0.0,0,599298,630824,31526,87,False,0,4,2
23,0,0,8,1,32.1,297,0.37,0.64,0.27,0.93,67,0,0,5.6,4.0,2023-03-01T20:00:00Z,88,20,0,0,0,0,25,0,1729882,1,0,2,20.0,2,599298,630824,31526,87,True,0,4,2
24,0,2,47,1,1.3,297,0.03,0.95,0.92,0.88,256,0,2,13.6,63.2,2023-03-05T16:30:00Z,77,14,0,0,0,0,26,0,1183483,1,0,7,71.0,12,-274432,37632,312064,88,True,0,4,3
25,0,0,3,0,2.1,297,0.02,0.05,0.03,0.8,261,1,0,2.5,7.6,2023-03-11T12:30:00Z,65,3,0,0,0,0,27,0,1300181,1,0,1,15.0,2,106524,191656,85132,88,False,0,4,2
26,0,0,1,0,0.0,297,0.0,0.0,0.0,0.68,287,1,0,0.0,0.0,2023-04-01T11:30:00Z,20,13,0,0,0,0,29,0,1057741,0,1,4,0.0,1,-17218,68718,85936,88,False,0,4,5
27,0,0,4,1,15.5,297,0.06,0.09,0.03,2.09,74,0,0,5.6,14.0,2023-04-04T19:00:00Z,78,6,0,0,0,0,29,0,1057741,1,0,0,26.0,2,-17218,68718,85936,88,False,0,4,4
28,0,0,3,0,11.1,297,0.38,0.79,0.41,0.2,296,0,0,4.0,5.6,2023-04-09T15:30:00Z,30,1,0,0,0,0,30,0,960200,0,2,2,23.0,1,-94553,10538,105091,87,True,0,4,4
29,0,0,27,0,1.4,297,0.0,0.39,0.39,0.02,304,0,1,5.1,33.0,2023-04-17T19:00:00Z,9,11,0,0,0,0,31,0,911911,0,6,1,17.0,5,-49567,11937,61504,87,False,0,4,2
30,0,0,-3,0,0.8,297,0.0,0.27,0.27,0.62,318,1,0,0.8,0.0,2023-04-22T14:00:00Z,30,16,0,0,0,0,32,0,930129,0,2,3,9.0,1,13452,43131,29679,87,True,0,4,2
31,0,0,2,0,0.6,297,0.0,0.0,0.0,0.21,326,0,0,0.1,0.0,2023-04-26T18:45:00Z,12,19,0,0,0,0,33,0,862200,0,2,1,0.0,1,-64854,7453,72307,86,False,0,4,3
32,0,0,4,0,0.1,297,0.0,0.0,0.0,0.75,338,2,0,0.2,2.2,2023-04-30T15:30:00Z,17,18,0,0,0,0,34,0,888690,0,3,4,0.0,1,17950,57037,39087,86,True,0,4,3
33,1,0,11,1,23.1,297,0.03,0.13,0.1,0.57,276,0,0,3.7,0.0,2023-05-03T19:00:00Z,82,9,0,0,0,0,34,0,888690,1,0,1,14.0,5,17950,57037,39087,86,True,0,4,2
34,0,0,2,1,12.6,297,0.01,0.68,0.67,0.19,344,0,0,2.5,1.4,2023-05-06T16:30:00Z,64,4,0,0,0,0,35,0,837460,1,0,1,11.0,2,-44335,10544,54879,86,True,0,4,3
35,0,0,0,0,0.0,297,0.0,0.0,0.0,0.0,358,0,0,0.0,0.0,2023-05-15T19:00:00Z,0,10,0,0,0,0,36,0,798626,0,3,0,0.0,0,-39269,3749,43018,86,False,0,4,3
36,0,0,0,0,0.0,297,0.0,0.0,0.0,0.0,364,0,0,0.0,0.0,2023-05-20T14:00:00Z,0,2,0,0,0,0,37,0,753563,0,1,1,0.0,0,-43708,1802,45510,86,True,0,4,2
37,0,0,0,0,0.0,297,0.0,0.0,0.0,0.0,380,0,0,0.0,0.0,2023-05-28T15:30:00Z,0,17,0,0,0,0,38,0,735886,0,4,4,0.0,0,-19221,1182,20403,86,False,0,4,2
