Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR
0,0,0,3,0,12.9,294,0.01,0.08,0.07,1.04,9,1,0,2.6,3.2,2023-08-13T15:30:00Z,65,7,0,0,0,0,1,0,238521,1,1,1,10.0,1,0,0,0,80,False,1,4,3
1,1,2,33,0,22.9,294,0.12,0.81,0.69,0.45,14,1,1,16.1,39.8,2023-08-19T14:00:00Z,75,3,0,0,0,0,2,0,267516,1,1,3,98.0,12,-2050,29834,31884,80,True,0,5,2
2,1,0,12,0,14.3,294,0.14,0.14,0.0,0.75,29,0,0,2.4,1.6,2023-08-27T15:30:00Z,32,15,0,0,0,0,3,0,317146,0,2,1,8.0,4,27710,70798,43088,80,False,0,4,4
3,0,0,4,0,1.2,294,0.01,0.01,0.0,0.08,37,0,0,0.5,4.0,2023-09-03T13:00:00Z,25,2,0,0,0,0,4,0,294870,0,0,3,0.0,1,-28671,25857,54528,80,True,0,5,3
4,0,0,6,0,3.5,294,0.1,0.24,0.14,0.4,50,1,0,1.7,3.0,2023-09-16T11:30:00Z,55,20,0,0,0,0,5,0,255416,1,3,1,10.0,1,-47577,30695,78272,79,False,0,4,2
5,0,0,19,0,0.6,294,0.0,0.46,0.46,0.02,57,0,1,7.1,32.4,2023-09-24T13:00:00Z,9,19,0,0,0,0,6,0,211793,0,1,3,38.0,6,-44589,9935,54524,79,True,0,5,2
6,0,0,-11,0,1.0,294,0.0,0.0,0.0,1.72,68,1,0,0.0,0.0,2023-09-30T16:30:00Z,23,18,0,0,0,1,7,0,199707,0,1,2,0.0,-2,-14641,15561,30202,78,False,0,4,3
7,0,0,0,0,0.0,294,0.0,0.0,0.0,0.0,72,0,0,0.0,0.0,2023-10-08T13:00:00Z,0,5,0,0,0,0,8,0,128779,0,2,2,0.0,0,-69643,1779,71422,77,False,0,4,3
8,0,0,9,1,35.4,294,0.08,0.2,0.12,0.13,85,0,0,9.6,10.0,2023-10-21T11:30:00Z,90,9,0,0,0,0,9,0,136340,1,0,2,51.0,3,3499,15273,11774,77,True,0,5,2
9,0,0,24,0,14.6,294,0.04,0.99,0.95,0.13,97,0,1,10.8,38.4,2023-10-29T14:00:00Z,57,16,0,0,0,0,10,0,132343,1,0,3,55.0,6,-4687,8386,13073,77,True,0,5,2
10,0,0,5,1,13.1,294,0.06,0.29,0.23,0.37,105,0,0,4.4,10.2,2023-11-05T16:30:00Z,65,12,0,0,0,0,11,0,189821,1,1,1,21.0,3,53657,59407,5750,77,False,0,4,2
11,0,0,27,1,24.8,294,0.04,0.18,0.14,1.5,117,0,1,8.6,39.4,2023-11-12T14:00:00Z,83,4,0,0,0,0,12,0,190423,1,0,3,22.0,8,1908,19260,17352,77,True,0,5,3
12,0,0,0,0,10.3,294,0.0,0.0,0.0,0.56,126,1,0,1.7,4.6,2023-11-25T12:30:00Z,53,13,0,0,0,0,13,0,210933,1,1,1,2.0,1,18945,33461,14516,77,False,0,4,5
13,0,0,0,0,0.0,294,0.0,0.0,0.0,0.0,136,0,0,0.0,0.0,2023-12-03T14:00:00Z,0,10,0,0,0,0,14,0,145285,0,3,4,0.0,0,-64720,2081,66801,77,True,0,5,2
14,0,0,0,0,0.0,294,0.0,0.0,0.0,0.0,147,0,0,0.0,0.0,2023-12-06T19:30:00Z,0,17,0,0,0,0,15,0,123834,0,2,0,0.0,0,-22540,87,22627,77,False,0,4,2
15,0,0,0,0,0.0,294,0.0,0.0,0.0,0.0,153,0,0,0.0,0.0,2023-12-09T12:30:00Z,0,8,0,0,0,0,16,0,113049,0,2,1,0.0,0,-10936,100,11036,77,False,0,4,2
16,0,0,0,0,0.0,294,0.0,0.0,0.0,0.0,166,0,0,0.0,0.0,2023-12-17T16:30:00Z,0,14,0,0,0,0,17,0,106313,0,0,0,0.0,0,-6757,128,6885,77,True,0,5,3
17,0,0,0,0,0.0,294,0.0,0.0,0.0,0.0,174,0,0,0.0,0.0,2023-12-23T17:30:00Z,0,1,0,0,0,0,18,0,103412,0,1,1,0.0,0,-3125,86,3211,77,True,0,5,4
18,0,0,20,0,0.6,294,0.01,0.09,0.08,0.16,185,0,1,7.1,35.4,2023-12-26T17:30:00Z,6,6,0,0,0,0,19,0,102103,0,2,0,35.0,6,-1410,161,1571,77,False,0,4,2
19,2,0,24,0,20.7,294,0.59,0.81,0.22,0.27,194,1,0,5.4,22.6,2024-01-01T20:00:00Z,26,15,0,0,0,0,20,0,122935,0,2,4,11.0,7,19295,21392,2097,77,True,0,5,3
20,1,3,55,1,20.3,294,0.39,0.53,0.14,0.95,202,0,2,15.3,88.2,2024-01-21T16:30:00Z,90,3,0,0,0,0,21,0,638358,1,4,0,44.0,19,490449,548570,58121,78,False,0,4,2
