Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,own_FDR,opp_FDR,gw,season,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,player
0,0,0,0.0,0,37.0,1.0,0.0,0,18,0,4.0,31.0,38.6,0.0,0.0,534,0.0,0.0,32,1.0,2,0,6.2,2117.0,12.8,2.0,2018-09-02T15:00:00Z,02 Sep 16:00,0.0,0.0,79,0.0,2.0,14,0,0.0,0,0,4.0,0,4,0,0,1.0,2.0,1.0,2,0,11.0,1,0,0,0,45,True,0.0,1,3,4,4,2018-19,,,,,,Dwight_McNeil
1,1,1,1.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,534,0.0,0.0,50,0.0,0,0,0.0,2654.0,0.0,0.0,2018-09-16T12:30:00Z,16 Sep 13:30,0.0,0.0,0,0.0,0.0,20,0,0.0,0,0,0.0,0,5,0,360,0.0,0.0,0.0,0,1,0.0,0,227,355,128,45,False,0.0,0,2,3,5,2018-19,,,,,,Dwight_McNeil
2,2,2,2.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,534,0.0,0.0,53,0.0,0,0,0.0,3191.0,0.0,0.0,2018-09-22T14:00:00Z,22 Sep 15:00,0.0,0.0,0,0.0,0.0,2,0,0.0,0,0,0.0,0,6,0,384,0.0,0.0,0.0,0,4,0.0,0,11,73,62,45,True,0.0,0,3,2,6,2018-19,,,,,,Dwight_McNeil
3,3,3,3.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,534,0.0,0.0,63,0.0,0,0,0.0,3729.0,0.0,0.0,2018-09-30T15:00:00Z,30 Sep 16:00,0.0,0.0,0,0.0,0.0,5,0,0.0,0,0,0.0,0,7,0,384,0.0,0.0,0.0,2,1,0.0,0,-14,48,62,45,False,0.0,0,2,2,7,2018-19,,,,,,Dwight_McNeil
4,4,4,4.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,534,0.0,0.0,72,0.0,0,0,0.0,4268.0,0.0,0.0,2018-10-06T14:00:00Z,06 Oct 15:00,0.0,0.0,0,0.0,0.0,10,0,0.0,0,0,0.0,0,8,0,408,0.0,0.0,0.0,1,1,0.0,0,4,53,49,45,True,0.0,0,3,2,8,2018-19,,,,,,Dwight_McNeil
5,5,5,5.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,534,0.0,0.0,87,0.0,0,0,0.0,4810.0,0.0,0.0,2018-10-20T14:00:00Z,20 Oct 15:00,0.0,0.0,0,0.0,0.0,13,0,0.0,0,0,0.0,0,9,0,414,0.0,0.0,0.0,0,5,0.0,0,-14,38,52,45,False,0.0,0,2,5,9,2018-19,,,,,,Dwight_McNeil
6,6,6,6.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,534,0.0,0.0,92,0.0,0,0,0.0,5356.0,0.0,0.0,2018-10-28T13:30:00Z,28 Oct 13:30,0.0,0.0,0,0.0,0.0,6,0,0.0,0,0,0.0,0,10,0,422,0.0,0.0,0.0,4,0,0.0,0,2,29,27,45,True,0.0,0,3,4,10,2018-19,,,,,,Dwight_McNeil
7,7,7,7.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,534,0.0,0.0,109,0.0,0,0,0.0,5904.0,0.0,0.0,2018-11-03T15:00:00Z,03 Nov 15:00,0.0,0.0,0,0.0,0.0,19,0,0.0,0,0,0.0,0,11,0,417,0.0,0.0,0.0,2,4,0.0,0,-18,36,54,45,False,0.0,0,2,3,11,2018-19,,,,,,Dwight_McNeil
8,8,8,8.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,534,0.0,0.0,116,0.0,0,0,0.0,6454.0,0.0,0.0,2018-11-10T15:00:00Z,10 Nov 15:00,0.0,0.0,0,0.0,0.0,11,0,0.0,0,0,0.0,0,12,0,423,0.0,0.0,0.0,0,0,0.0,0,-4,31,35,45,False,0.0,0,2,3,12,2018-19,,,,,,Dwight_McNeil
9,9,9,9.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,534,0.0,0.0,123,0.0,0,0,0.0,7006.0,0.0,0.0,2018-11-26T20:30:00Z,26 Nov 20:30,0.0,0.0,0,0.0,0.0,15,0,0.0,0,0,0.0,0,13,0,434,0.0,0.0,0.0,2,1,0.0,0,-3,28,31,45,True,0.0,0,3,2,13,2018-19,,,,,,Dwight_McNeil
