Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,gw,season,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,player
0,0,0,0.0,0,0,0,0,0.0,689,222,0,0,0.0,0.0,2022-01-22T15:00:00Z,0,3,0,0,0,0,23,0,125,2,1,0.0,0,91,115,24,55,False,0,3,2,23,2021-22,,,,,,Francisco Jorge_Tomás Oliveira
1,1,1,1.0,0,0,3,0,14.8,689,236,0,0,5.7,4.6,2022-02-10T19:45:00Z,28,1,0,0,0,0,24,0,263,1,0,38.0,1,54,119,65,55,True,0,3,4,24,2021-22,,,,,,Francisco Jorge_Tomás Oliveira
2,2,2,2.0,0,0,0,0,0.0,689,249,0,0,0.0,0.0,2022-02-13T14:00:00Z,0,17,0,0,0,0,25,0,345,2,0,0.0,0,52,95,43,55,False,0,3,4,25,2021-22,,,,,,Francisco Jorge_Tomás Oliveira
3,3,3,3.0,0,0,0,0,0.0,689,260,0,0,0.0,0.0,2022-02-20T16:30:00Z,0,9,0,0,0,0,26,0,436,1,2,0.0,0,33,107,74,55,True,0,3,2,26,2021-22,,,,,,Francisco Jorge_Tomás Oliveira
4,4,4,4.0,0,0,0,0,0.0,689,191,0,0,0.0,0.0,2022-02-24T19:45:00Z,0,1,0,0,0,0,26,0,436,1,2,0.0,0,33,107,74,55,False,0,3,4,26,2021-22,,,,,,Francisco Jorge_Tomás Oliveira
5,5,5,5.0,0,0,0,0,0.0,689,270,0,0,0.0,0.0,2022-02-27T14:00:00Z,0,19,0,0,0,0,27,0,439,0,1,0.0,0,-22,44,66,55,False,0,3,3,27,2021-22,,,,,,Francisco Jorge_Tomás Oliveira
6,6,6,6.0,0,0,-2,0,0.3,689,280,0,0,3.4,1.0,2022-03-05T15:00:00Z,11,7,0,0,0,0,28,0,467,2,0,33.0,1,-24,49,73,55,True,0,3,2,28,2021-22,,,,,,Francisco Jorge_Tomás Oliveira
7,7,7,7.0,1,0,12,0,10.3,689,190,0,0,3.0,17.2,2022-03-10T19:30:00Z,8,18,0,0,0,0,28,0,467,0,4,2.0,4,-24,49,73,55,True,0,3,2,28,2021-22,,,,,,Francisco Jorge_Tomás Oliveira
8,8,8,8.0,0,0,0,0,0.0,689,286,0,0,0.0,0.0,2022-03-13T14:00:00Z,0,8,0,0,0,0,29,0,515,1,0,0.0,0,3,66,63,55,False,0,3,2,29,2021-22,,,,,,Francisco Jorge_Tomás Oliveira
9,9,9,9.0,0,0,5,0,4.0,689,300,0,0,0.9,5.0,2022-03-18T20:00:00Z,1,10,0,0,0,0,30,0,746,3,2,0.0,1,84,133,49,55,True,0,3,2,30,2021-22,,,,,,Francisco Jorge_Tomás Oliveira
