Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,gw,season,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,player
0,0,0,0.0,0,0,4,0,0.0,554,22,0,0,0.0,0.0,2020-09-28T16:45:00Z,13,8,0,0,0,0,3,0,0,3,0,0.0,1,0,0,0,45,False,0,2,2,3,2020-21,,,,,,Jacob_Ramsey
1,1,1,1.0,0,0,0,0,0.0,554,30,0,0,0.0,0.0,2020-10-04T18:15:00Z,0,11,0,0,0,0,4,0,1317,2,7,0.0,0,745,944,199,45,True,0,3,4,4,2020-21,,,,,,Jacob_Ramsey
2,2,2,2.0,0,0,0,0,0.0,554,43,0,0,0.0,0.0,2020-10-18T18:15:00Z,0,9,0,0,0,0,5,0,2710,1,0,0.0,0,595,1160,565,45,False,0,2,4,5,2020-21,,,,,,Jacob_Ramsey
3,3,3,3.0,0,0,0,0,0.0,554,50,0,0,0.0,0.0,2020-10-23T19:00:00Z,0,10,0,0,0,0,6,0,4020,3,0,0.0,0,837,1451,614,45,True,0,3,3,6,2020-21,,,,,,Jacob_Ramsey
4,4,4,4.0,0,0,0,0,0.0,554,59,0,0,0.0,0.0,2020-11-01T12:00:00Z,0,16,0,0,0,0,7,0,4690,4,3,0.0,0,312,1005,693,45,True,0,3,2,7,2020-21,,,,,,Jacob_Ramsey
5,5,5,5.0,0,0,0,0,0.0,554,69,0,0,0.0,0.0,2020-11-08T19:15:00Z,0,1,0,0,0,0,8,0,4819,3,0,0.0,0,-75,658,733,45,False,0,2,4,8,2020-21,,,,,,Jacob_Ramsey
6,6,6,6.0,0,0,0,0,0.0,554,79,0,0,0.0,0.0,2020-11-21T15:00:00Z,0,3,0,0,0,0,9,0,5233,2,1,0.0,0,1,786,785,45,True,0,3,3,9,2020-21,,,,,,Jacob_Ramsey
7,7,7,7.0,0,0,0,0,0.0,554,98,0,0,0.0,0.0,2020-11-30T20:00:00Z,0,19,0,0,0,0,10,0,5517,1,2,0.0,0,71,557,486,45,False,0,2,4,10,2020-21,,,,,,Jacob_Ramsey
8,8,8,8.0,0,0,3,1,12.8,554,118,0,0,3.0,4.8,2020-12-12T12:30:00Z,90,20,0,0,0,0,12,0,5731,1,0,12.0,3,56,512,456,45,False,0,2,3,12,2020-21,,,,,,Jacob_Ramsey
9,9,9,9.0,0,0,0,0,0.0,554,120,0,0,0.0,0.0,2020-12-17T18:00:00Z,0,4,0,0,0,0,13,0,6574,0,0,0.0,0,645,1006,361,45,True,0,3,2,13,2020-21,,,,,,Jacob_Ramsey
10,10,10,10.0,0,0,0,0,0.0,554,138,0,0,0.0,0.0,2020-12-20T19:15:00Z,0,18,0,0,0,0,14,0,6614,3,0,0.0,0,-43,447,490,45,False,0,2,2,14,2020-21,,,,,,Jacob_Ramsey
11,11,11,11.0,0,0,3,0,0.0,554,140,0,0,0.0,0.0,2020-12-26T15:00:00Z,1,6,0,0,0,0,15,0,6981,0,3,0.0,1,85,788,703,45,True,0,3,2,15,2020-21,,,,,,Jacob_Ramsey
