Unnamed: 0,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,own_FDR,opp_FDR,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
0,0,37.0,0.0,0.0,0,10,0,1.0,29.0,13.8,2.0,0.0,233,0.0,0.0,6,0.0,1,0,5.1,233.0,8.2,1.0,2018-08-10T19:00:00Z,10 Aug 20:00,0.0,0.0,62,1.0,0.0,14,0,0.0,0,0,3.0,0,1,0,32765,1.0,0.0,0.0,1,2,29.0,2,0,0,0,65,False,0.0,0,3,4,,,,,
1,0,27.0,0.0,0.0,1,32,1,0.0,23.0,4.8,3.0,0.0,233,0.0,0.0,17,1.0,0,1,5.5,758.0,41.4,0.0,2018-08-18T14:00:00Z,18 Aug 15:00,0.0,0.0,81,0.0,0.0,20,0,0.0,0,0,3.0,0,2,0,67445,1.0,3.0,0.0,0,2,9.0,9,21819,27587,5768,65,True,0.0,0,3,3,,,,,
2,0,43.0,0.0,0.0,0,9,0,1.0,37.0,21.1,0.0,0.0,233,0.0,0.0,28,0.0,1,0,3.3,1285.0,9.6,1.0,2018-08-25T14:00:00Z,25 Aug 15:00,0.0,0.0,77,0.0,0.0,16,0,0.0,0,0,1.0,0,3,0,129282,2.0,0.0,0.0,2,1,2.0,2,52279,70670,18391,65,False,0.0,0,3,2,,,,,
3,1,45.0,1.0,0.0,0,23,0,0.0,39.0,39.4,1.0,0.0,233,0.0,0.0,37,1.0,2,0,10.9,1816.0,23.8,3.0,2018-09-01T11:30:00Z,01 Sep 12:30,0.0,0.0,82,0.0,0.0,12,0,0.0,0,0,2.0,0,4,0,127757,1.0,0.0,1.0,2,1,46.0,5,-1666,18710,20376,65,True,0.0,0,3,4,,,,,
4,0,47.0,0.0,0.0,1,32,0,2.0,39.0,40.7,0.0,0.0,233,0.0,0.0,41,1.0,4,1,15.0,2353.0,57.8,3.0,2018-09-15T14:00:00Z,15 Sep 15:00,0.0,0.0,90,0.0,0.0,2,0,0.0,0,0,6.0,0,5,0,252800,3.0,1.0,0.0,2,4,51.0,8,111040,144958,33918,66,False,0.0,0,3,3,,,,,
5,0,53.0,1.0,0.0,1,35,0,0.0,46.0,31.9,0.0,0.0,233,0.0,0.0,57,0.0,1,1,8.3,2890.0,43.0,2.0,2018-09-22T14:00:00Z,22 Sep 15:00,0.0,0.0,84,0.0,0.0,10,0,0.0,0,0,1.0,0,6,0,434666,0.0,0.0,1.0,1,3,8.0,8,173090,194162,21072,67,True,1.0,0,3,2,,,,,
6,1,52.0,0.0,0.0,0,25,1,1.0,45.0,80.5,1.0,0.0,233,0.0,0.0,68,1.0,0,0,12.3,3428.0,34.6,5.0,2018-09-29T14:00:00Z,29 Sep 15:00,0.0,0.0,84,0.0,1.0,15,0,0.0,0,0,6.0,0,7,0,721488,2.0,0.0,0.0,2,0,8.0,6,271802,289208,17406,68,False,0.0,0,3,3,,,,,
7,0,43.0,0.0,0.0,0,7,0,1.0,34.0,10.1,1.0,0.0,233,0.0,0.0,75,1.0,2,0,2.4,3967.0,3.2,0.0,2018-10-06T14:00:00Z,06 Oct 15:00,0.0,0.0,79,1.0,1.0,8,0,0.0,0,0,5.0,0,8,0,1010671,1.0,0.0,1.0,2,1,11.0,2,279587,294811,15224,69,True,0.0,0,3,2,,,,,
8,0,23.0,2.0,0.0,0,16,0,1.0,19.0,41.8,2.0,0.0,233,0.0,0.0,81,1.0,3,0,5.4,4509.0,9.2,3.0,2018-10-22T19:00:00Z,22 Oct 20:00,0.0,0.0,74,0.0,1.0,1,0,0.0,0,0,4.0,0,9,0,1040056,1.0,0.0,1.0,1,3,3.0,2,39010,118032,79022,70,False,0.0,0,3,4,,,,,
9,0,58.0,1.0,0.0,0,18,0,2.0,52.0,60.5,2.0,0.0,233,0.0,0.0,95,0.0,1,0,10.3,5055.0,18.2,4.0,2018-10-27T16:30:00Z,27 Oct 17:30,0.0,0.0,90,0.0,1.0,19,0,0.0,0,0,7.0,0,10,0,1085753,3.0,0.0,2.0,1,1,24.0,2,39912,95116,55204,70,True,0.0,0,3,3,,,,,
10,0,40.0,1.0,1.0,0,13,1,0.0,32.0,61.2,1.0,0.0,233,0.0,0.0,103,1.0,0,0,10.1,5603.0,12.6,4.0,2018-11-03T15:00:00Z,03 Nov 15:00,0.0,0.0,81,0.0,0.0,5,0,0.0,0,0,4.0,0,11,0,975225,2.0,0.0,0.0,1,0,27.0,3,-109405,36182,145587,70,False,0.0,0,3,2,,,,,
11,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,233,0.0,0.0,116,0.0,0,0,0.0,6153.0,0.0,0.0,2018-11-10T15:00:00Z,10 Nov 15:00,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0,0.0,0,12,0,536125,0.0,0.0,0.0,0,0,0.0,0,-436049,10989,447038,69,True,0.0,0,3,2,,,,,
12,0,18.0,0.0,0.0,0,-7,0,0.0,15.0,2.6,1.0,0.0,233,0.0,0.0,122,2.0,1,0,0.0,6705.0,0.0,0.0,2018-11-24T15:00:00Z,24 Nov 15:00,0.0,0.0,27,0.0,0.0,3,0,0.0,0,0,1.0,1,13,0,324369,0.0,0.0,0.0,1,1,0.0,-2,-214722,1489,216211,68,False,0.0,0,3,2,,,,,
13,0,31.0,0.0,0.0,1,29,1,0.0,26.0,17.5,3.0,0.0,233,0.0,0.0,136,0.0,0,1,8.5,7258.0,43.6,1.0,2018-12-01T15:00:00Z,01 Dec 15:00,0.0,0.0,90,0.0,0.0,18,0,0.0,0,0,4.0,0,14,0,307246,3.0,1.0,0.0,0,2,24.0,8,-25820,8249,34069,68,True,0.0,1,3,3,,,,,
14,0,30.0,1.0,0.0,3,39,0,0.0,25.0,66.8,1.0,0.0,233,0.0,0.0,144,0.0,1,1,15.6,7814.0,51.0,5.0,2018-12-05T19:45:00Z,05 Dec 19:45,0.0,0.0,90,0.0,0.0,9,0,0.0,0,0,2.0,0,15,0,335560,1.0,2.0,1.0,1,1,38.0,10,25648,34285,8637,68,False,0.0,0,3,2,,,,,
15,0,40.0,1.0,0.0,0,16,0,1.0,33.0,43.0,1.0,0.0,233,0.0,0.0,157,0.0,2,0,7.1,8372.0,15.2,3.0,2018-12-08T19:45:00Z,08 Dec 19:45,0.0,0.0,90,0.0,1.0,17,0,0.0,0,0,3.0,0,16,0,360481,2.0,0.0,1.0,2,0,13.0,2,23943,34956,11013,68,True,0.0,0,3,4,,,,,
16,0,17.0,0.0,0.0,0,2,0,0.0,16.0,16.2,0.0,0.0,233,0.0,0.0,162,1.0,1,0,2.0,8931.0,3.8,1.0,2018-12-15T15:00:00Z,15 Dec 15:00,0.0,0.0,45,0.0,0.0,7,0,0.0,0,0,1.0,0,17,0,366301,3.0,1.0,0.0,0,1,0.0,1,4485,23581,19096,68,False,0.0,0,3,2,,,,,
17,1,23.0,0.0,0.0,0,26,1,1.0,15.0,55.2,1.0,0.0,233,0.0,0.0,174,2.0,0,0,9.8,9493.0,31.2,4.0,2018-12-22T15:00:00Z,22 Dec 15:00,0.0,0.0,81,0.0,1.0,6,0,0.0,0,0,5.0,0,18,0,320846,2.0,4.0,0.0,1,0,12.0,6,-44042,3702,47744,68,False,0.0,0,3,4,,,,,
18,0,29.0,0.0,0.0,0,5,0,0.0,23.0,15.9,1.0,0.0,233,0.0,0.0,185,0.0,1,0,4.5,10058.0,5.0,1.0,2018-12-26T15:00:00Z,26 Dec 15:00,0.0,0.0,77,0.0,0.0,13,0,0.0,0,0,2.0,0,19,0,307547,3.0,1.0,2.0,1,2,24.0,2,-14922,8602,23524,68,True,0.0,0,3,4,,,,,
19,0,37.0,1.0,1.0,0,10,0,0.0,30.0,48.2,3.0,0.0,233,0.0,0.0,195,0.0,1,0,11.3,10626.0,30.0,3.0,2018-12-29T15:00:00Z,29 Dec 15:00,0.0,0.0,90,0.0,0.0,5,0,0.0,1,0,0.0,0,20,0,326699,0.0,0.0,0.0,1,0,35.0,0,15230,33337,18107,68,True,0.0,0,3,2,,,,,
20,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,233,0.0,0.0,205,0.0,0,0,0.0,11194.0,0.0,0.0,2019-01-01T12:30:00Z,01 Jan 12:30,0.0,0.0,0,0.0,0.0,8,0,0.0,0,0,0.0,0,21,0,299464,0.0,0.0,0.0,1,0,0.0,0,-25779,7814,33593,68,False,0.0,0,3,3,,,,,
21,0,62.0,0.0,0.0,0,14,0,0.0,51.0,105.1,2.0,0.0,233,0.0,0.0,217,1.0,2,0,15.8,11764.0,23.0,8.0,2019-01-12T15:00:00Z,12 Jan 15:00,0.0,0.0,90,0.0,1.0,16,0,0.0,0,0,4.0,0,22,0,291025,1.0,0.0,3.0,2,1,30.0,1,-10591,21743,32334,68,True,0.0,1,3,2,,,,,
22,1,13.0,0.0,0.0,0,16,0,2.0,12.0,15.8,0.0,0.0,233,0.0,0.0,230,0.0,1,0,4.3,12338.0,20.4,1.0,2019-01-19T12:30:00Z,19 Jan 12:30,0.0,0.0,17,0.0,1.0,20,0,0.0,0,0,0.0,0,23,0,259050,0.0,1.0,1.0,3,4,7.0,4,-31698,5168,36866,67,False,0.0,0,3,3,,,,,
23,0,17.0,0.0,1.0,0,4,0,0.0,13.0,5.3,0.0,0.0,233,0.0,0.0,237,0.0,1,0,1.9,12917.0,0.2,0.0,2019-01-30T20:00:00Z,30 Jan 20:00,0.0,0.0,74,0.0,1.0,12,0,0.0,0,0,0.0,0,24,0,239591,1.0,1.0,1.0,1,1,13.0,2,-20329,2846,23175,67,False,0.0,0,3,5,,,,,
24,0,32.0,0.0,0.0,0,12,0,1.0,21.0,51.8,4.0,0.0,233,0.0,0.0,247,0.0,1,0,10.9,13524.0,14.2,3.0,2019-02-03T14:05:00Z,03 Feb 14:05,0.0,0.0,61,0.0,0.0,14,0,0.0,0,0,4.0,0,25,0,229455,1.0,0.0,1.0,1,0,43.0,2,-9611,2594,12205,66,True,0.0,0,3,4,,,,,
25,0,45.0,0.0,0.0,0,21,0,0.0,37.0,114.4,0.0,0.0,233,0.0,0.0,258,0.0,3,0,14.2,14154.0,19.4,7.0,2019-02-10T13:30:00Z,10 Feb 13:30,0.0,0.0,90,0.0,2.0,17,0,0.0,0,0,4.0,0,26,0,229120,0.0,1.0,1.0,1,3,8.0,2,-2005,9591,11596,66,False,0.0,0,3,4,,,,,
26,0,77.0,0.0,0.0,0,19,0,0.0,66.0,79.8,1.0,0.0,233,0.0,0.0,267,0.0,4,0,15.8,14685.0,23.6,6.0,2019-02-23T17:30:00Z,23 Feb 17:30,0.0,0.0,90,0.0,0.0,7,0,0.0,0,0,6.0,0,27,0,271324,0.0,2.0,4.0,4,1,55.0,2,36129,50540,14411,66,True,0.0,0,3,2,,,,,
27,1,51.0,0.0,0.0,1,27,0,2.0,44.0,63.8,2.0,0.0,233,0.0,1.0,275,0.0,1,0,10.6,15238.0,36.0,5.0,2019-02-26T19:45:00Z,26 Feb 19:45,0.0,0.0,90,0.0,0.0,3,0,0.0,0,0,0.0,0,28,0,283657,1.0,1.0,0.0,1,2,6.0,6,17076,25282,8206,66,True,0.0,0,3,2,,,,,
28,0,44.0,0.0,0.0,0,15,0,0.0,36.0,58.0,2.0,0.0,233,0.0,0.0,288,1.0,2,0,8.6,15843.0,11.8,3.0,2019-03-03T12:00:00Z,03 Mar 12:00,0.0,0.0,90,0.0,1.0,18,0,0.0,0,0,4.0,0,29,0,316734,1.0,0.0,0.0,1,2,16.0,2,32819,40841,8022,67,False,0.0,0,3,3,,,,,
29,1,41.0,1.0,0.0,1,27,0,0.0,36.0,53.4,0.0,0.0,233,0.0,0.0,296,0.0,1,0,8.2,16449.0,26.2,3.0,2019-03-09T15:00:00Z,09 Mar 15:00,0.0,0.0,80,0.0,1.0,9,0,0.0,0,0,8.0,0,30,0,351474,3.0,2.0,2.0,1,3,2.0,6,33732,42388,8656,67,True,0.0,0,3,2,,,,,
30,0,23.0,0.0,0.0,3,28,0,3.0,18.0,40.8,0.0,0.0,233,0.0,0.0,303,1.0,1,1,10.6,16970.0,45.6,3.0,2019-03-16T15:00:00Z,16 Mar 15:00,0.0,0.0,63,0.0,0.0,4,0,0.0,0,0,6.0,0,31,0,516611,0.0,1.0,0.0,2,1,20.0,9,67249,74629,7380,68,False,0.0,1,3,3,,,,,
31,0,63.0,0.0,0.0,0,10,1,0.0,53.0,64.7,2.0,0.0,233,0.0,0.0,317,3.0,0,0,10.5,17464.0,11.6,5.0,2019-03-30T15:00:00Z,30 Mar 15:00,0.0,0.0,90,0.0,0.0,2,0,0.0,0,0,3.0,0,32,0,370498,4.0,1.0,3.0,0,2,29.0,3,-15559,28432,43991,68,True,0.0,0,3,2,,,,,
32,0,44.0,0.0,2.0,0,26,0,1.0,42.0,52.5,4.0,0.0,233,0.0,0.0,324,1.0,1,1,17.2,18206.0,59.0,3.0,2019-04-06T14:00:00Z,06 Apr 15:00,0.0,0.0,90,0.0,0.0,10,0,0.0,0,0,5.0,0,33,0,524308,4.0,0.0,1.0,4,1,60.0,7,106164,114592,8428,68,False,0.0,0,3,2,,,,,
33,0,58.0,0.0,0.0,0,12,0,0.0,48.0,29.0,0.0,0.0,233,0.0,0.0,335,1.0,1,0,4.7,18684.0,10.6,1.0,2019-04-12T19:00:00Z,12 Apr 20:00,0.0,0.0,90,0.0,1.0,15,0,0.0,0,0,5.0,0,34,0,482126,1.0,1.0,1.0,1,0,7.0,2,-28388,30873,59261,69,True,0.0,0,3,2,,,,,
34,0,34.0,0.0,0.0,0,11,0,1.0,29.0,22.6,2.0,0.0,233,0.0,0.0,349,2.0,2,0,8.1,19355.0,16.2,1.0,2019-04-20T14:00:00Z,20 Apr 15:00,0.0,0.0,90,0.0,0.0,19,0,0.0,0,0,6.0,0,35,0,370085,3.0,1.0,1.0,2,2,42.0,2,-106423,3769,110192,68,False,0.0,0,3,3,,,,,
35,1,60.0,2.0,0.0,0,25,1,0.0,52.0,49.2,1.0,0.0,233,0.0,0.0,355,1.0,0,0,11.8,20169.0,33.0,3.0,2019-04-28T11:00:00Z,28 Apr 12:00,0.0,0.0,90,0.0,1.0,1,0,0.0,0,0,3.0,0,36,0,344470,4.0,0.0,1.0,0,3,36.0,6,-31336,4358,35694,67,True,0.0,0,3,4,,,,,
36,0,23.0,0.0,0.0,0,4,0,0.0,19.0,11.3,1.0,0.0,233,0.0,0.0,367,0.0,1,0,3.4,20784.0,3.6,1.0,2019-05-06T19:00:00Z,06 May 20:00,0.0,0.0,79,0.0,0.0,13,0,0.0,0,0,5.0,0,37,0,320417,4.0,0.0,1.0,0,1,19.0,2,-24351,4798,29149,67,False,0.0,0,3,5,,,,,
37,0,21.0,0.0,0.0,0,8,1,0.0,18.0,26.3,3.0,0.0,233,0.0,0.0,375,2.0,0,0,4.4,21400.0,5.6,2.0,2019-05-12T14:00:00Z,12 May 15:00,0.0,0.0,83,0.0,0.0,6,0,0.0,0,0,1.0,0,38,0,326457,1.0,0.0,0.0,0,0,12.0,3,4883,17036,12153,66,True,0.0,0,3,4,,,,,
0,0,,,,0,9,1,,,49.2,,,171,,,5,,0,0,6.8,,5.6,,2019-08-11T13:00:00Z,,,,90,,,20,0,,0,0,,0,1,0,568427,,,,0,0,13.0,3,0,0,0,70,True,,0,3,4,,,,,
1,1,,,,0,11,0,,,52.5,,,171,,,14,,1,0,8.9,,20.8,,2019-08-18T15:30:00Z,,,,90,,,6,0,,0,0,,0,2,0,576149,,,,1,1,16.0,5,-29125,28286,57411,70,False,,0,3,4,,,,,
2,1,,,,1,24,0,,,37.0,,,171,,,27,,1,0,10.7,,24.2,,2019-08-24T14:00:00Z,,,,90,,,15,0,,0,0,,0,3,0,655763,,,,2,1,46.0,6,56267,110877,54610,70,False,,0,3,3,,,,,
3,0,,,,0,5,0,,,19.7,,,171,,,36,,1,0,5.3,,4.4,,2019-08-31T14:00:00Z,,,,85,,,3,0,,0,0,,0,4,0,815284,,,,1,3,29.0,2,131684,183845,52161,71,True,,0,3,2,,,,,
4,0,,,,0,2,0,,,9.3,,,171,,,45,,1,0,4.3,,13.0,,2019-09-14T14:00:00Z,,,,90,,,12,0,,0,0,,0,5,0,783912,,,,0,1,21.0,1,-32702,57591,90293,71,False,,1,3,4,,,,,
