Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,own_FDR,opp_FDR,gw,season,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,player
0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,505,0.0,0.0,3,0.0,0,0,0.0,505.0,0.0,0.0,2018-08-11T14:00:00Z,11 Aug 15:00,0.0,0.0,0,0.0,0.0,9,0,0.0,0,0,0.0,0,1,0,23777,0.0,0.0,0.0,2,0,0.0,0,0,0,0,60,False,0.0,0,2,2,1,2018-19,,,,,,Jordan_Ayew
1,1,1,1.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,505,0.0,0.0,15,0.0,0,0,0.0,1030.0,0.0,0.0,2018-08-20T19:00:00Z,20 Aug 20:00,0.0,0.0,0,0.0,0.0,12,0,0.0,0,0,0.0,0,2,0,20393,0.0,0.0,0.0,2,0,0.0,0,-5504,635,6139,60,True,0.0,0,2,4,2,2018-19,,,,,,Jordan_Ayew
2,2,2,2.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,505,0.0,0.0,29,0.0,0,0,0.0,1557.0,0.0,0.0,2018-08-26T12:30:00Z,26 Aug 13:30,0.0,0.0,0,0.0,0.0,18,0,0.0,0,0,0.0,0,3,0,16440,0.0,0.0,0.0,1,2,0.0,0,-4879,723,5602,60,False,0.0,0,2,3,3,2018-19,,,,,,Jordan_Ayew
3,3,3,3.0,0,13.0,0.0,0.0,0,3,0,4.0,10.0,2.7,1.0,0.0,505,0.0,0.0,35,2.0,1,0,9.4,2088.0,3.0,0.0,2018-09-01T14:00:00Z,01 Sep 15:00,0.0,0.0,75,0.0,0.0,16,0,0.0,0,0,4.0,0,4,0,13712,6.0,1.0,1.0,2,0,88.0,2,-3372,481,3853,59,True,0.0,0,2,2,4,2018-19,,,,,,Jordan_Ayew
4,4,4,4.0,1,16.0,0.0,0.0,0,8,1,0.0,12.0,22.5,1.0,0.0,505,0.0,0.0,44,4.0,0,0,4.3,2625.0,16.6,2.0,2018-09-15T14:00:00Z,15 Sep 15:00,0.0,0.0,90,2.0,0.0,10,0,0.0,0,0,2.0,0,5,0,13812,4.0,0.0,0.0,1,0,4.0,5,-606,1527,2133,59,False,0.0,0,2,2,5,2018-19,,,,,,Jordan_Ayew
5,5,5,5.0,0,12.0,0.0,0.0,0,3,1,1.0,11.0,11.2,0.0,0.0,505,0.0,0.0,55,1.0,0,0,2.6,3162.0,6.0,1.0,2018-09-22T14:00:00Z,22 Sep 15:00,0.0,0.0,70,0.0,0.0,15,0,0.0,0,0,1.0,0,6,0,16030,4.0,1.0,1.0,0,0,9.0,2,1660,3213,1553,59,True,0.0,0,2,2,6,2018-19,,,,,,Jordan_Ayew
6,6,6,6.0,0,21.0,0.0,0.0,0,7,0,0.0,17.0,12.5,0.0,0.0,505,0.0,0.0,62,1.0,1,0,2.7,3700.0,5.0,1.0,2018-10-01T19:00:00Z,01 Oct 20:00,0.0,0.0,81,0.0,0.0,2,0,0.0,0,0,5.0,0,7,0,15044,1.0,1.0,1.0,1,2,9.0,2,-1066,586,1652,59,False,0.0,0,2,3,7,2018-19,,,,,,Jordan_Ayew
7,7,7,7.0,0,15.0,0.0,0.0,0,3,0,2.0,13.0,16.2,1.0,0.0,505,0.0,0.0,73,3.0,1,0,2.9,4239.0,4.0,1.0,2018-10-06T14:00:00Z,06 Oct 15:00,0.0,0.0,71,0.0,0.0,20,0,0.0,0,0,0.0,0,8,0,14380,2.0,0.0,1.0,1,0,9.0,2,-851,443,1294,59,True,0.0,0,2,3,8,2018-19,,,,,,Jordan_Ayew
8,8,8,8.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,505,0.0,0.0,85,0.0,0,0,0.0,4781.0,0.0,0.0,2018-10-21T15:00:00Z,21 Oct 16:00,0.0,0.0,0,0.0,0.0,8,0,0.0,0,0,0.0,0,9,0,13451,0.0,0.0,0.0,0,2,0.0,0,-1217,384,1601,58,False,0.0,0,2,3,9,2018-19,,,,,,Jordan_Ayew
9,9,9,9.0,0,14.0,0.0,0.0,0,0,0,1.0,12.0,3.3,0.0,0.0,505,0.0,0.0,93,2.0,2,0,1.1,5327.0,1.6,0.0,2018-10-28T13:30:00Z,28 Oct 13:30,0.0,0.0,63,0.0,0.0,1,0,0.0,0,0,3.0,0,10,0,12794,2.0,0.0,0.0,2,2,6.0,1,-783,259,1042,58,True,0.0,1,2,4,10,2018-19,,,,,,Jordan_Ayew
10,10,10,10.0,0,4.0,0.0,0.0,0,0,0,1.0,4.0,0.7,0.0,0.0,505,0.0,0.0,104,2.0,0,0,0.2,5875.0,1.4,0.0,2018-11-04T16:00:00Z,04 Nov 16:00,0.0,0.0,19,0.0,0.0,6,0,0.0,0,0,0.0,0,11,0,12534,1.0,0.0,0.0,1,3,0.0,1,-388,488,876,58,False,0.0,0,2,4,11,2018-19,,,,,,Jordan_Ayew
11,11,11,11.0,0,18.0,0.0,0.0,0,-2,0,1.0,14.0,12.2,0.0,0.0,505,0.0,0.0,114,4.0,1,0,4.0,6425.0,3.2,1.0,2018-11-10T17:30:00Z,10 Nov 17:30,0.0,0.0,90,1.0,0.0,17,0,0.0,0,0,1.0,0,12,0,12174,4.0,0.0,0.0,1,0,25.0,2,-475,272,747,58,True,0.0,0,2,4,12,2018-19,,,,,,Jordan_Ayew
