Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,gw,season,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,player
0,0,0,0.0,0,0,0,0,0.0,582,184,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,7,0,0,0,0,19,0,0,1,2,0.0,0,0,0,0,40,False,0,2,3,19,2019-20,,,,,,Joseph_Anang
1,1,1,1.0,0,0,0,0,0.0,582,200,0,0,0.0,0.0,2019-12-28T17:30:00Z,0,9,0,0,0,0,20,0,2205,2,1,0.0,0,1411,1515,104,40,True,0,2,3,20,2019-20,,,,,,Joseph_Anang
2,2,2,2.0,0,0,0,0,0.0,582,210,0,0,0.0,0.0,2020-01-01T17:30:00Z,0,3,0,0,0,0,21,0,5294,0,4,0.0,0,2673,3285,612,40,True,0,2,2,21,2019-20,,,,,,Joseph_Anang
3,3,3,3.0,0,0,0,0,0.0,582,218,0,0,0.0,0.0,2020-01-10T20:00:00Z,0,15,0,0,0,0,22,0,8613,0,1,0.0,0,2517,3312,795,40,False,0,2,3,22,2019-20,,,,,,Joseph_Anang
4,4,4,4.0,0,0,0,0,0.0,582,230,0,0,0.0,0.0,2020-01-18T15:00:00Z,0,8,0,0,0,0,23,0,10459,1,1,0.0,0,1362,2216,854,40,True,0,2,2,23,2019-20,,,,,,Joseph_Anang
5,5,5,5.0,0,0,0,0,0.0,582,234,0,0,0.0,0.0,2020-01-22T19:30:00Z,0,9,0,0,0,0,24,0,10804,1,4,0.0,0,92,759,667,40,False,0,2,3,24,2019-20,,,,,,Joseph_Anang
6,6,6,6.0,0,0,0,0,0.0,582,180,0,0,0.0,0.0,2020-01-29T19:45:00Z,0,10,0,0,0,0,24,0,10804,2,0,0.0,0,92,759,667,40,True,0,2,4,24,2019-20,,,,,,Joseph_Anang
7,7,7,7.0,0,0,0,0,0.0,582,250,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,4,0,0,0,0,25,0,10683,3,3,0.0,0,23,713,690,40,True,0,2,2,25,2019-20,,,,,,Joseph_Anang
8,8,8,8.0,0,0,0,0,0.0,582,256,0,0,0.0,0.0,2020-02-19T19:30:00Z,0,11,0,0,0,0,26,0,10888,0,2,0.0,0,132,529,397,40,False,0,2,4,26,2019-20,,,,,,Joseph_Anang
9,9,9,9.0,0,0,0,0,0.0,582,266,0,0,0.0,0.0,2020-02-24T20:00:00Z,0,10,0,0,0,0,27,0,11027,2,3,0.0,0,28,382,354,40,False,0,2,5,27,2019-20,,,,,,Joseph_Anang
10,10,10,10.0,0,0,0,0,0.0,582,280,0,0,0.0,0.0,2020-02-29T15:00:00Z,0,16,0,0,0,0,28,0,11234,1,3,0.0,0,-140,271,411,40,True,0,2,3,28,2019-20,,,,,,Joseph_Anang
11,11,11,11.0,0,0,0,0,0.0,582,281,0,0,0.0,0.0,2020-03-07T15:00:00Z,0,1,0,0,0,0,29,0,11115,0,1,0.0,0,-43,336,379,40,False,0,2,4,29,2019-20,,,,,,Joseph_Anang
12,12,12,12.0,0,0,0,0,0.0,582,300,0,0,0.0,0.0,2020-06-20T16:30:00Z,0,20,0,0,0,0,39,0,10537,2,0,0.0,0,-578,721,1299,40,True,0,2,4,39,2019-20,,,,,,Joseph_Anang
13,13,13,13.0,0,0,0,0,0.0,582,309,0,0,0.0,0.0,2020-06-23T19:15:00Z,0,17,0,0,0,0,40,0,10568,0,2,0.0,0,-97,212,309,40,False,0,2,4,40,2019-20,,,,,,Joseph_Anang
14,14,14,14.0,0,0,0,0,0.0,582,320,0,0,0.0,0.0,2020-07-01T19:15:00Z,0,6,0,0,0,0,41,0,10607,2,3,0.0,0,-34,153,187,40,True,0,2,4,41,2019-20,,,,,,Joseph_Anang
15,15,15,15.0,0,0,0,0,0.0,582,326,0,0,0.0,0.0,2020-07-05T13:15:00Z,0,13,0,0,0,0,42,0,10606,2,2,0.0,0,-19,150,169,40,False,0,2,2,42,2019-20,,,,,,Joseph_Anang
16,16,16,16.0,0,0,0,0,0.0,582,340,0,0,0.0,0.0,2020-07-08T17:00:00Z,0,5,0,0,0,0,43,0,10614,1,0,0.0,0,-36,120,156,40,True,0,2,3,43,2019-20,,,,,,Joseph_Anang
17,17,17,17.0,0,0,0,0,0.0,582,346,0,0,0.0,0.0,2020-07-11T11:30:00Z,0,14,0,0,0,0,44,0,10582,4,0,0.0,0,-75,99,174,40,False,0,2,2,44,2019-20,,,,,,Joseph_Anang
18,18,18,18.0,0,0,0,0,0.0,582,360,0,0,0.0,0.0,2020-07-17T19:00:00Z,0,18,0,0,0,0,45,0,10594,1,3,0.0,0,-61,89,150,40,True,0,2,2,45,2019-20,,,,,,Joseph_Anang
19,19,19,19.0,0,0,0,0,0.0,582,365,0,0,0.0,0.0,2020-07-22T17:00:00Z,0,12,0,0,0,0,46,0,10566,1,1,0.0,0,-51,97,148,40,False,0,2,4,46,2019-20,,,,,,Joseph_Anang
20,20,20,20.0,0,0,0,0,0.0,582,380,0,0,0.0,0.0,2020-07-26T15:00:00Z,0,2,0,0,0,0,47,0,10786,1,1,0.0,0,70,270,200,40,True,0,2,2,47,2019-20,,,,,,Joseph_Anang
0,0,0,0.0,0,0,0,0,0.0,739,217,0,0,0.0,0.0,2023-02-04T17:30:00Z,0,15,0,0,0,0,22,0,0,1,1,0.0,0,0,0,0,40,False,0,2,4,22,2022-23,0.0,0.0,0.0,0.0,0.0,Joseph_Anang
1,1,1,1.0,0,0,0,0,0.0,739,230,0,0,0.0,0.0,2023-02-11T12:30:00Z,0,6,0,0,0,0,23,0,230,1,1,0.0,0,173,183,10,40,True,0,3,3,23,2022-23,0.0,0.0,0.0,0.0,0.0,Joseph_Anang
2,2,2,2.0,0,0,0,0,0.0,739,239,0,0,0.0,0.0,2023-02-19T16:30:00Z,0,18,0,0,0,0,24,0,288,0,2,0.0,0,20,118,98,40,False,0,2,4,24,2022-23,0.0,0.0,0.0,0.0,0.0,Joseph_Anang
3,3,3,3.0,0,0,0,0,0.0,739,250,0,0,0.0,0.0,2023-02-25T15:00:00Z,0,16,0,0,0,0,25,0,853,0,4,0.0,0,134,217,83,40,True,0,3,2,25,2022-23,0.0,0.0,0.0,0.0,0.0,Joseph_Anang
4,4,4,4.0,0,0,0,0,0.0,739,254,0,0,0.0,0.0,2023-03-04T15:00:00Z,0,5,0,0,0,0,26,0,637,0,4,0.0,0,105,161,56,40,False,0,2,3,26,2022-23,0.0,0.0,0.0,0.0,0.0,Joseph_Anang
5,5,5,5.0,0,0,0,0,0.0,739,270,0,0,0.0,0.0,2023-03-12T14:00:00Z,0,2,0,0,0,0,27,0,697,1,1,0.0,0,-11,110,121,40,True,0,3,2,27,2022-23,0.0,0.0,0.0,0.0,0.0,Joseph_Anang
6,6,6,6.0,0,0,0,0,0.0,739,290,0,0,0.0,0.0,2023-04-02T13:00:00Z,0,17,0,0,0,0,29,0,879,0,1,0.0,0,48,107,59,40,True,0,3,2,29,2022-23,0.0,0.0,0.0,0.0,0.0,Joseph_Anang
