Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,gw,season,player
0,0,0,0.0,0,0,10,0,1.2,220,0.01,0.12,0.11,1.23,4,2,0,5.4,15.0,2022-08-06T11:30:00Z,90,12,0,0,0,0,1,0,11496,1,2,2,38.0,2,0,0,0,50,True,0,2,4,1,2022-23,João_Palhinha Gonçalves
1,1,1,1.0,0,0,10,1,0.7,220,0.0,0.0,0.0,0.89,20,0,0,0.7,6.0,2022-08-13T14:00:00Z,90,20,0,0,0,0,2,0,22359,1,0,0,0.0,2,4123,6255,2132,50,False,1,2,2,2,2022-23,João_Palhinha Gonçalves
2,2,2,2.0,0,0,23,0,1.0,220,0.0,0.08,0.08,1.8,24,2,1,6.4,45.6,2022-08-20T14:00:00Z,90,4,0,0,0,0,3,0,24006,1,2,3,17.0,6,-98,3928,4026,50,True,1,2,3,3,2022-23,João_Palhinha Gonçalves
3,3,3,3.0,0,0,4,0,0.1,220,0.0,0.06,0.06,2.73,31,2,0,1.6,11.8,2022-08-27T16:30:00Z,87,1,0,0,0,0,4,0,29751,1,1,2,4.0,1,2927,7074,4147,50,False,1,2,4,4,2022-23,João_Palhinha Gonçalves
4,4,4,4.0,0,0,9,0,1.8,220,0.0,0.12,0.12,1.42,44,1,0,5.6,20.6,2022-08-30T18:30:00Z,90,5,0,0,0,0,5,0,29710,1,1,2,34.0,2,-916,2890,3806,50,True,0,2,3,5,2022-23,João_Palhinha Gonçalves
5,5,5,5.0,0,0,19,0,4.4,220,0.01,0.01,0.0,2.98,59,2,0,2.1,16.4,2022-09-03T14:00:00Z,84,18,0,0,0,0,6,0,30117,1,1,2,0.0,1,-781,3030,3811,50,False,1,2,4,6,2022-23,João_Palhinha Gonçalves
6,6,6,6.0,0,2,25,0,3.3,220,0.02,0.12,0.1,1.41,78,2,1,7.1,43.2,2022-09-16T19:00:00Z,90,16,0,0,0,0,8,0,33627,1,3,2,24.0,8,2450,3613,1163,50,False,1,2,2,8,2022-23,João_Palhinha Gonçalves
7,7,7,7.0,0,0,0,0,0.0,220,0.0,0.0,0.0,0.0,84,0,0,0.0,0.0,2022-10-01T14:00:00Z,0,15,0,0,0,0,9,0,27251,0,4,1,0.0,0,-4873,1933,6806,50,True,0,2,3,9,2022-23,João_Palhinha Gonçalves
8,8,8,8.0,0,0,10,0,2.8,220,0.02,0.02,0.0,3.04,100,3,0,1.5,12.4,2022-10-09T13:00:00Z,90,19,0,0,0,0,10,0,30231,1,1,3,0.0,2,2184,4256,2072,50,False,0,2,3,10,2022-23,João_Palhinha Gonçalves
9,9,9,9.0,0,0,10,0,3.8,220,0.01,0.08,0.07,1.05,103,2,0,2.6,9.8,2022-10-15T14:00:00Z,90,3,0,0,0,0,11,0,32407,1,2,2,12.0,2,1874,3811,1937,50,True,0,2,2,11,2022-23,João_Palhinha Gonçalves
10,10,10,10.0,0,0,7,1,2.8,220,0.03,0.17,0.14,1.16,116,0,0,2.4,13.6,2022-10-20T18:30:00Z,90,2,0,0,0,0,12,0,31729,1,0,3,8.0,3,-653,1424,2077,50,True,0,2,2,12,2022-23,João_Palhinha Gonçalves
11,11,11,11.0,0,0,11,0,1.3,220,0.01,0.08,0.07,1.71,124,2,0,2.8,14.8,2022-10-23T13:00:00Z,90,11,0,0,0,0,13,0,31450,1,3,2,12.0,2,-625,1180,1805,50,False,0,2,2,13,2022-23,João_Palhinha Gonçalves
12,12,12,12.0,0,0,14,1,1.5,220,0.01,0.01,0.0,0.94,136,0,0,2.0,18.6,2022-10-29T16:30:00Z,90,8,0,0,0,0,14,0,29920,1,0,0,0.0,3,-1719,865,2584,50,True,0,2,2,14,2022-23,João_Palhinha Gonçalves
13,13,13,13.0,0,0,10,0,0.7,220,0.0,0.0,0.0,2.08,145,2,0,1.1,9.8,2022-11-05T15:00:00Z,90,13,0,0,0,0,15,0,28324,1,1,2,0.0,2,-1788,763,2551,50,False,0,2,5,15,2022-23,João_Palhinha Gonçalves
14,14,14,14.0,0,0,7,0,2.7,220,0.01,0.1,0.09,2.59,153,2,0,4.7,23.0,2022-11-13T16:30:00Z,90,14,0,0,0,0,16,0,27354,1,2,1,21.0,2,-1169,642,1811,50,True,0,2,3,16,2022-23,João_Palhinha Gonçalves
15,15,15,15.0,0,0,8,1,2.7,220,0.02,0.18,0.16,0.26,165,0,0,3.2,6.0,2022-12-26T15:00:00Z,74,7,0,0,0,0,17,0,28651,1,3,0,23.0,3,789,5152,4363,50,False,0,2,2,17,2022-23,João_Palhinha Gonçalves
16,16,16,16.0,0,3,35,0,2.7,220,0.02,0.29,0.27,0.79,173,1,1,10.4,60.2,2022-12-31T15:00:00Z,90,17,0,0,0,0,18,0,28801,1,1,2,41.0,10,-28,1080,1108,50,True,0,2,2,18,2022-23,João_Palhinha Gonçalves
17,17,17,17.0,0,0,4,1,1.1,220,0.01,0.04,0.03,1.69,188,0,0,1.6,13.4,2023-01-03T19:45:00Z,90,10,0,0,0,0,19,0,49243,1,1,0,1.0,2,18755,20027,1272,50,False,1,2,3,19,2022-23,João_Palhinha Gonçalves
18,18,18,18.0,0,0,11,0,2.2,220,0.01,0.01,0.0,2.13,64,1,0,1.9,16.4,2023-01-12T20:00:00Z,90,6,0,0,0,0,19,0,49243,1,1,2,0.0,2,18755,20027,1272,50,True,0,2,3,19,2022-23,João_Palhinha Gonçalves
19,19,19,19.0,0,0,12,0,10.4,220,0.0,0.03,0.03,2.13,197,1,0,4.2,25.6,2023-01-15T14:00:00Z,90,15,0,0,0,0,20,0,41236,1,0,1,6.0,2,-6332,1766,8098,50,False,0,2,4,20,2022-23,João_Palhinha Gonçalves
20,20,20,20.0,0,0,-4,0,3.0,220,0.02,0.61,0.59,0.9,204,1,0,2.9,10.0,2023-01-23T20:15:00Z,90,18,0,0,0,0,21,0,37511,1,1,0,16.0,1,-4452,837,5289,50,True,1,2,3,21,2022-23,João_Palhinha Gonçalves
21,21,21,21.0,0,0,9,1,21.5,220,0.01,0.15,0.14,1.54,214,0,0,4.5,16.0,2023-02-03T20:00:00Z,90,6,0,0,0,0,22,0,33876,1,0,0,7.0,2,-3902,1163,5065,50,False,1,2,4,22,2022-23,João_Palhinha Gonçalves
22,22,22,22.0,0,0,12,1,1.0,220,0.01,0.1,0.09,0.67,224,0,0,1.5,9.4,2023-02-11T15:00:00Z,90,16,0,0,0,0,23,0,33847,1,0,2,5.0,3,-352,1901,2253,50,True,0,2,2,23,2022-23,João_Palhinha Gonçalves
23,23,23,23.0,0,0,8,1,0.9,220,0.0,0.0,0.0,2.2,233,0,0,0.8,7.0,2023-02-18T15:00:00Z,90,5,0,0,0,0,24,0,33383,1,1,0,0.0,2,-695,1085,1780,49,False,1,2,3,24,2022-23,João_Palhinha Gonçalves
24,24,24,24.0,0,0,11,0,2.4,220,0.02,0.07,0.05,0.8,244,1,0,2.5,13.2,2023-02-24T20:00:00Z,90,20,0,0,0,0,25,0,34912,1,1,1,9.0,1,892,2639,1747,49,True,1,2,2,25,2022-23,João_Palhinha Gonçalves
25,25,25,25.0,0,0,0,0,0.0,220,0.0,0.0,0.0,0.0,253,0,0,0.0,0.0,2023-03-06T20:00:00Z,0,4,0,0,0,0,26,0,29925,0,2,3,0.0,0,-4456,138,4594,49,False,0,2,3,26,2022-23,João_Palhinha Gonçalves
26,26,26,26.0,0,0,0,0,0.0,220,0.0,0.0,0.0,0.0,264,0,0,0.0,0.0,2023-03-12T14:00:00Z,0,1,0,0,0,0,27,0,27370,0,3,0,0.0,0,-2569,62,2631,49,True,0,2,4,27,2022-23,João_Palhinha Gonçalves
27,27,27,27.0,0,0,12,0,2.8,220,0.02,0.02,0.0,2.32,282,2,0,0.9,6.6,2023-04-01T14:00:00Z,87,3,0,0,0,0,29,0,27792,1,1,2,0.0,2,580,1106,526,49,False,0,2,2,29,2022-23,João_Palhinha Gonçalves
28,28,28,28.0,0,0,11,0,25.6,220,0.03,0.13,0.1,1.09,293,1,0,4.6,13.2,2023-04-08T14:00:00Z,90,19,0,0,0,0,30,0,28153,1,1,0,7.0,2,252,826,574,49,True,0,2,2,30,2022-23,João_Palhinha Gonçalves
29,29,29,29.0,0,0,13,0,2.3,220,0.02,0.12,0.1,1.31,303,1,0,1.4,6.0,2023-04-15T14:00:00Z,90,8,0,0,0,0,31,0,28586,1,3,1,6.0,2,327,888,561,49,False,0,2,2,31,2022-23,João_Palhinha Gonçalves
30,30,30,30.0,0,0,0,0,12.3,220,0.01,0.05,0.04,0.89,316,1,0,2.7,12.6,2023-04-22T11:30:00Z,90,11,1,0,0,0,32,0,29996,1,1,2,2.0,-1,1111,1631,520,49,True,1,2,2,32,2022-23,João_Palhinha Gonçalves
31,31,31,31.0,0,0,2,0,1.1,220,0.01,0.01,0.0,0.97,321,1,0,1.5,13.6,2023-04-25T18:45:00Z,90,2,0,0,0,0,33,0,29311,1,0,1,0.0,1,-486,421,907,49,False,1,2,2,33,2022-23,João_Palhinha Gonçalves
32,32,32,32.0,0,0,17,0,1.3,220,0.01,0.01,0.0,2.59,336,2,0,1.5,13.4,2023-04-30T13:00:00Z,90,13,0,0,0,0,34,0,29330,1,2,1,0.0,2,-115,720,835,49,True,0,2,5,34,2022-23,João_Palhinha Gonçalves
33,33,33,33.0,0,0,14,0,2.0,220,0.0,0.25,0.25,1.73,276,1,0,6.0,24.2,2023-05-03T19:00:00Z,90,12,0,0,0,0,34,0,29330,1,0,1,34.0,2,-115,720,835,49,False,0,2,4,34,2022-23,João_Palhinha Gonçalves
34,34,34,34.0,0,0,13,0,13.3,220,0.01,0.2,0.19,2.84,343,3,0,4.1,24.0,2023-05-08T14:00:00Z,90,10,0,0,0,0,35,0,29622,1,3,5,4.0,2,292,961,669,49,True,0,2,3,35,2022-23,João_Palhinha Gonçalves
35,35,35,35.0,0,0,9,1,3.1,220,0.02,0.07,0.05,0.17,360,0,0,1.6,7.4,2023-05-13T14:00:00Z,76,17,0,0,0,0,36,0,29648,1,2,0,5.0,3,-55,605,660,49,False,0,2,2,36,2022-23,João_Palhinha Gonçalves
36,36,36,36.0,0,0,0,0,2.0,220,0.01,0.01,0.0,1.62,363,2,0,0.4,1.6,2023-05-20T14:00:00Z,90,7,0,0,0,0,37,0,29825,1,2,2,0.0,1,136,722,586,49,True,1,2,2,37,2022-23,João_Palhinha Gonçalves
37,37,37,37.0,0,0,13,0,0.0,220,0.0,0.0,0.0,2.71,379,2,0,0.0,0.0,2023-05-28T15:30:00Z,90,14,0,0,0,0,38,0,29645,1,1,2,0.0,1,-222,334,556,49,False,1,2,4,38,2022-23,João_Palhinha Gonçalves
0,0,0,,0,0,0,0,0.0,280,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,9,0,0,0,0,1,0,14930,0,1,0,0.0,0,0,0,0,50,False,0,2,2,1,2023-24,João_Palhinha Gonçalves
1,1,1,,0,0,0,0,1.2,280,0.01,0.01,0.0,1.87,13,1,0,0.5,3.4,2023-08-19T14:00:00Z,23,4,0,0,0,0,2,0,11372,0,3,0,0.0,0,-3883,159,4042,50,True,1,2,3,2,2023-24,João_Palhinha Gonçalves
2,2,2,,0,3,33,0,3.3,280,0.01,0.18,0.17,3.25,21,2,1,8.1,55.2,2023-08-26T14:00:00Z,90,1,0,0,0,0,3,0,11355,1,2,2,22.0,10,-871,546,1417,50,False,0,2,4,3,2023-24,João_Palhinha Gonçalves
3,3,3,,0,0,0,0,0.0,280,0.0,0.0,0.0,0.0,39,0,0,0.0,0.0,2023-09-02T14:00:00Z,0,13,0,0,0,0,4,0,21203,0,1,5,0.0,0,7019,9222,2203,50,False,0,2,5,4,2023-24,João_Palhinha Gonçalves
4,4,4,,0,0,9,1,6.0,280,0.02,0.09,0.07,1.28,44,0,0,2.6,11.6,2023-09-16T14:00:00Z,90,12,0,0,0,0,5,0,32831,1,0,1,8.0,3,8629,12308,3679,50,True,0,2,2,5,2023-24,João_Palhinha Gonçalves
5,5,5,,0,0,2,1,2.1,280,0.01,0.1,0.09,0.3,56,0,0,1.4,11.2,2023-09-23T14:00:00Z,90,8,0,0,0,0,6,0,38440,1,0,0,1.0,2,4918,8498,3580,50,False,1,2,2,6,2023-24,João_Palhinha Gonçalves
6,6,6,,0,0,10,0,3.5,280,0.01,0.01,0.0,1.73,64,2,0,1.5,11.4,2023-10-02T19:00:00Z,90,7,0,0,0,0,7,0,38328,1,2,0,0.0,2,-562,4561,5123,50,True,0,2,3,7,2023-24,João_Palhinha Gonçalves
7,7,7,,0,0,5,0,2.4,280,0.01,0.04,0.03,0.57,76,1,0,2.9,23.8,2023-10-07T14:00:00Z,90,17,0,0,0,0,8,0,41646,1,1,3,3.0,1,2113,6135,4022,50,True,1,2,2,8,2023-24,João_Palhinha Gonçalves
8,8,8,,0,0,19,0,1.9,280,0.01,0.1,0.09,1.51,90,2,0,4.6,21.2,2023-10-23T19:00:00Z,81,18,0,0,0,0,9,0,37846,1,0,2,23.0,2,-3689,2052,5741,50,False,0,2,3,9,2023-24,João_Palhinha Gonçalves
9,9,9,,0,3,30,0,12.4,280,0.01,0.14,0.13,1.32,94,1,1,8.5,66.0,2023-10-29T14:00:00Z,90,5,0,0,0,0,10,0,34855,1,1,1,7.0,10,-3213,1174,4387,50,False,0,2,3,10,2023-24,João_Palhinha Gonçalves
