Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR
0,0,0,0,0,0.0,667,0.0,0.0,0.0,0.0,153,0,0,0.0,0.0,2022-11-13T16:30:00Z,0,14,0,0,0,0,16,0,0,0,2,1,0.0,0,0,0,0,45,True,0,2,3
1,0,0,0,0,0.0,667,0.0,0.0,0.0,0.0,165,0,0,0.0,0.0,2022-12-26T15:00:00Z,0,7,0,0,0,0,17,0,73,0,3,0,0.0,0,45,71,26,45,False,0,2,2
2,0,0,0,0,0.0,667,0.0,0.0,0.0,0.0,173,0,0,0.0,0.0,2022-12-31T15:00:00Z,0,17,0,0,0,0,18,0,82,0,1,2,0.0,0,-3,13,16,45,True,0,2,2
3,0,0,0,0,0.0,667,0.0,0.0,0.0,0.0,188,0,0,0.0,0.0,2023-01-03T19:45:00Z,0,10,0,0,0,0,19,0,97,0,1,0,0.0,0,7,18,11,45,False,0,2,3
4,0,0,0,0,0.0,667,0.0,0.0,0.0,0.0,64,0,0,0.0,0.0,2023-01-12T20:00:00Z,0,6,0,0,0,0,19,0,97,0,1,2,0.0,0,7,18,11,45,True,0,2,3
5,0,0,0,0,0.0,667,0.0,0.0,0.0,0.0,197,0,0,0.0,0.0,2023-01-15T14:00:00Z,0,15,0,0,0,0,20,0,106,0,0,1,0.0,0,-9,13,22,45,False,0,2,4
6,0,0,0,0,0.0,667,0.0,0.0,0.0,0.0,204,0,0,0.0,0.0,2023-01-23T20:15:00Z,0,18,0,0,0,0,21,0,122,0,1,0,0.0,0,0,12,12,45,True,0,2,3
7,0,0,0,0,0.0,667,0.0,0.0,0.0,0.0,214,0,0,0.0,0.0,2023-02-03T20:00:00Z,0,6,0,0,0,0,22,0,178,0,0,0,0.0,0,34,50,16,45,False,0,2,4
8,0,0,0,0,0.0,667,0.0,0.0,0.0,0.0,224,0,0,0.0,0.0,2023-02-11T15:00:00Z,0,16,0,0,0,0,23,0,172,0,0,2,0.0,0,-22,16,38,45,True,0,2,2
9,0,0,0,0,0.0,667,0.0,0.0,0.0,0.0,233,0,0,0.0,0.0,2023-02-18T15:00:00Z,0,5,0,0,0,0,24,0,196,0,1,0,0.0,0,9,32,23,45,False,0,2,3
10,0,0,0,0,0.0,667,0.0,0.0,0.0,0.0,244,0,0,0.0,0.0,2023-02-24T20:00:00Z,0,20,0,0,0,0,25,0,227,0,1,1,0.0,0,2,35,33,45,True,0,2,2
11,0,0,0,0,0.0,667,0.0,0.0,0.0,0.0,253,0,0,0.0,0.0,2023-03-06T20:00:00Z,0,4,0,0,0,0,26,0,213,0,2,3,0.0,0,-10,10,20,45,False,0,2,3
12,0,0,0,0,0.0,667,0.0,0.0,0.0,0.0,264,0,0,0.0,0.0,2023-03-12T14:00:00Z,0,1,0,0,0,0,27,0,228,0,3,0,0.0,0,-6,12,18,45,True,0,2,4
13,0,0,0,0,0.0,667,0.0,0.0,0.0,0.0,282,0,0,0.0,0.0,2023-04-01T14:00:00Z,0,3,0,0,0,0,29,0,264,0,1,2,0.0,0,11,25,14,45,False,0,2,2
14,0,0,0,0,0.0,667,0.0,0.0,0.0,0.0,293,0,0,0.0,0.0,2023-04-08T14:00:00Z,0,19,0,0,0,0,30,0,280,0,1,0,0.0,0,11,29,18,45,True,0,2,2
15,0,0,0,0,0.0,667,0.0,0.0,0.0,0.0,303,0,0,0.0,0.0,2023-04-15T14:00:00Z,0,8,0,0,0,0,31,0,302,0,3,1,0.0,0,9,35,26,45,False,0,2,2
16,0,0,0,0,0.0,667,0.0,0.0,0.0,0.0,316,0,0,0.0,0.0,2023-04-22T11:30:00Z,0,11,0,0,0,0,32,0,311,0,1,2,0.0,0,-7,24,31,45,True,0,2,2
17,0,0,0,0,0.0,667,0.0,0.0,0.0,0.0,321,0,0,0.0,0.0,2023-04-25T18:45:00Z,0,2,0,0,0,0,33,0,316,0,0,1,0.0,0,11,27,16,45,False,0,2,2
18,0,0,0,0,0.0,667,0.0,0.0,0.0,0.0,336,0,0,0.0,0.0,2023-04-30T13:00:00Z,0,13,0,0,0,0,34,0,311,0,2,1,0.0,0,-12,12,24,45,True,0,2,5
19,0,0,0,0,0.0,667,0.0,0.0,0.0,0.0,276,0,0,0.0,0.0,2023-05-03T19:00:00Z,0,12,0,0,0,0,34,0,311,0,0,1,0.0,0,-12,12,24,45,False,0,2,4
20,0,0,0,0,0.0,667,0.0,0.0,0.0,0.0,343,0,0,0.0,0.0,2023-05-08T14:00:00Z,0,10,0,0,0,0,35,0,317,0,3,5,0.0,0,-4,13,17,45,True,0,2,3
21,0,0,0,0,0.0,667,0.0,0.0,0.0,0.0,360,0,0,0.0,0.0,2023-05-13T14:00:00Z,0,17,0,0,0,0,36,0,321,0,2,0,0.0,0,-5,11,16,45,False,0,2,2
22,0,0,0,0,0.0,667,0.0,0.0,0.0,0.0,363,0,0,0.0,0.0,2023-05-20T14:00:00Z,0,7,0,0,0,0,37,0,340,0,2,2,0.0,0,9,13,4,45,True,0,2,2
23,0,0,0,0,0.0,667,0.0,0.0,0.0,0.0,379,0,0,0.0,0.0,2023-05-28T15:30:00Z,0,14,0,0,0,0,38,0,350,0,1,2,0.0,0,7,19,12,45,False,0,2,4
0,0,0,0,0,0.0,796,0.0,0.0,0.0,0.0,213,0,0,0.0,0.0,2024-01-30T19:45:00Z,0,9,0,0,0,0,22,0,0,0,0,0,0.0,0,0,0,0,45,True,0,2,2
1,0,0,0,0,0.0,796,0.0,0.0,0.0,0.0,225,0,0,0.0,0.0,2024-02-03T15:00:00Z,0,6,0,0,0,0,23,0,15,0,2,2,0.0,0,9,9,0,45,False,0,2,2
