Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR
0,0,0,3,0,0.1,559,0.0,0.0,0.0,0.0,9,0,0,0.0,0.2,2022-08-07T13:00:00Z,1,14,0,0,0,0,1,0,2027,0,2,1,0.0,1,0,0,0,45,False,0,3,4
1,0,0,0,0,0.0,559,0.0,0.0,0.0,0.0,14,0,0,0.0,0.0,2022-08-13T14:00:00Z,0,15,0,0,0,0,2,0,5849,0,0,0,0.0,0,805,1284,479,45,True,0,3,3
2,0,0,0,0,0.0,559,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,2022-08-21T13:00:00Z,0,19,0,0,0,0,3,0,6154,0,2,0,0.0,0,-486,610,1096,45,False,0,3,3
3,0,0,4,0,0.3,559,0.0,0.0,0.0,0.46,34,0,0,0.5,4.4,2022-08-27T14:00:00Z,11,11,0,0,0,0,4,0,6430,0,0,1,0.0,1,-459,540,999,45,True,0,3,2
4,0,0,0,0,0.0,559,0.0,0.0,0.0,0.0,44,0,0,0.0,0.0,2022-08-30T18:30:00Z,0,9,0,0,0,0,5,0,6780,0,1,2,0.0,0,-267,466,733,45,False,0,3,2
5,0,0,0,0,0.0,559,0.0,0.0,0.0,0.0,53,0,0,0.0,0.0,2022-09-04T13:00:00Z,0,10,0,0,0,0,6,0,6994,0,2,5,0.0,0,-445,420,865,45,True,0,3,3
6,0,0,0,0,0.0,559,0.0,0.0,0.0,0.0,87,0,0,0.0,0.0,2022-10-01T14:00:00Z,0,12,0,0,0,0,9,0,7403,0,3,3,0.0,0,-161,168,329,44,False,0,3,4
7,0,0,0,0,0.0,559,0.0,0.0,0.0,0.0,93,0,0,0.0,0.0,2022-10-08T16:30:00Z,0,18,0,0,0,0,10,0,7662,0,1,0,0.0,0,64,467,403,44,True,0,3,3
8,0,0,0,0,0.0,559,0.0,0.0,0.0,0.0,102,0,0,0.0,0.0,2022-10-14T19:00:00Z,0,4,0,0,0,0,11,0,7775,0,0,2,0.0,0,17,354,337,44,False,0,3,3
9,0,0,0,0,0.0,559,0.0,0.0,0.0,0.0,114,0,0,0.0,0.0,2022-10-18T18:30:00Z,0,16,0,0,0,0,12,0,7370,0,0,0,0.0,0,-393,96,489,44,True,0,3,2
