Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR
0,0,0,0,0,0.0,171,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,2023-08-11T19:00:00Z,0,13,0,0,0,0,1,0,2793,0,3,0,0.0,0,0,0,0,40,True,0,2,5
1,0,0,0,0,0.0,171,0.0,0.0,0.0,0.0,25,0,0,0.0,0.0,2023-08-27T13:00:00Z,0,2,0,0,0,0,3,0,1849,0,3,1,0.0,0,-279,0,279,40,True,0,2,3
2,0,0,0,0,0.0,171,0.0,0.0,0.0,0.0,34,0,0,0.0,0.0,2023-09-02T14:00:00Z,0,18,0,0,0,0,4,0,1683,0,5,2,0.0,0,-179,0,179,40,True,0,2,3
3,0,0,0,0,0.0,171,0.0,0.0,0.0,0.0,47,0,0,0.0,0.0,2023-09-18T18:45:00Z,0,16,0,0,0,0,5,0,1556,0,1,1,0.0,0,-132,0,132,40,False,0,2,2
4,0,0,0,0,0.0,171,0.0,0.0,0.0,0.0,54,0,0,0.0,0.0,2023-09-23T19:00:00Z,0,14,0,0,0,0,6,0,1473,0,1,0,0.0,0,-82,0,82,40,True,0,2,3
5,0,0,0,0,0.0,171,0.0,0.0,0.0,0.0,66,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,15,0,0,0,0,7,0,1391,0,0,2,0.0,0,-82,0,82,40,False,0,2,4
6,0,0,0,0,0.0,171,0.0,0.0,0.0,0.0,15,0,0,0.0,0.0,2023-10-03T18:30:00Z,0,12,0,0,0,0,7,0,1391,0,2,1,0.0,0,-82,0,82,40,False,0,2,2
7,0,0,0,0,0.0,171,0.0,0.0,0.0,0.0,73,0,0,0.0,0.0,2023-10-07T14:00:00Z,0,7,0,0,0,0,8,0,1329,0,4,1,0.0,0,-67,0,67,40,True,0,2,3
8,0,0,0,0,0.0,171,0.0,0.0,0.0,0.0,83,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,4,0,0,0,0,9,0,1274,0,0,3,0.0,0,-53,0,53,40,False,0,2,3
9,0,0,0,0,0.0,171,0.0,0.0,0.0,0.0,93,0,0,0.0,0.0,2023-10-28T14:00:00Z,0,3,0,0,0,0,10,0,1245,0,1,2,0.0,0,-33,0,33,40,False,0,2,2
10,0,0,0,0,0.0,171,0.0,0.0,0.0,0.0,102,0,0,0.0,0.0,2023-11-04T15:00:00Z,0,8,0,0,0,0,11,0,1222,0,2,0,0.0,0,-18,0,18,40,True,0,2,2
11,0,0,0,0,0.0,171,0.0,0.0,0.0,0.0,111,0,0,0.0,0.0,2023-11-11T15:00:00Z,0,1,0,0,0,0,12,0,1204,0,1,3,0.0,0,-22,0,22,40,False,0,2,4
12,0,0,0,0,0.0,171,0.0,0.0,0.0,0.0,122,0,0,0.0,0.0,2023-11-25T15:00:00Z,0,19,0,0,0,0,13,0,1176,0,2,1,0.0,0,-26,0,26,40,True,0,2,2
13,0,0,0,0,0.0,171,0.0,0.0,0.0,0.0,134,0,0,0.0,0.0,2023-12-02T15:00:00Z,0,17,0,0,0,0,14,0,1162,0,0,5,0.0,0,-17,0,17,40,True,0,2,2
14,0,0,0,0,0.0,171,0.0,0.0,0.0,0.0,149,0,0,0.0,0.0,2023-12-05T19:30:00Z,0,20,0,0,0,0,15,0,1147,0,0,1,0.0,0,-16,0,16,40,False,0,2,2
15,0,0,0,0,0.0,171,0.0,0.0,0.0,0.0,152,0,0,0.0,0.0,2023-12-09T15:00:00Z,0,5,0,0,0,0,16,0,1134,0,1,1,0.0,0,-12,0,12,40,False,0,2,3
16,0,0,0,0,0.0,171,0.0,0.0,0.0,0.0,164,0,0,0.0,0.0,2023-12-16T17:30:00Z,0,9,0,0,0,0,17,0,1121,0,2,0,0.0,0,-11,0,11,40,True,0,2,2
17,0,0,0,0,0.0,171,0.0,0.0,0.0,0.0,173,0,0,0.0,0.0,2023-12-23T15:00:00Z,0,10,0,0,0,0,18,0,1108,0,2,0,0.0,0,-15,0,15,40,False,0,2,2
18,0,0,0,0,0.0,171,0.0,0.0,0.0,0.0,185,0,0,0.0,0.0,2023-12-26T17:30:00Z,0,11,0,0,0,0,19,0,1106,0,2,0,0.0,0,-3,0,3,40,True,0,2,4
19,0,0,0,0,0.0,171,0.0,0.0,0.0,0.0,191,0,0,0.0,0.0,2023-12-30T15:00:00Z,0,2,0,0,0,0,20,0,1088,0,2,3,0.0,0,-17,0,17,40,False,0,2,4
20,0,0,0,0,0.0,171,0.0,0.0,0.0,0.0,205,0,0,0.0,0.0,2024-01-12T19:45:00Z,0,12,0,0,0,0,21,0,1062,0,1,1,0.0,0,-26,0,26,40,True,0,2,2
21,0,0,0,0,0.0,171,0.0,0.0,0.0,0.0,220,0,0,0.0,0.0,2024-01-31T19:30:00Z,0,13,0,0,0,0,22,0,1052,0,1,3,0.0,0,-11,0,11,40,False,0,2,5
22,0,0,0,0,0.0,171,0.0,0.0,0.0,0.0,225,0,0,0.0,0.0,2024-02-03T15:00:00Z,0,10,0,0,0,0,23,0,1047,0,2,2,0.0,0,-5,0,5,40,True,0,2,2
