Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR
0,0,0,0,0,0.0,496,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,2022-08-05T19:00:00Z,0,1,0,0,0,0,1,0,124669,0,2,0,0.0,0,0,0,0,45,True,0,2,4
1,0,0,0,0,0.0,496,0.0,0.0,0.0,0.0,16,0,0,0.0,0.0,2022-08-15T19:00:00Z,0,12,0,0,0,0,2,0,128337,0,1,1,0.0,0,-6465,5444,11909,45,False,0,2,4
2,0,0,0,0,0.0,496,0.0,0.0,0.0,0.0,22,0,0,0.0,0.0,2022-08-20T14:00:00Z,0,2,0,0,0,0,3,0,126295,0,1,3,0.0,0,-7804,8529,16333,45,True,0,2,2
3,0,0,0,0,0.0,496,0.0,0.0,0.0,0.0,37,0,0,0.0,0.0,2022-08-27T14:00:00Z,0,13,0,0,0,0,4,0,115719,0,2,4,0.0,0,-13454,4325,17779,45,False,0,2,5
4,0,0,0,0,0.0,496,0.0,0.0,0.0,0.0,43,0,0,0.0,0.0,2022-08-30T18:30:00Z,0,4,0,0,0,0,5,0,94999,0,1,1,0.0,0,-20700,531,21231,45,True,0,2,3
5,0,0,0,0,0.0,496,0.0,0.0,0.0,0.0,57,0,0,0.0,0.0,2022-09-03T14:00:00Z,0,15,0,0,0,0,6,0,76980,0,0,0,0.0,0,-18258,59,18317,45,False,0,2,4
6,0,0,0,0,0.0,496,0.0,0.0,0.0,0.0,83,0,0,0.0,0.0,2022-10-01T14:00:00Z,0,6,0,0,0,0,9,0,44192,0,2,1,0.0,0,-5891,0,5891,45,True,0,2,3
7,0,0,0,0,0.0,496,0.0,0.0,0.0,0.0,95,0,0,0.0,0.0,2022-10-09T13:00:00Z,0,11,0,0,0,0,10,0,40864,0,1,2,0.0,0,-3355,0,3355,45,True,0,2,2
8,0,0,0,0,0.0,496,0.0,0.0,0.0,0.0,105,0,0,0.0,0.0,2022-10-15T11:30:00Z,0,10,0,0,0,0,11,0,38805,0,0,0,0.0,0,-2063,0,2063,45,False,0,2,3
9,0,0,0,0,0.0,496,0.0,0.0,0.0,0.0,115,0,0,0.0,0.0,2022-10-18T19:15:00Z,0,20,0,0,0,0,12,0,35850,0,1,2,0.0,0,-2051,0,2051,45,True,0,2,2
10,0,0,0,0,0.0,496,0.0,0.0,0.0,0.0,123,0,0,0.0,0.0,2022-10-22T14:00:00Z,0,8,0,0,0,0,13,0,35666,0,0,3,0.0,0,-1241,0,1241,45,False,0,2,2
11,0,0,0,0,0.0,496,0.0,0.0,0.0,0.0,135,0,0,0.0,0.0,2022-10-29T14:00:00Z,0,17,0,0,0,0,14,0,34280,0,0,1,0.0,0,-1384,0,1384,45,True,0,2,2
12,0,0,0,0,0.0,496,0.0,0.0,0.0,0.0,149,0,0,0.0,0.0,2022-11-06T14:00:00Z,0,19,0,0,0,0,15,0,33203,0,2,1,0.0,0,-1076,0,1076,45,False,0,2,3
13,0,0,0,0,0.0,496,0.0,0.0,0.0,0.0,157,0,0,0.0,0.0,2022-11-12T15:00:00Z,0,16,0,0,0,0,16,0,32432,0,0,1,0.0,0,-797,0,797,45,False,0,2,2
14,0,0,0,0,0.0,496,0.0,0.0,0.0,0.0,165,0,0,0.0,0.0,2022-12-26T15:00:00Z,0,9,0,0,0,0,17,0,30149,0,3,0,0.0,0,-2284,0,2284,45,True,0,2,2
15,0,0,0,0,0.0,496,0.0,0.0,0.0,0.0,171,0,0,0.0,0.0,2022-12-31T15:00:00Z,0,3,0,0,0,0,18,0,29832,0,2,0,0.0,0,-327,0,327,45,False,0,2,2
16,0,0,0,0,0.0,496,0.0,0.0,0.0,0.0,185,0,0,0.0,0.0,2023-01-04T20:00:00Z,0,18,0,0,0,0,19,0,29604,0,4,0,0.0,0,-223,0,223,45,True,0,2,3
17,0,0,0,0,0.0,496,0.0,0.0,0.0,0.0,194,0,0,0.0,0.0,2023-01-15T14:00:00Z,0,6,0,0,0,0,20,0,29229,0,0,1,0.0,0,-372,0,372,45,False,0,2,4
18,0,0,0,0,0.0,496,0.0,0.0,0.0,0.0,63,0,0,0.0,0.0,2023-01-18T20:00:00Z,0,14,0,0,0,0,20,0,29229,0,1,1,0.0,0,-372,0,372,45,True,0,2,3
19,0,0,0,0,0.0,496,0.0,0.0,0.0,0.0,203,0,0,0.0,0.0,2023-01-21T17:30:00Z,0,15,0,0,0,0,21,0,28945,0,0,0,0.0,0,-293,0,293,45,True,0,2,3
20,0,0,0,0,0.0,496,0.0,0.0,0.0,0.0,216,0,0,0.0,0.0,2023-02-04T15:00:00Z,0,14,0,0,0,0,22,0,28518,0,1,2,0.0,0,-415,0,415,45,False,0,2,4
21,0,0,0,0,0.0,496,0.0,0.0,0.0,0.0,223,0,0,0.0,0.0,2023-02-11T15:00:00Z,0,5,0,0,0,0,23,0,28307,0,1,1,0.0,0,-233,0,233,45,True,0,2,3
22,0,0,0,0,0.0,496,0.0,0.0,0.0,0.0,232,0,0,0.0,0.0,2023-02-18T15:00:00Z,0,4,0,0,0,0,24,0,28144,0,1,1,0.0,0,-164,0,164,45,False,0,2,3
23,0,0,0,0,0.0,496,0.0,0.0,0.0,0.0,242,0,0,0.0,0.0,2023-02-25T19:45:00Z,0,12,0,0,0,0,25,0,27900,0,0,0,0.0,0,-218,0,218,45,True,0,2,4
