Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,gw,season,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,player
0,0,0,0.0,0,0,0,0,0.0,89,1,0,0,0.0,0.0,2021-08-13T19:00:00Z,0,1,0,0,0,0,1,0,6247,0,2,0.0,0,0,0,0,45,True,0,2,4,1,2021-22,,,,,,Mads_Roerslev Rasmussen
1,1,1,1.0,0,0,0,0,0.0,89,13,0,0,0.0,0.0,2021-08-21T14:00:00Z,0,7,0,0,0,0,2,0,5818,0,0,0.0,0,-1282,91,1373,45,False,0,2,2,2,2021-22,,,,,,Mads_Roerslev Rasmussen
2,2,2,2.0,0,0,0,0,0.0,89,21,0,0,0.0,0.0,2021-08-28T14:00:00Z,0,2,0,0,0,0,3,0,5123,1,1,0.0,0,-939,259,1198,44,False,0,2,2,3,2021-22,,,,,,Mads_Roerslev Rasmussen
3,3,3,3.0,0,0,7,0,0.2,89,32,1,0,0.5,5.2,2021-09-11T14:00:00Z,29,4,0,0,0,0,4,0,4518,1,0,0.0,1,-838,175,1013,44,True,0,2,2,4,2021-22,,,,,,Mads_Roerslev Rasmussen
4,4,4,4.0,0,0,3,0,0.3,89,50,0,0,0.7,6.2,2021-09-18T11:30:00Z,15,20,0,0,0,0,5,0,4357,2,0,0.0,1,-326,138,464,44,False,0,2,3,5,2021-22,,,,,,Mads_Roerslev Rasmussen
5,5,5,5.0,0,0,0,0,0.0,89,52,0,0,0.0,0.0,2021-09-25T16:30:00Z,0,11,0,0,0,0,6,0,4351,3,3,0.0,0,-144,222,366,43,True,0,2,4,6,2021-22,,,,,,Mads_Roerslev Rasmussen
6,6,6,6.0,0,0,0,0,0.0,89,69,0,0,0.0,0.0,2021-10-03T13:00:00Z,0,19,0,0,0,0,7,0,4378,2,1,0.0,0,-59,183,242,43,False,0,2,3,7,2021-22,,,,,,Mads_Roerslev Rasmussen
7,7,7,7.0,0,0,0,0,0.0,89,73,0,0,0.0,0.0,2021-10-16T16:30:00Z,0,6,0,0,0,0,8,0,4349,1,0,0.0,0,-103,125,228,43,True,0,2,4,8,2021-22,,,,,,Mads_Roerslev Rasmussen
8,8,8,8.0,0,0,0,0,0.0,89,82,0,0,0.0,0.0,2021-10-24T13:00:00Z,0,9,0,0,0,0,9,0,4339,2,1,0.0,0,-70,117,187,43,True,0,2,2,9,2021-22,,,,,,Mads_Roerslev Rasmussen
9,9,9,9.0,0,0,4,0,4.8,89,92,0,0,0.9,4.2,2021-10-30T14:00:00Z,13,5,0,0,0,0,10,0,4394,1,3,0.0,1,-59,223,282,43,False,0,2,2,10,2021-22,,,,,,Mads_Roerslev Rasmussen
10,10,10,10.0,0,0,0,0,0.0,89,102,0,0,0.0,0.0,2021-11-06T15:00:00Z,0,15,0,0,0,0,11,0,4390,2,1,0.0,0,-67,127,194,43,True,0,2,2,11,2021-22,,,,,,Mads_Roerslev Rasmussen
11,11,11,11.0,0,0,11,0,0.1,89,116,3,0,2.1,13.2,2021-11-20T15:00:00Z,79,14,0,0,0,0,12,0,4346,3,3,8.0,1,-102,96,198,43,False,0,2,3,12,2021-22,,,,,,Mads_Roerslev Rasmussen
12,12,12,12.0,0,0,3,0,0.0,89,122,0,0,0.4,4.0,2021-11-28T14:00:00Z,13,8,0,0,0,0,13,0,4281,0,1,0.0,1,-100,56,156,43,True,0,2,2,13,2021-22,,,,,,Mads_Roerslev Rasmussen
13,13,13,13.0,0,0,0,0,0.0,89,140,0,0,0.0,0.0,2021-12-02T19:30:00Z,0,17,0,0,0,0,14,0,4251,0,2,0.0,0,-46,40,86,43,False,0,2,4,14,2021-22,,,,,,Mads_Roerslev Rasmussen
14,14,14,14.0,0,0,12,0,15.4,89,143,2,0,3.5,18.0,2021-12-05T14:00:00Z,90,10,0,0,0,0,15,0,4210,2,2,2.0,1,-64,44,108,43,False,0,2,2,15,2021-22,,,,,,Mads_Roerslev Rasmussen
15,15,15,15.0,0,0,7,0,1.9,89,152,1,0,1.0,5.8,2021-12-10T20:00:00Z,90,18,0,0,0,0,16,0,4363,1,2,2.0,2,80,193,113,43,True,0,2,2,16,2021-22,,,,,,Mads_Roerslev Rasmussen
16,16,16,16.0,0,0,0,0,0.0,89,182,0,0,0.0,0.0,2021-12-26T20:00:00Z,0,4,0,0,0,0,19,0,4659,0,2,0.0,0,90,177,87,43,False,0,2,2,19,2021-22,,,,,,Mads_Roerslev Rasmussen
17,17,17,17.0,0,0,9,0,0.5,89,192,1,0,0.5,4.2,2021-12-29T20:15:00Z,90,12,0,0,0,0,20,0,4241,1,0,0.0,2,-128,16,144,43,True,0,2,5,20,2021-22,,,,,,Mads_Roerslev Rasmussen
18,18,18,18.0,1,3,32,0,11.2,89,202,1,1,12.0,58.2,2022-01-02T14:00:00Z,90,2,0,0,0,0,21,0,6372,1,2,51.0,14,948,1259,311,43,True,0,2,2,21,2021-22,,,,,,Mads_Roerslev Rasmussen
19,19,19,19.0,0,0,10,0,13.8,89,176,4,0,2.6,12.0,2022-01-11T19:45:00Z,90,16,0,0,0,0,21,0,6372,1,4,0.0,0,948,1259,311,43,False,0,2,3,21,2021-22,,,,,,Mads_Roerslev Rasmussen
