Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,gw,season,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,player
0,0,0,0.0,0,0,15,0,51.8,463,9,4,0,9.7,25.0,2019-08-11T15:30:00Z,90,12,0,0,0,0,1,0,47474,0,4,20.0,2,0,0,0,60,False,0,4,4,1,2019-20,,,,,,Mason_Mount
1,1,1,1.0,0,3,27,0,23.1,463,14,1,1,15.0,50.2,2019-08-18T15:30:00Z,90,9,0,0,0,0,2,0,86820,1,1,77.0,10,22692,33735,11043,60,True,0,4,3,2,2019-20,,,,,,Mason_Mount
2,2,2,2.0,0,1,33,0,30.2,463,26,2,1,12.9,45.4,2019-08-24T11:30:00Z,90,14,0,0,0,0,3,0,408360,3,2,53.0,8,284083,324297,40214,61,False,0,4,2,3,2019-20,,,,,,Mason_Mount
3,3,3,3.0,0,0,7,0,18.0,463,33,2,0,3.3,5.6,2019-08-31T14:00:00Z,90,15,0,0,0,0,4,0,1168228,2,2,9.0,2,711955,780550,68595,63,True,0,4,3,4,2019-20,,,,,,Mason_Mount
4,4,4,4.0,0,2,33,0,44.8,463,50,2,1,12.4,49.8,2019-09-14T14:00:00Z,90,20,0,0,0,0,5,0,1454291,5,2,29.0,9,260931,382291,121360,64,False,0,4,3,5,2019-20,,,,,,Mason_Mount
5,5,5,5.0,0,0,0,0,16.8,463,53,2,0,3.1,3.8,2019-09-22T15:30:00Z,90,10,0,0,0,0,6,0,1514588,2,1,10.0,2,58206,265934,207728,65,True,0,4,4,6,2019-20,,,,,,Mason_Mount
6,6,6,6.0,1,0,24,1,27.6,463,63,0,0,4.4,8.6,2019-09-28T14:00:00Z,90,4,0,0,0,0,7,0,1908601,0,2,8.0,6,355663,435708,80045,66,True,0,4,2,7,2019-20,,,,,,Mason_Mount
7,7,7,7.0,0,0,25,0,23.4,463,78,1,1,8.5,36.0,2019-10-06T13:00:00Z,79,16,0,0,0,0,8,0,2195805,4,1,26.0,7,276286,314939,38653,67,False,0,4,2,8,2019-20,,,,,,Mason_Mount
8,8,8,8.0,0,0,4,1,19.4,463,83,0,0,4.4,5.2,2019-10-19T14:00:00Z,63,13,0,0,0,0,9,0,2560578,0,1,19.0,3,338113,364097,25984,68,True,0,4,2,9,2019-20,,,,,,Mason_Mount
9,9,9,9.0,1,0,16,0,23.7,463,93,2,0,8.2,22.0,2019-10-26T16:30:00Z,90,5,0,0,0,0,10,0,2590431,4,2,36.0,5,38420,101393,62973,68,False,0,4,3,10,2019-20,,,,,,Mason_Mount
10,10,10,10.0,0,0,6,0,14.4,463,109,1,0,7.1,13.0,2019-11-02T17:30:00Z,90,18,0,0,0,0,11,0,2622473,2,1,44.0,1,20645,109000,88355,69,False,1,4,3,11,2019-20,,,,,,Mason_Mount
11,11,11,11.0,0,0,9,1,33.8,463,112,0,0,8.6,8.0,2019-11-09T12:30:00Z,86,7,0,0,0,0,12,0,2380557,0,2,44.0,3,-224426,59067,283493,69,True,0,4,3,12,2019-20,,,,,,Mason_Mount
12,12,12,12.0,0,0,4,0,0.6,463,127,0,0,0.3,1.6,2019-11-23T17:30:00Z,16,11,0,0,0,0,13,0,2272276,1,2,1.0,1,-129376,76246,205622,68,False,0,4,4,13,2019-20,,,,,,Mason_Mount
13,13,13,13.0,0,0,14,0,32.9,463,132,1,0,8.4,12.4,2019-11-30T15:00:00Z,90,19,0,0,0,0,14,0,2117597,1,0,39.0,2,-164061,47306,211367,67,True,0,4,2,14,2019-20,,,,,,Mason_Mount
14,14,14,14.0,0,0,24,0,8.2,463,147,1,1,11.3,37.8,2019-12-04T19:30:00Z,90,2,0,0,0,0,15,0,1961766,1,2,67.0,6,-162755,27206,189961,66,True,1,4,2,15,2019-20,,,,,,Mason_Mount
