Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
0,0,0,0,0,0.0,464,3,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,6,0,0,0,0,1,0,3327,0,3,0.0,0,0,0,0,55,False,0,2,4,,,,,
1,0,0,0,0,0.0,464,13,0,0,0.0,0.0,2021-08-21T14:00:00Z,0,3,0,0,0,0,2,0,2490,0,0,0.0,0,-875,61,936,55,True,0,2,2,,,,,
2,0,0,0,0,0.0,464,28,0,0,0.0,0.0,2021-08-28T14:00:00Z,0,19,0,0,0,0,3,0,2095,2,2,0.0,0,-439,41,480,54,False,0,2,3,,,,,
3,0,0,2,0,0.4,464,34,0,0,0.0,0.0,2021-09-11T11:30:00Z,4,17,0,0,0,0,4,0,2063,0,3,0.0,1,-73,387,460,54,True,0,2,3,,,,,
4,0,0,5,0,0.7,464,44,1,0,0.8,3.6,2021-09-18T14:00:00Z,8,11,0,0,0,0,5,0,2235,0,3,4.0,1,59,317,258,54,False,0,2,5,,,,,
5,0,0,0,0,0.0,464,54,0,0,0.0,0.0,2021-09-27T19:00:00Z,0,4,0,0,0,0,6,0,2244,1,1,0.0,0,-69,173,242,54,True,0,2,2,,,,,
6,0,1,21,0,27.1,464,64,0,1,10.7,37.0,2021-10-03T13:00:00Z,37,9,0,0,0,0,7,0,2148,2,2,43.0,7,-144,48,192,54,True,0,2,2,,,,,
7,1,0,13,0,10.1,464,71,1,0,3.0,19.4,2021-10-18T19:00:00Z,19,1,0,0,0,0,8,0,3794,2,2,0.0,4,1449,1761,312,54,False,0,2,4,,,,,
8,0,0,17,0,32.3,464,85,1,0,4.6,9.2,2021-10-23T14:00:00Z,66,14,0,0,0,0,9,0,5965,1,1,4.0,2,1943,2574,631,54,True,0,2,2,,,,,
9,1,0,14,0,10.6,464,95,0,0,2.9,16.4,2021-10-30T14:00:00Z,5,12,0,0,0,0,10,0,6008,2,0,2.0,4,21,1226,1205,54,False,0,2,5,,,,,
10,0,0,1,0,0.0,464,105,0,0,0.4,0.2,2021-11-06T15:00:00Z,10,20,0,0,0,0,11,0,8282,0,2,4.0,0,2010,2644,634,54,True,1,2,3,,,,,
11,0,0,-5,0,4.7,464,112,0,0,2.5,1.4,2021-11-20T15:00:00Z,32,5,0,0,0,0,12,0,7878,3,3,19.0,0,-457,1054,1511,54,False,1,2,2,,,,,
12,0,0,5,0,11.1,464,126,2,0,2.1,3.6,2021-11-27T15:00:00Z,86,2,0,0,0,0,13,0,7011,2,1,6.0,2,-934,434,1368,54,True,0,2,2,,,,,
13,0,0,3,0,0.0,464,133,1,0,0.0,0.0,2021-11-30T20:15:00Z,1,10,0,0,0,0,14,0,7012,0,1,0.0,1,-65,615,680,54,False,0,2,2,,,,,
14,0,0,1,0,0.3,464,144,0,0,0.0,0.0,2021-12-05T14:00:00Z,6,13,0,0,0,0,15,0,6058,0,1,0.0,1,-945,129,1074,54,False,0,2,4,,,,,
15,0,0,0,0,0.0,464,156,0,0,0.0,0.0,2021-12-12T16:30:00Z,0,8,0,0,0,0,16,0,5557,1,3,0.0,0,-558,153,711,54,True,0,2,2,,,,,
16,0,0,3,0,1.8,464,165,0,0,0.6,4.4,2021-12-15T19:30:00Z,15,16,0,0,0,0,17,0,5073,2,2,0.0,1,-517,79,596,54,True,0,2,2,,,,,
17,0,0,0,0,0.0,464,188,0,0,0.0,0.0,2021-12-26T15:00:00Z,0,17,0,0,0,0,19,0,4570,0,3,0.0,0,-201,130,331,54,False,0,2,4,,,,,
18,0,0,0,0,0.0,464,194,0,0,0.0,0.0,2021-12-28T15:00:00Z,0,15,0,0,0,0,20,0,4852,0,3,0.0,0,94,299,205,54,True,0,2,2,,,,,
19,1,2,36,0,19.3,464,204,0,1,8.0,53.4,2022-01-01T17:30:00Z,22,19,0,0,0,0,21,0,4369,3,2,7.0,11,-335,90,425,54,True,0,2,3,,,,,
20,0,0,18,1,3.6,464,212,0,0,1.3,9.2,2022-01-14T20:00:00Z,80,4,0,0,0,0,22,0,18576,1,1,0.0,3,11293,14589,3296,54,False,0,2,2,,,,,
21,0,0,18,0,31.1,464,224,3,0,7.6,14.6,2022-01-23T14:00:00Z,90,11,0,0,0,0,23,0,14173,3,1,30.0,2,-1644,1644,3288,54,True,0,2,4,,,,,
22,1,2,20,0,37.6,464,234,1,0,6.5,25.4,2022-02-09T19:45:00Z,69,15,0,0,0,0,24,0,43055,1,1,2.0,7,27899,31933,4034,54,False,0,2,2,,,,,
23,0,0,3,0,5.8,464,241,0,0,0.8,0.2,2022-02-12T15:00:00Z,12,3,0,0,0,0,25,0,69311,0,0,2.0,1,24788,29504,4716,54,False,0,2,2,,,,,
24,0,0,13,0,40.3,464,254,1,0,5.2,7.8,2022-02-19T15:00:00Z,90,6,0,0,0,0,26,0,74464,1,0,4.0,1,2578,13326,10748,54,True,1,2,4,,,,,
25,0,0,13,0,3.8,464,178,1,0,3.3,12.2,2022-02-23T19:30:00Z,72,18,0,0,0,0,26,0,74464,4,1,17.0,2,2578,13326,10748,54,False,0,2,2,,,,,
26,1,3,30,0,30.3,464,265,1,0,11.3,34.6,2022-02-26T15:00:00Z,90,5,0,0,0,0,27,0,60767,1,1,48.0,8,-4041,3315,7356,54,True,0,2,2,,,,,
27,0,0,10,1,19.8,464,280,0,0,6.7,13.6,2022-03-05T15:00:00Z,81,20,0,0,0,0,28,0,48321,2,0,34.0,3,-11953,4570,16523,54,False,0,2,3,,,,,
28,0,0,9,1,10.7,464,285,0,0,2.3,6.6,2022-03-14T20:00:00Z,64,12,0,0,0,0,29,0,43476,0,0,6.0,3,-10670,2999,13669,54,True,0,2,5,,,,,
29,0,0,0,0,0.0,464,304,0,0,0.0,0.0,2022-04-04T19:00:00Z,0,1,0,0,0,0,31,0,34745,0,3,0.0,0,-5467,1629,7096,54,True,0,2,4,,,,,
30,0,0,0,0,0.0,464,315,0,0,0.0,0.0,2022-04-10T13:00:00Z,0,9,0,0,0,0,32,0,28226,1,2,0.0,0,-6547,159,6706,54,False,0,2,3,,,,,
31,0,0,0,0,0.8,464,296,1,0,0.4,3.2,2022-04-20T18:45:00Z,39,14,0,0,0,0,33,0,23210,0,1,0.0,1,-4540,106,4646,54,False,0,2,3,,,,,
32,0,0,10,0,53.3,464,336,0,0,7.3,15.8,2022-04-25T19:00:00Z,23,10,0,0,0,0,34,0,21932,0,0,4.0,1,-1884,570,2454,54,True,0,2,2,,,,,
33,0,0,3,0,0.5,464,346,0,0,0.2,0.0,2022-04-30T14:00:00Z,16,16,0,0,0,0,35,0,21530,2,1,2.0,1,-531,873,1404,54,False,0,2,3,,,,,
34,1,0,24,1,33.0,464,356,0,0,8.0,16.4,2022-05-07T14:00:00Z,90,18,0,0,0,0,36,0,19971,0,1,31.0,5,-1317,814,2131,53,True,1,2,2,,,,,
35,0,0,0,0,0.0,464,361,0,0,0.0,0.0,2022-05-15T13:00:00Z,0,2,0,0,0,0,37,0,26919,1,1,0.0,0,3806,4808,1002,53,False,0,2,2,,,,,
36,0,0,0,0,0.0,464,322,0,0,0.0,0.0,2022-05-19T18:45:00Z,0,8,0,0,0,0,37,0,26919,2,3,0.0,0,3806,4808,1002,53,False,0,2,2,,,,,
37,0,0,0,0,0.0,464,376,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,13,0,0,0,0,38,0,18124,0,1,0.0,0,-5234,54,5288,53,True,0,2,3,,,,,
0,0,0,0,0,0.0,171,1,0,0,0.0,0.0,2022-08-05T19:00:00Z,0,1,0,0,0,0,1,0,17030,2,0,0.0,0,0,0,0,55,True,0,2,4,0.0,0.0,0.0,0.0,0.0
1,0,0,1,0,14.0,171,16,0,0,1.6,2.0,2022-08-15T19:00:00Z,2,12,0,0,0,0,2,0,12914,1,1,0.0,1,-4387,239,4626,55,False,0,2,4,0.04,0.04,0.0,0.05,0.0
2,0,0,1,0,1.4,171,22,0,0,0.4,2.2,2022-08-20T14:00:00Z,20,2,0,0,0,0,3,0,14124,1,3,0.0,1,-47,1935,1982,55,True,0,2,2,0.0,0.0,0.0,0.32,0.0
3,0,0,3,0,0.0,171,37,1,0,0.2,2.0,2022-08-27T14:00:00Z,16,13,0,0,0,0,4,0,13668,2,4,0.0,1,-1503,969,2472,55,False,0,2,5,0.0,0.0,0.0,0.48,0.0
4,0,0,14,1,19.2,171,43,0,0,4.4,7.4,2022-08-30T18:30:00Z,79,4,0,0,0,0,5,0,13914,1,1,17.0,3,-755,1043,1798,55,True,0,2,3,0.09,0.26,0.17,0.78,1.0
5,0,0,10,0,18.3,171,57,0,0,2.8,9.2,2022-09-03T14:00:00Z,28,15,0,0,0,0,6,0,16149,0,0,0.0,1,1023,2800,1777,55,False,0,2,4,0.05,0.05,0.0,1.14,0.0
6,0,0,16,0,36.2,171,83,2,0,5.4,13.8,2022-10-01T14:00:00Z,90,6,0,0,0,0,9,0,15342,2,1,4.0,2,-377,693,1070,54,True,0,2,3,0.09,0.09,0.0,1.14,1.0
7,1,1,20,0,43.3,171,95,1,0,8.6,33.8,2022-10-09T13:00:00Z,84,11,0,0,0,0,10,0,17086,1,2,9.0,5,1388,2552,1164,54,True,1,2,2,0.33,0.38,0.05,0.88,1.0
8,0,0,1,0,0.3,171,105,0,0,0.1,0.2,2022-10-15T11:30:00Z,25,10,0,0,0,0,11,0,18841,0,0,0.0,1,1518,2511,993,54,False,0,2,3,0.0,0.0,0.0,0.39,0.0
9,1,0,24,0,66.3,171,115,1,0,11.8,31.6,2022-10-18T19:15:00Z,79,20,0,0,0,0,12,0,18978,1,2,20.0,5,30,1188,1158,54,True,0,2,2,0.36,0.44,0.08,0.62,1.0
10,0,0,9,0,2.2,171,123,1,0,4.2,2.6,2022-10-22T14:00:00Z,61,8,0,0,0,0,13,0,21592,0,3,37.0,2,2298,3596,1298,54,False,0,2,2,0.01,0.32,0.31,0.48,1.0
11,0,0,9,1,15.3,171,135,0,0,4.8,12.6,2022-10-29T14:00:00Z,85,17,0,0,0,0,14,0,20863,0,1,20.0,3,-850,1432,2282,54,True,0,2,2,0.04,0.13,0.09,1.27,1.0
12,0,3,37,0,46.6,171,149,1,1,14.7,47.0,2022-11-06T14:00:00Z,90,19,0,0,0,0,15,0,19964,2,1,53.0,10,-1065,1012,2077,54,False,0,2,3,0.16,0.31,0.15,0.26,1.0
