Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,gw,season,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,player
0,0,0,0.0,0,0,0,0,0.0,589,204,0,0,0.0,0.0,2020-01-02T20:00:00Z,0,15,0,0,0,0,21,0,0,0,2,0.0,0,0,0,0,40,True,0,5,3,21,2019-20,,,,,,Nathaniel_Phillips
1,1,1,1.0,0,0,0,0,0.0,589,219,0,0,0.0,0.0,2020-01-11T17:30:00Z,0,17,0,0,0,0,22,0,225,1,0,0.0,0,78,104,26,40,False,0,4,4,22,2019-20,,,,,,Nathaniel_Phillips
2,2,2,2.0,0,0,0,0,0.0,589,224,0,0,0.0,0.0,2020-01-19T16:30:00Z,0,12,0,0,0,0,23,0,279,0,2,0.0,0,-9,47,56,40,True,0,5,4,23,2019-20,,,,,,Nathaniel_Phillips
3,3,3,3.0,0,0,0,0,0.0,589,237,0,0,0.0,0.0,2020-01-23T20:00:00Z,0,20,0,0,0,0,24,0,251,2,1,0.0,0,-30,11,41,40,False,0,4,3,24,2019-20,,,,,,Nathaniel_Phillips
4,4,4,4.0,0,0,0,0,0.0,589,180,0,0,0.0,0.0,2020-01-29T19:45:00Z,0,19,0,0,0,0,24,0,251,2,0,0.0,0,-30,11,41,40,False,0,4,2,24,2019-20,,,,,,Nathaniel_Phillips
5,5,5,5.0,0,0,0,0,0.0,589,245,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,16,0,0,0,0,25,0,246,0,4,0.0,0,-14,22,36,40,True,0,5,3,25,2019-20,,,,,,Nathaniel_Phillips
6,6,6,6.0,0,0,0,0,0.0,589,257,0,0,0.0,0.0,2020-02-15T17:30:00Z,0,14,0,0,0,0,26,0,240,1,0,0.0,0,-8,9,17,40,False,0,4,2,26,2019-20,,,,,,Nathaniel_Phillips
7,7,7,7.0,0,0,0,0,0.0,589,266,0,0,0.0,0.0,2020-02-24T20:00:00Z,0,19,0,0,0,0,27,0,245,2,3,0.0,0,3,12,9,40,True,0,5,2,27,2019-20,,,,,,Nathaniel_Phillips
8,8,8,8.0,0,0,0,0,0.0,589,279,0,0,0.0,0.0,2020-02-29T17:30:00Z,0,18,0,0,0,0,28,0,240,0,3,0.0,0,-7,3,10,40,False,0,4,3,28,2019-20,,,,,,Nathaniel_Phillips
9,9,9,9.0,0,0,0,0,0.0,589,286,0,0,0.0,0.0,2020-03-07T12:30:00Z,0,3,0,0,0,0,29,0,246,1,2,0.0,0,0,12,12,40,True,0,5,2,29,2019-20,,,,,,Nathaniel_Phillips
10,10,10,10.0,0,0,0,0,0.0,589,294,0,0,0.0,0.0,2020-06-21T18:00:00Z,0,8,0,0,0,0,39,0,669,0,0,0.0,0,245,374,129,39,False,0,4,4,39,2019-20,,,,,,Nathaniel_Phillips
11,11,11,11.0,0,0,0,0,0.0,589,304,0,0,0.0,0.0,2020-06-24T19:15:00Z,0,7,0,0,0,0,40,0,670,0,4,0.0,0,58,151,93,39,True,0,5,3,40,2019-20,,,,,,Nathaniel_Phillips
12,12,12,12.0,0,0,0,0,0.0,589,317,0,0,0.0,0.0,2020-07-02T19:15:00Z,0,11,0,0,0,0,41,0,724,0,4,0.0,0,40,92,52,39,False,0,4,4,41,2019-20,,,,,,Nathaniel_Phillips
13,13,13,13.0,0,0,0,0,0.0,589,324,0,0,0.0,0.0,2020-07-05T15:30:00Z,0,2,0,0,0,0,42,0,780,0,2,0.0,0,62,125,63,39,True,0,5,2,42,2019-20,,,,,,Nathaniel_Phillips
14,14,14,14.0,0,0,0,0,0.0,589,334,0,0,0.0,0.0,2020-07-08T19:15:00Z,0,4,0,0,0,0,43,0,854,3,1,0.0,0,68,130,62,39,False,0,4,2,43,2019-20,,,,,,Nathaniel_Phillips
15,15,15,15.0,0,0,0,0,0.0,589,344,0,0,0.0,0.0,2020-07-11T14:00:00Z,0,5,0,0,0,0,44,0,896,1,1,0.0,0,30,103,73,39,True,0,5,3,44,2019-20,,,,,,Nathaniel_Phillips
16,16,16,16.0,0,0,0,0,0.0,589,351,0,0,0.0,0.0,2020-07-15T19:15:00Z,0,1,0,0,0,0,45,0,1009,1,2,0.0,0,67,135,68,39,False,0,4,4,45,2019-20,,,,,,Nathaniel_Phillips
17,17,17,17.0,0,0,0,0,0.0,589,364,0,0,0.0,0.0,2020-07-22T19:15:00Z,0,6,0,0,0,0,46,0,1058,3,5,0.0,0,44,127,83,39,True,0,5,4,46,2019-20,,,,,,Nathaniel_Phillips
