Unnamed: 0,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,own_FDR,opp_FDR,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
0,0,30.0,0.0,0.0,0,22,1,1.0,24.0,17.8,3.0,0.0,270,0.0,0.0,1,3.0,0,1,10.8,270.0,38.2,1.0,2018-08-12T15:00:00Z,12 Aug 16:00,0.0,0.0,86,0.0,0.0,1,0,0.0,0,0,2.0,0,1,0,95478,7.0,0.0,0.0,2,0,52.0,7,0,0,0,110,False,1.0,1,4,4,,,,,
1,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,270,0.0,0.0,18,0.0,0,0,0.0,795.0,0.0,0.0,2018-08-19T12:30:00Z,19 Aug 13:30,0.0,0.0,0,0.0,0.0,10,0,0.0,0,0,0.0,0,2,0,185210,0.0,0.0,0.0,1,6,0.0,0,53855,65173,11318,110,True,0.0,0,5,2,,,,,
2,0,24.0,0.0,0.0,0,5,0,1.0,22.0,13.9,4.0,0.0,270,0.0,0.0,30,0.0,1,0,5.0,1322.0,9.2,1.0,2018-08-25T11:30:00Z,25 Aug 12:30,0.0,0.0,84,0.0,0.0,20,0,0.0,0,0,3.0,0,3,0,153960,6.0,0.0,1.0,1,1,27.0,2,-32875,14590,47465,110,False,0.0,0,4,3,,,,,
3,0,62.0,0.0,0.0,3,30,0,1.0,54.0,35.3,0.0,0.0,270,0.0,0.0,38,0.0,1,1,12.7,1853.0,46.2,2.0,2018-09-01T16:30:00Z,01 Sep 17:30,0.0,0.0,90,0.0,0.0,15,0,0.0,0,0,5.0,0,4,0,138893,4.0,2.0,1.0,1,2,45.0,10,-20320,6318,26638,110,True,0.0,0,5,2,,,,,
4,0,35.0,0.0,1.0,0,32,1,1.0,29.0,42.6,2.0,0.0,270,0.0,0.0,45,0.0,0,1,18.5,2390.0,47.4,3.0,2018-09-15T14:00:00Z,15 Sep 15:00,0.0,0.0,73,1.0,1.0,9,0,0.0,0,0,12.0,0,5,0,149088,1.0,0.0,1.0,0,3,95.0,8,3010,29554,26544,110,True,0.0,0,5,2,,,,,
5,1,50.0,0.0,0.0,0,21,1,0.0,45.0,48.7,3.0,0.0,270,0.0,0.0,54,0.0,0,0,12.8,2927.0,31.8,3.0,2018-09-22T14:00:00Z,22 Sep 15:00,0.0,0.0,90,1.0,1.0,5,0,0.0,0,0,0.0,0,6,0,170997,6.0,0.0,0.0,5,0,47.0,6,17078,30469,13391,110,False,0.0,0,4,2,,,,,
6,1,74.0,1.0,0.0,3,48,1,0.0,73.0,58.7,3.0,0.0,270,0.0,0.0,67,2.0,0,1,21.6,3465.0,67.6,4.0,2018-09-29T14:00:00Z,29 Sep 15:00,0.0,0.0,90,0.0,1.0,3,0,0.0,0,0,4.0,0,7,0,217172,4.0,0.0,0.0,0,2,90.0,14,36985,47167,10182,110,True,1.0,0,5,2,,,,,
7,0,25.0,0.0,0.0,0,6,1,2.0,24.0,13.0,0.0,0.0,270,0.0,0.0,76,1.0,0,0,2.4,4004.0,4.6,1.0,2018-10-07T15:30:00Z,07 Oct 16:30,0.0,0.0,75,0.0,0.0,12,0,0.0,0,0,4.0,0,8,0,271553,2.0,0.0,0.0,0,0,6.0,3,57298,76454,19156,111,False,0.0,0,4,5,,,,,
8,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,270,0.0,0.0,87,0.0,0,0,0.0,4546.0,0.0,0.0,2018-10-20T14:00:00Z,20 Oct 15:00,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0,0.0,0,9,0,496092,0.0,0.0,0.0,0,5,0.0,0,204226,222403,18177,112,True,0.0,0,5,2,,,,,
9,1,35.0,1.0,1.0,0,17,1,1.0,28.0,40.1,1.0,0.0,270,0.0,0.0,99,2.0,0,0,11.9,5092.0,24.4,3.0,2018-10-29T20:00:00Z,29 Oct 20:00,0.0,0.0,90,1.0,0.0,17,0,0.0,0,0,3.0,0,10,0,391761,4.0,0.0,0.0,1,0,54.0,6,-87076,26964,114040,112,False,0.0,0,4,4,,,,,
10,2,47.0,1.0,0.0,3,63,0,1.0,36.0,38.3,2.0,0.0,270,0.0,0.0,107,4.0,1,2,22.9,5640.0,107.2,3.0,2018-11-04T15:00:00Z,04 Nov 15:00,0.0,0.0,90,0.0,0.0,16,0,0.0,0,0,2.0,0,11,0,411497,5.0,1.0,0.0,1,6,83.0,21,9793,49461,39668,111,True,0.0,0,5,2,,,,,
11,0,48.0,0.0,0.0,0,11,0,0.0,40.0,33.3,0.0,0.0,270,0.0,0.0,118,2.0,1,0,10.1,6190.0,8.0,2.0,2018-11-11T16:30:00Z,11 Nov 16:30,0.0,0.0,90,0.0,1.0,14,0,0.0,0,0,6.0,0,12,0,479375,4.0,1.0,0.0,1,3,60.0,2,64281,97863,33582,111,True,0.0,0,5,4,,,,,
12,2,40.0,1.0,0.0,2,49,1,2.0,33.0,25.3,0.0,0.0,270,0.0,0.0,129,2.0,0,1,12.5,6742.0,56.2,2.0,2018-11-24T15:00:00Z,24 Nov 15:00,0.0,0.0,73,0.0,0.0,19,0,0.0,0,0,6.0,0,13,0,631071,3.0,0.0,0.0,4,0,43.0,16,132346,147821,15475,112,False,0.0,0,4,3,,,,,
13,0,32.0,0.0,0.0,2,37,0,0.0,27.0,25.4,5.0,0.0,270,0.0,0.0,138,0.0,1,1,13.8,7295.0,43.8,2.0,2018-12-01T15:00:00Z,01 Dec 15:00,0.0,0.0,90,0.0,0.0,2,0,0.0,0,0,1.0,0,14,0,991157,3.0,1.0,0.0,1,3,69.0,9,357101,362525,5424,114,True,1.0,0,5,2,,,,,
14,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,270,0.0,0.0,146,0.0,0,0,0.0,7851.0,0.0,0.0,2018-12-04T20:00:00Z,04 Dec 20:00,0.0,0.0,0,0.0,0.0,18,0,0.0,0,0,0.0,0,15,0,1231872,0.0,0.0,0.0,2,1,0.0,0,236790,252451,15661,115,False,0.0,0,4,3,,,,,
15,0,34.0,0.0,0.0,0,11,0,0.0,26.0,27.4,9.0,0.0,270,0.0,0.0,155,1.0,2,0,9.2,8409.0,19.8,2.0,2018-12-08T17:30:00Z,08 Dec 17:30,0.0,0.0,90,0.0,1.0,6,0,0.0,0,0,3.0,0,16,0,1282664,9.0,0.0,0.0,0,2,45.0,2,57497,104751,47254,116,False,0.0,0,4,4,,,,,
16,0,9.0,0.0,0.0,0,18,0,0.0,8.0,0.8,0.0,0.0,270,0.0,0.0,166,0.0,0,1,7.1,8968.0,33.4,0.0,2018-12-15T12:30:00Z,15 Dec 12:30,0.0,0.0,24,0.0,0.0,8,0,0.0,0,0,2.0,0,17,0,1295482,3.0,0.0,0.0,1,3,37.0,6,5266,68272,63006,116,True,0.0,0,5,2,,,,,
17,0,33.0,0.0,0.0,0,12,0,0.0,30.0,26.6,2.0,0.0,270,0.0,0.0,177,0.0,3,0,4.5,9530.0,6.2,2.0,2018-12-22T15:00:00Z,22 Dec 15:00,0.0,0.0,68,0.0,0.0,7,0,0.0,0,0,1.0,0,18,0,1306839,5.0,1.0,1.0,3,2,12.0,2,6625,58812,52187,116,True,0.0,0,5,2,,,,,
18,0,43.0,0.0,0.0,0,10,0,1.0,37.0,39.3,4.0,0.0,270,0.0,0.0,185,1.0,2,0,7.4,10095.0,14.2,3.0,2018-12-26T15:00:00Z,26 Dec 15:00,0.0,0.0,90,1.0,0.0,11,0,0.0,0,0,5.0,0,19,0,1068821,6.0,0.0,0.0,1,2,20.0,2,-228674,11930,240604,115,False,0.0,0,4,3,,,,,
19,1,56.0,2.0,1.0,1,24,0,1.0,46.0,42.7,1.0,0.0,270,0.0,0.0,198,0.0,1,0,10.2,10663.0,14.6,3.0,2018-12-30T14:15:00Z,30 Dec 14:15,0.0,0.0,90,1.0,0.0,16,0,0.0,0,0,5.0,0,20,0,781851,4.0,1.0,0.0,3,1,45.0,6,-292077,8894,300971,114,False,0.0,0,4,2,,,,,
20,1,36.0,1.0,0.0,0,25,0,3.0,27.0,50.6,3.0,0.0,270,0.0,0.0,207,0.0,1,0,10.1,11231.0,30.4,4.0,2019-01-03T20:00:00Z,03 Jan 20:00,0.0,0.0,90,0.0,0.0,12,0,0.0,0,0,9.0,0,21,0,636671,7.0,1.0,1.0,1,2,20.0,5,-152108,11185,163293,113,True,0.0,0,5,4,,,,,
21,1,47.0,0.0,1.0,0,17,1,1.0,42.0,30.4,5.0,0.0,270,0.0,0.0,218,0.0,0,0,10.4,11801.0,15.8,2.0,2019-01-14T20:00:00Z,14 Jan 20:00,0.0,0.0,90,1.0,0.0,20,0,0.0,0,0,3.0,0,22,0,626689,5.0,0.0,1.0,0,3,58.0,6,-18756,55127,73883,113,True,0.0,0,5,3,,,,,
22,0,35.0,0.0,0.0,2,34,1,1.0,31.0,15.1,5.0,0.0,270,0.0,0.0,224,0.0,0,1,10.2,12375.0,44.0,1.0,2019-01-20T13:30:00Z,20 Jan 13:30,0.0,0.0,90,0.0,0.0,10,0,0.0,0,0,4.0,0,23,0,668552,3.0,1.0,0.0,3,0,43.0,10,38019,98294,60275,113,False,0.0,0,4,2,,,,,
23,0,27.0,0.0,0.0,0,-4,0,0.0,23.0,5.5,2.0,0.0,270,0.0,0.0,238,2.0,2,0,1.1,12954.0,0.0,0.0,2019-01-29T20:00:00Z,29 Jan 20:00,0.0,0.0,90,1.0,0.0,15,0,0.0,0,0,1.0,0,24,0,679721,6.0,0.0,0.0,1,2,6.0,1,10438,50874,40436,113,False,0.0,1,4,3,,,,,
24,2,46.0,1.0,0.0,2,44,0,0.0,39.0,61.0,5.0,0.0,270,0.0,0.0,248,0.0,1,0,16.6,13571.0,56.0,4.0,2019-02-03T16:30:00Z,03 Feb 16:30,0.0,0.0,90,0.0,1.0,1,0,0.0,0,0,4.0,0,25,0,762293,2.0,2.0,0.0,1,3,49.0,10,48736,91970,43234,113,True,0.0,0,5,4,,,,,
