Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
0,0,0,0,0,0.0,524,1,0,0,0.0,0.0,2021-08-13T19:00:00Z,0,1,0,0,0,0,1,0,4209,0,2,0.0,0,0,0,0,60,True,0,2,4,,,,,
1,0,0,3,0,0.1,524,13,0,0,0.1,1.2,2021-08-21T14:00:00Z,13,7,0,0,0,0,2,0,3961,0,0,0.0,1,-1142,324,1466,60,False,0,2,2,,,,,
2,0,0,0,0,0.5,524,21,0,0,0.2,0.0,2021-08-28T14:00:00Z,24,2,0,0,0,0,3,0,3557,1,1,2.0,1,-734,207,941,60,False,0,2,2,,,,,
3,0,0,0,0,0.0,524,32,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,4,0,0,0,0,4,0,3535,1,0,0.0,0,-476,342,818,60,True,0,2,2,,,,,
4,0,0,0,0,0.0,524,50,0,0,0.0,0.0,2021-09-18T11:30:00Z,0,20,0,0,0,0,5,0,3399,2,0,0.0,0,-380,157,537,59,False,0,2,3,,,,,
5,0,0,21,0,0.3,524,52,0,1,8.7,33.2,2021-09-25T16:30:00Z,12,11,0,0,0,0,6,0,3351,3,3,53.0,6,-237,173,410,59,True,0,2,4,,,,,
6,0,2,24,0,0.0,524,69,0,1,5.0,33.0,2021-10-03T13:00:00Z,8,19,0,0,0,0,7,0,4541,2,1,17.0,8,815,1124,309,59,False,0,2,3,,,,,
7,0,0,0,0,0.0,524,73,0,0,0.0,0.0,2021-10-16T16:30:00Z,0,6,0,0,0,0,8,0,9063,1,0,0.0,0,3749,4697,948,59,True,0,2,4,,,,,
8,0,0,0,0,0.0,524,82,0,0,0.0,0.0,2021-10-24T13:00:00Z,0,9,0,0,0,0,9,0,6786,2,1,0.0,0,-2104,615,2719,59,True,0,2,2,,,,,
9,0,0,0,0,0.0,524,92,0,0,0.0,0.0,2021-10-30T14:00:00Z,0,5,0,0,0,0,10,0,5238,1,3,0.0,0,-1605,112,1717,59,False,0,2,2,,,,,
10,0,0,0,0,0.0,524,102,0,0,0.0,0.0,2021-11-06T15:00:00Z,0,15,0,0,0,0,11,0,4618,2,1,0.0,0,-677,35,712,59,True,0,2,2,,,,,
11,0,0,0,0,0.0,524,116,0,0,0.0,0.0,2021-11-20T15:00:00Z,0,14,0,0,0,0,12,0,4265,3,3,0.0,0,-373,74,447,59,False,0,2,3,,,,,
12,0,0,6,0,0.0,524,122,0,0,1.9,6.0,2021-11-28T14:00:00Z,3,8,0,0,0,0,13,0,4153,0,1,13.0,1,-141,99,240,59,True,0,2,2,,,,,
13,0,0,3,0,1.1,524,140,0,0,0.1,0.2,2021-12-02T19:30:00Z,20,17,0,0,0,0,14,0,4256,0,2,0.0,1,38,152,114,59,False,0,2,4,,,,,
14,0,0,8,0,0.0,524,143,1,0,0.5,5.2,2021-12-05T14:00:00Z,18,10,0,0,0,0,15,0,4378,2,2,0.0,1,48,235,187,59,False,0,2,2,,,,,
15,0,0,3,0,1.2,524,152,1,0,0.7,0.0,2021-12-10T20:00:00Z,68,18,0,0,0,0,16,0,5160,1,2,6.0,2,608,881,273,59,True,0,2,2,,,,,
16,0,0,6,0,21.3,524,182,1,0,3.8,11.6,2021-12-26T20:00:00Z,49,4,0,0,0,0,19,0,4736,0,2,5.0,1,-25,158,183,59,False,0,2,2,,,,,
17,0,0,7,0,0.4,524,192,1,0,4.2,6.2,2021-12-29T20:15:00Z,68,12,0,0,0,0,20,0,4690,1,0,35.0,2,-28,79,107,59,True,0,2,5,,,,,
18,0,1,23,0,2.6,524,202,1,1,4.8,32.8,2022-01-02T14:00:00Z,90,2,0,0,0,0,21,0,8379,1,2,13.0,8,1253,1715,462,59,True,0,2,2,,,,,
19,0,0,1,0,1.2,524,176,1,0,0.2,1.0,2022-01-11T19:45:00Z,34,16,0,0,0,0,21,0,8379,1,4,0.0,1,1253,1715,462,59,False,0,2,3,,,,,
20,0,0,4,0,11.6,524,214,2,0,1.4,2.2,2022-01-16T14:00:00Z,22,11,0,0,0,0,22,0,14134,0,3,0.0,1,2765,4940,2175,59,False,0,2,5,,,,,
21,0,0,3,0,1.8,524,162,1,0,0.4,2.2,2022-01-19T20:00:00Z,23,13,0,0,0,0,22,0,14134,3,1,0.0,1,2765,4940,2175,59,True,0,2,3,,,,,
22,0,0,2,0,0.3,524,222,1,0,0.2,0.0,2022-01-22T15:00:00Z,32,20,0,0,0,0,23,0,7952,2,1,3.0,1,-977,329,1306,59,True,0,2,3,,,,,
23,0,0,0,0,0.0,524,238,0,0,1.8,0.2,2022-02-09T19:45:00Z,20,12,0,0,0,0,24,0,7066,0,2,18.0,1,-947,108,1055,59,False,0,2,5,,,,,
24,0,0,1,1,0.7,524,241,0,0,1.1,0.0,2022-02-12T15:00:00Z,81,7,0,0,0,0,25,0,6843,0,0,15.0,3,-343,163,506,58,True,0,2,2,,,,,
25,0,0,4,0,1.5,524,251,2,0,4.0,21.6,2022-02-19T15:00:00Z,90,1,0,0,0,0,26,0,6563,1,2,17.0,2,-262,220,482,58,False,0,2,4,,,,,
26,0,0,13,0,14.4,524,262,2,0,2.5,6.8,2022-02-26T15:00:00Z,61,14,0,0,0,0,27,0,6895,2,0,4.0,2,63,408,345,58,True,0,2,2,,,,,
27,0,0,4,0,0.7,524,277,1,0,0.2,1.0,2022-03-05T15:00:00Z,8,15,0,0,0,0,28,0,6520,3,1,0.0,1,-334,173,507,58,False,0,2,2,,,,,
28,0,0,1,0,0.5,524,282,0,0,0.7,0.4,2022-03-12T15:00:00Z,15,5,0,0,0,0,29,0,6344,0,2,6.0,1,-224,130,354,57,True,0,2,2,,,,,
29,0,1,30,0,22.3,524,293,2,1,8.5,47.6,2022-03-20T14:00:00Z,90,9,0,0,0,0,30,0,6973,1,2,15.0,8,84,264,180,57,False,0,2,3,,,,,
30,0,0,21,0,0.3,524,303,0,1,5.0,33.0,2022-04-02T14:00:00Z,5,6,0,0,0,0,31,0,6599,4,1,17.0,6,10,265,255,57,False,0,2,4,,,,,
31,0,0,6,1,12.3,524,313,0,0,2.1,3.0,2022-04-10T13:00:00Z,90,19,0,0,0,0,32,0,7340,0,2,6.0,3,631,865,234,57,True,0,2,3,,,,,
32,0,0,7,0,1.5,524,328,1,0,4.6,5.0,2022-04-16T14:00:00Z,65,18,0,0,0,0,33,0,8471,2,1,39.0,2,984,1436,452,57,False,0,2,2,,,,,
33,0,0,6,0,0.0,524,332,0,0,0.2,2.4,2022-04-23T16:30:00Z,12,17,0,0,0,0,34,0,7879,0,0,0.0,1,-531,277,808,57,True,0,2,3,,,,,
34,0,0,3,0,1.3,524,344,0,0,0.4,1.0,2022-05-02T19:00:00Z,14,13,0,0,0,0,35,0,7643,0,3,2.0,1,-297,131,428,57,False,0,2,4,,,,,
35,0,0,19,1,0.9,524,352,0,1,8.7,34.6,2022-05-07T14:00:00Z,68,16,0,0,0,0,36,0,7603,0,3,51.0,8,-84,330,414,57,True,0,2,2,,,,,
36,1,1,30,0,6.8,524,362,2,1,7.6,27.4,2022-05-15T15:30:00Z,75,8,0,0,0,0,37,0,8082,3,2,42.0,11,337,699,362,57,False,0,2,2,,,,,
37,1,1,18,0,0.0,524,372,2,0,0.0,0.0,2022-05-22T15:00:00Z,90,10,0,0,0,0,38,0,26983,2,1,0.0,6,15566,16646,1080,57,True,0,2,2,,,,,
0,0,0,5,0,1.5,89,6,2,0,0.6,0.0,2022-08-07T13:00:00Z,83,10,0,0,0,0,1,0,16404,2,2,5.0,2,0,0,0,55,False,0,3,3,0.01,0.15,0.14,0.52,1.0
1,0,0,-1,0,0.5,89,13,0,0,2.0,2.2,2022-08-13T16:30:00Z,17,14,0,0,0,0,2,0,17446,0,4,17.0,1,-801,1754,2555,55,True,0,3,3,0.0,0.04,0.04,0.18,0.0
2,1,0,15,0,16.4,89,24,2,0,5.7,21.8,2022-08-20T14:00:00Z,82,9,0,0,0,0,3,0,15148,2,3,19.0,5,-3154,1486,4640,54,False,0,3,2,0.03,0.13,0.1,2.21,1.0
3,0,0,-4,0,0.1,89,33,1,0,0.4,0.0,2022-08-27T14:00:00Z,68,8,0,0,0,0,4,0,17022,1,1,8.0,1,883,3468,2585,54,True,1,3,2,0.0,0.37,0.37,0.81,1.0
4,0,1,21,0,0.8,89,43,0,1,5.2,33.8,2022-08-30T18:30:00Z,11,7,0,0,0,0,5,0,14925,1,1,17.0,7,-2395,993,3388,54,False,0,3,2,0.01,0.27,0.26,0.03,0.0
5,0,0,21,0,0.3,89,52,0,1,5.6,32.0,2022-09-03T14:00:00Z,7,11,0,0,0,0,6,0,20782,2,5,24.0,6,4520,6761,2241,54,True,0,3,2,0.02,0.75,0.73,0.18,0.0
6,0,0,0,0,0.0,89,72,0,0,0.2,2.0,2022-09-18T11:00:00Z,14,1,0,0,0,0,8,0,44245,3,0,0.0,1,8780,12738,3958,54,True,0,3,4,0.0,0.0,0.0,0.17,0.0
7,0,0,3,0,1.3,89,82,0,0,1.9,0.0,2022-10-01T14:00:00Z,29,3,0,0,0,0,9,0,38607,0,0,18.0,1,671,7206,6535,54,False,0,3,2,0.0,0.04,0.04,0.12,0.0
8,0,0,1,0,0.8,89,98,2,0,1.1,0.0,2022-10-08T14:00:00Z,28,15,0,0,0,0,10,0,30197,1,5,11.0,1,-8082,981,9063,54,False,0,3,4,0.02,0.23,0.21,0.79,0.0
9,0,0,5,1,0.9,89,102,0,0,0.4,1.8,2022-10-14T19:00:00Z,70,5,0,0,0,0,11,0,26568,0,2,1.0,3,-3926,571,4497,54,True,0,3,3,0.0,0.02,0.02,1.54,1.0
10,0,0,5,0,10.6,89,113,0,0,1.7,6.4,2022-10-19T18:30:00Z,18,6,0,0,0,0,12,0,24531,0,0,0.0,1,-1117,729,1846,54,True,0,3,3,0.03,0.03,0.0,0.44,0.0
11,0,0,3,0,1.8,89,121,0,0,2.2,7.4,2022-10-23T13:00:00Z,29,2,0,0,0,0,13,0,23708,0,4,13.0,1,-2094,514,2608,54,False,0,3,2,0.0,0.14,0.14,0.0,0.0
12,0,0,2,0,11.3,89,133,1,0,3.2,6.4,2022-10-29T14:00:00Z,74,20,0,0,0,0,14,0,21433,1,1,14.0,2,-2411,661,3072,54,True,0,3,2,0.01,0.05,0.04,0.42,1.0
13,1,2,32,0,12.8,89,146,2,1,8.2,37.8,2022-11-05T15:00:00Z,90,16,0,0,0,0,15,0,21461,2,2,31.0,12,-200,2249,2449,54,False,0,3,2,0.02,0.56,0.54,1.48,1.0
14,0,0,5,0,1.1,89,155,0,0,0.7,5.6,2022-11-12T12:30:00Z,16,13,0,0,0,0,16,0,20917,2,1,0.0,1,-803,1804,2607,54,False,0,3,5,0.01,0.01,0.0,0.32,0.0
15,0,0,3,0,0.5,89,163,0,0,0.1,0.0,2022-12-26T12:30:00Z,8,18,0,0,0,0,17,0,20165,2,2,0.0,1,-1029,2954,3983,53,True,0,3,3,0.0,0.0,0.0,0.26,0.0
16,0,0,4,0,7.2,89,179,0,0,3.3,4.4,2022-12-30T19:45:00Z,32,19,0,0,0,0,18,0,19243,2,0,21.0,1,-970,416,1386,53,False,0,3,3,0.02,0.11,0.09,0.43,0.0
17,0,1,27,0,14.2,89,183,1,1,7.1,33.4,2023-01-02T17:30:00Z,73,12,0,0,0,0,19,0,18880,1,3,23.0,8,-428,608,1036,53,True,0,3,4,0.12,0.3,0.18,1.77,1.0
18,0,0,4,1,1.7,89,192,0,0,0.8,1.8,2023-01-14T17:30:00Z,70,3,0,0,0,0,20,0,36311,0,2,4.0,3,16312,20369,4057,53,True,0,3,2,0.05,0.12,0.07,0.41,1.0
19,0,0,-1,0,0.5,89,205,0,0,0.1,0.4,2023-01-22T14:00:00Z,16,11,0,0,0,0,21,0,30765,0,0,0.0,0,-4993,1739,6732,53,False,1,3,2,0.02,0.02,0.0,0.02,0.0
20,1,0,16,1,33.3,89,212,0,0,6.4,20.6,2023-02-04T15:00:00Z,73,17,0,0,0,0,22,0,25593,0,3,10.0,6,-5331,1506,6837,53,True,0,3,2,0.39,0.62,0.23,0.53,1.0
21,0,0,1,0,0.5,89,221,0,0,0.3,0.2,2023-02-11T15:00:00Z,19,1,0,0,0,0,23,0,25099,1,1,2.0,1,-725,1657,2382,53,False,0,3,4,0.02,0.02,0.0,0.1,0.0
22,0,0,3,1,10.8,89,232,0,0,1.1,0.4,2023-02-18T15:00:00Z,62,7,0,0,0,0,24,0,24572,1,1,0.0,3,-659,1469,2128,53,True,0,3,2,0.01,0.01,0.0,0.29,1.0
