assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,threat,total_points,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,season,gw,player
0,0,0,0,0.0,0,0,0.0,2023-08-11T19:00:00Z,0,13,0,0,0,0,1,0,-0.41756755688165176,0.0,0,-0.308663267106108,-0.2978448665926127,-1.036206661964004,True,0,2,5,2023-24,1,CJ_Egan-Riley
0,0,0,0,0.0,0,0,0.0,2023-08-27T13:00:00Z,0,2,0,0,0,0,3,0,-0.4179632096709886,0.0,0,-0.30533342189136525,-0.2745966187827293,-1.036206661964004,True,0,2,3,2023-24,3,CJ_Egan-Riley
0,0,0,0,0.0,0,0,0.0,2023-09-02T14:00:00Z,0,18,0,0,0,0,4,0,-0.41889606344584734,0.0,0,-0.30661560366945584,-0.27519890499542055,-1.036206661964004,True,0,2,3,2023-24,4,CJ_Egan-Riley
0,0,0,0,0.0,0,0,0.0,2023-09-18T18:45:00Z,0,16,0,0,0,0,5,0,-0.406659818775625,0.0,0,-0.18760234280459798,-0.26018190209231795,-1.1925176716532706,False,0,2,2,2023-24,5,CJ_Egan-Riley
0,0,0,0,0.0,0,0,0.0,2023-09-23T19:00:00Z,0,14,0,0,0,0,6,0,-0.4027032908822569,0.0,0,-0.2448412338235383,-0.26616461180505135,-1.1925176716532706,True,0,2,3,2023-24,6,CJ_Egan-Riley
0,0,0,0,0.0,0,0,0.0,2023-09-30T14:00:00Z,0,15,0,0,0,0,7,0,-0.40199896070123925,0.0,0,-0.27090588429755924,-0.26341417143376117,-1.1925176716532706,False,0,2,4,2023-24,7,CJ_Egan-Riley
0,0,0,0,0.0,0,0,0.0,2023-10-03T18:30:00Z,0,12,0,0,0,0,7,0,-0.40199896070123925,0.0,0,-0.27090588429755924,-0.26341417143376117,-1.1925176716532706,False,0,2,2,2023-24,7,CJ_Egan-Riley
0,0,0,0,0.0,0,0,0.0,2023-10-07T14:00:00Z,0,7,0,0,0,0,8,0,-0.40197679050183677,0.0,0,-0.28263689071501513,-0.26917604286850777,-1.1925176716532706,True,0,2,3,2023-24,8,CJ_Egan-Riley
0,0,0,0,0.0,0,0,0.0,2023-10-21T14:00:00Z,0,4,0,0,0,0,9,0,-0.4005681301398014,0.0,0,-0.2805318161539708,-0.27796942157380045,-1.1925176716532706,False,0,2,3,2023-24,9,CJ_Egan-Riley
0,0,0,0,0.0,0,0,0.0,2023-10-28T14:00:00Z,0,3,0,0,0,0,10,0,-0.3999337213568993,0.0,0,-0.2842635392394584,-0.27435570429765277,-1.1925176716532706,False,0,2,2,2023-24,10,CJ_Egan-Riley
0,0,0,0,0.0,0,0,0.0,2023-11-04T15:00:00Z,0,8,0,0,0,0,11,0,-0.39990984575754274,0.0,0,-0.2930857153543803,-0.27965582296933605,-1.1925176716532706,True,0,2,2,2023-24,11,CJ_Egan-Riley
0,0,0,0,0.0,0,0,0.0,2023-11-11T15:00:00Z,0,1,0,0,0,0,12,0,-0.3999490699564856,0.0,0,-0.2949420083763921,-0.2793948322771698,-1.1925176716532706,False,0,2,4,2023-24,12,CJ_Egan-Riley
0,0,0,0,0.0,0,0,0.0,2023-11-25T15:00:00Z,0,19,0,0,0,0,13,0,-0.3991441211781797,0.0,0,-0.2894305404347489,-0.2819645867846526,-1.1925176716532706,True,0,2,2,2023-24,13,CJ_Egan-Riley
0,0,0,0,0.0,0,0,0.0,2023-12-02T15:00:00Z,0,17,0,0,0,0,14,0,-0.3989104813844765,0.0,0,-0.2961667790300906,-0.2841127409432515,-1.1925176716532706,True,0,2,2,2023-24,14,CJ_Egan-Riley
0,0,0,0,0.0,0,0,0.0,2023-12-05T19:30:00Z,0,20,0,0,0,0,15,0,-0.39791111701141024,0.0,0,-0.2907509962957676,-0.28746546752723295,-1.1925176716532706,False,0,2,2,2023-24,15,CJ_Egan-Riley
0,0,0,0,0.0,0,0,0.0,2023-12-09T15:00:00Z,0,5,0,0,0,0,16,0,-0.39775763101554684,0.0,0,-0.2976020571398935,-0.28549799923244146,-1.1925176716532706,False,0,2,3,2023-24,16,CJ_Egan-Riley
0,0,0,0,0.0,0,0,0.0,2023-12-16T17:30:00Z,0,9,0,0,0,0,17,0,-0.39840909379798933,0.0,0,-0.3004917504009634,-0.2789531557211962,-1.1925176716532706,True,0,2,2,2023-24,17,CJ_Egan-Riley
0,0,0,0,0.0,0,0,0.0,2023-12-23T15:00:00Z,0,10,0,0,0,0,18,0,-0.3990776105799722,0.0,0,-0.3036493622425298,-0.28395213128653385,-1.1925176716532706,False,0,2,2,2023-24,18,CJ_Egan-Riley
0,0,0,0,0.0,0,0,0.0,2023-12-26T17:30:00Z,0,11,0,0,0,0,19,0,-0.3986393227917845,0.0,0,-0.29919043158140873,-0.2894530120291142,-1.1925176716532706,True,0,2,4,2023-24,19,CJ_Egan-Riley
0,0,0,0,0.0,0,0,0.0,2023-12-30T15:00:00Z,0,2,0,0,0,0,20,0,-0.3989991621820865,0.0,0,-0.30131464318391704,-0.2848756368126605,-1.1925176716532706,False,0,2,4,2023-24,20,CJ_Egan-Riley
0,0,0,0,0.0,0,0,0.0,2024-01-12T19:45:00Z,0,12,0,0,0,0,21,0,-0.4012144767223818,0.0,0,-0.30150601359855744,-0.2624505134934551,-1.1925176716532706,True,0,2,2,2023-24,21,CJ_Egan-Riley
0,0,0,0,0.0,0,0,0.0,2024-01-31T19:30:00Z,0,13,0,0,0,0,22,0,-0.40198531750160693,0.0,0,-0.30560134047186177,-0.28226572989099824,-1.1925176716532706,False,0,2,5,2023-24,22,CJ_Egan-Riley
0,0,0,0,0.0,0,0,0.0,2024-02-03T15:00:00Z,0,10,0,0,0,0,23,0,-0.40233662989213875,0.0,0,-0.3065581925450637,-0.2903162889339717,-1.1925176716532706,True,0,2,2,2023-24,23,CJ_Egan-Riley
