assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,threat,total_points,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,season,gw,player
0,0,0,0,0.0,0,0,0.0,2023-08-26T14:00:00Z,0,14,0,0,0,0,3,0,-0.43870087311209016,0.0,0,-0.3060989035499268,-0.29764410452171564,-0.2546516135176717,False,0,2,4,2023-24,3,Gonzalo_Montiel
0,0,3,0,0.0,0,0,4.0,2023-09-02T14:00:00Z,18,7,0,0,0,0,4,0,-0.43623827557845934,0.0,1,-0.29193749286653803,-0.2943516065590033,-0.2546516135176717,False,0,2,3,2023-24,4,Gonzalo_Montiel
0,0,1,0,1.6,1,0,3.2,2023-09-18T18:45:00Z,52,6,0,0,0,0,5,0,-0.43354715445098746,2.0,0,-0.28981328126402967,-0.2913602517026366,-0.2546516135176717,True,1,2,2,2023-24,5,Gonzalo_Montiel
0,0,6,0,23.9,0,0,10.8,2023-09-23T14:00:00Z,51,13,0,0,0,0,6,0,-0.432986077866109,2.0,0,-0.2992095686228728,-0.2890715640944097,-0.2546516135176717,False,1,2,5,2023-24,6,Gonzalo_Montiel
0,0,0,0,0.0,0,0,0.0,2023-10-01T13:00:00Z,0,4,0,0,0,0,7,0,-0.43227833688518325,0.0,0,-0.2976211941813576,-0.28879049719515376,-0.2546516135176717,True,0,2,3,2023-24,7,Gonzalo_Montiel
0,0,3,0,1.3,0,0,5.4,2023-10-07T16:30:00Z,45,8,0,0,0,0,8,0,-0.4317769492986961,7.0,1,-0.30031951702778703,-0.28911171650858913,-0.2546516135176717,False,0,2,2,2023-24,8,Gonzalo_Montiel
0,0,0,0,0.0,0,0,0.0,2023-10-21T14:00:00Z,0,12,0,0,0,0,9,0,-0.43140517210871576,0.0,0,-0.2981953054252787,-0.28591959958132535,-0.2546516135176717,True,0,2,2,2023-24,9,Gonzalo_Montiel
0,0,0,0,0.0,0,0,0.0,2023-10-29T14:00:00Z,0,11,0,0,0,0,10,0,-0.4323874824822417,0.0,0,-0.3080317447377947,-0.28589952337423563,-0.2546516135176717,False,0,2,5,2023-24,10,Gonzalo_Montiel
0,0,0,0,0.0,0,0,0.0,2023-11-05T14:00:00Z,0,2,0,0,0,0,11,0,-0.4329792562662928,0.0,0,-0.3083188003597553,-0.2901155268630746,-0.2546516135176717,True,0,2,3,2023-24,11,Gonzalo_Montiel
0,0,0,0,0.0,0,0,0.0,2023-11-12T14:00:00Z,0,19,0,0,0,0,12,0,-0.43337490905562964,0.0,0,-0.30829966331829123,-0.2927455099918265,-0.2546516135176717,False,0,2,3,2023-24,12,Gonzalo_Montiel
0,0,0,0,0.0,0,0,0.0,2023-11-25T15:00:00Z,0,5,0,0,0,0,13,0,-0.4333834360553998,0.0,0,-0.30694093337434447,-0.2951546548425916,-0.41096262320693816,True,0,2,3,2023-24,13,Gonzalo_Montiel
0,0,0,0,0.0,0,0,0.0,2023-12-02T17:30:00Z,0,9,0,0,0,0,14,0,-0.433211190660042,0.0,0,-0.3057927108865022,-0.2963592272679742,-0.41096262320693816,True,0,2,2,2023-24,14,Gonzalo_Montiel
0,0,0,0,0.0,0,0,0.0,2023-12-06T19:30:00Z,0,10,0,0,0,0,15,0,-0.4331890204606395,0.0,0,-0.30745763349387356,-0.2961183127828977,-0.41096262320693816,False,0,2,2,2023-24,15,Gonzalo_Montiel
0,0,0,0,0.0,0,0,0.0,2023-12-09T15:00:00Z,0,20,0,0,0,0,16,0,-0.43319584206045564,0.0,0,-0.3077829631987622,-0.29595770312618,-0.41096262320693816,False,0,2,2,2023-24,16,Gonzalo_Montiel
0,0,0,0,0.0,0,0,0.0,2023-12-15T20:00:00Z,0,18,0,0,0,0,17,0,-0.4331770826609612,0.0,0,-0.3075150446182657,-0.2958171696765521,-0.41096262320693816,True,0,2,3,2023-24,17,Gonzalo_Montiel
0,0,0,0,0.0,0,0,0.0,2023-12-23T15:00:00Z,0,3,0,0,0,0,18,0,-0.4331719664610991,0.0,0,-0.3077638261572982,-0.2958974745049109,-0.41096262320693816,True,0,2,2,2023-24,18,Gonzalo_Montiel
0,0,20,0,11.0,1,0,22.8,2023-12-26T12:30:00Z,69,15,0,0,0,0,19,0,-0.43311568826261587,0.0,1,-0.30780210024022625,-0.2970217421019346,-0.41096262320693816,False,1,2,4,2023-24,19,Gonzalo_Montiel
1,3,38,1,14.6,0,0,24.4,2023-12-30T17:30:00Z,73,14,0,0,0,0,20,0,-0.4327660812720381,2.0,12,-0.30462535135719576,-0.2962588462325257,-0.41096262320693816,True,0,2,3,2023-24,20,Gonzalo_Montiel
0,0,12,0,3.1,3,0,15.4,2024-01-20T17:30:00Z,85,4,0,0,0,0,21,0,-0.4223887225517171,2.0,0,-0.1784165629018593,-0.26724872698789565,-0.41096262320693816,False,1,2,3,2023-24,21,Gonzalo_Montiel
1,0,25,0,10.9,2,0,43.2,2024-01-30T19:30:00Z,90,1,0,0,0,0,22,0,-0.4224398845503382,2.0,4,-0.2815460793515649,-0.27264922669502745,-0.41096262320693816,True,0,2,4,2023-24,22,Gonzalo_Montiel
0,0,2,0,1.3,0,0,1.6,2024-02-04T14:00:00Z,12,3,0,0,0,0,23,0,-0.4224415899502923,0.0,1,-0.2971619051862206,-0.2852169323331855,-0.41096262320693816,False,0,2,2,2023-24,23,Gonzalo_Montiel
