assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,threat,total_points,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,season,gw,player
0,0,15,0,25.1,4,0,24.2,2019-08-09T19:00:00Z,90,10,0,0,0,0,1,0,-0.418520875455959,0.0,0,-0.308663267106108,-0.2978448665926127,-0.2546516135176717,False,0,2,5,2019-20,1,Jamal_Lewis
0,0,29,1,7.2,0,0,17.6,2019-08-17T14:00:00Z,89,13,0,0,0,0,2,0,-0.41577177073004984,4.0,6,-0.2849907468150919,-0.26881467114089297,-0.2546516135176717,True,0,2,2,2019-20,2,Jamal_Lewis
0,0,11,0,5.8,3,0,22.4,2019-08-24T11:30:00Z,90,6,0,0,0,0,3,0,-0.40087680753148225,2.0,1,-0.15210313088880584,-0.2454258898813816,-0.2546516135176717,True,0,2,4,2019-20,3,Jamal_Lewis
0,0,18,0,16.8,2,0,20.6,2019-08-31T14:00:00Z,90,19,0,0,0,0,4,0,-0.39481581609483135,8.0,1,-0.2126527300810249,-0.24257506847464286,-0.2546516135176717,False,0,2,2,2019-20,4,Jamal_Lewis
0,0,11,0,1.2,2,0,16.4,2019-09-14T16:30:00Z,90,11,0,0,0,0,5,0,-0.39526774708265144,0.0,1,-0.26623644618033376,-0.23701395911079337,-0.2546516135176717,True,0,2,4,2019-20,5,Jamal_Lewis
0,0,13,0,22.9,2,0,18.0,2019-09-21T14:00:00Z,90,5,0,0,0,0,6,0,-0.38594773633383395,4.0,1,-0.1921952327559673,-0.25821443379752645,-0.2546516135176717,False,0,2,3,2019-20,6,Jamal_Lewis
0,0,17,0,23.3,2,0,20.4,2019-09-28T14:00:00Z,90,7,0,0,0,0,7,0,-0.386711755513243,2.0,1,-0.2715182696244085,-0.24634939540750822,-0.2546516135176717,False,0,2,3,2019-20,7,Jamal_Lewis
0,0,14,0,18.2,5,0,18.0,2019-10-05T14:00:00Z,90,2,0,0,0,0,8,0,-0.391563618382481,11.0,0,-0.28879901806643565,-0.21635554201548243,-0.2546516135176717,True,0,2,2,2019-20,8,Jamal_Lewis
0,0,18,1,2.2,0,0,10.8,2019-10-19T14:00:00Z,90,3,0,0,0,0,9,0,-0.3960846336606356,2.0,5,-0.30297956579128843,-0.23739540704549786,-0.2546516135176717,False,1,2,2,2019-20,9,Jamal_Lewis
0,0,4,0,0.8,2,0,0.6,2019-10-27T16:30:00Z,65,12,0,0,0,0,10,0,-0.39579983186831125,1.0,1,-0.2968174384398679,-0.28204489161301144,-0.2546516135176717,True,0,2,4,2019-20,10,Jamal_Lewis
