assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,threat,total_points,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,season,gw,player
0,0,3,0,0.0,0,0,0.0,2021-08-13T19:00:00Z,19,1,0,0,0,0,1,0,-0.4250440302801542,0.0,1,-0.308663267106108,-0.2978448665926127,-0.2546516135176717,True,0,2,4,2021-22,1,Mads_Bech Sørensen
0,0,0,0,0.0,0,0,0.0,2021-08-21T14:00:00Z,0,7,0,0,0,0,2,0,-0.42284576973939925,0.0,0,-0.301276369100989,-0.2763834012137134,-0.2546516135176717,False,0,2,2,2021-22,2,Mads_Bech Sørensen
0,0,0,0,0.0,0,0,0.0,2021-08-28T14:00:00Z,0,2,0,0,0,0,3,0,-0.42567161746324017,0.0,0,-0.30632854804749526,-0.25823451000461617,-0.2546516135176717,False,0,2,2,2021-22,3,Mads_Bech Sørensen
0,0,0,0,0.0,0,0,0.0,2021-09-11T14:00:00Z,0,4,0,0,0,0,4,0,-0.429481480960561,0.0,0,-0.30707489266459276,-0.2515089806295635,-0.41096262320693816,True,0,2,2,2021-22,4,Mads_Bech Sørensen
0,0,0,0,0.0,0,0,0.0,2021-09-18T11:30:00Z,0,20,0,0,0,0,5,0,-0.4306326259295366,0.0,0,-0.30745763349387356,-0.28073993815218035,-0.41096262320693816,False,0,2,3,2021-22,5,Mads_Bech Sørensen
0,0,0,0,0.0,0,0,0.0,2021-09-25T16:30:00Z,0,11,0,0,0,0,6,0,-0.4315398987050848,0.0,0,-0.308184841069507,-0.2862809713089401,-0.41096262320693816,True,0,2,4,2021-22,6,Mads_Bech Sørensen
0,0,0,0,0.0,0,0,0.0,2021-10-03T13:00:00Z,0,19,0,0,0,0,7,0,-0.4320378754916639,0.0,0,-0.3079169224890105,-0.29101895618211154,-0.41096262320693816,False,0,2,3,2021-22,7,Mads_Bech Sørensen
0,0,0,0,0.0,0,0,0.0,2021-10-16T16:30:00Z,0,6,0,0,0,0,8,0,-0.43241988508136836,0.0,0,-0.3081082929036509,-0.2926250527492883,-0.41096262320693816,True,0,2,4,2021-22,8,Mads_Bech Sørensen
0,0,0,0,0.0,0,0,0.0,2021-10-24T13:00:00Z,0,9,0,0,0,0,9,0,-0.43262623847580695,0.0,0,-0.3083570744426834,-0.294853511736246,-0.5672736328962047,True,0,2,2,2021-22,9,Mads_Bech Sørensen
0,0,0,0,0.0,0,0,0.0,2021-10-30T14:00:00Z,0,5,0,0,0,0,10,0,-0.432807010870935,0.0,0,-0.30741935941094545,-0.29433153035191356,-0.5672736328962047,False,0,2,2,2021-22,10,Mads_Bech Sørensen
0,0,0,0,0.0,0,0,0.0,2021-11-06T15:00:00Z,0,15,0,0,0,0,11,0,-0.43293662126744187,0.0,0,-0.3077829631987622,-0.29521488346386077,-0.5672736328962047,True,0,2,2,2021-22,11,Mads_Bech Sørensen
0,0,0,0,0.0,0,0,0.0,2021-11-20T15:00:00Z,0,14,0,0,0,0,12,0,-0.43301336426537357,0.0,0,-0.30740022236948145,-0.29557625519147557,-0.5672736328962047,False,0,2,3,2021-22,12,Mads_Bech Sørensen
0,0,0,0,0.0,0,0,0.0,2021-11-28T14:00:00Z,0,8,0,0,0,0,13,0,-0.43316173406137487,0.0,0,-0.3083570744426834,-0.295475874156027,-0.5672736328962047,True,0,2,2,2021-22,13,Mads_Bech Sørensen
0,0,0,0,0.0,0,0,0.0,2021-12-02T19:30:00Z,0,17,0,0,0,0,14,0,-0.4331463854617885,0.0,0,-0.30829966331829123,-0.29710204693029346,-0.5672736328962047,False,0,2,4,2021-22,14,Mads_Bech Sørensen
0,0,0,0,0.0,0,0,0.0,2021-12-05T14:00:00Z,0,10,0,0,0,0,15,0,-0.43312421526238604,0.0,0,-0.30805088177925877,-0.2969815896877552,-0.5672736328962047,False,0,2,2,2021-22,15,Mads_Bech Sørensen
0,0,0,0,0.0,0,0,0.0,2021-12-10T20:00:00Z,0,18,0,0,0,0,16,0,-0.433032123664868,0.0,0,-0.3075724557426578,-0.2969012848593964,-0.5672736328962047,True,0,2,2,2021-22,16,Mads_Bech Sørensen
0,0,11,0,16.1,2,0,12.0,2021-12-26T20:00:00Z,90,4,0,0,0,0,19,0,-0.4327763136717623,2.0,0,-0.3075724557426578,-0.29708197072320375,-0.5672736328962047,False,1,2,2,2021-22,19,Mads_Bech Sørensen
0,0,7,0,0.0,1,0,5.6,2021-12-29T20:15:00Z,90,12,0,0,0,0,20,0,-0.43281042167084305,0.0,2,-0.3078212372816903,-0.2971622755515626,-0.5672736328962047,True,0,2,5,2021-22,20,Mads_Bech Sørensen
0,0,15,0,10.5,1,0,18.4,2022-01-02T14:00:00Z,90,2,0,0,0,0,21,0,-0.43155524730467115,0.0,2,-0.2986737314618797,-0.29519480725677105,-0.5672736328962047,True,0,2,2,2021-22,21,Mads_Bech Sørensen
