assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,threat,total_points,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,season,gw,player
1,3,44,1,33.4,0,1,62.2,2021-08-14T14:00:00Z,65,2,0,0,0,0,1,0,-0.40039127924916773,87.0,12,-0.3547413449207552,-0.3624498750678024,-0.6022854164028745,True,0,2,2,2021-22,1,Emmanuel_Dennis
0,0,6,0,16.1,2,0,11.6,2021-08-21T16:30:00Z,90,4,0,0,0,0,2,0,-0.13440797090370704,22.0,2,2.0187774759997676,0.08610794829790235,-0.5467712660523936,False,0,2,2,2021-22,2,Emmanuel_Dennis
0,0,-2,0,2.0,1,0,0.4,2021-08-29T13:00:00Z,90,17,0,0,0,0,3,0,0.06796235043613355,23.0,1,2.285807760642238,0.5492692572790954,-0.5467712660523936,False,1,2,4,2021-22,3,Emmanuel_Dennis
0,0,1,0,4.2,2,0,1.4,2021-09-11T14:00:00Z,90,20,0,0,0,0,4,0,0.27583183002309364,7.0,1,3.8524043466575213,2.281324768140409,-0.4912571157019126,True,1,2,3,2021-22,4,Emmanuel_Dennis
0,0,26,0,3.2,1,1,35.2,2021-09-18T14:00:00Z,72,15,0,0,0,0,5,0,0.4059659057573975,36.0,6,2.2007830950426825,1.1041129356791062,-0.4912571157019126,False,0,2,2,2021-22,5,Emmanuel_Dennis
0,0,0,0,11.3,1,0,7.8,2021-09-25T14:00:00Z,74,14,0,0,0,0,6,0,0.523178999083011,63.0,1,1.3819143564899103,0.3518891671250755,-0.4357429653514317,True,1,2,2,2021-22,6,Emmanuel_Dennis
0,0,3,0,21.2,1,0,6.8,2021-10-02T14:00:00Z,90,10,0,0,0,0,7,0,0.4350654636429471,35.0,1,0.11409777201819711,1.1597193691283554,-0.4357429653514317,False,1,2,2,2021-22,7,Emmanuel_Dennis
0,0,5,0,5.5,4,0,1.6,2021-10-16T11:30:00Z,68,11,0,0,0,0,8,0,0.3471141589333697,0.0,2,0.011578963485154357,1.1911568119465,-0.4912571157019126,True,0,2,4,2021-22,8,Emmanuel_Dennis
2,2,51,0,40.8,0,1,73.4,2021-10-23T14:00:00Z,26,8,0,0,0,0,9,0,0.3119953774303982,40.0,12,-0.003302799043835719,0.49094408980568627,-0.4912571157019126,False,1,2,2,2021-22,9,Emmanuel_Dennis
0,0,0,0,0.0,0,0,0.0,2021-10-30T14:00:00Z,0,16,0,0,0,0,10,0,0.18420947564079318,0.0,0,-0.200160828026926,1.301703866430918,-0.4912571157019126,True,0,2,2,2021-22,10,Emmanuel_Dennis
0,0,2,0,1.0,1,0,6.8,2021-11-07T14:00:00Z,73,1,0,0,0,0,11,0,0.20561836986853713,12.0,2,0.03861269778337893,-0.017425882091539672,-0.4912571157019126,False,0,2,4,2021-22,11,Emmanuel_Dennis
2,3,48,0,23.6,1,1,66.8,2021-11-20T15:00:00Z,90,13,0,0,0,0,12,0,0.23486347189515178,42.0,14,0.2262735822712354,0.007919377137772821,-0.4912571157019126,True,1,2,3,2021-22,12,Emmanuel_Dennis
1,1,37,0,22.3,4,1,42.6,2021-11-28T14:00:00Z,70,9,0,0,0,0,13,0,0.4402568470185151,60.0,10,1.8008051514627257,-0.21044490093333543,-0.4357429653514317,False,0,2,3,2021-22,13,Emmanuel_Dennis
0,3,36,0,27.5,2,1,45.0,2021-12-01T19:30:00Z,90,6,0,0,0,0,14,0,0.4967956471421782,23.0,9,0.6910131209724186,0.0887268104599504,-0.4357429653514317,True,0,2,4,2021-22,14,Emmanuel_Dennis
0,0,1,0,11.8,3,0,8.6,2021-12-04T17:30:00Z,90,12,0,0,0,0,15,0,1.1475123774509794,36.0,2,6.494225397735813,-0.17758705829848678,-0.32471466465046983,True,0,2,5,2021-22,15,Emmanuel_Dennis
