assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,threat,total_points,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,season,gw,player
0,0,2,0,0.0,0,0,0.0,2019-08-10T14:00:00Z,6,16,0,0,0,0,1,0,-0.4000315905438605,0.0,1,-0.3547413449207552,-0.3624498750678024,-0.04714391289806522,True,0,3,3,2019-20,1,Jay_Rodriguez
0,0,1,0,0.0,1,0,0.0,2019-08-17T11:30:00Z,29,1,0,0,0,0,2,0,-0.40252438159687876,10.0,1,-0.3456322581919651,-0.291174656140537,-0.10265806324854615,False,0,3,4,2019-20,2,Jay_Rodriguez
0,0,4,0,0.1,1,0,2.2,2019-08-25T15:30:00Z,12,20,0,0,0,0,3,0,-0.4060786251436515,0.0,1,-0.3440080816108919,-0.29797703963772115,-0.10265806324854615,False,0,3,3,2019-20,3,Jay_Rodriguez
0,0,0,0,0.5,1,0,4.0,2019-08-31T16:30:00Z,17,10,0,0,0,0,4,0,-0.408261787259627,17.0,1,-0.345015853826859,-0.3163756560134655,-0.15817221359902708,True,0,3,4,2019-20,4,Jay_Rodriguez
0,0,1,0,0.0,0,0,0.0,2019-09-14T14:00:00Z,24,4,0,0,0,0,5,0,-0.4093111883276882,0.0,1,-0.34671830397810444,-0.33416394434296987,-0.15817221359902708,False,0,3,2,2019-20,5,Jay_Rodriguez
0,0,2,0,0.8,0,0,1.0,2019-09-21T14:00:00Z,11,14,0,0,0,0,6,0,-0.4101622043881831,0.0,1,-0.35040694597246946,-0.34500558981890606,-0.213686363949508,True,0,3,2,2019-20,6,Jay_Rodriguez
0,0,24,0,10.3,1,1,35.0,2019-09-28T14:00:00Z,45,2,0,0,0,0,7,0,-0.41072027810105666,19.0,4,-0.35008406749550913,-0.3472804489003461,-0.213686363949508,False,1,3,2,2019-20,7,Jay_Rodriguez
0,0,7,0,0.6,0,0,7.0,2019-10-05T14:00:00Z,17,8,0,0,0,0,8,0,-0.4100546685896892,17.0,1,-0.3442429023214085,-0.35461548232879425,-0.213686363949508,True,0,3,2,2019-20,8,Jay_Rodriguez
0,0,3,0,1.8,2,0,0.2,2019-10-19T14:00:00Z,82,9,0,0,0,0,9,0,-0.41039210850910113,5.0,2,-0.3498492467849925,-0.3513308077526662,-0.213686363949508,False,0,3,3,2019-20,9,Jay_Rodriguez
0,0,26,0,5.3,4,1,39.4,2019-10-26T16:30:00Z,90,6,0,0,0,0,10,0,-0.41020113976349987,42.0,6,-0.3489882375130983,-0.3567349851802823,-0.213686363949508,True,0,3,4,2019-20,10,Jay_Rodriguez
0,0,-1,0,1.6,3,0,0.0,2019-11-02T15:00:00Z,77,15,0,0,0,0,11,0,-0.4067090074106848,10.0,2,-0.31548714947939543,-0.3529176606728902,-0.213686363949508,False,0,3,3,2019-20,11,Jay_Rodriguez
0,0,0,0,0.3,0,0,0.0,2019-11-09T15:00:00Z,9,19,0,0,0,0,12,0,-0.4070306877734209,0.0,1,-0.3448006015088854,-0.3475911613602501,-0.213686363949508,True,0,3,2,2019-20,12,Jay_Rodriguez
0,0,-2,0,0.3,0,0,0.0,2019-11-23T15:00:00Z,15,18,0,0,0,0,13,0,-0.40765179971299775,1.0,1,-0.3461018996129983,-0.341965046461274,-0.213686363949508,False,0,3,3,2019-20,13,Jay_Rodriguez
0,0,3,0,11.6,1,0,1.4,2019-11-30T15:00:00Z,28,7,0,0,0,0,14,0,-0.4081078998238512,9.0,1,-0.3485185960920651,-0.3485454924870981,-0.213686363949508,True,0,3,3,2019-20,14,Jay_Rodriguez
0,0,3,0,1.1,2,0,1.0,2019-12-03T20:15:00Z,31,11,0,0,0,0,15,0,-0.40863723552161,2.0,1,-0.35255946915220504,-0.3528177888107782,-0.213686363949508,True,0,3,4,2019-20,15,Jay_Rodriguez
0,0,-4,0,1.2,5,0,3.0,2019-12-07T15:00:00Z,90,17,0,0,0,0,16,0,-0.4091786226450621,30.0,2,-0.35306824735832437,-0.3530397262821382,-0.213686363949508,False,0,3,4,2019-20,16,Jay_Rodriguez
0,0,3,0,1.5,0,0,2.0,2019-12-14T15:00:00Z,5,13,0,0,0,0,17,0,-0.40976914250403296,0.0,1,-0.3522463748715162,-0.3511754515227142,-0.213686363949508,True,0,3,2,2019-20,17,Jay_Rodriguez
0,3,32,0,0.0,0,1,35.0,2019-12-21T15:00:00Z,15,3,0,0,0,0,18,0,-0.40996103828237984,17.0,8,-0.35295083700306606,-0.3567460820538503,-0.213686363949508,False,0,3,2,2019-20,18,Jay_Rodriguez
0,0,6,0,1.4,1,0,3.0,2019-12-26T15:00:00Z,90,8,0,0,0,0,19,0,-0.4095132814662371,4.0,2,-0.34900780590564134,-0.35896545676745034,-0.213686363949508,False,0,3,4,2019-20,19,Jay_Rodriguez
0,0,7,0,0.3,1,0,14.4,2019-12-28T19:45:00Z,31,12,0,0,0,0,20,0,-0.4096578985745565,18.0,1,-0.35298018959188066,-0.35835512872121034,-0.213686363949508,True,0,3,4,2019-20,20,Jay_Rodriguez
0,0,-3,0,0.9,0,0,0.0,2020-01-01T12:30:00Z,45,2,0,0,0,0,21,0,-0.4096671689020129,26.0,1,-0.3505634931128139,-0.35630220711113025,-0.213686363949508,True,0,3,2,2019-20,21,Jay_Rodriguez
