assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,threat,total_points,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,season,gw,player
0,0,0,0,0.0,0,0,0.0,2020-07-20T19:15:00Z,0,20,0,0,0,0,46,0,-0.42405657117979245,0.0,0,-0.3547413449207552,-0.3624498750678024,-0.8798561681552791,False,0,3,3,2019-20,46,John-Kymani_Gordon
0,0,0,0,0.0,0,0,0.0,2020-07-26T15:00:00Z,0,17,0,0,0,0,47,0,-0.4240250520664408,0.0,0,-0.35444781903260947,-0.3623832938263944,-0.8798561681552791,True,0,3,3,2019-20,47,John-Kymani_Gordon
0,0,0,0,0.0,0,0,0.0,2022-10-01T14:00:00Z,0,6,0,0,0,0,9,0,-0.42405657117979245,0.0,0,-0.3547413449207552,-0.3624498750678024,-0.8798561681552791,True,0,2,3,2022-23,9,John-Kymani_Gordon
0,0,0,0,0.0,0,0,0.0,2022-10-09T13:00:00Z,0,11,0,0,0,0,10,0,-0.4188132739704688,0.0,0,-0.30741518755538705,-0.35533677911071426,-0.8798561681552791,True,0,2,2,2022-23,10,John-Kymani_Gordon
0,0,0,0,0.0,0,0,0.0,2022-10-15T11:30:00Z,0,10,0,0,0,0,11,0,-0.4163102855572486,0.0,0,-0.3238722056840927,-0.3471472864175301,-0.8798561681552791,False,0,2,3,2022-23,11,John-Kymani_Gordon
0,0,0,0,0.0,0,0,0.0,2022-10-18T19:15:00Z,0,20,0,0,0,0,12,0,-0.4151209025445961,0.0,0,-0.33712000743573806,-0.34423990554271405,-0.8798561681552791,True,0,2,2,2022-23,12,John-Kymani_Gordon
0,0,0,0,0.0,0,0,0.0,2022-10-22T14:00:00Z,0,8,0,0,0,0,13,0,-0.41352640622210024,0.0,0,-0.32315795935627134,-0.34517204292242604,-0.8798561681552791,False,0,2,2,2022-23,13,John-Kymani_Gordon
0,0,0,0,0.0,0,0,0.0,2022-10-29T14:00:00Z,0,17,0,0,0,0,14,0,-0.4136061310382251,0.0,0,-0.33424345373190956,-0.33154508218092177,-0.8798561681552791,True,0,2,2,2022-23,14,John-Kymani_Gordon
0,0,0,0,0.0,0,0,0.0,2022-11-06T14:00:00Z,0,19,0,0,0,0,15,0,-0.4124686618593283,0.0,0,-0.3295861763066635,-0.33940166866706595,-0.8798561681552791,False,0,2,3,2022-23,15,John-Kymani_Gordon
0,0,0,0,0.0,0,0,0.0,2022-11-12T15:00:00Z,0,16,0,0,0,0,16,0,-0.4096773662622149,0.0,0,-0.3128356322898121,-0.340833165357338,-0.8798561681552791,False,0,2,2,2022-23,16,John-Kymani_Gordon
