assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,threat,total_points,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,season,gw,player
0,0,0,0,0.0,0,0,0.0,2023-08-14T19:00:00Z,0,20,0,0,0,0,1,0,-0.3414811293621648,0.0,0,-0.3547413449207552,-0.3624498750678024,0.507997590606744,True,0,4,2,2023-24,1,Rasmus_Højlund
0,0,0,0,0.0,0,0,0.0,2023-08-19T16:30:00Z,0,18,0,0,0,0,2,0,-0.350797808455818,0.0,0,-0.30114351774533926,-0.06745058813608465,0.507997590606744,False,0,3,3,2023-24,2,Rasmus_Højlund
0,0,0,0,0.0,0,0,0.0,2023-08-26T14:00:00Z,0,16,0,0,0,0,3,0,-0.35780246788185216,0.0,0,-0.2919170206612909,-0.1689758844097186,0.507997590606744,True,0,4,2,2023-24,3,Rasmus_Højlund
0,0,2,0,0.0,2,0,0.0,2023-09-03T15:30:00Z,23,1,0,0,0,0,4,0,-0.3409666261883362,14.0,1,-0.14108385093945588,-0.2704013088212406,0.507997590606744,False,0,3,4,2023-24,4,Rasmus_Højlund
0,0,3,0,20.9,2,0,3.2,2023-09-16T14:00:00Z,63,5,0,0,0,0,5,0,-0.18963872782327618,10.0,2,1.2163266187906152,-0.17440225558447073,0.507997590606744,True,0,4,3,2023-24,5,Rasmus_Højlund
0,0,1,1,3.8,0,0,3.8,2023-09-23T19:00:00Z,90,6,0,0,0,0,6,0,-0.01897385341697118,11.0,2,1.5888794602214864,-0.11312531974197354,0.563511740957225,False,0,3,2,2023-24,6,Rasmus_Højlund
0,0,0,0,12.4,1,0,8.6,2023-09-30T14:00:00Z,90,8,0,0,0,0,7,0,0.05104863799198406,25.0,2,0.7740515947288543,0.13908442271153537,0.563511740957225,True,0,4,2,2023-24,7,Rasmus_Højlund
0,0,-2,0,13.8,1,0,0.0,2023-10-07T14:00:00Z,90,4,0,0,0,0,8,0,0.16747560754929727,28.0,2,1.3619350277034556,0.4609936280456537,0.563511740957225,True,0,4,3,2023-24,8,Rasmus_Højlund
0,0,0,0,1.7,1,0,6.4,2023-10-21T19:00:00Z,62,17,0,0,0,0,9,0,0.250081641447531,40.0,2,0.986877432027074,0.1604348074563678,0.6190258913077059,False,0,3,2,2023-24,9,Rasmus_Højlund
0,0,6,0,22.8,2,0,3.4,2023-10-29T15:30:00Z,72,13,0,0,0,0,10,0,0.08548512339416665,6.0,2,-0.14266889073544298,1.7603820384906388,0.6190258913077059,True,0,4,5,2023-24,10,Rasmus_Højlund
0,0,8,1,17.4,0,0,5.4,2023-11-04T12:30:00Z,78,10,0,0,0,0,11,0,0.03241064464094949,6.0,2,-0.01116929284614211,0.7587338427486675,0.563511740957225,False,0,3,2,2023-24,11,Rasmus_Højlund
0,0,-2,1,1.0,0,0,1.4,2023-11-11T15:00:00Z,78,12,0,0,0,0,12,0,0.14779748345765784,54.0,2,1.0143318867649742,0.027705102709517208,0.563511740957225,True,0,4,2,2023-24,12,Rasmus_Højlund
0,0,0,0,0.0,0,0,0.0,2023-11-26T16:30:00Z,0,9,0,0,0,0,13,0,-0.05341219288464505,0.0,0,-0.28403095846644144,1.9065056696340656,0.563511740957225,False,0,3,2,2023-24,13,Rasmus_Højlund
0,0,4,0,10.3,0,0,2.2,2023-12-02T20:00:00Z,29,15,0,0,0,0,14,0,-0.08868856995437488,2.0,1,-0.2569776557756738,0.29626053992869045,0.507997590606744,False,0,3,4,2023-24,14,Rasmus_Højlund
0,0,7,0,20.9,1,0,8.6,2023-12-06T20:15:00Z,83,7,0,0,0,0,15,0,-0.11763145930591183,23.0,2,-0.3041276976081545,0.061029014034221854,0.507997590606744,True,0,4,3,2023-24,15,Rasmus_Højlund
0,0,1,0,11.2,2,0,3.4,2023-12-09T15:00:00Z,34,3,0,0,0,0,16,0,-0.10986756006120084,4.0,0,-0.12114365893808718,-0.15617009231224638,0.4524834402562631,True,1,4,2,2023-24,16,Rasmus_Højlund
0,0,-1,1,0.2,0,0,1.4,2023-12-17T16:30:00Z,90,11,0,0,0,0,17,0,-0.147414240324996,24.0,2,-0.30194582183960433,0.1354557450547993,0.4524834402562631,False,0,3,5,2023-24,17,Rasmus_Højlund
0,0,3,0,2.0,0,0,0.0,2023-12-23T12:30:00Z,56,19,0,0,0,0,18,0,-0.13746068973509012,2.0,1,-0.16489858466434862,-0.21042270718619943,0.3969692899057822,False,0,3,3,2023-24,18,Rasmus_Højlund
0,1,33,0,14.4,2,1,35.6,2023-12-26T20:00:00Z,88,2,0,0,0,0,19,0,-0.15766166029526887,23.0,7,-0.3077478502286189,-0.07117913765493272,0.3969692899057822,True,0,4,3,2023-24,19,Rasmus_Højlund
0,0,0,0,0.0,0,0,0.0,2023-12-30T17:30:00Z,0,16,0,0,0,0,20,0,-0.11299351447948924,0.0,0,0.13920401965093118,-0.2832403915394168,0.3969692899057822,False,0,3,2,2023-24,20,Rasmus_Højlund
