assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,threat,total_points,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,season,gw,player
0,0,0,0,0.0,0,0,0.0,2019-02-09T15:00:00Z,0,12,0,0,0,0,26,0,-0.42405657117979245,0.0,0,-0.3547413449207552,-0.3624498750678024,-0.8798561681552791,False,0,2,5,2018-19,26,Sam_Surridge
0,0,0,0,0.0,0,0,0.0,2019-02-23T15:00:00Z,0,20,0,0,0,0,27,0,-0.4209593547766188,0.0,0,-0.3213283146534961,-0.34953311423465017,-0.8798561681552791,True,0,3,3,2018-19,27,Sam_Surridge
0,0,2,0,1.5,0,0,0.0,2019-02-27T19:45:00Z,10,1,0,0,0,0,28,0,-0.42030672372369027,4.0,1,-0.33952691971853327,-0.3546376760759302,-0.8798561681552791,False,0,2,4,2018-19,28,Sam_Surridge
0,0,0,0,0.0,0,0,0.0,2019-03-02T15:00:00Z,0,13,0,0,0,0,29,0,-0.4184804692147851,0.0,0,-0.32690530652826555,-0.3500990547866181,-0.8798561681552791,True,0,3,4,2018-19,29,Sam_Surridge
0,0,0,0,0.0,0,0,0.0,2019-03-09T15:00:00Z,0,10,0,0,0,0,30,0,-0.4176618993003875,0.0,0,-0.3360241774533272,-0.3480017456822661,-0.8798561681552791,False,0,2,2,2018-19,30,Sam_Surridge
0,0,0,0,0.0,0,0,0.0,2019-03-16T15:00:00Z,0,15,0,0,0,0,31,0,-0.41659488461015914,0.0,0,-0.3449473644529583,-0.35077596407426614,-0.8798561681552791,True,0,3,2,2018-19,31,Sam_Surridge
0,0,0,0,0.0,0,0,0.0,2019-03-30T15:00:00Z,0,11,0,0,0,0,32,0,-0.4172781077436937,0.0,0,-0.34561268979942206,-0.3527290138222342,-0.8798561681552791,False,0,2,3,2018-19,32,Sam_Surridge
0,0,0,0,0.0,0,0,0.0,2019-04-06T14:00:00Z,0,4,0,0,0,0,33,0,-0.41719930996031457,0.0,0,-0.3496144260744759,-0.3563465946054023,-0.8798561681552791,True,0,3,2,2018-19,33,Sam_Surridge
0,0,0,0,0.0,0,0,0.0,2019-04-13T14:00:00Z,0,3,0,0,0,0,34,0,-0.4173077727915541,0.0,0,-0.3508863715897742,-0.35705679451375427,-0.8798561681552791,False,0,2,2,2018-19,34,Sam_Surridge
0,0,0,0,0.0,0,0,0.0,2019-04-20T14:00:00Z,0,9,0,0,0,0,35,0,-0.4172688374162374,0.0,0,-0.34954593670057527,-0.35576955717986625,-0.8798561681552791,True,0,3,2,2018-19,35,Sam_Surridge
0,0,0,0,0.0,0,0,0.0,2019-04-27T14:00:00Z,0,16,0,0,0,0,36,0,-0.41727903477643935,0.0,0,-0.3522463748715162,-0.35873242242252235,-0.8798561681552791,False,0,2,2,2018-19,36,Sam_Surridge
0,0,0,0,0.0,0,0,0.0,2019-05-04T11:30:00Z,0,17,0,0,0,0,37,0,-0.4172104343532622,0.0,0,-0.351385365599622,-0.35869913180181834,-0.8798561681552791,True,0,3,4,2018-19,37,Sam_Surridge
0,0,1,0,10.3,0,0,5.0,2019-05-12T14:00:00Z,1,7,0,0,0,0,38,0,-0.4172326831391575,19.0,1,-0.35182565443184066,-0.3582108693648263,-0.8798561681552791,False,0,2,2,2018-19,38,Sam_Surridge
0,0,0,0,0.0,0,0,0.0,2019-08-10T14:00:00Z,0,15,0,0,0,0,1,0,-0.37344058326800494,0.0,0,-0.3547413449207552,-0.3624498750678024,-0.8798561681552791,True,0,2,3,2019-20,1,Sam_Surridge
