assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,threat,total_points,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,season,gw,player
0,1,32,1,0.0,0,0,48.2,2023-08-14T19:00:00Z,90,20,0,0,0,0,1,6,4.449171364669774,0.0,9,-0.3574445731666018,-0.38542827637915184,1.0045095081888542,True,0,4,2,2023-24,1,André_Onana
0,0,19,0,0.0,2,0,39.6,2023-08-19T16:30:00Z,90,18,0,0,0,0,2,5,5.411030816197421,0.0,2,4.476389842253775,1.8866493663041488,1.0045095081888542,False,0,3,3,2023-24,2,André_Onana
0,0,8,0,0.0,2,0,13.6,2023-08-26T14:00:00Z,90,16,0,0,0,0,3,2,5.570124726987478,0.0,0,3.2226258788032345,4.436636332922401,1.0045095081888542,True,1,4,2,2023-24,3,André_Onana
0,0,10,0,0.0,3,0,22.2,2023-09-03T15:30:00Z,90,1,0,0,0,0,4,2,4.981137386050716,0.0,0,0.6499657693954124,11.127281273676116,1.0045095081888542,False,1,3,4,2023-24,4,André_Onana
0,0,18,0,0.0,3,0,41.0,2023-09-16T14:00:00Z,90,5,0,0,0,0,5,5,4.549492295866912,0.0,2,0.5922266394996637,9.451269189411438,1.0045095081888542,True,0,4,3,2023-24,5,André_Onana
0,0,28,1,0.0,0,0,32.2,2023-09-23T19:00:00Z,90,6,0,0,0,0,6,4,4.16414934513897,0.0,7,0.5478072242253682,7.5323802197733745,0.8173996438860021,False,0,3,2,2023-24,6,André_Onana
0,0,16,0,0.2,1,0,10.0,2023-09-30T14:00:00Z,90,8,0,0,0,0,7,1,4.027775822733543,0.0,2,0.9236309152187543,3.672679465170984,0.8173996438860021,True,0,4,2,2023-24,7,André_Onana
0,0,11,0,0.0,1,0,15.6,2023-10-07T14:00:00Z,90,4,0,0,0,0,8,2,3.432647655821742,0.0,2,-0.01653930834826369,9.640201994861402,0.8173996438860021,True,0,4,3,2023-24,8,André_Onana
0,0,18,0,0.0,1,0,31.8,2023-10-21T19:00:00Z,90,17,0,0,0,0,9,5,3.189823504961019,0.0,3,0.17659655366280658,4.890699333775422,0.8173996438860021,False,0,3,2,2023-24,9,André_Onana
0,0,20,0,0.0,3,0,49.2,2023-10-29T15:30:00Z,90,13,0,0,0,0,10,7,2.833128097228626,0.0,2,-0.16030668680826002,5.7415028652565105,0.6302897795831499,True,1,4,5,2023-24,10,André_Onana
0,0,24,1,0.0,0,0,16.4,2023-11-04T12:30:00Z,90,10,0,0,0,0,11,2,2.7391572118838923,0.0,6,0.3664024870185136,2.3372972552219236,0.6302897795831499,False,0,3,2,2023-24,11,André_Onana
0,1,29,1,0.0,0,0,22.6,2023-11-11T15:00:00Z,90,12,0,0,0,0,12,4,2.7752721239067166,0.0,8,0.7786415445916521,0.8230806890937915,0.6302897795831499,True,0,4,2,2023-24,12,André_Onana
0,1,33,1,0.0,0,0,50.6,2023-11-26T16:30:00Z,90,9,0,0,0,0,13,6,2.7545415501004435,0.0,9,1.1149643387833434,1.7818825453228573,0.6302897795831499,False,0,3,2,2023-24,13,André_Onana
0,0,18,0,0.0,1,0,23.8,2023-12-02T20:00:00Z,90,15,0,0,0,0,14,3,2.842654278878921,0.0,3,1.759168059477339,0.9704078835476794,0.6302897795831499,False,0,3,4,2023-24,14,André_Onana
0,0,11,0,0.0,1,0,15.0,2023-12-06T20:15:00Z,90,7,0,0,0,0,15,2,2.9013493574536713,0.0,2,1.518099554711544,0.9939097291235737,0.6302897795831499,True,0,4,3,2023-24,15,André_Onana
0,0,14,0,0.0,3,0,16.6,2023-12-09T15:00:00Z,90,3,0,0,0,0,16,1,3.1194521766345282,0.0,1,3.0258545900950247,0.47136088139704735,0.6302897795831499,True,0,4,2,2023-24,16,André_Onana
0,2,37,1,0.0,0,0,58.0,2023-12-17T16:30:00Z,90,11,0,0,0,0,17,8,2.8414523774557527,0.0,10,-0.0705819119385173,3.9841890839527214,0.6302897795831499,False,0,3,5,2023-24,17,André_Onana
0,0,16,0,0.0,2,0,32.2,2023-12-23T12:30:00Z,90,19,0,0,0,0,18,3,2.892384063134188,0.0,2,0.6987843564712887,0.49993031242524394,0.6302897795831499,False,0,3,3,2023-24,18,André_Onana
0,0,14,0,20.0,2,0,16.0,2023-12-26T20:00:00Z,90,2,0,0,0,0,19,1,2.846794161558722,0.0,1,0.07517120379302593,0.9941300589258477,0.6302897795831499,True,0,4,3,2023-24,19,André_Onana
0,0,12,0,0.0,2,0,5.2,2023-12-30T17:30:00Z,90,16,0,0,0,0,20,0,2.80766114151772,0.0,1,0.4509643449822343,1.3763655442375422,0.6302897795831499,False,0,3,2,2023-24,20,André_Onana
0,0,15,0,0.0,2,0,23.2,2024-01-14T16:30:00Z,90,18,0,0,0,0,21,3,2.339591760981795,0.0,2,-0.20380960795722616,7.168138334980724,0.6302897795831499,True,0,4,3,2023-24,21,André_Onana
0,0,11,0,0.0,3,0,19.6,2024-02-01T20:15:00Z,90,20,0,0,0,0,22,3,2.2211443757285814,0.0,1,-0.2676892484926814,2.074039863138194,0.6302897795831499,False,1,3,2,2023-24,22,André_Onana
0,1,29,1,0.0,0,0,32.4,2024-02-04T14:00:00Z,90,19,0,0,0,0,23,4,2.1928284684960917,0.0,8,-0.23099893367533003,0.3326632708655582,0.6302897795831499,True,0,4,2,2023-24,23,André_Onana
