assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,threat,total_points,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,season,gw,player
0,0,0,0,0.0,0,0,0.0,2023-08-11T19:00:00Z,0,13,0,0,0,0,1,0,-0.5334445296760494,0.0,0,-0.3574445731666018,-0.38542827637915184,-0.8665891348396673,True,0,2,5,2023-24,1,Denis_Franchi
0,0,0,0,0.0,0,0,0.0,2023-08-27T13:00:00Z,0,2,0,0,0,0,3,0,-0.532774580919802,0.0,0,-0.3492266758428153,-0.34459381969103536,-0.8665891348396673,True,0,2,3,2023-24,3,Denis_Franchi
0,0,0,0,0.0,0,0,0.0,2023-09-02T14:00:00Z,0,18,0,0,0,0,4,0,-0.5341812507335839,0.0,0,-0.35252605469400095,-0.3459525201383918,-0.8665891348396673,True,0,2,3,2023-24,4,Denis_Franchi
0,0,0,0,0.0,0,0,0.0,2023-09-18T18:45:00Z,0,16,0,0,0,0,5,0,-0.5346642370462273,0.0,0,-0.3511513135060069,-0.3592090299085447,-0.8665891348396673,False,0,2,2,2023-24,5,Denis_Franchi
0,0,0,0,0.0,0,0,0.0,2023-09-23T19:00:00Z,0,14,0,0,0,0,6,0,-0.535599049264247,0.0,0,-0.35414519431541613,-0.3631015230820522,-0.8665891348396673,True,0,2,3,2023-24,6,Denis_Franchi
0,0,0,0,0.0,0,0,0.0,2023-09-30T14:00:00Z,0,15,0,0,0,0,7,0,-0.5363335445784052,0.0,0,-0.35240385547729036,-0.36398284229114825,-0.8665891348396673,False,0,2,4,2023-24,7,Denis_Franchi
0,0,0,0,0.0,0,0,0.0,2023-10-03T18:30:00Z,0,12,0,0,0,0,7,0,-0.5363335445784052,0.0,0,-0.35240385547729036,-0.36398284229114825,-0.8665891348396673,False,0,2,2,2023-24,7,Denis_Franchi
0,0,0,0,0.0,0,0,0.0,2023-10-07T14:00:00Z,0,7,0,0,0,0,8,0,-0.5311186278478816,0.0,0,-0.27743463602535007,-0.3512037137592557,-1.0536989991425194,True,0,2,3,2023-24,8,Denis_Franchi
0,0,0,0,0.0,0,0,0.0,2023-10-21T14:00:00Z,0,4,0,0,0,0,9,0,-0.5291955855708126,0.0,0,-0.31009237669125234,-0.36398284229114825,-1.0536989991425194,False,0,2,3,2023-24,9,Denis_Franchi
0,0,0,0,0.0,0,0,0.0,2023-10-28T14:00:00Z,0,3,0,0,0,0,10,0,-0.5285122823543078,0.0,0,-0.3231676928792843,-0.3560509694092839,-1.0536989991425194,False,0,2,2,2023-24,10,Denis_Franchi
