assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,threat,total_points,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,season,gw,player
0,0,0,0,0.0,0,0,0.0,2021-12-14T19:45:00Z,0,15,0,0,0,0,17,0,-0.5645715507927263,0.0,0,-0.3574445731666018,-0.38542827637915184,-0.8665891348396673,False,0,2,2,2021-22,17,Filip_Marschall
0,0,0,0,0.0,0,0,0.0,2021-12-26T17:30:00Z,0,6,0,0,0,0,19,0,-0.5628176650122514,0.0,0,-0.3521594570438692,-0.3828577620192884,-0.8665891348396673,True,0,2,4,2021-22,19,Filip_Marschall
0,0,0,0,0.0,0,0,0.0,2022-01-02T14:00:00Z,0,3,0,0,0,0,21,0,-0.5631047859077859,0.0,0,-0.3527704531274221,-0.3829679269204254,-0.8665891348396673,False,0,2,2,2021-22,21,Filip_Marschall
0,0,0,0,0.0,0,0,0.0,2022-01-15T17:30:00Z,0,13,0,0,0,0,22,0,-0.5628644056231523,0.0,0,-0.3535647480360409,-0.3816826697404937,-0.8665891348396673,True,0,2,3,2021-22,22,Filip_Marschall
0,0,0,0,0.0,0,0,0.0,2022-01-22T12:30:00Z,0,8,0,0,0,0,23,0,-0.5629445323846969,0.0,0,-0.3557643339368313,-0.3835187514261104,-0.8665891348396673,False,0,2,2,2021-22,23,Filip_Marschall
0,0,0,0,0.0,0,0,0.0,2022-02-09T20:00:00Z,0,10,0,0,0,0,24,0,-0.562739763994083,0.0,0,-0.35469509079061373,-0.3838492461295214,-0.8665891348396673,True,0,2,2,2021-22,24,Filip_Marschall
0,0,0,0,0.0,0,0,0.0,2022-02-13T14:00:00Z,0,14,0,0,0,0,25,0,-0.5628933402870434,0.0,0,-0.35735292375406885,-0.38311481345527476,-0.8665891348396673,False,0,2,3,2021-22,25,Filip_Marschall
0,0,0,0,0.0,0,0,0.0,2022-02-19T15:00:00Z,0,18,0,0,0,0,26,0,-0.5630691740137661,0.0,0,-0.3574445731666018,-0.3828210403855761,-0.8665891348396673,True,0,2,2,2021-22,26,Filip_Marschall
0,0,0,0,0.0,0,0,0.0,2022-02-26T15:30:00Z,0,4,0,0,0,0,27,0,-0.5631559780054394,0.0,0,-0.3574445731666018,-0.3838492461295214,-0.8665891348396673,False,0,2,2,2021-22,27,Filip_Marschall
0,0,0,0,0.0,0,0,0.0,2022-03-05T15:00:00Z,0,16,0,0,0,0,28,0,-0.5632116215898453,0.0,0,-0.3574445731666018,-0.38428990573406946,-0.8665891348396673,True,0,2,2,2021-22,28,Filip_Marschall
0,0,0,0,0.0,0,0,0.0,2022-03-10T19:45:00Z,0,10,0,0,0,0,28,0,-0.5632116215898453,0.0,0,-0.3574445731666018,-0.38428990573406946,-0.8665891348396673,False,0,2,2,2021-22,28,Filip_Marschall
0,0,0,0,0.0,0,0,0.0,2022-03-13T14:00:00Z,0,19,0,0,0,0,29,0,-0.5632694909176275,0.0,0,-0.3574445731666018,-0.3845102355363435,-0.8665891348396673,False,0,2,3,2021-22,29,Filip_Marschall
0,0,0,0,0.0,0,0,0.0,2022-03-19T12:30:00Z,0,1,0,0,0,0,30,0,-0.5633162315285285,0.0,0,-0.3574445731666018,-0.38498761677460386,-0.8665891348396673,True,0,2,4,2021-22,30,Filip_Marschall
0,0,0,0,0.0,0,0,0.0,2022-04-02T14:00:00Z,0,20,0,0,0,0,31,0,-0.563311780041776,0.0,0,-0.3574445731666018,-0.3850243384083162,-0.8665891348396673,False,0,2,3,2021-22,31,Filip_Marschall
0,0,0,0,0.0,0,0,0.0,2022-04-09T16:30:00Z,0,17,0,0,0,0,32,0,-0.5633206830152809,0.0,0,-0.3574445731666018,-0.38520794657687785,-0.8665891348396673,True,0,2,3,2021-22,32,Filip_Marschall
0,0,0,0,0.0,0,0,0.0,2022-04-23T14:00:00Z,0,9,0,0,0,0,34,0,-0.5633629721394294,0.0,0,-0.3574445731666018,-0.38524466821059017,-0.8665891348396673,False,0,2,3,2021-22,34,Filip_Marschall
0,0,0,0,0.0,0,0,0.0,2022-04-30T14:00:00Z,0,15,0,0,0,0,35,0,-0.5633763265996868,0.0,0,-0.3574445731666018,-0.38520794657687785,-0.8665891348396673,True,0,2,2,2021-22,35,Filip_Marschall
0,0,0,0,0.0,0,0,0.0,2022-05-07T14:00:00Z,0,5,0,0,0,0,36,0,-0.5634208414672116,0.0,0,-0.3574445731666018,-0.3847672869723298,-0.8665891348396673,False,0,2,2,2021-22,36,Filip_Marschall
0,0,0,0,0.0,0,0,0.0,2022-05-10T19:00:00Z,0,11,0,0,0,0,36,0,-0.5634208414672116,0.0,0,-0.3574445731666018,-0.3847672869723298,-0.8665891348396673,True,0,2,4,2021-22,36,Filip_Marschall
0,0,0,0,0.0,0,0,0.0,2022-05-15T13:00:00Z,0,7,0,0,0,0,37,0,-0.5634364216708453,0.0,0,-0.3574445731666018,-0.3851712249431655,-0.8665891348396673,True,0,2,2,2021-22,37,Filip_Marschall
0,0,0,0,0.0,0,0,0.0,2022-05-19T19:00:00Z,0,5,0,0,0,0,37,0,-0.5634364216708453,0.0,0,-0.3574445731666018,-0.3851712249431655,-0.8665891348396673,True,0,2,2,2021-22,37,Filip_Marschall
0,0,0,0,0.0,0,0,0.0,2022-05-22T15:00:00Z,0,12,0,0,0,0,38,0,-0.5634586791046077,0.0,0,-0.3574445731666018,-0.3850243384083162,-0.8665891348396673,False,0,2,5,2021-22,38,Filip_Marschall
0,0,0,0,0.0,0,0,0.0,2022-12-26T17:30:00Z,0,12,0,0,0,0,17,0,-0.5645715507927263,0.0,0,-0.3574445731666018,-0.38542827637915184,-0.8665891348396673,True,0,2,4,2022-23,17,Filip_Marschall
0,0,0,0,0.0,0,0,0.0,2023-01-01T14:00:00Z,0,18,0,0,0,0,18,0,-0.5638926990629739,0.0,0,-0.34925722564699296,-0.38366563796095976,-0.8665891348396673,False,0,2,4,2022-23,18,Filip_Marschall
0,0,0,0,0.0,0,0,0.0,2023-01-04T20:00:00Z,0,20,0,0,0,0,19,0,-0.5634831622817462,0.0,0,-0.35154846096031633,-0.3825639889495897,-0.8665891348396673,True,0,2,2,2022-23,19,Filip_Marschall
0,0,0,0,0.0,0,0,0.0,2023-01-13T20:00:00Z,0,11,0,0,0,0,20,0,-0.5627086035868157,0.0,0,-0.3472409385712684,-0.38083807216511,-0.8665891348396673,True,0,2,2,2022-23,20,Filip_Marschall
0,0,0,0,0.0,0,0,0.0,2023-01-21T15:00:00Z,0,17,0,0,0,0,21,0,-0.5623747420803802,0.0,0,-0.3501737197723223,-0.38058102072912364,-0.8665891348396673,False,0,2,2,2022-23,21,Filip_Marschall
0,0,0,0,0.0,0,0,0.0,2023-02-04T15:00:00Z,0,10,0,0,0,0,22,0,-0.5624927064793207,0.0,0,-0.35423684372794906,-0.3777167332995615,-0.8665891348396673,True,0,2,3,2022-23,22,Filip_Marschall
0,0,0,0,0.0,0,0,0.0,2023-02-12T16:30:00Z,0,13,0,0,0,0,23,0,-0.5627219580470731,0.0,0,-0.3574445731666018,-0.3817928346416307,-0.8665891348396673,False,0,2,5,2022-23,23,Filip_Marschall
0,0,0,0,0.0,0,0,0.0,2023-02-18T12:30:00Z,0,1,0,0,0,0,24,0,-0.5628577283930236,0.0,0,-0.3574445731666018,-0.38304137018785006,-0.8665891348396673,True,0,2,4,2022-23,24,Filip_Marschall
0,0,0,0,0.0,0,0,0.0,2023-02-25T15:00:00Z,0,8,0,0,0,0,25,0,-0.5629912729955978,0.0,0,-0.3574445731666018,-0.3835554730598228,-0.8665891348396673,False,0,2,2,2022-23,25,Filip_Marschall
0,0,0,0,0.0,0,0,0.0,2023-03-04T15:00:00Z,0,7,0,0,0,0,26,0,-0.563040239349875,0.0,0,-0.3574445731666018,-0.3841797408329325,-0.8665891348396673,True,0,2,2,2022-23,26,Filip_Marschall
