assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,threat,total_points,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,season,gw,player
0,1,31,1,0.0,0,0,32.4,2019-05-04T11:30:00Z,90,17,0,0,0,0,37,5,-0.5645715507927263,0.0,8,-0.3574445731666018,-0.38542827637915184,-0.8665891348396673,True,0,3,4,2018-19,37,Mark_Travers
0,0,15,0,0.0,5,0,35.8,2019-05-12T14:00:00Z,90,7,0,0,0,0,38,4,-0.5130255599424496,0.0,1,0.21218707552976276,-0.3408114914186649,-0.8665891348396673,False,0,2,2,2018-19,38,Mark_Travers
0,0,0,0,0.0,0,0,0.0,2019-08-10T14:00:00Z,0,15,0,0,0,0,1,0,-0.5275129235783773,0.0,0,-0.3574445731666018,-0.38542827637915184,0.06896018667459348,True,0,2,3,2019-20,1,Mark_Travers
0,0,0,0,0.0,0,0,0.0,2019-08-17T14:00:00Z,0,2,0,0,0,0,2,0,-0.5304509048350103,0.0,0,-0.3529843017566656,-0.289952028727081,0.06896018667459348,False,0,2,2,2019-20,2,Mark_Travers
0,0,0,0,0.0,0,0,0.0,2019-08-25T13:00:00Z,0,11,0,0,0,0,3,0,-0.5323049490674159,0.0,0,-0.3492266758428153,-0.328326135956471,-0.11814967762825866,True,0,2,4,2019-20,3,Mark_Travers
0,0,0,0,0.0,0,0,0.0,2019-08-31T14:00:00Z,0,9,0,0,0,0,4,0,-0.533638169349782,0.0,0,-0.3462938946417614,-0.336772111710308,-0.11814967762825866,False,0,2,3,2019-20,4,Mark_Travers
0,0,0,0,0.0,0,0,0.0,2019-09-15T13:00:00Z,0,8,0,0,0,0,5,0,-0.5342368943179898,0.0,0,-0.34549959973314265,-0.34742138548688517,-0.11814967762825866,True,0,2,2,2019-20,5,Mark_Travers
0,0,0,0,0.0,0,0,0.0,2019-09-20T19:00:00Z,0,16,0,0,0,0,6,0,-0.5349825183490292,0.0,0,-0.35209835743551393,-0.36177954426840814,-0.11814967762825866,False,0,2,2,2019-20,6,Mark_Travers
0,0,0,0,0.0,0,0,0.0,2019-09-28T14:00:00Z,0,19,0,0,0,0,7,0,-0.5357503998138311,0.0,0,-0.35292320214831036,-0.36218348223924385,-0.11814967762825866,True,0,2,2,2019-20,7,Mark_Travers
0,0,0,0,0.0,0,0,0.0,2019-10-06T13:00:00Z,0,1,0,0,0,0,8,0,-0.5363758337025537,0.0,0,-0.3548783896156796,-0.36860976813890245,-0.11814967762825866,False,0,2,4,2019-20,8,Mark_Travers
