assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,threat,total_points,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,season,gw,player
0,0,15,0,0.0,2,0,33.0,2018-08-11T11:30:00Z,90,17,0,0,0,0,1,3,-0.5234019755624673,0.0,2,-0.3574445731666018,-0.38542827637915184,1.0045095081888542,True,0,3,4,2018-19,1,Martin_Dubravka
0,0,20,1,0.0,0,0,0.0,2018-08-18T11:30:00Z,90,5,0,0,0,0,2,0,-0.5140827880461621,0.0,6,-0.31158931709595694,-0.3557571963395852,1.0045095081888542,False,0,2,2,2018-19,2,Martin_Dubravka
0,0,12,0,0.0,2,0,17.6,2018-08-26T15:00:00Z,90,6,0,0,0,0,3,2,-0.5117835951385092,0.0,1,-0.3154080426181625,-0.3321084642288415,1.0045095081888542,True,0,3,4,2018-19,3,Martin_Dubravka
0,0,22,0,0.0,2,0,47.4,2018-09-01T16:30:00Z,90,13,0,0,0,0,4,6,-0.5118347872361626,0.0,3,-0.33386012434146,-0.33350388630991024,1.0045095081888542,False,0,2,5,2018-19,4,Martin_Dubravka
0,0,8,0,0.0,2,0,3.4,2018-09-15T14:00:00Z,90,1,0,0,0,0,5,0,-0.5084383028440247,0.0,1,-0.3017217303465777,-0.33934262607017146,1.0045095081888542,True,0,3,4,2018-19,5,Martin_Dubravka
0,3,29,1,0.0,0,0,25.4,2018-09-22T14:00:00Z,90,7,0,0,0,0,6,4,-0.5082980810113218,0.0,10,-0.33101899255293904,-0.3455485821675561,1.0045095081888542,False,0,2,2,2018-19,6,Martin_Dubravka
0,0,12,0,0.0,2,0,25.0,2018-09-29T14:00:00Z,90,11,0,0,0,0,7,3,-0.5038911091263721,0.0,2,-0.29255678909328425,-0.3574463914903526,1.0045095081888542,True,0,3,3,2018-19,7,Martin_Dubravka
0,0,25,0,0.0,3,0,46.0,2018-10-06T16:30:00Z,90,14,0,0,0,0,8,7,-0.5043941271294018,0.0,3,-0.3293387533231686,-0.3422803567671583,1.0045095081888542,False,0,2,4,2018-19,8,Martin_Dubravka
0,0,11,0,0.0,1,0,15.4,2018-10-20T14:00:00Z,90,3,0,0,0,0,9,1,-0.49440053937009687,0.0,2,-0.2015794722522581,-0.32674710570684057,1.0045095081888542,True,0,3,2,2018-19,9,Martin_Dubravka
0,2,28,1,0.0,0,0,32.0,2018-10-27T14:00:00Z,90,16,0,0,0,0,10,4,-0.4971649126433834,0.0,9,-0.33272978158688715,-0.3192558924295243,1.0045095081888542,False,0,2,2,2018-19,10,Martin_Dubravka
0,0,21,1,0.0,0,0,11.2,2018-11-03T15:00:00Z,90,18,0,0,0,0,11,1,-0.4957493398560966,0.0,6,-0.3148581461429649,-0.34485087112702173,1.0045095081888542,True,0,3,3,2018-19,11,Martin_Dubravka
0,0,13,0,0.0,1,0,22.4,2018-11-10T15:00:00Z,90,2,0,0,0,0,12,3,-0.49105079558885995,0.0,3,-0.27786233328383714,-0.3472010556846112,1.0045095081888542,True,0,3,2,2018-19,12,Martin_Dubravka
0,0,16,0,0.0,1,0,32.2,2018-11-26T20:30:00Z,90,4,0,0,0,0,13,3,-0.48676623958960336,0.0,3,-0.2863551788452224,-0.34055443998267854,1.0045095081888542,False,0,2,3,2018-19,13,Martin_Dubravka
0,0,11,0,0.0,3,0,11.8,2018-12-01T15:00:00Z,90,19,0,0,0,0,14,1,-0.48582029865470255,0.0,1,-0.31708828184793303,-0.351130270491831,1.0045095081888542,True,0,3,3,2018-19,14,Martin_Dubravka
0,0,14,0,0.0,1,0,19.6,2018-12-05T19:45:00Z,90,8,0,0,0,0,15,2,-0.48914778500217715,0.0,2,-0.3480352334798872,-0.3216795202545384,1.0045095081888542,False,0,2,3,2018-19,15,Martin_Dubravka
0,0,15,0,0.0,2,0,32.0,2018-12-09T16:00:00Z,90,20,0,0,0,0,16,4,-0.48904094932011777,0.0,2,-0.33321857845372943,-0.3479722099925702,1.0045095081888542,True,0,3,3,2018-19,16,Martin_Dubravka
0,2,31,1,0.0,0,0,26.2,2018-12-15T15:00:00Z,90,10,0,0,0,0,17,5,-0.48853793131708817,0.0,9,-0.32093755717431627,-0.34191314043003496,1.0045095081888542,False,0,2,2,2018-19,17,Martin_Dubravka
0,0,26,1,0.0,0,0,16.6,2018-12-22T15:00:00Z,90,9,0,0,0,0,18,2,-0.47995991634507007,0.0,6,-0.2279134034533879,-0.34037083181411687,1.0045095081888542,True,0,3,2,2018-19,18,Martin_Dubravka
0,0,18,0,0.0,4,0,33.2,2018-12-26T15:00:00Z,90,12,0,0,0,0,19,4,-0.4840730901043564,0.0,1,-0.3112838190541805,-0.27445549930047564,1.0045095081888542,False,0,2,5,2018-19,19,Martin_Dubravka
0,0,18,0,0.0,1,0,26.2,2018-12-29T15:00:00Z,90,18,0,0,0,0,20,4,-0.484622848718287,0.0,3,-0.32796401213517457,-0.3314841964557318,1.0045095081888542,False,0,2,3,2018-19,20,Martin_Dubravka
0,0,15,0,0.0,2,0,31.4,2019-01-02T20:00:00Z,90,14,0,0,0,0,21,5,-0.4860450987357025,0.0,2,-0.32432858543803483,-0.3152165127211674,1.0045095081888542,True,0,3,4,2018-19,21,Martin_Dubravka
0,0,17,0,0.0,2,0,31.6,2019-01-12T17:30:00Z,90,6,0,0,0,0,22,4,-0.4884021609711377,0.0,2,-0.32808621135188515,-0.29994031309683605,1.0045095081888542,False,0,2,4,2018-19,22,Martin_Dubravka
0,0,23,1,0.0,0,0,11.6,2019-01-19T15:00:00Z,90,5,0,0,0,0,23,1,-0.4829490896993566,0.0,6,-0.23548975488944382,-0.3069174235021797,1.0045095081888542,True,0,3,2,2018-19,23,Martin_Dubravka
0,0,13,0,0.0,1,0,17.6,2019-01-29T20:00:00Z,90,13,0,0,0,0,24,2,-0.4869442990597023,0.0,2,-0.32548947799678535,-0.2824240938160523,1.0045095081888542,True,0,3,4,2018-19,24,Martin_Dubravka
0,0,9,0,0.0,1,0,7.6,2019-02-02T12:30:00Z,90,17,0,0,0,0,25,1,-0.4867083702618212,0.0,2,-0.324053637200436,-0.3481190965274195,1.0045095081888542,False,0,2,4,2018-19,25,Martin_Dubravka
0,1,18,0,0.0,1,0,34.2,2019-02-11T20:00:00Z,90,20,0,0,0,0,26,5,-0.4834632364192674,0.0,4,-0.2904183028008491,-0.3438226653830764,1.0045095081888542,False,0,2,3,2018-19,26,Martin_Dubravka
0,0,22,1,0.0,0,0,9.8,2019-02-23T15:00:00Z,90,10,0,0,0,0,27,1,-0.40022933712150205,0.0,6,0.23225829687447538,-0.32704087877653926,1.0045095081888542,True,0,3,2,2018-19,27,Martin_Dubravka
0,0,25,1,0.0,0,0,21.0,2019-02-26T20:00:00Z,90,4,0,0,0,0,28,2,-0.43685394437748476,0.0,6,-0.18086670501981494,-0.2620068654719941,1.0045095081888542,True,0,3,2,2018-19,28,Martin_Dubravka
0,0,9,0,0.0,2,0,12.6,2019-03-02T17:30:00Z,90,19,0,0,0,0,29,2,-0.4323089764032084,0.0,0,-0.19828009340107247,-0.26645018315118657,1.0045095081888542,False,1,2,3,2018-19,29,Martin_Dubravka
0,0,8,0,0.0,2,0,8.4,2019-03-09T15:00:00Z,90,8,0,0,0,0,30,1,-0.4333728817370498,0.0,1,-0.287332772578907,-0.27754011653231175,1.0045095081888542,True,0,3,2,2018-19,30,Martin_Dubravka
0,0,9,0,0.0,2,0,2.8,2019-03-16T15:00:00Z,90,2,0,0,0,0,31,0,-0.4080149874515797,0.0,1,-0.2363756992105955,-0.3071744749381661,1.0045095081888542,False,0,2,3,2018-19,31,Martin_Dubravka
0,0,12,0,0.0,2,0,9.2,2019-04-01T19:00:00Z,90,1,0,0,0,0,32,1,-0.4491979171420961,0.0,1,-0.32747521526833223,-0.12679781014317676,1.0045095081888542,False,0,2,4,2018-19,32,Martin_Dubravka
0,0,7,0,0.0,1,0,2.8,2019-04-06T14:00:00Z,90,7,0,0,0,0,33,0,-0.42046579589825045,0.0,2,-0.11799520802222199,-0.335780627600075,1.0045095081888542,True,0,3,2,2018-19,33,Martin_Dubravka
0,2,31,1,0.0,0,0,41.6,2019-04-12T19:00:00Z,90,11,0,0,0,0,34,5,-0.43944693541080104,0.0,9,-0.33859534398899493,-0.15768070409525045,1.0045095081888542,False,0,2,3,2018-19,34,Martin_Dubravka
0,0,14,0,0.0,1,0,23.4,2019-04-20T16:30:00Z,90,16,0,0,0,0,35,3,-0.4369830374933065,0.0,3,-0.24187466396257157,-0.2856923192164501,1.0045095081888542,True,0,3,2,2018-19,35,Martin_Dubravka
0,0,12,0,0.0,1,0,10.6,2019-04-27T16:30:00Z,90,3,0,0,0,0,36,1,-0.433430751064832,0.0,2,-0.2740130579574539,-0.3242500346144018,1.0045095081888542,False,0,2,2,2018-19,36,Martin_Dubravka
0,0,11,0,0.0,3,0,10.6,2019-05-04T18:45:00Z,90,12,0,0,0,0,37,1,-0.4404997120277612,0.0,1,-0.33859534398899493,-0.25381794115414336,1.0045095081888542,True,0,3,4,2018-19,37,Martin_Dubravka
0,0,27,1,0.0,0,0,20.2,2019-05-12T14:00:00Z,90,9,0,0,0,0,38,2,-0.4236397059527647,0.0,6,-0.10962456167754733,-0.3204677063420313,1.0045095081888542,False,0,2,2,2018-19,38,Martin_Dubravka
0,0,9,0,0.0,1,0,11.0,2019-08-11T13:00:00Z,90,1,0,0,0,0,1,1,-0.43963167211102877,0.0,2,-0.3574445731666018,-0.38542827637915184,1.0045095081888542,True,0,2,3,2019-20,1,Martin_Dubravka
0,0,18,0,0.0,3,0,38.6,2019-08-17T14:00:00Z,90,14,0,0,0,0,2,5,-0.42816019074990236,0.0,2,-0.2541556852419848,-0.21595793679672604,1.0045095081888542,False,0,2,2,2019-20,2,Martin_Dubravka
0,0,25,1,0.0,0,0,14.2,2019-08-25T15:30:00Z,90,17,0,0,0,0,3,2,-0.4375773109747618,0.0,6,-0.33499046709603286,-0.15716660122327777,1.0045095081888542,False,0,2,4,2019-20,3,Martin_Dubravka
