assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,threat,total_points,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,season,gw,player
0,0,0,0,0.0,0,0,0.0,2018-08-12T15:00:00Z,0,13,0,0,0,0,1,0,-0.29413571256813786,0.0,0,-0.2516120131319523,-0.2564361056003824,0.039049208268215764,True,0,4,4,2018-19,1,Alex_Iwobi
0,0,30,0,26.0,2,1,40.4,2018-08-18T16:30:00Z,74,6,0,0,0,0,2,0,-0.29684259353765147,27.0,7,-0.24217624834234489,-0.13628344630016964,0.039049208268215764,False,0,4,4,2018-19,2,Alex_Iwobi
1,0,16,0,12.7,1,0,19.0,2018-08-25T14:00:00Z,45,19,0,0,0,0,3,0,-0.2228140369795029,2.0,4,0.3418975921343544,-0.07124313133032456,0.039049208268215764,True,0,4,3,2018-19,3,Alex_Iwobi
0,0,0,0,0.0,0,0,0.0,2018-09-02T12:30:00Z,0,5,0,0,0,0,4,0,-0.18321936749584558,0.0,0,0.21068412863469418,-0.024557454762245145,0.039049208268215764,False,0,4,2,2018-19,4,Alex_Iwobi
0,0,0,0,0.0,0,0,0.0,2018-09-15T14:00:00Z,0,15,0,0,0,0,5,0,-0.22115786432401233,0.0,0,-0.16987294023809937,0.19456819314062831,0.039049208268215764,False,0,4,3,2018-19,5,Alex_Iwobi
0,0,3,0,11.4,0,0,4.8,2018-09-23T15:00:00Z,21,8,0,0,0,0,6,0,-0.2450441915334956,6.0,1,-0.22309347029769108,0.029554020983329623,0.039049208268215764,True,0,4,2,2018-19,6,Alex_Iwobi
1,0,9,0,1.5,0,0,1.8,2018-09-29T14:00:00Z,27,18,0,0,0,0,7,0,-0.25652946218918865,18.0,4,-0.23336014571802513,-0.11378004618402073,0.039049208268215764,True,0,4,3,2018-19,7,Alex_Iwobi
0,0,7,0,3.2,1,0,10.2,2018-10-07T11:00:00Z,66,9,0,0,0,0,8,0,-0.2525947872347493,14.0,2,-0.18101277598224785,-0.1965615639714036,0.039049208268215764,False,0,4,2,2018-19,8,Alex_Iwobi
0,0,21,0,26.3,1,0,23.6,2018-10-22T19:00:00Z,90,11,0,0,0,0,9,0,-0.2462315087936436,27.0,2,-0.1428190534308817,-0.17376758910483092,0.039049208268215764,True,0,4,3,2018-19,9,Alex_Iwobi
0,0,4,0,5.3,2,0,4.0,2018-10-28T13:30:00Z,90,7,0,0,0,0,10,0,-0.23444772229271446,14.0,2,-0.10335784008688172,-0.1865851642068555,0.039049208268215764,False,0,4,2,2018-19,10,Alex_Iwobi
1,0,16,0,19.0,0,0,22.4,2018-11-03T17:30:00Z,22,12,0,0,0,0,11,0,-0.24106903985427847,4.0,4,-0.201123629892038,-0.13353912921283442,0.039049208268215764,True,0,4,4,2018-19,11,Alex_Iwobi
0,0,4,0,9.6,1,0,4.6,2018-11-11T16:30:00Z,45,20,0,0,0,0,12,0,-0.22968496101052985,20.0,1,-0.12444043693769112,-0.19804672380690266,0.039049208268215764,True,0,4,3,2018-19,12,Alex_Iwobi
0,0,6,0,15.4,1,0,6.6,2018-11-25T13:30:00Z,81,2,0,0,0,0,13,0,-0.2340901778905108,38.0,2,-0.20801032986534848,-0.15896441987491086,0.039049208268215764,False,0,4,3,2018-19,13,Alex_Iwobi
0,0,-2,0,3.8,2,0,2.4,2018-12-02T14:05:00Z,45,17,0,0,0,0,14,0,-0.23583573664655225,42.0,1,-0.21891075068199944,-0.1963194183460505,0.039049208268215764,True,0,4,4,2018-19,14,Alex_Iwobi
