assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,threat,total_points,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,season,gw,player
0,0,0,0,0.0,0,0,0.0,2019-08-10T14:00:00Z,0,15,0,0,0,0,1,0,-0.34721756405378895,0.0,0,-0.2516120131319523,-0.2564361056003824,0.4059362031489215,True,0,2,3,2019-20,1,Arnaut_Danjuma Groeneveld
0,0,0,0,0.0,0,0,0.0,2019-08-17T14:00:00Z,0,2,0,0,0,0,2,0,-0.348725322051761,0.0,0,-0.24992202540844055,-0.23183411006450647,0.4059362031489215,False,0,2,2,2019-20,2,Arnaut_Danjuma Groeneveld
0,0,0,0,0.0,0,0,0.0,2019-08-25T13:00:00Z,0,11,0,0,0,0,3,0,-0.3504017330696404,0.0,0,-0.25128809881827924,-0.23913076490848018,0.33255880417278033,True,0,2,4,2019-20,3,Arnaut_Danjuma Groeneveld
0,0,0,0,0.0,0,0,0.0,2019-08-31T14:00:00Z,0,9,0,0,0,0,4,0,-0.35119440226320514,0.0,0,-0.2513866814354841,-0.24817086825499624,0.33255880417278033,False,0,2,3,2019-20,4,Arnaut_Danjuma Groeneveld
0,0,0,0,0.0,0,0,0.0,2019-09-15T13:00:00Z,0,8,0,0,0,0,5,0,-0.3516109752223764,0.0,0,-0.2514148478975426,-0.2518837678437439,0.2591814051966392,True,0,2,2,2019-20,5,Arnaut_Danjuma Groeneveld
0,0,0,0,0.0,0,0,0.0,2019-09-20T19:00:00Z,0,16,0,0,0,0,6,0,-0.35175601681949675,0.0,0,-0.2514570975906304,-0.25469265709783995,0.2591814051966392,False,0,2,2,2019-20,6,Arnaut_Danjuma Groeneveld
0,0,4,0,0.3,0,0,4.8,2019-09-28T14:00:00Z,13,19,0,0,0,0,7,0,-0.35175601681949675,0.0,1,-0.2510909335838695,-0.25503166097333435,0.2591814051966392,True,0,2,2,2019-20,7,Arnaut_Danjuma Groeneveld
0,0,2,0,0.0,0,0,0.4,2019-10-06T13:00:00Z,11,1,0,0,0,0,8,0,-0.3515637523768023,7.0,1,-0.25056985403578674,-0.2552253774736168,0.2591814051966392,False,0,2,4,2019-20,8,Arnaut_Danjuma Groeneveld
0,0,1,0,0.6,0,0,2.2,2019-10-19T14:00:00Z,21,14,0,0,0,0,9,0,-0.35137486099450604,26.0,1,-0.250583937266816,-0.2554675230989699,0.2591814051966392,True,0,2,2,2019-20,9,Arnaut_Danjuma Groeneveld
0,0,1,1,13.1,0,0,7.4,2019-10-26T14:00:00Z,60,18,0,0,0,0,10,0,-0.35123825204838105,21.0,3,-0.25092193481151837,-0.25575809784939363,0.2591814051966392,False,0,2,3,2019-20,10,Arnaut_Danjuma Groeneveld
