assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,threat,total_points,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,season,gw,player
0,0,4,0,11.1,2,0,2.4,2022-02-09T19:45:00Z,14,16,0,0,0,0,24,0,-0.3374913443957299,0.0,1,-0.10214668221836494,-0.23658016432142742,0.4059362031489215,True,0,4,2,2021-22,24,Dejan_Kulusevski
0,0,2,1,21.3,0,0,2.8,2022-02-13T14:00:00Z,62,20,0,0,0,0,25,0,-0.3391340248096279,24.0,2,-0.2216147310396183,-0.21360861599626246,0.4059362031489215,True,1,4,3,2021-22,25,Dejan_Kulusevski
1,1,35,0,16.9,2,1,60.8,2022-02-19T17:30:00Z,90,12,0,0,0,0,26,0,-0.33775444310678543,17.0,11,-0.2157701901624734,-0.2194685401298077,0.4059362031489215,False,0,3,5,2021-22,26,Dejan_Kulusevski
0,0,11,0,32.3,1,0,8.0,2022-02-23T19:30:00Z,90,5,0,0,0,0,26,0,-0.33775444310678543,42.0,2,-0.2157701901624734,-0.2194685401298077,0.4059362031489215,False,0,3,2,2021-22,26,Dejan_Kulusevski
0,0,30,1,14.0,0,1,42.4,2022-02-26T12:30:00Z,77,10,0,0,0,0,27,0,-0.1954568306203256,78.0,8,0.6409690862718217,-0.190362635962364,0.4059362031489215,False,0,3,2,2021-22,27,Dejan_Kulusevski
2,1,39,1,43.2,0,0,38.0,2022-03-07T20:00:00Z,90,8,0,0,0,0,28,0,-0.03747617381267778,25.0,10,1.8599290647788078,0.24507977058928687,0.47931360212506263,True,0,4,2,2021-22,28,Dejan_Kulusevski
1,0,15,0,24.7,2,0,8.8,2022-03-12T17:30:00Z,77,13,0,0,0,0,29,0,1.223474994826894,10.0,5,9.812053631915239,-0.06527020590494788,0.5526910011012037,False,0,3,4,2021-22,29,Dejan_Kulusevski
1,0,20,1,24.3,0,0,30.4,2022-03-16T19:30:00Z,90,4,0,0,0,0,29,0,1.223474994826894,40.0,6,9.812053631915239,-0.06527020590494788,0.5526910011012037,False,0,3,2,2021-22,29,Dejan_Kulusevski
0,0,17,0,27.3,1,0,4.6,2022-03-20T16:30:00Z,90,19,0,0,0,0,30,0,1.6916895086937824,44.0,2,3.1141393705520435,-0.058845275312245385,0.5526910011012037,True,0,4,3,2021-22,30,Dejan_Kulusevski
1,1,32,0,58.9,1,0,32.0,2022-04-03T15:30:00Z,75,14,0,0,0,0,31,0,1.554264281952447,10.0,6,0.9997816464354304,0.8399185707900444,0.6260684000773449,True,0,4,2,2021-22,31,Dejan_Kulusevski
1,1,35,1,12.8,0,1,51.4,2022-04-09T16:30:00Z,83,2,0,0,0,0,32,0,1.5691748954424591,23.0,12,0.6374341952834762,0.6381144066207634,0.6260684000773449,False,0,3,2,2021-22,32,Dejan_Kulusevski
0,0,1,1,0.8,0,0,0.0,2022-04-16T11:30:00Z,63,4,0,0,0,0,33,0,1.7119885861698356,2.0,2,2.0423914059939627,0.3968727916023058,0.699445799053486,True,1,4,2,2021-22,33,Dejan_Kulusevski
0,0,13,1,25.8,0,0,15.2,2022-04-23T16:30:00Z,90,3,0,0,0,0,34,0,1.6307399938294518,42.0,3,0.5924101056829166,2.0407348699578023,0.699445799053486,False,0,3,2,2021-22,34,Dejan_Kulusevski
2,1,26,0,21.3,1,0,42.0,2022-05-01T13:00:00Z,35,9,0,0,0,0,35,0,1.5381798434438796,4.0,8,0.4118771671187712,1.482831349144239,0.6260684000773449,True,0,4,2,2021-22,35,Dejan_Kulusevski
0,0,5,0,1.3,1,0,5.2,2022-05-07T18:45:00Z,84,11,0,0,0,0,36,0,1.5031691630413049,7.0,2,0.8897211959417259,1.1350940880954843,0.6260684000773449,False,0,3,5,2021-22,36,Dejan_Kulusevski
0,0,8,1,7.3,0,0,2.6,2022-05-12T18:45:00Z,71,1,0,0,0,0,36,0,1.5031691630413049,12.0,3,0.8897211959417259,1.1350940880954843,0.6260684000773449,True,0,4,4,2021-22,36,Dejan_Kulusevski
0,0,-2,0,0.3,0,0,0.0,2022-05-15T11:00:00Z,11,5,0,0,0,0,37,0,1.2743053284967814,2.0,0,0.3207164126663401,1.2966213632476982,0.6260684000773449,True,1,4,2,2021-22,37,Dejan_Kulusevski
0,3,52,1,0.0,0,2,0.0,2022-05-22T15:00:00Z,67,15,0,0,0,0,38,0,1.2842086338257432,0.0,16,0.45814058104990607,1.6547547431449465,0.6260684000773449,False,0,3,2,2021-22,38,Dejan_Kulusevski
1,3,45,0,40.3,1,1,65.8,2022-08-06T14:00:00Z,85,17,0,0,0,0,1,0,0.43906642617723757,47.0,13,-0.2516120131319523,-0.2564361056003824,1.8734841826717443,True,0,4,2,2022-23,1,Dejan_Kulusevski
0,0,5,0,1.1,2,0,3.0,2022-08-14T15:30:00Z,90,6,0,0,0,0,2,0,1.4762639467754795,2.0,2,5.35275344203986,0.5873768265884418,1.9468615816478854,False,0,3,4,2022-23,2,Dejan_Kulusevski
0,0,9,1,39.8,0,0,8.0,2022-08-20T11:30:00Z,85,20,0,0,0,0,3,0,2.1214224630084026,12.0,3,6.199592207060582,2.190510010759545,2.0202389806240264,True,0,4,2,2022-23,3,Dejan_Kulusevski
1,0,21,1,35.9,0,0,21.8,2022-08-28T15:30:00Z,82,16,0,0,0,0,4,0,2.083939329333986,44.0,6,1.9807772702409292,3.010641100788835,2.0202389806240264,False,0,3,2,2022-23,4,Dejan_Kulusevski
0,0,7,0,26.2,1,0,7.0,2022-08-31T18:45:00Z,75,19,0,0,0,0,5,0,2.045552215472865,40.0,2,1.2452101135824283,2.1733983865679254,2.0202389806240264,False,0,3,3,2022-23,5,Dejan_Kulusevski
0,0,0,0,0.6,1,0,0.2,2022-09-03T14:00:00Z,12,9,0,0,0,0,6,0,2.043226490328342,2.0,1,1.582010583647296,2.288352986443891,2.0202389806240264,True,0,4,2,2022-23,6,Dejan_Kulusevski
1,0,17,0,16.3,2,0,24.0,2022-09-17T16:30:00Z,69,10,0,0,0,0,8,0,2.1027744985972427,20.0,5,3.106083762403304,0.9845279382509211,1.9468615816478854,True,0,4,3,2022-23,8,Dejan_Kulusevski
0,0,0,0,0.0,0,0,0.0,2022-10-01T11:30:00Z,0,1,0,0,0,0,9,0,1.271600134057467,0.0,0,0.12195977315032591,6.335946258554631,1.9468615816478854,False,0,3,4,2022-23,9,Dejan_Kulusevski
0,0,0,0,0.0,0,0,0.0,2022-10-08T16:30:00Z,0,5,0,0,0,0,10,0,0.7000417957121277,0.0,0,-0.23058574920525995,5.317836905236639,1.8734841826717443,False,0,3,3,2022-23,10,Dejan_Kulusevski
0,0,0,0,0.0,0,0,0.0,2022-10-15T16:30:00Z,0,8,0,0,0,0,11,0,0.5404353237925726,0.0,0,-0.22336105168724713,1.389363137757939,1.8734841826717443,True,0,4,2,2022-23,11,Dejan_Kulusevski
0,0,0,0,0.0,0,0,0.0,2022-10-19T19:15:00Z,0,14,0,0,0,0,12,0,0.45339518674856916,0.0,0,-0.2375710317957753,0.41674487592295095,1.8734841826717443,False,0,3,4,2022-23,12,Dejan_Kulusevski
0,0,0,0,0.0,0,0,0.0,2022-10-23T15:30:00Z,0,15,0,0,0,0,13,0,0.41366559484898596,0.0,0,-0.24603505364436346,0.38805869083945266,1.8734841826717443,True,0,4,3,2022-23,13,Dejan_Kulusevski
