assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,threat,total_points,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,season,gw,player
0,0,0,0,0.0,0,0,0.0,2022-08-06T11:30:00Z,0,9,0,0,0,0,1,0,-0.26033258778810026,0.0,0,-0.2516120131319523,-0.2564361056003824,2.6072581724331556,False,0,4,2,2022-23,1,Diogo_Teixeira da Silva
0,0,0,0,0.0,0,0,0.0,2022-08-15T19:00:00Z,0,7,0,0,0,0,2,0,-0.28789723736176365,0.0,0,-0.24554214055833917,0.03386421311461496,2.6072581724331556,True,0,4,2,2022-23,2,Diogo_Teixeira da Silva
0,0,0,0,0.0,0,0,0.0,2022-08-22T19:00:00Z,0,14,0,0,0,0,3,0,-0.29705678287293386,0.0,0,-0.2241637958559152,-0.11143930513894067,2.533880773457015,False,0,4,4,2022-23,3,Diogo_Teixeira da Silva
0,0,0,0,0.0,0,0,0.0,2022-08-27T14:00:00Z,0,3,0,0,0,0,4,0,-0.3018499016987018,0.0,0,-0.23966943321913575,-0.18093509961528295,2.533880773457015,True,0,4,2,2022-23,4,Diogo_Teixeira da Silva
0,0,0,0,0.0,0,0,0.0,2022-08-31T19:00:00Z,0,15,0,0,0,0,5,0,-0.3050897262111227,0.0,0,-0.24644346734421213,-0.2114454484097747,2.533880773457015,True,0,4,3,2022-23,5,Diogo_Teixeira da Silva
0,0,-1,0,20.5,0,0,1.2,2022-09-03T11:30:00Z,10,8,0,0,0,0,6,0,-0.3077949206504372,12.0,1,-0.242978992511013,-0.2134633286210506,2.533880773457015,False,0,4,2,2022-23,6,Diogo_Teixeira da Silva
0,0,2,0,0.6,1,0,2.2,2022-10-01T14:00:00Z,15,5,0,0,0,0,9,0,-0.2805338465126071,2.0,1,-0.11972255454288741,-0.21606235833317397,2.533880773457015,True,0,4,3,2022-23,9,Diogo_Teixeira da Silva
1,0,15,0,14.9,3,0,25.8,2022-10-09T15:30:00Z,80,1,0,0,0,0,10,0,-0.27934315619206096,6.0,5,-0.1755062326498053,-0.15875456033293817,2.533880773457015,False,0,4,4,2022-23,10,Diogo_Teixeira da Silva
0,0,12,1,45.0,0,0,23.4,2022-10-16T15:30:00Z,90,13,0,0,0,0,11,0,-0.2728314630934367,23.0,1,-0.15947951573850197,-0.18802189491728394,2.533880773457015,True,1,4,5,2022-23,11,Diogo_Teixeira da Silva
0,0,0,0,0.0,0,0,0.0,2022-10-19T18:30:00Z,0,19,0,0,0,0,12,0,-0.2813231426457737,0.0,0,-0.16861953267649482,-0.07145299087229726,2.533880773457015,True,0,4,2,2022-23,12,Diogo_Teixeira da Silva
0,0,0,0,0.0,0,0,0.0,2022-10-22T11:30:00Z,0,16,0,0,0,0,13,0,-0.29362975350841575,0.0,0,-0.2497811930981479,-0.1381398960945435,2.533880773457015,False,0,4,2,2022-23,13,Diogo_Teixeira da Silva
0,0,0,0,0.0,0,0,0.0,2022-10-29T18:45:00Z,0,11,0,0,0,0,14,0,-0.29781066187191985,0.0,0,-0.24983752602226494,-0.21215574224414382,2.533880773457015,True,0,4,2,2022-23,14,Diogo_Teixeira da Silva
