assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,threat,total_points,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,season,gw,player
0,0,19,0,3.3,2,1,36.2,2020-09-19T16:30:00Z,23,6,0,0,0,0,2,0,0.06381682994369901,23.0,6,0.46961841433875684,0.18660967358735614,1.1397101929103328,True,0,4,2,2020-21,2,Donny_van de Beek
0,0,3,0,0.1,1,0,0.0,2020-09-26T11:30:00Z,1,3,0,0,0,0,3,0,0.1661942726180803,2.0,1,0.7677885816903512,0.4700007704589447,1.1397101929103328,False,0,4,3,2020-21,3,Donny_van de Beek
0,0,4,0,0.8,1,0,2.6,2020-10-04T15:30:00Z,22,17,0,0,0,0,4,0,0.06663670843655053,6.0,1,-0.08996468737805088,0.9122232545204827,1.1397101929103328,True,0,4,3,2020-21,4,Donny_van de Beek
0,0,5,0,12.3,0,0,2.8,2020-10-17T19:00:00Z,14,14,0,0,0,0,5,0,-0.00515382254742701,0.0,1,-0.11991971977729712,0.7004104045032732,1.0663327939341918,False,0,4,2,2020-21,5,Donny_van de Beek
0,0,0,0,0.0,0,0,0.0,2020-10-24T16:30:00Z,0,5,0,0,0,0,6,0,-0.045112782554084276,0.0,0,-0.19501150762533706,0.24766265725972003,1.0663327939341918,True,0,4,4,2020-21,6,Donny_van de Beek
0,0,2,0,4.9,0,0,0.4,2020-11-01T16:30:00Z,15,1,0,0,0,0,7,0,-0.08066315262036244,8.0,1,-0.22262872367372535,0.15020711457593874,0.9929553949580506,True,0,4,3,2020-21,7,Donny_van de Beek
0,0,0,0,0.0,0,0,0.0,2020-11-07T12:30:00Z,0,7,0,0,0,0,8,0,-0.10254756848354502,0.0,0,-0.23106457906025496,-0.0061705302770990655,0.9929553949580506,False,0,4,3,2020-21,8,Donny_van de Beek
0,0,4,0,0.7,0,0,2.2,2020-11-21T20:00:00Z,11,18,0,0,0,0,9,0,-0.12213998980618619,0.0,1,-0.22326246907004227,-0.01785809246080913,0.9195779959819095,True,0,4,2,2020-21,9,Donny_van de Beek
0,0,12,0,3.9,2,0,16.0,2020-11-29T14:00:00Z,90,16,0,0,0,0,10,0,-0.12784046187905587,10.0,2,-0.2245299598626761,-0.156639821871521,0.9195779959819095,False,0,4,2,2020-21,10,Donny_van de Beek
0,0,3,0,2.9,1,0,0.8,2020-12-05T17:30:00Z,45,19,0,0,0,0,11,0,-0.12988790954073157,0.0,1,-0.21044672883341128,-0.17494603114821605,0.9195779959819095,False,0,4,4,2020-21,11,Donny_van de Beek
0,0,0,0,0.0,0,0,0.0,2020-12-12T17:30:00Z,0,12,0,0,0,0,12,0,-0.1367740123435502,0.0,0,-0.23588104407226354,-0.1674879458873403,0.9195779959819095,True,0,4,4,2020-21,12,Donny_van de Beek
0,0,2,0,0.1,1,0,0.0,2020-12-17T20:00:00Z,10,15,0,0,0,0,13,0,-0.13991770463462389,0.0,1,-0.23171240768760115,-0.19711042738887063,0.9195779959819095,False,0,4,2,2020-21,13,Donny_van de Beek
0,0,8,0,10.3,1,0,12.2,2020-12-20T16:30:00Z,19,10,0,0,0,0,14,0,-0.14403283832036415,0.0,1,-0.24072567554633062,-0.20119461693649307,0.9195779959819095,True,0,4,3,2020-21,14,Donny_van de Beek
0,0,0,0,0.0,0,0,0.0,2020-12-26T12:30:00Z,0,9,0,0,0,0,15,0,-0.14902665423982187,0.0,0,-0.23688095347534133,-0.18505157524628582,0.8462005970057683,False,0,4,4,2020-21,15,Donny_van de Beek
0,0,0,0,0.0,0,0,0.0,2020-12-29T20:00:00Z,0,20,0,0,0,0,16,0,-0.15165932788057618,0.0,0,-0.24704904627847052,-0.22224514330052336,0.8462005970057683,True,0,4,2,2020-21,16,Donny_van de Beek
0,0,0,0,0.0,0,0,0.0,2021-01-01T20:00:00Z,0,2,0,0,0,0,17,0,-0.15437464150108512,0.0,0,-0.2454153914790758,-0.2198398300886825,0.8462005970057683,True,0,4,2,2020-21,17,Donny_van de Beek
0,0,0,0,0.0,0,0,0.0,2021-01-12T20:15:00Z,0,4,0,0,0,0,18,0,-0.15766674844967732,0.0,0,-0.23819069396106296,-0.19958031276747235,0.8462005970057683,False,0,4,2,2020-21,18,Donny_van de Beek
0,0,0,0,0.0,0,0,0.0,2021-01-17T16:30:00Z,0,11,0,0,0,0,19,0,-0.159759732426728,0.0,0,-0.24851370230551406,-0.2343039954431082,0.8462005970057683,False,0,4,3,2020-21,19,Donny_van de Beek
0,0,0,0,0.0,0,0,0.0,2021-01-20T20:15:00Z,0,8,0,0,0,0,19,0,-0.159759732426728,0.0,0,-0.24851370230551406,-0.2343039954431082,0.8462005970057683,False,0,4,2,2020-21,19,Donny_van de Beek
0,0,5,0,0.8,0,0,2.4,2021-01-27T20:15:00Z,7,15,0,0,0,0,20,0,-0.16250034400022303,10.0,1,-0.2469786301233242,-0.22040483654783974,0.8462005970057683,True,0,4,2,2020-21,20,Donny_van de Beek
0,0,0,0,0.0,0,0,0.0,2021-01-30T17:30:00Z,0,1,0,0,0,0,21,0,-0.16386643346147287,0.0,0,-0.2497811930981479,-0.23866261669946415,0.8462005970057683,False,0,4,4,2020-21,21,Donny_van de Beek
0,0,-1,0,2.1,0,0,0.0,2021-02-02T20:15:00Z,45,16,0,0,0,0,22,0,-0.16507567561420886,2.0,0,-0.24955586140167965,-0.240519066493838,0.8462005970057683,True,1,4,2,2020-21,22,Donny_van de Beek
0,0,0,0,0.0,0,0,0.0,2021-02-06T20:00:00Z,0,7,0,0,0,0,23,0,-0.16682629396084753,0.0,0,-0.24859820169168964,-0.23359370160873907,0.8462005970057683,True,0,4,4,2020-21,23,Donny_van de Beek
0,0,3,0,1.1,0,0,0.4,2021-02-14T14:00:00Z,11,18,0,0,0,0,24,0,-0.16826827728105567,4.0,1,-0.24762645875067038,-0.2345299980267711,0.8462005970057683,False,0,4,2,2020-21,24,Donny_van de Beek
0,0,0,0,0.0,0,0,0.0,2021-02-21T19:00:00Z,0,14,0,0,0,0,25,0,-0.16994131523853698,0.0,0,-0.2502036900290258,-0.23672545169663928,0.8462005970057683,True,0,4,2,2020-21,25,Donny_van de Beek
0,0,0,0,0.0,0,0,0.0,2021-02-28T16:30:00Z,0,5,0,0,0,0,26,0,-0.172179340812708,0.0,0,-0.25120359943210363,-0.2343362815264886,0.8462005970057683,False,0,4,4,2020-21,26,Donny_van de Beek
0,0,0,0,0.0,0,0,0.0,2021-03-03T20:15:00Z,0,6,0,0,0,0,26,0,-0.172179340812708,0.0,0,-0.25120359943210363,-0.2343362815264886,0.8462005970057683,False,0,4,3,2020-21,26,Donny_van de Beek
0,0,0,0,0.0,0,0,0.0,2021-03-07T16:30:00Z,0,12,0,0,0,0,27,0,-0.17280673004676347,0.0,0,-0.2497811930981479,-0.24545883725104142,0.8462005970057683,False,0,4,5,2020-21,27,Donny_van de Beek
0,0,0,0,0.0,0,0,0.0,2021-03-14T19:15:00Z,0,19,0,0,0,0,28,0,-0.17399742036730964,0.0,0,-0.2513444317423963,-0.24440953954117794,0.8462005970057683,True,0,4,4,2020-21,28,Donny_van de Beek
