assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,threat,total_points,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,season,gw,player
0,0,9,1,15.5,0,0,5.4,2021-08-13T19:00:00Z,79,1,0,0,0,0,1,0,-0.34616516920956686,4.0,3,-0.2516120131319523,-0.2564361056003824,-0.32783778661248997,True,0,2,4,2021-22,1,Frank_Onyeka
0,0,6,1,12.8,0,0,14.4,2021-08-21T14:00:00Z,69,7,0,0,0,0,2,0,-0.34206015470502105,27.0,3,-0.22861409686116288,-0.2398733448262297,-0.32783778661248997,False,0,2,2,2021-22,2,Frank_Onyeka
0,0,0,0,0.0,0,0,0.0,2021-08-28T14:00:00Z,0,2,0,0,0,0,3,0,-0.3417329678464007,0.0,0,-0.23812027780591663,-0.23748417465607902,-0.32783778661248997,False,0,2,2,2021-22,3,Frank_Onyeka
0,0,4,0,0.3,1,0,2.2,2021-09-11T14:00:00Z,15,4,0,0,0,0,4,0,-0.3446658438625902,0.0,1,-0.2467392151958267,-0.22153484946615423,-0.32783778661248997,True,0,2,2,2021-22,4,Frank_Onyeka
0,0,3,0,0.0,0,0,1.0,2021-09-18T11:30:00Z,22,20,0,0,0,0,5,0,-0.3447788413859281,18.0,1,-0.2446971466965833,-0.24261766191356493,-0.4012151855886311,False,0,2,3,2021-22,5,Frank_Onyeka
0,0,2,0,0.5,3,0,0.6,2021-09-25T16:30:00Z,67,11,0,0,0,0,6,0,-0.3452358910698772,8.0,1,-0.24638713442009508,-0.2442803952076563,-0.4012151855886311,True,1,2,4,2021-22,6,Frank_Onyeka
0,0,7,0,0.9,1,0,10.0,2021-10-03T13:00:00Z,81,19,0,0,0,0,7,0,-0.344729932010155,0.0,2,-0.2431761577454227,-0.24857444429725142,-0.4012151855886311,False,0,2,3,2021-22,7,Frank_Onyeka
0,0,4,0,1.0,1,0,1.8,2021-10-16T16:30:00Z,66,6,0,0,0,0,8,0,-0.34402833544734024,0.0,2,-0.2406130096980965,-0.24828386954682768,-0.4012151855886311,True,0,2,4,2021-22,8,Frank_Onyeka
0,0,19,0,19.4,2,0,9.0,2021-10-24T13:00:00Z,75,9,0,0,0,0,9,0,-0.34332336582412737,4.0,2,-0.24135942094264753,-0.24936545334007157,-0.4012151855886311,True,0,2,2,2021-22,9,Frank_Onyeka
0,0,4,0,3.4,3,0,1.0,2021-10-30T14:00:00Z,57,5,0,0,0,0,10,0,-0.3426116500801182,8.0,1,-0.23868360704708722,-0.24571712591808473,-0.4012151855886311,False,0,2,2,2021-22,10,Frank_Onyeka
0,0,0,0,0.0,0,0,0.0,2021-11-06T15:00:00Z,0,15,0,0,0,0,11,0,-0.3427398263752478,0.0,0,-0.24595055425818788,-0.2476704339625998,-0.4012151855886311,True,0,2,2,2021-22,11,Frank_Onyeka
1,0,9,0,1.1,1,0,0.0,2021-11-20T15:00:00Z,31,14,0,0,0,0,12,0,-0.34308893812645613,6.0,4,-0.2465279667303877,-0.24573326895977493,-0.4012151855886311,False,0,2,3,2021-22,12,Frank_Onyeka
1,0,13,1,2.0,0,0,4.4,2021-11-28T14:00:00Z,90,8,0,0,0,0,13,0,-0.3422288077249284,4.0,5,-0.24092284078074033,-0.25002731804937006,-0.4012151855886311,True,1,2,2,2021-22,13,Frank_Onyeka
0,0,3,0,0.6,1,0,3.2,2021-12-02T19:30:00Z,55,17,0,0,0,0,14,0,-0.3393043643597343,0.0,1,-0.22431871139723714,-0.25085061317557067,-0.4012151855886311,False,0,2,4,2021-22,14,Frank_Onyeka
0,0,3,0,0.2,1,0,1.4,2021-12-05T14:00:00Z,21,10,0,0,0,0,15,0,-0.3391863072457992,0.0,1,-0.2396553499881065,-0.2442803952076563,-0.4012151855886311,False,0,2,2,2021-22,15,Frank_Onyeka
0,0,-1,0,0.7,0,0,0.0,2021-12-10T20:00:00Z,13,18,0,0,0,0,16,0,-0.33922003784978066,18.0,0,-0.2414580035598524,-0.24266609103863557,-0.4012151855886311,True,1,2,2,2021-22,16,Frank_Onyeka
0,0,5,0,12.8,0,0,5.8,2021-12-26T20:00:00Z,45,4,0,0,0,0,19,0,-0.3415154054507202,0.0,1,-0.24890803277433346,-0.24978517242401696,-0.4012151855886311,False,0,2,2,2021-22,19,Frank_Onyeka
