assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,threat,total_points,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,season,gw,player
0,0,0,0,0.0,0,0,0.0,2022-08-06T14:00:00Z,0,2,0,0,0,0,1,0,-0.34673015682625663,0.0,0,-0.2516120131319523,-0.2564361056003824,0.039049208268215764,True,0,2,2,2022-23,1,Jamal_Lowe
0,0,3,0,0.0,0,0,0.0,2022-08-13T14:00:00Z,1,13,0,0,0,0,2,0,-0.34671497805446494,0.0,1,-0.24893619923639201,-0.2381298963236873,0.039049208268215764,False,0,2,5,2022-23,2,Jamal_Lowe
0,0,0,0,0.0,0,0,0.0,2022-08-20T16:30:00Z,0,1,0,0,0,0,3,0,-0.347355859530113,0.0,0,-0.24986569248432347,-0.24374767483187945,-0.03432819070792538,True,0,2,4,2022-23,3,Jamal_Lowe
0,0,0,0,0.0,0,0,0.0,2022-08-27T14:00:00Z,0,12,0,0,0,0,4,0,-0.3484234331461268,0.0,0,-0.25075293603916715,-0.24360238745666757,-0.03432819070792538,False,0,2,4,2022-23,4,Jamal_Lowe
0,0,0,0,0.0,0,0,0.0,2022-08-31T18:30:00Z,0,20,0,0,0,0,5,0,-0.3493459651650202,0.0,0,-0.25148526405268895,-0.2472022857535838,-0.10770558968406653,True,0,2,2,2022-23,5,Jamal_Lowe
0,0,0,0,0.0,0,0,0.0,2022-09-03T14:00:00Z,0,16,0,0,0,0,6,0,-0.34950955859433036,0.0,0,-0.25064027019093305,-0.25157705005162995,-0.10770558968406653,False,0,2,2,2022-23,6,Jamal_Lowe
0,0,0,0,0.0,0,0,0.0,2022-09-17T14:00:00Z,0,15,0,0,0,0,8,0,-0.3493307863932285,0.0,0,-0.25044310495652333,-0.2549832318482637,-0.10770558968406653,False,0,2,4,2022-23,8,Jamal_Lowe
0,0,0,0,0.0,0,0,0.0,2022-10-01T14:00:00Z,0,4,0,0,0,0,9,0,-0.3493156076214369,0.0,0,-0.25007694094976246,-0.25349807201276464,-0.10770558968406653,True,0,2,3,2022-23,9,Jamal_Lowe
0,0,0,0,0.0,0,0,0.0,2022-10-08T14:00:00Z,0,10,0,0,0,0,10,0,-0.34935271128581646,0.0,0,-0.2504290217254941,-0.25343349984600383,-0.18108298866020767,True,0,2,3,2022-23,10,Jamal_Lowe
0,0,0,0,0.0,0,0,0.0,2022-10-15T14:00:00Z,0,9,0,0,0,0,11,0,-0.3494269186145757,0.0,0,-0.2510064341976939,-0.2541599367220631,-0.18108298866020767,False,0,2,2,2022-23,11,Jamal_Lowe
