assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,threat,total_points,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,season,gw,player
0,0,0,0,0.0,0,0,0.0,2018-08-12T12:30:00Z,0,4,0,0,0,0,1,0,-0.3086719163539556,0.0,0,-0.2516120131319523,-0.2564361056003824,0.039049208268215764,True,0,2,2,2018-19,1,James_Ward-Prowse
0,0,19,0,61.8,2,0,26.0,2018-08-18T14:00:00Z,83,8,0,0,0,0,2,0,-0.3157165529954872,9.0,2,-0.2484151196883092,-0.16632564688564538,0.039049208268215764,False,0,2,3,2018-19,2,James_Ward-Prowse
0,0,0,0,0.0,0,0,0.0,2018-08-25T14:00:00Z,0,11,0,0,0,0,3,0,-0.31996998215755146,0.0,0,-0.24531680886187096,-0.20313178193931797,-0.03432819070792538,True,0,2,3,2018-19,3,James_Ward-Prowse
0,0,0,0,0.0,0,0,0.0,2018-09-01T14:00:00Z,0,7,0,0,0,0,4,0,-0.32553721834469435,0.0,0,-0.24999244156358685,-0.19893459109986406,-0.03432819070792538,False,0,2,2,2018-19,4,James_Ward-Prowse
0,0,-1,0,1.4,1,0,0.0,2018-09-17T19:00:00Z,14,3,0,0,0,0,5,0,-0.3291902427558883,0.0,1,-0.2494572787844748,-0.2169502256261354,-0.10770558968406653,True,0,2,2,2018-19,5,James_Ward-Prowse
0,0,0,0,0.0,0,0,0.0,2018-09-22T14:00:00Z,0,12,0,0,0,0,6,0,-0.3316508903163371,0.0,0,-0.2506121037288745,-0.23083324147971362,-0.10770558968406653,False,0,2,5,2018-19,6,James_Ward-Prowse
0,0,0,0,0.0,0,0,0.0,2018-09-29T14:00:00Z,0,20,0,0,0,0,7,0,-0.33335091275700357,0.0,0,-0.2510064341976939,-0.2387917610329858,-0.18108298866020767,False,0,2,3,2018-19,7,James_Ward-Prowse
0,0,0,0,0.0,0,0,0.0,2018-10-07T13:15:00Z,0,6,0,0,0,0,8,0,-0.3343712635274433,0.0,0,-0.25103460065975247,-0.24553955245949244,-0.18108298866020767,True,0,2,4,2018-19,8,James_Ward-Prowse
0,0,0,0,0.0,0,0,0.0,2018-10-20T14:00:00Z,0,2,0,0,0,0,9,0,-0.33541691225086906,0.0,0,-0.2506121037288745,-0.24492611687526458,-0.18108298866020767,False,0,2,3,2018-19,9,James_Ward-Prowse
0,0,3,0,0.2,0,0,1.4,2018-10-27T14:00:00Z,12,15,0,0,0,0,10,0,-0.3361505528874662,0.0,1,-0.25072476957710865,-0.24817086825499624,-0.2544603876363488,True,0,2,2,2018-19,10,James_Ward-Prowse
0,0,8,0,44.6,5,0,14.0,2018-11-04T15:00:00Z,72,13,0,0,0,0,11,0,-0.3367745690611235,19.0,1,-0.2509641845046061,-0.24938159638176177,-0.2544603876363488,False,1,2,5,2018-19,11,James_Ward-Prowse
0,0,4,0,10.6,1,0,3.8,2018-11-10T15:00:00Z,16,18,0,0,0,0,12,0,-0.3371793363089013,0.0,1,-0.25052760434269894,-0.2509959005507825,-0.2544603876363488,True,0,2,3,2018-19,12,James_Ward-Prowse
0,0,0,0,0.0,0,0,0.0,2018-11-24T15:00:00Z,0,9,0,0,0,0,13,0,-0.33748291174473455,0.0,0,-0.2510486838907817,-0.25244877430290114,-0.2544603876363488,False,0,2,2,2018-19,13,James_Ward-Prowse
0,0,0,0,0.0,0,0,0.0,2018-12-01T17:30:00Z,0,14,0,0,0,0,14,0,-0.33772914515379937,0.0,0,-0.25124584912519143,-0.25369178851304713,-0.2544603876363488,True,0,2,4,2018-19,14,James_Ward-Prowse
0,0,13,0,70.7,3,0,19.2,2018-12-05T20:00:00Z,90,17,0,0,0,0,15,0,-0.3379382748984845,47.0,2,-0.25106276712181097,-0.25372407459642754,-0.2544603876363488,False,0,2,4,2018-19,15,James_Ward-Prowse
0,0,3,0,0.3,0,0,0.4,2018-12-08T15:00:00Z,10,5,0,0,0,0,16,0,-0.3380107956970447,2.0,1,-0.2503304391082892,-0.2539985063051611,-0.2544603876363488,False,0,2,2,2018-19,16,James_Ward-Prowse
0,0,0,0,0.0,0,0,0.0,2018-12-16T13:30:00Z,0,1,0,0,0,0,17,0,-0.33829750583088725,0.0,0,-0.25117543297004513,-0.25323978334572134,-0.32783778661248997,True,0,2,4,2018-19,17,James_Ward-Prowse
0,0,0,0,0.0,0,0,0.0,2018-12-22T15:00:00Z,0,10,0,0,0,0,18,0,-0.3384459204884057,0.0,0,-0.2508092689632842,-0.25398236326347085,-0.32783778661248997,False,0,2,2,2018-19,18,James_Ward-Prowse
0,0,0,0,0.0,0,0,0.0,2018-12-27T19:45:00Z,0,19,0,0,0,0,19,0,-0.33870395960886407,0.0,0,-0.2512599323562207,-0.2533527846375528,-0.32783778661248997,True,0,2,3,2018-19,19,James_Ward-Prowse
0,0,12,0,28.9,3,0,34.0,2018-12-30T14:15:00Z,90,13,1,0,0,0,20,0,-0.3389434468971325,2.0,0,-0.2511050168148988,-0.2536110733045961,-0.32783778661248997,True,0,2,4,2018-19,20,James_Ward-Prowse
0,0,17,1,15.8,0,0,22.0,2019-01-02T19:45:00Z,90,6,0,0,0,0,21,0,-0.3390648770714659,11.0,3,-0.2510064341976939,-0.25443436843079664,-0.32783778661248997,False,0,2,4,2018-19,21,James_Ward-Prowse
0,2,31,0,43.3,1,1,56.6,2019-01-12T15:00:00Z,90,11,0,0,0,0,22,0,-0.3389586256689242,17.0,9,-0.24862636815374817,-0.2535465011378353,-0.32783778661248997,False,0,2,3,2018-19,22,James_Ward-Prowse
0,3,34,0,57.5,1,1,47.6,2019-01-19T15:00:00Z,90,8,0,0,0,0,23,0,-0.33122082511557327,34.0,10,-0.16888711406605084,-0.23180182398112606,-0.32783778661248997,True,0,2,2,2018-19,23,James_Ward-Prowse
0,3,33,0,17.2,1,1,46.0,2019-01-30T19:45:00Z,90,7,0,0,0,0,24,0,-0.2741537027695106,17.0,10,0.25152549861956214,-0.20318021106438858,-0.32783778661248997,True,0,2,2,2018-19,24,James_Ward-Prowse
0,0,16,0,19.5,1,0,24.8,2019-02-02T15:00:00Z,90,4,0,0,0,0,25,0,-0.18230189506754937,19.0,2,0.5149523350219603,-0.18802189491728394,-0.32783778661248997,False,0,2,3,2018-19,25,James_Ward-Prowse
0,0,9,0,51.5,2,0,15.4,2019-02-09T15:00:00Z,90,5,0,0,0,0,26,0,-0.1079647034829703,7.0,1,0.4974468788525841,-0.12758234682914793,-0.2544603876363488,True,1,2,2,2018-19,26,James_Ward-Prowse
0,0,5,0,3.1,2,0,9.0,2019-02-24T14:05:00Z,90,1,0,0,0,0,27,0,-0.12952024595733347,19.0,2,-0.11910289237759976,0.029731594441921902,-0.2544603876363488,False,0,2,4,2018-19,27,James_Ward-Prowse
0,1,31,1,42.2,0,1,47.6,2019-02-27T19:45:00Z,90,9,0,0,0,0,28,0,-0.13367248330745332,54.0,9,-0.20843282679622643,-0.10420722246172781,-0.2544603876363488,True,0,2,2,2018-19,28,James_Ward-Prowse
