assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,threat,total_points,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,season,gw,player
0,0,6,1,14.4,0,0,14.0,2022-08-06T14:00:00Z,79,16,0,0,0,0,1,0,-0.27778817534851485,53.0,3,-0.2516120131319523,-0.2564361056003824,-0.32783778661248997,True,0,4,2,2022-23,1,Joe_Willock
0,0,11,1,5.2,0,0,20.2,2022-08-13T14:00:00Z,75,5,0,0,0,0,2,0,-0.2608655313310076,27.0,3,-0.12476435125136422,-0.17263757618651643,-0.32783778661248997,False,0,3,3,2022-23,2,Joe_Willock
0,0,11,0,14.9,3,0,10.4,2022-08-21T15:30:00Z,69,13,0,0,0,0,3,0,-0.2656957538211552,2.0,2,-0.16780270527679747,-0.08646601964419003,-0.32783778661248997,True,0,4,5,2022-23,3,Joe_Willock
0,0,5,0,37.8,1,0,6.8,2022-08-28T13:00:00Z,83,20,0,0,0,0,4,0,-0.27393614037383013,18.0,2,-0.2122071327120694,-0.11361861576711865,-0.32783778661248997,False,0,3,2,2022-23,4,Joe_Willock
0,0,10,0,11.1,2,0,23.4,2022-08-31T19:00:00Z,90,12,0,0,0,0,5,0,-0.28074128972709317,0.0,2,-0.21627718647952693,-0.1354762942156593,-0.4012151855886311,False,0,3,4,2022-23,5,Joe_Willock
0,0,2,1,1.7,0,0,7.8,2022-09-03T14:00:00Z,90,7,0,0,0,0,6,0,-0.2735060751730663,24.0,3,-0.13087647351806514,-0.16400104888225553,-0.4012151855886311,True,0,4,2,2022-23,6,Joe_Willock
0,0,11,0,36.5,1,0,13.0,2022-09-17T14:00:00Z,90,3,0,0,0,0,8,0,-0.26476816221166455,15.0,2,-0.1472975208981879,-0.20928228082328693,-0.4012151855886311,True,0,4,2,2022-23,8,Joe_Willock
2,2,33,0,44.8,1,0,48.4,2022-10-01T14:00:00Z,90,9,0,0,0,0,9,0,-0.26935046476254826,86.0,10,-0.19409609760843485,-0.16019129104336663,-0.4012151855886311,False,0,3,2,2022-23,9,Joe_Willock
0,0,8,0,3.0,1,0,3.0,2022-10-08T14:00:00Z,90,4,0,0,0,0,10,0,-0.2130591463080596,37.0,2,0.25779253642758493,-0.16492120225859735,-0.4012151855886311,True,0,4,3,2022-23,10,Joe_Willock
0,0,2,0,0.4,0,0,2.2,2022-10-16T13:00:00Z,12,14,0,0,0,0,11,0,-0.2171709069334017,2.0,1,-0.1306088921285091,-0.0882094681467324,-0.4012151855886311,False,0,3,4,2022-23,11,Joe_Willock
0,0,2,0,1.3,0,0,2.2,2022-10-19T18:30:00Z,45,8,0,0,0,0,12,0,-0.2274789795101412,14.0,1,-0.1992364769341165,-0.16095001400280637,-0.4012151855886311,True,0,4,2,2022-23,12,Joe_Willock
0,0,8,0,12.9,1,0,3.8,2022-10-23T15:30:00Z,74,18,0,0,0,0,13,0,-0.23247954155039524,12.0,2,-0.22467079217296873,-0.1052888062549717,-0.4012151855886311,False,0,3,4,2022-23,13,Joe_Willock
0,0,12,1,9.1,0,0,6.6,2022-10-29T14:00:00Z,70,2,0,0,0,0,14,0,-0.24643389241753247,6.0,3,-0.22547353634163683,-0.0886291872306778,-0.4012151855886311,True,0,4,2,2022-23,14,Joe_Willock
0,1,29,1,26.1,0,1,41.8,2022-11-06T14:00:00Z,72,17,0,0,0,0,15,0,-0.25911997257496616,25.0,9,-0.22482570771429067,-0.10206019791693025,-0.4012151855886311,False,0,3,2,2022-23,15,Joe_Willock
