assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,threat,total_points,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,season,gw,player
0,0,2,0,0.6,0,0,2.2,2021-09-25T14:00:00Z,1,15,0,0,0,0,6,0,-0.35442242106423255,0.0,1,-0.2516120131319523,-0.2564361056003824,-0.6947247814931957,True,0,2,2,2021-22,6,Lewis_Dobbin
0,0,3,0,0.0,0,0,0.0,2021-10-02T11:30:00Z,1,13,0,0,0,0,7,0,-0.33217371467805,0.0,1,-0.06844551036533426,-0.22021112004755725,-0.6947247814931957,False,0,2,4,2021-22,7,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2021-10-17T13:00:00Z,0,19,0,0,0,0,8,0,-0.30464616876876627,0.0,0,0.008603846595773491,-0.1783522129448498,-0.6947247814931957,True,0,2,3,2021-22,8,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2021-10-23T14:00:00Z,0,18,0,0,0,0,9,0,-0.2959234345791562,0.0,0,-0.12090554594934566,-0.18571343995558431,-0.6947247814931957,True,0,2,2,2021-22,9,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2021-11-01T20:00:00Z,0,20,0,0,0,0,10,0,-0.29825421931427626,0.0,0,-0.2018418746745305,-0.1723631444777829,-0.6947247814931957,False,0,2,3,2021-22,10,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2021-11-07T14:00:00Z,0,17,0,0,0,0,11,0,-0.29970294875528075,0.0,0,-0.22890984471277745,-0.20962128469878127,-0.6947247814931957,True,0,2,3,2021-22,11,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2021-11-21T14:00:00Z,0,12,0,0,0,0,12,0,-0.3011837222700676,0.0,0,-0.23390939172816647,-0.21446419720584345,-0.6947247814931957,False,0,2,5,2021-22,12,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2021-11-28T14:00:00Z,0,3,0,0,0,0,13,0,-0.3031502164821877,0.0,0,-0.23903568782281884,-0.21859681587853652,-0.6947247814931957,False,0,2,2,2021-22,13,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2021-12-01T20:15:00Z,0,11,0,0,0,0,14,0,-0.3037894114276367,0.0,0,-0.2407397587773599,-0.23469142844367316,-0.6947247814931957,True,0,2,4,2021-22,14,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2021-12-06T20:00:00Z,0,1,0,0,0,0,15,0,-0.3045297981850302,0.0,0,-0.2346558029727175,-0.2267490519320912,-0.6947247814931957,True,0,2,4,2021-22,15,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2021-12-12T16:30:00Z,0,7,0,0,0,0,16,0,-0.3048283140302662,0.0,0,-0.23299398171126423,-0.22691048234899328,-0.6947247814931957,False,0,2,2,2021-22,16,Lewis_Dobbin
0,0,1,0,0.3,1,0,0.2,2021-12-16T19:45:00Z,28,6,0,0,0,0,17,0,-0.30620789573310864,4.0,0,-0.23838785919547267,-0.2274432027247701,-0.6947247814931957,False,1,2,4,2021-22,17,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2022-01-02T14:00:00Z,0,4,0,0,0,0,21,0,-0.301581743397049,0.0,0,-0.22254422428754975,-0.2074904031956739,-0.6947247814931957,True,0,2,2,2021-22,21,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2022-01-15T15:00:00Z,0,15,0,0,0,0,22,0,-0.3059481700824513,0.0,0,-0.2240088803145933,-0.18489014482938373,-0.6947247814931957,False,0,2,2,2021-22,22,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2022-01-22T12:30:00Z,0,2,0,0,0,0,23,0,-0.30574241339816427,0.0,0,-0.2329658152492057,-0.22374644617771264,-0.6947247814931957,True,0,2,2,2021-22,23,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2022-02-08T19:45:00Z,0,14,0,0,0,0,24,0,-0.2957800795122349,0.0,0,-0.14902975831478749,-0.2179026650858576,-0.6947247814931957,False,0,2,3,2021-22,24,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2022-02-12T15:00:00Z,0,10,0,0,0,0,25,0,-0.2794628998361952,0.0,0,-0.09997786463985815,-0.21528749233204403,-0.6947247814931957,True,0,2,2,2021-22,25,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2022-02-19T15:00:00Z,0,16,0,0,0,0,26,0,-0.2663720524309838,0.0,0,-0.12594734265782245,-0.18408299274487339,-0.6947247814931957,False,0,2,3,2021-22,26,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2022-02-26T17:30:00Z,0,12,0,0,0,0,27,0,-0.27330200501897833,0.0,0,-0.20092646465762828,-0.17373530302145052,-0.6947247814931957,True,0,2,5,2021-22,27,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2022-03-07T20:00:00Z,0,17,0,0,0,0,28,0,-0.27705116165151955,0.0,0,-0.1965888295006147,-0.18842547095953913,-0.6947247814931957,False,0,2,4,2021-22,28,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2022-03-13T14:00:00Z,0,20,0,0,0,0,29,0,-0.2516823743970504,0.0,0,-0.07247331443970399,-0.19486654459393182,-0.6947247814931957,True,0,2,3,2021-22,29,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2022-03-17T19:45:00Z,0,14,0,0,0,0,29,0,-0.2516823743970504,0.0,0,-0.07247331443970399,-0.19486654459393182,-0.6947247814931957,True,0,2,2,2021-22,29,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2022-04-03T13:00:00Z,0,19,0,0,0,0,31,0,-0.25755824561062374,0.0,0,-0.18037903058593094,-0.21438348199739243,-0.6947247814931957,False,0,2,3,2021-22,31,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2022-04-06T18:30:00Z,0,5,0,0,0,0,31,0,-0.25755824561062374,0.0,0,-0.18037903058593094,-0.21438348199739243,-0.6947247814931957,False,0,2,2,2021-22,31,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2022-04-09T11:30:00Z,0,13,0,0,0,0,32,0,-0.2554753808147675,0.0,0,-0.20133487835747696,-0.2189842488791015,-0.6947247814931957,True,0,2,3,2021-22,32,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2022-04-20T18:45:00Z,0,9,0,0,0,0,33,0,-0.24521790414400021,0.0,0,-0.16125400284818933,-0.1919285110063141,-0.6947247814931957,True,0,2,2,2021-22,33,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2022-04-24T15:30:00Z,0,11,0,0,0,0,34,0,-0.2225931015234242,0.0,0,-0.016055890936469183,-0.2032286401894592,-0.6947247814931957,False,0,2,5,2021-22,34,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2022-05-01T13:00:00Z,0,6,0,0,0,0,35,0,-0.214529800641652,0.0,0,-0.09642889042048343,-0.18737617324967565,-0.6947247814931957,True,0,2,4,2021-22,35,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2022-05-08T13:00:00Z,0,9,0,0,0,0,36,0,-0.19548044204311263,0.0,0,-0.0848383912833985,-0.12533846403420912,-0.6947247814931957,False,0,2,3,2021-22,36,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2022-05-11T18:45:00Z,0,18,0,0,0,0,36,0,-0.19548044204311263,0.0,0,-0.0848383912833985,-0.12533846403420912,-0.6947247814931957,False,0,2,2,2021-22,36,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2022-05-15T15:30:00Z,0,3,0,0,0,0,37,0,-0.22242107544311868,0.0,0,-0.19544808778724426,-0.12709805557844173,-0.6947247814931957,True,0,2,2,2021-22,37,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2022-05-19T18:45:00Z,0,7,0,0,0,0,37,0,-0.22242107544311868,0.0,0,-0.19544808778724426,-0.12709805557844173,-0.6947247814931957,True,0,2,2,2021-22,37,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2022-05-22T15:00:00Z,0,1,0,0,0,0,38,0,-0.20560805588855122,0.0,0,-0.1330875407896597,-0.16162802175379506,-0.6947247814931957,False,0,2,4,2021-22,38,Lewis_Dobbin
0,0,3,0,0.3,0,0,1.0,2023-08-12T14:00:00Z,7,10,0,0,0,0,1,0,-0.35191623718840875,2.0,1,-0.2516120131319523,-0.2564361056003824,-0.6947247814931957,True,0,2,2,2023-24,1,Lewis_Dobbin
0,0,6,0,10.9,2,0,7.0,2023-08-20T13:00:00Z,45,2,0,0,0,0,2,0,-0.34924983294367296,2.0,1,-0.2435704882142421,-0.2518191956769831,-0.6947247814931957,False,0,2,4,2023-24,2,Lewis_Dobbin
0,0,3,1,1.8,0,0,5.2,2023-08-26T14:00:00Z,65,20,0,0,0,0,3,0,-0.34865111472300175,21.0,3,-0.24495064485511006,-0.2496237420071149,-0.6947247814931957,True,0,2,2,2023-24,3,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2023-09-02T11:30:00Z,0,17,0,0,0,0,4,0,-0.34529323309664567,0.0,0,-0.2239243809284177,-0.24612070196033992,-0.6947247814931957,False,0,2,2,2023-24,4,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2023-09-17T15:30:00Z,0,1,0,0,0,0,5,0,-0.3408964488676601,0.0,0,-0.20850324295137274,-0.23738731640593777,-0.6947247814931957,True,0,2,4,2023-24,5,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2023-09-23T16:30:00Z,0,4,0,0,0,0,6,0,-0.3407868244047203,0.0,0,-0.2402045959982478,-0.24511983337554707,-0.6947247814931957,False,0,2,3,2023-24,6,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2023-09-30T14:00:00Z,0,12,0,0,0,0,7,0,-0.34120171083369244,0.0,0,-0.2434155726729202,-0.24176208070398394,-0.6947247814931957,True,0,2,2,2023-24,7,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2023-10-07T14:00:00Z,0,3,0,0,0,0,8,0,-0.3415744340076878,0.0,0,-0.24602097041333418,-0.24487768775019395,-0.6947247814931957,True,0,2,2,2023-24,8,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2023-10-21T11:30:00Z,0,11,0,0,0,0,9,0,-0.34183584618854423,0.0,0,-0.24709129597155832,-0.24792872262964313,-0.6947247814931957,False,0,2,5,2023-24,9,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2023-10-29T13:00:00Z,0,19,0,0,0,0,10,0,-0.3423907146240395,0.0,0,-0.24895028246742126,-0.24770272004598023,-0.6947247814931957,False,0,2,3,2023-24,10,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2023-11-04T15:00:00Z,0,5,0,0,0,0,11,0,-0.3427060957712663,0.0,0,-0.2491756141638895,-0.24954302679866386,-0.6947247814931957,True,0,2,3,2023-24,11,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2023-11-11T15:00:00Z,0,8,0,0,0,0,12,0,-0.34319181646859964,0.0,0,-0.25037268880137703,-0.2503663219248644,-0.6947247814931957,False,0,2,2,2023-24,12,Lewis_Dobbin
0,0,1,0,0.0,0,0,0.0,2023-11-26T16:30:00Z,1,14,0,0,0,0,13,0,-0.3434329902870672,1.0,1,-0.2496966937119723,-0.2509959005507825,-0.6947247814931957,True,0,2,3,2023-24,13,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2023-12-02T17:30:00Z,0,16,0,0,0,0,14,0,-0.3435004514950301,0.0,0,-0.2496966937119723,-0.2530944959705094,-0.6947247814931957,False,0,2,2,2023-24,14,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2023-12-07T19:30:00Z,0,15,0,0,0,0,15,0,-0.34362525472976163,0.0,0,-0.2506121037288745,-0.25375636067980795,-0.6947247814931957,True,0,2,3,2023-24,15,Lewis_Dobbin
0,0,21,0,0.0,0,1,38.2,2023-12-10T14:00:00Z,4,7,0,0,0,0,16,0,-0.3438461901858403,17.0,6,-0.2506684366529916,-0.25294920859529757,-0.6947247814931957,True,0,2,3,2023-24,16,Lewis_Dobbin
0,0,3,0,0.5,0,0,4.2,2023-12-16T17:30:00Z,45,6,0,0,0,0,17,0,-0.34291353898575244,0.0,1,-0.24172558494940843,-0.25198062609388516,-0.6947247814931957,False,0,2,2,2023-24,17,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2023-12-23T15:00:00Z,0,18,0,0,0,0,18,0,-0.34332336582412737,0.0,0,-0.24968261048094303,-0.2511411879259944,-0.6947247814931957,False,0,2,3,2023-24,18,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2023-12-27T20:15:00Z,0,13,0,0,0,0,19,0,-0.3433942000924885,0.0,0,-0.24999244156358685,-0.25327206942910174,-0.6947247814931957,True,0,2,5,2023-24,19,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2023-12-30T15:00:00Z,0,20,0,0,0,0,20,0,-0.34371970042090977,0.0,0,-0.2503586055703477,-0.25151247788486913,-0.6947247814931957,False,0,2,2,2023-24,20,Lewis_Dobbin
0,0,0,0,0.0,0,0,0.0,2024-01-14T14:00:00Z,0,2,0,0,0,0,21,0,-0.3443791337287476,0.0,0,-0.2503445223393185,-0.24859058733894163,-0.6947247814931957,True,0,2,3,2023-24,21,Lewis_Dobbin
0,0,2,0,0.0,0,0,0.0,2024-01-30T19:45:00Z,1,10,0,0,0,0,22,0,-0.34461524795661796,7.0,1,-0.2510064341976939,-0.25264249080318363,-0.6947247814931957,False,0,2,2,2023-24,22,Lewis_Dobbin
0,0,7,0,14.5,0,0,5.2,2024-02-03T12:30:00Z,5,18,0,0,0,0,23,0,-0.34469788793637257,0.0,0,-0.2512317658941622,-0.2549186596815029,-0.6947247814931957,True,1,2,3,2023-24,23,Lewis_Dobbin
