assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,threat,total_points,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,season,gw,player
0,0,7,0,0.8,1,0,12.4,2022-08-06T14:00:00Z,74,15,0,0,0,0,1,0,-0.3472445485369741,8.0,1,-0.2516120131319523,-0.2564361056003824,-0.32783778661248997,False,1,2,4,2022-23,1,Lewis_O'Brien
0,0,9,1,2.0,0,0,13.8,2022-08-14T13:00:00Z,90,19,0,0,0,0,2,0,-0.34659860747072885,0.0,3,-0.24904886508462612,-0.24805786696316479,-0.32783778661248997,True,0,2,2,2022-23,2,Lewis_O'Brien
0,0,4,0,11.4,1,0,2.4,2022-08-20T14:00:00Z,90,8,0,0,0,0,3,0,-0.34394569546758563,4.0,2,-0.2290506770230701,-0.24398982045723255,-0.32783778661248997,False,0,2,2,2022-23,3,Lewis_O'Brien
0,0,12,0,15.8,1,0,8.8,2022-08-28T15:30:00Z,74,18,0,0,0,0,4,0,-0.3449087042112568,9.0,1,-0.2470631295094998,-0.23825904065720896,-0.32783778661248997,True,1,2,3,2022-23,4,Lewis_O'Brien
0,0,12,0,21.3,6,0,15.0,2022-08-31T18:30:00Z,90,13,0,0,0,0,5,0,-0.345186981694104,0.0,2,-0.24816162152978244,-0.2445063977913192,-0.32783778661248997,False,0,2,5,2022-23,5,Lewis_O'Brien
0,0,0,0,0.0,0,0,0.0,2022-09-03T14:00:00Z,0,3,0,0,0,0,6,0,-0.34414639256127544,0.0,0,-0.23986659845354547,-0.24671799450287757,-0.32783778661248997,True,0,2,2,2022-23,6,Lewis_O'Brien
0,0,23,0,0.8,0,1,40.4,2022-09-16T19:00:00Z,20,9,0,0,0,0,8,0,-0.3448716005468772,17.0,6,-0.2498234427912357,-0.2523357730110697,-0.4012151855886311,True,0,2,2,2022-23,8,Lewis_O'Brien
0,0,6,0,0.3,3,0,7.2,2022-10-03T19:00:00Z,45,10,0,0,0,0,9,0,-0.34316989157601163,8.0,1,-0.23474030235889307,-0.24899416338119681,-0.4012151855886311,False,0,2,3,2022-23,9,Lewis_O'Brien
0,0,3,0,0.0,0,0,0.0,2022-10-10T19:00:00Z,1,2,0,0,0,0,10,0,-0.343908591803206,0.0,1,-0.24764054198169963,-0.24468397124991145,-0.4012151855886311,True,0,2,2,2022-23,10,Lewis_O'Brien
0,0,0,0,0.0,0,0,0.0,2022-10-15T14:00:00Z,0,20,0,0,0,0,11,0,-0.3442846880375995,0.0,0,-0.249415029091387,-0.24891344817274577,-0.4012151855886311,False,0,2,2,2022-23,11,Lewis_O'Brien
0,0,0,0,0.0,0,0,0.0,2022-10-18T18:30:00Z,0,5,0,0,0,0,12,0,-0.345392738378391,0.0,0,-0.250851518656372,-0.24729914400372505,-0.4012151855886311,False,0,2,3,2022-23,12,Lewis_O'Brien
0,0,0,0,0.0,0,0,0.0,2022-10-22T11:30:00Z,0,12,0,0,0,0,13,0,-0.3457047464652197,0.0,0,-0.25026002295314287,-0.24899416338119681,-0.4012151855886311,True,0,2,4,2022-23,13,Lewis_O'Brien
0,0,3,0,0.1,0,0,5.0,2022-10-30T14:00:00Z,9,1,0,0,0,0,14,0,-0.3465362058533631,0.0,1,-0.2514289311285719,-0.24838072779696893,-0.4012151855886311,False,0,2,4,2022-23,14,Lewis_O'Brien
