assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,threat,total_points,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,season,gw,player
0,0,4,0,21.7,2,0,0.2,2023-08-11T19:00:00Z,60,13,0,0,0,0,1,0,-0.35264650476460774,6.0,2,-0.2516120131319523,-0.2564361056003824,-0.32783778661248997,True,0,2,5,2023-24,1,Luca_Koleosho
0,0,4,0,16.9,3,0,2.8,2023-08-27T13:00:00Z,67,2,0,0,0,0,3,0,-0.3486291898304138,5.0,2,-0.24927419678109436,-0.2500757471744407,-0.32783778661248997,True,0,2,3,2023-24,3,Luca_Koleosho
1,0,12,0,11.1,5,0,19.0,2023-09-02T14:00:00Z,67,18,0,0,0,0,4,0,-0.3484015082535388,16.0,5,-0.24780954075405082,-0.25085061317557067,-0.32783778661248997,True,0,2,3,2023-24,4,Luca_Koleosho
0,0,5,0,23.6,1,0,7.6,2023-09-18T18:45:00Z,75,16,0,0,0,0,5,0,-0.3460353063842382,8.0,2,-0.23102232936716716,-0.2474605744206271,-0.32783778661248997,False,0,2,2,2023-24,5,Luca_Koleosho
0,0,3,0,2.9,1,0,0.0,2023-09-23T19:00:00Z,72,14,0,0,0,0,6,0,-0.3420331702218359,10.0,2,-0.2098411498991529,-0.24486154470850374,-0.32783778661248997,True,0,2,3,2023-24,6,Luca_Koleosho
0,0,8,0,11.2,1,0,3.4,2023-09-30T14:00:00Z,57,15,0,0,0,0,7,0,-0.3050037131709699,6.0,1,0.036305562030337364,-0.22763691922505258,-0.32783778661248997,False,0,2,4,2023-24,7,Luca_Koleosho
0,0,4,1,13.1,0,0,3.0,2023-10-03T18:30:00Z,74,12,0,0,0,0,7,0,-0.3050037131709699,33.0,3,0.036305562030337364,-0.22763691922505258,-0.32783778661248997,False,0,2,2,2023-24,7,Luca_Koleosho
0,0,4,0,14.0,2,0,8.2,2023-10-07T14:00:00Z,29,7,0,0,0,0,8,0,-0.3194943806414126,7.0,1,-0.22445954370752977,-0.141449219641036,-0.32783778661248997,True,0,2,3,2023-24,8,Luca_Koleosho
0,0,6,0,1.4,2,0,5.0,2023-10-21T14:00:00Z,45,4,0,0,0,0,9,0,-0.3247968315873009,8.0,1,-0.23788086287841914,-0.182807692451347,-0.32783778661248997,False,0,2,3,2023-24,9,Luca_Koleosho
0,0,-1,0,1.8,2,0,0.0,2023-10-28T14:00:00Z,80,3,0,0,0,0,10,0,-0.33009253641239283,8.0,2,-0.2436549876004177,-0.1952378345528066,-0.32783778661248997,False,0,2,2,2023-24,10,Luca_Koleosho
0,0,0,0,12.8,1,0,5.6,2023-11-04T15:00:00Z,77,8,0,0,0,0,11,0,-0.33232550239596664,32.0,2,-0.24062709292912576,-0.2200658326723454,-0.32783778661248997,True,0,2,2,2023-24,11,Luca_Koleosho
0,0,3,0,1.1,3,0,0.0,2023-11-11T15:00:00Z,79,1,0,0,0,0,12,0,-0.3347473597618367,5.0,2,-0.2433310732867446,-0.22285857888475125,-0.32783778661248997,False,0,2,4,2023-24,12,Luca_Koleosho
1,0,9,1,1.7,0,0,0.0,2023-11-25T15:00:00Z,80,19,0,0,0,0,13,0,-0.3358385448006375,27.0,6,-0.24134533771161829,-0.23151124923070232,-0.32783778661248997,True,0,2,2,2023-24,13,Luca_Koleosho
0,0,16,1,13.8,0,1,29.6,2023-12-02T15:00:00Z,75,17,0,0,0,0,14,0,-0.32728615016113394,35.0,8,-0.17239383859233778,-0.23903390665833893,-0.32783778661248997,True,0,2,2,2023-24,14,Luca_Koleosho
0,0,3,0,0.8,0,0,2.4,2023-12-05T19:30:00Z,35,20,0,0,0,0,15,0,-0.322744324335028,7.0,1,-0.1825900978575255,-0.21819323983628133,-0.32783778661248997,False,0,2,2,2023-24,15,Luca_Koleosho
0,0,0,0,0.0,0,0,0.0,2023-12-09T15:00:00Z,0,5,0,0,0,0,16,0,-0.33429536966848494,0.0,0,-0.24747154320934847,-0.14508140402133263,-0.32783778661248997,False,0,2,3,2023-24,16,Luca_Koleosho
0,0,0,0,0.0,0,0,0.0,2023-12-16T17:30:00Z,0,9,0,0,0,0,17,0,-0.3400110205131463,0.0,0,-0.25128809881827924,-0.20111390172804205,-0.4012151855886311,True,0,2,2,2023-24,17,Luca_Koleosho
0,0,0,0,0.0,0,0,0.0,2023-12-23T15:00:00Z,0,10,0,0,0,0,18,0,-0.3418813825039192,0.0,0,-0.25023185649108437,-0.23532100706959125,-0.4012151855886311,False,0,2,2,2023-24,18,Luca_Koleosho
0,0,0,0,0.0,0,0,0.0,2023-12-26T17:30:00Z,0,11,0,0,0,0,19,0,-0.34264200762370156,0.0,0,-0.25010510741182096,-0.24642741975245386,-0.4012151855886311,True,0,2,4,2023-24,19,Luca_Koleosho
0,0,0,0,0.0,0,0,0.0,2023-12-30T15:00:00Z,0,2,0,0,0,0,20,0,-0.34342961722666904,0.0,0,-0.25052760434269894,-0.24758971875414879,-0.4745925845647722,False,0,2,4,2023-24,20,Luca_Koleosho
0,0,0,0,0.0,0,0,0.0,2024-01-12T19:45:00Z,0,12,0,0,0,0,21,0,-0.34432685129257634,0.0,0,-0.2508937683494598,-0.24691171100316006,-0.4745925845647722,True,0,2,2,2023-24,21,Luca_Koleosho
0,0,0,0,0.0,0,0,0.0,2024-01-31T19:30:00Z,0,13,0,0,0,0,22,0,-0.34483449688249757,0.0,0,-0.2514570975906304,-0.25112504488430415,-0.4745925845647722,False,0,2,5,2023-24,22,Luca_Koleosho
0,0,0,0,0.0,0,0,0.0,2024-02-03T15:00:00Z,0,10,0,0,0,0,23,0,-0.3449677327682244,0.0,0,-0.25128809881827924,-0.25462808493107913,-0.4745925845647722,True,0,2,2,2023-24,23,Luca_Koleosho
