assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,threat,total_points,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,season,gw,player
0,0,26,0,23.1,4,1,42.6,2023-08-12T16:30:00Z,86,15,0,0,0,0,1,0,0.4864697304826069,40.0,7,-0.2516120131319523,-0.2564361056003824,0.7728231980296272,False,0,3,4,2023-24,1,Moussa_Diaby
0,0,8,1,25.8,0,0,8.4,2023-08-20T13:00:00Z,63,9,0,0,0,0,2,0,1.0299119238791856,37.0,3,2.8951169615849173,0.1829774892070595,0.7728231980296272,True,0,4,2,2023-24,2,Moussa_Diaby
1,2,42,0,26.8,1,1,55.8,2023-08-27T13:00:00Z,72,6,0,0,0,0,3,0,1.0400867605701982,18.0,12,0.9319708890295204,1.2282717247313606,0.8462005970057683,False,0,3,2,2023-24,3,Moussa_Diaby
0,0,5,0,14.4,3,0,2.8,2023-09-03T13:00:00Z,90,11,0,0,0,0,4,0,1.1514264247224582,10.0,2,1.4940748891005666,1.047921662968365,0.8462005970057683,False,0,3,5,2023-24,4,Moussa_Diaby
1,0,21,0,27.6,1,0,23.0,2023-09-16T14:00:00Z,90,8,0,0,0,0,5,0,1.2984176507529406,18.0,5,1.8480428177901085,1.1478955201558187,0.8462005970057683,True,0,4,2,2023-24,5,Moussa_Diaby
0,0,0,1,12.7,0,0,4.8,2023-09-24T13:00:00Z,80,7,0,0,0,0,6,0,1.470546609400619,23.0,3,2.0693748766460343,0.8764502741349834,0.8462005970057683,False,0,3,3,2023-24,6,Moussa_Diaby
2,0,24,0,12.1,1,0,24.0,2023-09-30T11:30:00Z,78,5,0,0,0,0,7,0,1.6015967519894552,59.0,8,2.1317213404125894,1.286564248274699,0.9195779959819095,True,0,4,3,2023-24,7,Moussa_Diaby
0,0,10,0,14.2,1,0,5.2,2023-10-08T13:00:00Z,61,20,0,0,0,0,8,0,1.763527262523334,0.0,2,4.160762850953916,3.264361287033823,0.9195779959819095,False,0,3,2,2023-24,8,Moussa_Diaby
0,0,13,0,49.8,1,0,8.4,2023-10-22T15:30:00Z,84,19,0,0,0,0,9,0,1.922265171390366,11.0,2,1.9037983294349679,0.8986792425423988,0.9195779959819095,True,0,4,2,2023-24,9,Moussa_Diaby
1,3,37,0,16.5,1,1,33.2,2023-10-29T14:00:00Z,89,12,0,0,0,0,10,0,1.937469241135017,35.0,13,1.7209416577509933,1.921308647533649,0.9195779959819095,True,0,4,2,2023-24,10,Moussa_Diaby
0,0,7,0,50.3,2,0,18.4,2023-11-05T14:00:00Z,90,16,0,0,0,0,11,0,2.2256635215527605,33.0,2,2.4889847451629787,0.3439559009418064,0.9929553949580506,False,0,3,2,2023-24,11,Moussa_Diaby
1,0,6,1,11.3,0,0,3.0,2023-11-12T14:00:00Z,61,10,0,0,0,0,12,0,2.253941573400632,30.0,6,1.1452895894297943,1.0414160171672115,0.9929553949580506,True,0,4,2,2023-24,12,Moussa_Diaby
0,0,3,0,15.2,1,0,5.0,2023-11-26T14:00:00Z,45,18,0,0,0,0,13,0,2.317361855006606,8.0,1,1.4922440690667622,1.184072076583573,0.9929553949580506,False,0,3,3,2023-24,13,Moussa_Diaby
1,0,10,0,14.2,0,0,18.0,2023-12-03T14:00:00Z,16,3,0,0,0,0,14,0,2.164784840956791,0.0,4,0.493559907088507,2.146891512112605,0.9929553949580506,False,0,3,2,2023-24,14,Moussa_Diaby
0,0,5,0,0.3,0,0,2.4,2023-12-06T20:15:00Z,5,13,0,0,0,0,15,0,1.819803402206031,2.0,1,-0.014070155361342845,3.2946133471612713,0.9929553949580506,True,0,4,5,2023-24,15,Moussa_Diaby
0,0,4,0,20.8,0,0,5.2,2023-12-09T17:30:00Z,45,1,0,0,0,0,16,0,1.5724821811628429,6.0,1,0.20765623396340224,2.6577219233575238,0.9195779959819095,True,0,4,4,2023-24,16,Moussa_Diaby
0,0,6,0,8.8,1,0,2.6,2023-12-17T14:00:00Z,64,4,0,0,0,0,17,0,1.4709749880711838,11.0,2,0.645292638197806,1.7553097498332475,0.9195779959819095,False,0,3,3,2023-24,17,Moussa_Diaby
0,0,2,1,5.5,0,0,4.6,2023-12-22T20:00:00Z,73,17,0,0,0,0,18,0,1.4454645322799924,39.0,3,0.48429314107125077,0.9919053083033458,0.9195779959819095,True,0,4,2,2023-24,18,Moussa_Diaby
0,0,3,0,0.3,1,0,0.0,2023-12-26T20:00:00Z,13,14,0,0,0,0,19,0,1.352400109364897,4.0,1,0.04714964992287126,0.9582632094209539,0.8462005970057683,False,0,3,4,2023-24,19,Moussa_Diaby
0,0,20,0,13.5,2,1,30.8,2023-12-30T15:00:00Z,81,6,0,0,0,0,20,0,1.2238308526988986,51.0,7,0.08030157576576061,1.3840359340001707,0.8462005970057683,True,0,4,2,2023-24,20,Moussa_Diaby
0,0,7,1,25.7,0,0,8.6,2024-01-14T14:00:00Z,63,9,0,0,0,0,21,0,1.3154735306561747,21.0,3,1.4560501653215516,0.9998315417732376,0.8462005970057683,False,0,3,2,2023-24,21,Moussa_Diaby
0,0,2,0,13.8,3,0,3.6,2024-01-30T20:15:00Z,62,15,0,0,0,0,22,0,1.2193733533827462,9.0,2,0.017081951675390904,0.944331764442305,0.8462005970057683,True,0,4,3,2023-24,22,Moussa_Diaby
0,0,6,0,18.8,0,0,11.2,2024-02-03T17:30:00Z,30,17,0,0,0,0,23,0,1.1586700719274803,23.0,1,-0.07476888109747415,0.5564951878350753,0.7728231980296272,False,0,3,2,2023-24,23,Moussa_Diaby
