assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,threat,total_points,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,season,gw,player
0,0,2,0,1.6,0,0,0.2,2019-08-11T13:00:00Z,19,13,0,0,0,0,1,0,0.12409679231899738,0.0,1,-0.2516120131319523,-0.2564361056003824,2.9741451673138615,False,0,3,2,2019-20,1,Nicolas_Pépé
0,0,6,0,26.3,0,0,16.6,2019-08-17T11:30:00Z,45,5,0,0,0,0,2,0,0.12265312246859014,9.0,1,0.06934482202499259,0.6089277872448685,2.9741451673138615,True,0,4,3,2019-20,2,Nicolas_Pépé
0,0,2,0,17.7,3,0,15.0,2019-08-24T16:30:00Z,90,10,0,0,0,0,3,0,0.009392500419585142,39.0,2,-0.15291673007886455,1.0567357637312182,2.90076776833772,False,0,3,5,2019-20,3,Nicolas_Pépé
1,0,22,0,29.2,2,0,21.6,2019-09-01T15:30:00Z,90,17,0,0,0,0,4,0,0.040308285498808306,75.0,5,0.22238729362001322,0.2705373473347437,2.90076776833772,True,0,4,3,2019-20,4,Nicolas_Pépé
0,0,9,0,14.2,2,0,9.8,2019-09-15T15:30:00Z,90,18,0,0,0,0,5,0,0.06634325218191167,5.0,2,0.2082336464356021,0.19146872913610852,2.90076776833772,False,0,3,3,2019-20,5,Nicolas_Pépé
0,2,30,0,61.8,2,1,47.0,2019-09-22T15:30:00Z,90,2,0,0,0,0,6,0,0.04952348650654795,70.0,8,-0.045349011477339975,0.20830592161899472,2.90076776833772,True,1,4,2,2019-20,6,Nicolas_Pépé
0,0,5,0,6.0,1,0,2.8,2019-09-30T19:00:00Z,73,12,0,0,0,0,7,0,0.03820855540096133,23.0,2,-0.054686193649742545,0.1367761038896863,2.90076776833772,False,0,3,4,2019-20,7,Nicolas_Pépé
1,0,16,1,19.6,0,0,18.2,2019-10-06T13:00:00Z,62,3,0,0,0,0,8,0,0.036355058712179145,8.0,6,0.05374060204456719,0.15931179008921564,2.8273903693615794,True,0,4,2,2019-20,8,Nicolas_Pépé
0,0,9,0,35.8,1,0,18.8,2019-10-21T19:00:00Z,77,15,0,0,0,0,9,0,0.04744736783148801,19.0,2,0.05210694724517247,0.05452730647808027,2.8273903693615794,False,0,3,3,2019-20,9,Nicolas_Pépé
0,0,14,0,67.0,2,0,22.6,2019-10-27T16:30:00Z,90,7,0,0,0,0,10,0,0.05704541119441742,13.0,2,0.022954659014594328,-0.003458499273144244,2.8273903693615794,True,0,4,3,2019-20,10,Nicolas_Pépé
