assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,threat,total_points,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,season,gw,player
0,0,3,0,0.2,1,0,2.6,2022-08-06T14:00:00Z,15,15,0,0,0,0,1,0,-0.3492144158094924,0.0,1,-0.2516120131319523,-0.2564361056003824,-0.32783778661248997,False,0,2,4,2022-23,1,Orel_Mangala
0,0,4,1,4.4,0,0,1.6,2022-08-14T13:00:00Z,83,19,0,0,0,0,2,0,-0.3485988322868305,8.0,3,-0.24971077694300156,-0.24818701129668644,-0.32783778661248997,True,0,2,2,2022-23,2,Orel_Mangala
0,0,12,0,12.1,0,0,11.6,2022-08-20T14:00:00Z,54,8,0,0,0,0,3,0,-0.3468482139401918,7.0,1,-0.23816252749900443,-0.24704085533668171,-0.32783778661248997,False,0,2,2,2022-23,3,Orel_Mangala
0,0,0,0,0.0,0,0,0.0,2022-08-28T15:30:00Z,0,18,0,0,0,0,4,0,-0.34734068075832136,0.0,0,-0.24785179044713862,-0.24284366449722783,-0.32783778661248997,True,0,2,3,2022-23,4,Orel_Mangala
0,0,0,0,0.0,0,0,0.0,2022-08-31T18:30:00Z,0,13,0,0,0,0,5,0,-0.3485364306694647,0.0,0,-0.25056985403578674,-0.24179436678736435,-0.32783778661248997,False,0,2,5,2022-23,5,Orel_Mangala
0,0,0,0,0.0,0,0,0.0,2022-09-03T14:00:00Z,0,3,0,0,0,0,6,0,-0.3497692842449877,0.0,0,-0.25128809881827924,-0.24402210654061296,-0.4012151855886311,True,0,2,2,2022-23,6,Orel_Mangala
0,0,0,0,0.0,0,0,0.0,2022-09-16T19:00:00Z,0,9,0,0,0,0,8,0,-0.3503848677676497,0.0,0,-0.2509782677356354,-0.2544827975558673,-0.4012151855886311,True,0,2,2,2022-23,8,Orel_Mangala
0,0,3,0,0.9,1,0,2.0,2022-10-03T19:00:00Z,21,10,0,0,0,0,9,0,-0.35050292488158485,0.0,1,-0.2506121037288745,-0.25374021763811777,-0.4012151855886311,False,0,2,3,2022-23,9,Orel_Mangala
0,0,0,0,0.0,0,0,0.0,2022-10-10T19:00:00Z,0,2,0,0,0,0,10,0,-0.3505686995593487,0.0,0,-0.2507670192701964,-0.2543375101806554,-0.4012151855886311,True,0,2,2,2022-23,10,Orel_Mangala
0,0,2,0,0.3,0,0,0.0,2022-10-15T14:00:00Z,20,20,0,0,0,0,11,0,-0.35050798447218207,9.0,1,-0.2506966031150501,-0.2552092344319266,-0.4012151855886311,False,0,2,2,2022-23,11,Orel_Mangala
0,0,7,1,0.7,0,0,3.0,2022-10-18T18:30:00Z,60,5,0,0,0,0,12,0,-0.3504523289756126,0.0,3,-0.25083743542534276,-0.2554998091823503,-0.4012151855886311,False,0,2,3,2022-23,12,Orel_Mangala
0,0,3,0,0.1,0,0,0.0,2022-10-22T11:30:00Z,10,12,0,0,0,0,13,0,-0.35035619675426544,0.0,1,-0.2503022726462307,-0.25533837876544824,-0.4012151855886311,True,0,2,4,2022-23,13,Orel_Mangala
0,0,0,0,0.0,0,0,0.0,2022-10-30T14:00:00Z,0,1,0,0,0,0,14,0,-0.3504118522508349,0.0,0,-0.2507388528081379,-0.25446665451417705,-0.4012151855886311,False,0,2,4,2022-23,14,Orel_Mangala
0,0,0,0,0.0,0,0,0.0,2022-11-05T15:00:00Z,0,4,0,0,0,0,15,0,-0.35046413468700616,0.0,0,-0.2510909335838695,-0.25490251663981267,-0.4012151855886311,True,0,2,3,2022-23,15,Orel_Mangala
0,0,0,0,0.0,0,0,0.0,2022-11-12T15:00:00Z,0,7,0,0,0,0,16,0,-0.35052822283457097,0.0,0,-0.25113318327695733,-0.2549348027231931,-0.4012151855886311,True,0,2,2,2022-23,16,Orel_Mangala
0,0,2,0,1.5,2,0,0.2,2022-12-27T20:00:00Z,62,14,0,0,0,0,17,0,-0.3504944922305895,7.0,1,-0.25014735710490876,-0.25424065193051415,-0.4012151855886311,False,1,2,4,2022-23,17,Orel_Mangala
0,0,4,0,1.1,1,0,0.0,2023-01-01T16:30:00Z,77,6,0,0,0,0,18,0,-0.35048268651919595,0.0,2,-0.25117543297004513,-0.25575809784939363,-0.4012151855886311,True,0,2,3,2022-23,18,Orel_Mangala
0,0,0,0,1.2,0,0,3.6,2023-01-04T19:30:00Z,59,17,0,0,0,0,19,0,-0.3504658212172052,7.0,1,-0.2510064341976939,-0.2556612395992524,-0.4012151855886311,False,0,2,2,2022-23,19,Orel_Mangala
0,0,11,1,2.4,0,0,9.2,2023-01-14T15:00:00Z,69,10,0,0,0,0,20,0,-0.35048437304939506,0.0,3,-0.2512176826631329,-0.2554190939738993,-0.4012151855886311,True,0,2,3,2022-23,20,Orel_Mangala
0,0,2,0,11.8,1,0,8.4,2023-01-21T15:00:00Z,59,3,0,0,0,0,21,0,-0.35041016572063577,0.0,1,-0.25092193481151837,-0.2558710991412251,-0.4012151855886311,False,0,2,2,2022-23,21,Orel_Mangala
0,0,11,0,0.6,0,0,8.4,2023-02-05T14:00:00Z,45,11,0,0,0,0,22,0,-0.3504236579622284,0.0,1,-0.251119100045928,-0.25535452180713847,-0.4012151855886311,True,0,2,2,2022-23,22,Orel_Mangala
0,0,4,0,0.7,1,0,8.6,2023-02-11T15:00:00Z,55,9,0,0,0,0,23,0,-0.35039498694884413,0.0,1,-0.25102051742872317,-0.2556612395992524,-0.4012151855886311,False,0,2,2,2022-23,23,Orel_Mangala
0,0,3,0,0.2,0,0,3.8,2023-02-18T15:00:00Z,18,13,0,0,0,0,24,0,-0.35041522531123304,0.0,1,-0.2513444317423963,-0.25570966872432305,-0.4012151855886311,True,0,2,5,2022-23,24,Orel_Mangala
0,0,0,0,0.0,0,0,0.0,2023-02-25T15:00:00Z,0,19,0,0,0,0,25,0,-0.35038655429784876,0.0,0,-0.25120359943210363,-0.25590338522460554,-0.4012151855886311,False,0,2,3,2022-23,25,Orel_Mangala
0,0,0,0,0.0,0,0,0.0,2023-03-05T14:00:00Z,0,8,0,0,0,0,26,0,-0.350391613888446,0.0,0,-0.25147118082165965,-0.25603252955812716,-0.4012151855886311,True,0,2,2,2022-23,26,Orel_Mangala
0,0,5,0,1.8,2,0,7.2,2023-03-11T15:00:00Z,45,18,0,0,0,0,27,0,-0.35041016572063577,0.0,1,-0.25144301435960115,-0.25593567130798595,-0.4012151855886311,False,0,2,4,2022-23,27,Orel_Mangala
0,0,0,0,0.0,0,0,0.0,2023-03-17T20:00:00Z,0,15,0,0,0,0,28,0,-0.3503056008482932,0.0,0,-0.2508092689632842,-0.25616167389164884,-0.4012151855886311,True,0,2,3,2022-23,28,Orel_Mangala
0,0,7,0,1.0,1,0,9.0,2023-04-01T14:00:00Z,85,20,0,0,0,0,29,0,-0.35033595839187653,0.0,2,-0.2513866814354841,-0.25575809784939363,-0.4012151855886311,True,0,2,2,2022-23,29,Orel_Mangala
0,0,24,0,0.8,2,1,35.2,2023-04-04T18:45:00Z,55,11,0,0,0,0,29,0,-0.35033595839187653,17.0,6,-0.2513866814354841,-0.25575809784939363,-0.4012151855886311,False,0,2,2,2022-23,29,Orel_Mangala
0,0,0,0,0.2,1,0,0.4,2023-04-08T14:00:00Z,25,2,0,0,0,0,30,0,-0.350094784573409,0.0,0,-0.24923194708800656,-0.2556612395992524,-0.4012151855886311,False,1,2,2,2022-23,30,Orel_Mangala
0,0,-1,0,0.2,1,0,0.0,2023-04-16T15:30:00Z,25,14,0,0,0,0,31,0,-0.35021452821754323,0.0,0,-0.25131626528033774,-0.2548218014313616,-0.4012151855886311,True,1,2,3,2022-23,31,Orel_Mangala
0,0,12,0,1.0,3,0,8.6,2023-04-22T14:00:00Z,90,12,0,0,0,0,32,0,-0.35019428985515433,20.0,2,-0.2510768503528403,-0.2556612395992524,-0.4012151855886311,False,0,2,4,2022-23,32,Orel_Mangala
0,0,11,0,0.4,1,0,15.4,2023-04-26T18:30:00Z,90,5,0,0,0,0,33,0,-0.3501791110833627,0.0,2,-0.25099235096666467,-0.25590338522460554,-0.4012151855886311,True,0,2,3,2022-23,33,Orel_Mangala
0,0,7,1,4.9,0,0,7.2,2023-04-29T14:00:00Z,80,4,0,0,0,0,34,0,-0.3501150229357979,0.0,3,-0.250583937266816,-0.25570966872432305,-0.4012151855886311,False,0,2,3,2022-23,34,Orel_Mangala
