assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,threat,total_points,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,season,gw,player
1,0,15,0,2.8,1,0,10.2,2022-08-07T13:00:00Z,90,14,0,0,0,0,1,0,-0.34229289587249323,19.0,5,-0.2516120131319523,-0.2564361056003824,-0.32783778661248997,False,0,3,4,2022-23,1,Solly_March
0,0,10,1,27.4,0,0,14.2,2022-08-13T14:00:00Z,74,15,0,0,0,0,2,0,-0.30193422820865545,47.0,2,0.02205333222872138,-0.20054889526888478,-0.32783778661248997,True,1,3,3,2022-23,2,Solly_March
0,0,13,1,8.8,0,0,16.0,2022-08-21T13:00:00Z,84,19,0,0,0,0,3,0,-0.28692073637649984,10.0,3,-0.02454807924711586,-0.11576564031191622,-0.32783778661248997,False,0,3,3,2022-23,3,Solly_March
0,0,1,1,14.8,0,0,9.6,2022-08-27T14:00:00Z,69,11,0,0,0,0,4,0,-0.28781797044240715,47.0,3,-0.16297215703375964,-0.13165039333508016,-0.32783778661248997,True,0,3,2,2022-23,4,Solly_March
0,0,10,0,8.6,2,0,8.8,2022-08-30T18:30:00Z,90,9,0,0,0,0,5,0,-0.28201462002739397,10.0,2,-0.12103229502860904,-0.14403210631146915,-0.32783778661248997,False,0,3,2,2022-23,5,Solly_March
1,0,16,0,17.2,2,0,13.0,2022-09-04T13:00:00Z,90,10,0,0,0,0,6,0,-0.28038880491548673,69.0,5,-0.1554235452020737,-0.14761586156669515,-0.32783778661248997,True,0,3,3,2022-23,6,Solly_March
1,1,24,0,26.2,3,0,32.2,2022-10-01T14:00:00Z,90,12,0,0,0,0,9,0,-0.2874857239931896,4.0,6,-0.21503786214895163,-0.16427548059098906,-0.32783778661248997,False,0,3,4,2022-23,9,Solly_March
0,0,8,0,15.7,1,0,3.8,2022-10-08T16:30:00Z,90,18,0,0,0,0,10,0,-0.26438194679607663,9.0,2,-0.014520818754279319,-0.18027323490598446,-0.32783778661248997,True,0,3,3,2022-23,10,Solly_March
0,0,10,0,43.7,2,0,22.0,2022-10-14T19:00:00Z,90,4,0,0,0,0,11,0,-0.25907949585018836,59.0,2,-0.14011507307326285,-0.17675405181751927,-0.32783778661248997,False,0,3,3,2022-23,11,Solly_March
0,0,11,1,39.9,0,0,15.0,2022-10-18T18:30:00Z,90,16,0,0,0,0,12,0,-0.253706210635939,27.0,3,-0.1597752635901165,-0.19397867730097043,-0.32783778661248997,True,0,3,2,2022-23,12,Solly_March
1,0,21,0,13.5,3,0,24.6,2022-10-22T14:00:00Z,90,13,0,0,0,0,13,0,-0.26115055493465106,20.0,5,-0.2126859625670644,-0.14338638464386086,-0.32783778661248997,False,0,3,5,2022-23,13,Solly_March
0,0,8,0,12.9,1,0,8.4,2022-10-29T14:00:00Z,90,6,0,0,0,0,14,0,-0.2626684321138176,18.0,2,-0.19125128494052335,-0.16519563396733086,-0.32783778661248997,True,0,3,3,2022-23,14,Solly_March
0,0,16,0,39.0,2,0,18.4,2022-11-05T15:00:00Z,90,20,0,0,0,0,15,0,-0.2601993519023734,57.0,2,-0.14763551844289025,-0.15333049832502854,-0.32783778661248997,False,0,3,2,2022-23,15,Solly_March
