,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,gw
0,0,0,0,0,0,5,0,11.8,118,0.02,0.02,0.0,0.14,9,0,0,2.1,9.2,2022-08-07T13:00:00Z,14,14,0,0,0,0,1,0,10644,0,2,1,0.0,1,0,0,0,55,False,0,3,4,1
1,1,1,1,0,0,4,0,10.9,118,0.13,0.13,0.0,0.07,14,0,0,2.1,4.4,2022-08-13T14:00:00Z,25,15,0,0,0,0,2,0,11411,0,0,0,6.0,1,-1283,833,2116,55,True,0,3,3,2
2,2,2,2,0,0,5,0,0.3,118,0.0,0.0,0.0,0.06,30,0,0,0.7,2.2,2022-08-21T13:00:00Z,5,19,0,0,0,0,3,0,10581,0,2,0,4.0,1,-1614,767,2381,54,False,0,3,3,3
3,3,3,3,0,0,2,0,0.3,118,0.0,0.0,0.0,0.59,34,0,0,0.0,0.0,2022-08-27T14:00:00Z,20,11,0,0,0,0,4,0,9636,0,0,1,0.0,1,-1402,538,1940,54,True,0,3,2,4
4,4,4,4,0,0,1,0,1.4,118,0.0,0.0,0.0,0.5,44,2,0,0.9,7.6,2022-08-30T18:30:00Z,62,9,0,0,0,0,5,0,9161,1,1,2,0.0,2,-829,426,1255,53,False,0,3,2,5
5,5,5,5,1,0,12,0,14.3,118,0.09,0.31,0.22,1.41,53,2,0,6.4,25.4,2022-09-04T13:00:00Z,83,10,0,0,0,0,6,0,9174,1,2,5,24.0,5,-403,710,1113,53,True,0,3,3,6
6,6,6,6,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,87,0,0,0.0,0.0,2022-10-01T14:00:00Z,0,12,0,0,0,0,9,0,9677,0,3,3,0.0,0,-1136,337,1473,53,False,0,3,4,9
7,7,7,7,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,93,0,0,0.0,0.0,2022-10-08T16:30:00Z,0,18,0,0,0,0,10,0,8349,0,1,0,0.0,0,-1325,63,1388,53,True,0,3,3,10
8,8,8,8,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,102,0,0,0.0,0.0,2022-10-14T19:00:00Z,0,4,0,0,0,0,11,0,7245,0,0,2,0.0,0,-1135,17,1152,53,False,0,3,3,11
9,9,9,9,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,114,0,0,0.0,0.0,2022-10-18T18:30:00Z,0,16,0,0,0,0,12,0,6709,0,0,0,0.0,0,-508,0,508,53,True,0,3,2,12
10,10,10,10,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,125,0,0,0.0,0.0,2022-10-22T14:00:00Z,0,13,0,0,0,0,13,0,6474,0,1,3,0.0,0,-304,0,304,53,False,0,3,5,13
11,11,11,11,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,134,0,0,0.0,0.0,2022-10-29T14:00:00Z,0,6,0,0,0,0,14,0,6158,0,1,4,0.0,0,-316,0,316,53,True,0,3,3,14
12,12,12,12,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,150,0,0,0.0,0.0,2022-11-05T15:00:00Z,0,20,0,0,0,0,15,0,5961,0,3,2,0.0,0,-196,0,196,53,False,0,3,2,15
13,13,13,13,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,152,0,0,0.0,0.0,2022-11-13T14:00:00Z,0,2,0,0,0,0,16,0,5835,0,2,1,0.0,0,-135,0,135,53,True,0,3,2,16
14,14,14,14,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,170,0,0,0.0,0.0,2022-12-26T15:00:00Z,0,17,0,0,0,0,17,0,5660,0,3,1,0.0,0,-175,0,175,53,False,0,3,2,17
15,15,15,15,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,172,0,0,0.0,0.0,2022-12-31T17:30:00Z,0,1,0,0,0,0,18,0,5576,0,4,2,0.0,0,-87,0,87,53,True,0,3,4,18
16,16,16,16,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,186,0,0,0.0,0.0,2023-01-03T19:45:00Z,0,8,0,0,0,0,19,0,5546,0,4,1,0.0,0,-28,0,28,53,False,0,3,2,19
17,17,17,17,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,193,0,0,0.0,0.0,2023-01-14T15:00:00Z,0,12,0,0,0,0,20,0,5477,0,0,3,0.0,0,-68,0,68,53,True,0,3,4,20
18,18,18,18,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,206,0,0,0.0,0.0,2023-01-21T15:00:00Z,0,10,0,0,0,0,21,0,5419,0,2,2,0.0,0,-60,0,60,53,False,0,3,3,21
19,19,19,19,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,213,0,0,0.0,0.0,2023-02-04T15:00:00Z,0,3,0,0,0,0,22,0,5342,0,0,1,0.0,0,-76,0,76,53,True,0,3,2,22
20,20,20,20,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,223,0,0,0.0,0.0,2023-02-11T15:00:00Z,0,7,0,0,0,0,23,0,5320,0,1,1,0.0,0,-25,0,25,53,False,0,3,2,23
21,21,21,21,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,233,0,0,0.0,0.0,2023-02-18T15:00:00Z,0,9,0,0,0,0,24,0,5297,0,1,0,0.0,0,-20,0,20,53,True,0,3,2,24
22,22,22,22,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,254,0,0,0.0,0.0,2023-03-04T15:00:00Z,0,19,0,0,0,0,26,0,5267,0,0,4,0.0,0,-16,0,16,53,True,0,3,2,26
23,23,23,23,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,265,0,0,0.0,0.0,2023-03-11T15:00:00Z,0,11,0,0,0,0,27,0,5246,0,2,2,0.0,0,-21,0,21,53,False,0,3,2,27
24,24,24,24,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,73,0,0,0.0,0.0,2023-03-15T19:30:00Z,0,7,0,0,0,0,27,0,5246,0,0,1,0.0,0,-21,0,21,53,True,0,3,2,27
25,25,25,25,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,283,0,0,0.0,0.0,2023-04-01T14:00:00Z,0,4,0,0,0,0,29,0,5226,0,3,3,0.0,0,-10,0,10,53,True,0,3,3,29
26,26,26,26,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,62,0,0,0.0,0.0,2023-04-04T18:45:00Z,0,3,0,0,0,0,29,0,5226,0,2,0,0.0,0,-10,0,10,53,False,0,3,2,29
27,27,27,27,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,299,0,0,0.0,0.0,2023-04-08T14:00:00Z,0,18,0,0,0,0,30,0,5217,0,1,2,0.0,0,-9,0,9,53,False,0,3,4,30
28,28,28,28,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,302,0,0,0.0,0.0,2023-04-15T14:00:00Z,0,6,0,0,0,0,31,0,5209,0,2,1,0.0,0,-8,0,8,53,False,0,3,4,31
29,29,29,29,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,324,0,0,0.0,0.0,2023-04-26T18:30:00Z,0,16,0,0,0,0,33,0,5194,0,1,3,0.0,0,-5,0,5,53,False,0,3,2,33
30,30,30,30,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,334,0,0,0.0,0.0,2023-04-29T14:00:00Z,0,20,0,0,0,0,34,0,5192,0,0,6,0.0,0,-3,0,3,53,True,0,3,2,34
31,31,31,31,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,274,0,0,0.0,0.0,2023-05-04T19:00:00Z,0,14,0,0,0,0,34,0,5192,0,0,1,0.0,0,-3,0,3,53,True,0,3,3,34
32,32,32,32,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,342,0,0,0.0,0.0,2023-05-08T16:30:00Z,0,8,0,0,0,0,35,0,5185,0,5,1,0.0,0,-7,0,7,53,True,0,3,2,35
33,33,33,33,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,351,0,0,0.0,0.0,2023-05-14T15:30:00Z,0,1,0,0,0,0,36,0,5178,0,3,0,0.0,0,-6,0,6,53,False,0,3,4,36
34,34,34,34,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,248,0,0,0.0,0.0,2023-05-18T18:30:00Z,0,15,0,0,0,0,36,0,5178,0,1,4,0.0,0,-6,0,6,53,False,0,3,4,36
35,35,35,35,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,362,0,0,0.0,0.0,2023-05-21T13:00:00Z,0,17,0,0,0,0,37,0,5168,0,1,3,0.0,0,-11,0,11,53,True,0,3,2,37
36,36,36,36,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,314,0,0,0.0,0.0,2023-05-24T19:00:00Z,0,13,0,0,0,0,37,0,5168,0,1,1,0.0,0,-11,0,11,53,True,0,3,5,37
37,37,37,37,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,372,0,0,0.0,0.0,2023-05-28T15:30:00Z,0,2,0,0,0,0,38,0,5165,0,1,2,0.0,0,-2,0,2,53,False,0,3,2,38
