,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR
0,0,0,0,0,0.0,672,0.0,0.0,0.0,0.0,162,0,0,0.0,0.0,2022-12-26T17:30:00Z,0,12,0,0,0,0,17,0,0,0,3,1,0.0,0,0,0,0,45,True,0,2,4
1,0,0,0,0,0.0,672,0.0,0.0,0.0,0.0,178,0,0,0.0,0.0,2023-01-01T14:00:00Z,0,18,0,0,0,0,18,0,33,0,2,0,0.0,0,19,25,6,45,False,0,2,4
2,0,0,0,0,0.0,672,0.0,0.0,0.0,0.0,182,0,0,0.0,0.0,2023-01-04T20:00:00Z,0,20,0,0,0,0,19,0,60,0,1,1,0.0,0,16,23,7,45,True,0,2,2
3,0,0,0,0,0.0,672,0.0,0.0,0.0,0.0,191,0,0,0.0,0.0,2023-01-13T20:00:00Z,0,11,0,0,0,0,20,0,102,0,1,2,0.0,0,24,43,19,45,True,0,2,2
4,0,0,0,0,0.0,672,0.0,0.0,0.0,0.0,209,0,0,0.0,0.0,2023-01-21T15:00:00Z,0,17,0,0,0,0,21,0,139,0,1,0,0.0,0,22,44,22,45,False,0,2,2
5,0,0,0,0,0.0,672,0.0,0.0,0.0,0.0,211,0,0,0.0,0.0,2023-02-04T15:00:00Z,0,10,0,0,0,0,22,0,184,0,4,2,0.0,0,19,59,40,45,True,0,2,3
6,0,0,0,0,0.0,672,0.0,0.0,0.0,0.0,228,0,0,0.0,0.0,2023-02-12T16:30:00Z,0,13,0,0,0,0,23,0,192,0,1,3,0.0,0,-9,30,39,45,False,0,2,5
7,0,0,0,0,0.0,672,0.0,0.0,0.0,0.0,231,0,0,0.0,0.0,2023-02-18T12:30:00Z,0,1,0,0,0,0,24,0,305,0,4,2,0.0,0,93,124,31,45,True,0,2,4
8,0,0,0,0,0.0,672,0.0,0.0,0.0,0.0,243,0,0,0.0,0.0,2023-02-25T15:00:00Z,0,8,0,0,0,0,25,0,525,0,2,0,0.0,0,71,169,98,45,False,0,2,2
9,0,0,0,0,0.0,672,0.0,0.0,0.0,0.0,252,0,0,0.0,0.0,2023-03-04T15:00:00Z,0,7,0,0,0,0,26,0,388,0,0,1,0.0,0,-25,74,99,45,True,0,2,2
10,0,0,0,0,0.0,672,0.0,0.0,0.0,0.0,270,0,0,0.0,0.0,2023-03-12T14:00:00Z,0,19,0,0,0,0,27,0,418,0,1,1,0.0,0,-1,66,67,45,False,0,2,3
11,0,0,0,0,0.0,672,0.0,0.0,0.0,0.0,272,0,0,0.0,0.0,2023-03-18T15:00:00Z,0,3,0,0,0,0,28,0,545,0,0,3,0.0,0,42,87,45,45,True,0,2,2
12,0,0,0,0,0.0,672,0.0,0.0,0.0,0.0,284,0,0,0.0,0.0,2023-04-01T16:30:00Z,0,6,0,0,0,0,29,0,472,0,2,0,0.0,0,-26,54,80,45,False,0,2,4
13,0,0,0,0,0.0,672,0.0,0.0,0.0,0.0,66,0,0,0.0,0.0,2023-04-04T18:45:00Z,0,10,0,0,0,0,29,0,472,0,2,1,0.0,0,-26,54,80,45,False,0,2,3
14,0,0,0,0,0.0,672,0.0,0.0,0.0,0.0,291,0,0,0.0,0.0,2023-04-08T14:00:00Z,0,16,0,0,0,0,30,0,524,0,0,2,0.0,0,47,76,29,45,True,0,2,2
15,0,0,0,0,0.0,672,0.0,0.0,0.0,0.0,301,0,0,0.0,0.0,2023-04-15T11:30:00Z,0,15,0,0,0,0,31,0,592,0,0,3,0.0,0,48,99,51,45,True,0,2,3
16,0,0,0,0,0.0,672,0.0,0.0,0.0,0.0,313,0,0,0.0,0.0,2023-04-22T14:00:00Z,0,4,0,0,0,0,32,0,633,0,1,1,0.0,0,4,59,55,45,False,0,2,3
17,0,0,0,0,0.0,672,0.0,0.0,0.0,0.0,321,0,0,0.0,0.0,2023-04-25T18:45:00Z,0,9,0,0,0,0,33,0,634,0,0,1,0.0,0,18,62,44,45,True,0,2,2
18,0,0,0,0,0.0,672,0.0,0.0,0.0,0.0,339,0,0,0.0,0.0,2023-04-30T13:00:00Z,0,14,0,0,0,0,34,0,642,0,0,1,0.0,0,-2,54,56,45,False,0,2,4
19,0,0,0,0,0.0,672,0.0,0.0,0.0,0.0,350,0,0,0.0,0.0,2023-05-06T14:00:00Z,0,20,0,0,0,0,35,0,701,0,0,1,0.0,0,40,83,43,45,False,0,2,2
20,0,0,0,0,0.0,672,0.0,0.0,0.0,0.0,352,0,0,0.0,0.0,2023-05-13T14:00:00Z,0,18,0,0,0,0,36,0,699,0,1,2,0.0,0,-10,38,48,45,True,0,2,3
21,0,0,0,0,0.0,672,0.0,0.0,0.0,0.0,364,0,0,0.0,0.0,2023-05-20T14:00:00Z,0,12,0,0,0,0,37,0,738,0,1,1,0.0,0,25,82,57,45,False,0,2,4
22,0,0,0,0,0.0,672,0.0,0.0,0.0,0.0,372,0,0,0.0,0.0,2023-05-28T15:30:00Z,0,5,0,0,0,0,38,0,702,0,1,2,0.0,0,-38,34,72,45,True,0,2,3
