,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,gw
0,0,0,0,0,0,0,0,0.0,174,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,2022-08-05T19:00:00Z,0,1,0,0,0,0,1,0,24639,0,2,0,0.0,0,0,0,0,40,True,0,2,4,1
1,1,1,1,0,0,0,0,0.0,174,0.0,0.0,0.0,0.0,16,0,0,0.0,0.0,2022-08-15T19:00:00Z,0,12,0,0,0,0,2,0,25973,0,1,1,0.0,0,-2431,1417,3848,40,False,0,2,4,2
2,2,2,2,0,0,0,0,0.0,174,0.0,0.0,0.0,0.0,22,0,0,0.0,0.0,2022-08-20T14:00:00Z,0,2,0,0,0,0,3,0,20328,0,1,3,0.0,0,-5573,148,5721,40,True,0,2,2,3
3,3,3,3,0,0,0,0,0.0,174,0.0,0.0,0.0,0.0,37,0,0,0.0,0.0,2022-08-27T14:00:00Z,0,13,0,0,0,0,4,0,21940,0,2,4,0.0,0,252,3441,3189,39,False,0,2,5,4
4,4,4,4,0,0,0,0,0.0,174,0.0,0.0,0.0,0.0,43,0,0,0.0,0.0,2022-08-30T18:30:00Z,0,4,0,0,0,0,5,0,38767,0,1,1,0.0,0,11952,18541,6589,39,True,0,2,3,5
5,5,5,5,0,0,0,0,0.0,174,0.0,0.0,0.0,0.0,57,0,0,0.0,0.0,2022-09-03T14:00:00Z,0,15,0,0,0,0,6,0,33964,0,0,0,0.0,0,-2720,1606,4326,39,False,0,2,4,6
6,6,6,6,0,0,0,0,0.0,174,0.0,0.0,0.0,0.0,83,0,0,0.0,0.0,2022-10-01T14:00:00Z,0,6,0,0,0,0,9,0,30233,0,2,1,0.0,0,-965,701,1666,39,True,0,2,3,9
7,7,7,7,0,0,0,0,0.0,174,0.0,0.0,0.0,0.0,95,0,0,0.0,0.0,2022-10-09T13:00:00Z,0,11,0,0,0,0,10,0,29056,0,1,2,0.0,0,-1174,268,1442,39,True,0,2,2,10
8,8,8,8,0,0,0,0,0.0,174,0.0,0.0,0.0,0.0,105,0,0,0.0,0.0,2022-10-15T11:30:00Z,0,10,0,0,0,0,11,0,28294,0,0,0,0.0,0,-794,222,1016,39,False,0,2,3,11
9,9,9,9,0,0,0,0,0.0,174,0.0,0.0,0.0,0.0,115,0,0,0.0,0.0,2022-10-18T19:15:00Z,0,20,0,0,0,0,12,0,26422,0,1,2,0.0,0,-1229,85,1314,39,True,0,2,2,12
10,10,10,10,0,0,0,0,0.0,174,0.0,0.0,0.0,0.0,123,0,0,0.0,0.0,2022-10-22T14:00:00Z,0,8,0,0,0,0,13,0,26954,0,0,3,0.0,0,-217,613,830,39,False,0,2,2,13
11,11,11,11,0,0,0,0,0.0,174,0.0,0.0,0.0,0.0,135,0,0,0.0,0.0,2022-10-29T14:00:00Z,0,17,0,0,0,0,14,0,25899,0,0,1,0.0,0,-1068,86,1154,39,True,0,2,2,14
12,12,12,12,0,0,0,0,0.0,174,0.0,0.0,0.0,0.0,149,0,0,0.0,0.0,2022-11-06T14:00:00Z,0,19,0,0,0,0,15,0,25083,0,2,1,0.0,0,-819,74,893,39,False,0,2,3,15
13,13,13,13,0,0,0,0,0.0,174,0.0,0.0,0.0,0.0,157,0,0,0.0,0.0,2022-11-12T15:00:00Z,0,16,0,0,0,0,16,0,24865,0,0,1,0.0,0,-279,522,801,39,False,0,2,2,16
14,14,14,14,0,0,0,0,0.0,174,0.0,0.0,0.0,0.0,165,0,0,0.0,0.0,2022-12-26T15:00:00Z,0,9,0,0,0,0,17,0,21339,0,3,0,0.0,0,-3572,392,3964,39,True,0,2,2,17
15,15,15,15,0,0,0,0,0.0,174,0.0,0.0,0.0,0.0,171,0,0,0.0,0.0,2022-12-31T15:00:00Z,0,3,0,0,0,0,18,0,21060,0,2,0,0.0,0,-297,108,405,39,False,0,2,2,18
16,16,16,16,0,0,0,0,0.0,174,0.0,0.0,0.0,0.0,185,0,0,0.0,0.0,2023-01-04T20:00:00Z,0,18,0,0,0,0,19,0,20784,0,4,0,0.0,0,-280,51,331,39,True,0,2,3,19
17,17,17,17,0,0,0,0,0.0,174,0.0,0.0,0.0,0.0,194,0,0,0.0,0.0,2023-01-15T14:00:00Z,0,6,0,0,0,0,20,0,20465,0,0,1,0.0,0,-351,124,475,39,False,0,2,4,20
18,18,18,18,0,0,0,0,0.0,174,0.0,0.0,0.0,0.0,63,0,0,0.0,0.0,2023-01-18T20:00:00Z,0,14,0,0,0,0,20,0,20465,0,1,1,0.0,0,-351,124,475,39,True,0,2,3,20
19,19,19,19,0,0,0,0,0.0,174,0.0,0.0,0.0,0.0,203,0,0,0.0,0.0,2023-01-21T17:30:00Z,0,15,0,0,0,0,21,0,20143,0,0,0,0.0,0,-320,56,376,39,True,0,2,3,21
20,20,20,20,0,0,0,0,0.0,174,0.0,0.0,0.0,0.0,216,0,0,0.0,0.0,2023-02-04T15:00:00Z,0,14,0,0,0,0,22,0,19785,0,1,2,0.0,0,-380,154,534,39,False,0,2,4,22
21,21,21,21,0,0,0,0,0.0,174,0.0,0.0,0.0,0.0,223,0,0,0.0,0.0,2023-02-11T15:00:00Z,0,5,0,0,0,0,23,0,19599,0,1,1,0.0,0,-200,109,309,39,True,0,2,3,23
22,22,22,22,0,0,0,0,0.0,174,0.0,0.0,0.0,0.0,232,0,0,0.0,0.0,2023-02-18T15:00:00Z,0,4,0,0,0,0,24,0,19453,0,1,1,0.0,0,-153,128,281,39,False,0,2,3,24
23,23,23,23,0,0,0,0,0.0,174,0.0,0.0,0.0,0.0,242,0,0,0.0,0.0,2023-02-25T19:45:00Z,0,12,0,0,0,0,25,0,19284,0,0,0,0.0,0,-221,166,387,39,True,0,2,4,25
24,24,24,24,0,0,0,0,0.0,174,0.0,0.0,0.0,0.0,252,0,0,0.0,0.0,2023-03-04T15:00:00Z,0,2,0,0,0,0,26,0,19122,0,0,1,0.0,0,-130,143,273,39,False,0,2,2,26
25,25,25,25,0,0,0,0,0.0,174,0.0,0.0,0.0,0.0,262,0,0,0.0,0.0,2023-03-11T17:30:00Z,0,13,0,0,0,0,27,0,18888,0,1,0,0.0,0,-242,60,302,39,True,0,2,5,27
26,26,26,26,0,0,0,0,0.0,174,0.0,0.0,0.0,0.0,73,0,0,0.0,0.0,2023-03-15T19:30:00Z,0,5,0,0,0,0,27,0,18888,0,0,1,0.0,0,-242,60,302,39,False,0,2,3,27
27,27,27,27,0,0,0,0,0.0,174,0.0,0.0,0.0,0.0,271,0,0,0.0,0.0,2023-03-19T14:00:00Z,0,1,0,0,0,0,28,0,18697,0,1,4,0.0,0,-204,35,239,39,False,0,2,4,28
28,28,28,28,0,0,0,0,0.0,174,0.0,0.0,0.0,0.0,285,0,0,0.0,0.0,2023-04-01T14:00:00Z,0,10,0,0,0,0,29,0,18500,0,1,2,0.0,0,-199,49,248,39,True,0,2,3,29
