,Unnamed: 0,Unnamed: 0.1,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,gw
0,0,0,0,0,0,0,0.0,37,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2023-08-12T16:30:00Z,0,15,0,0,0,0,1,0,118764,0,1,5,0.0,0,0,0,0,40,False,0,3,4,1
1,1,1,0,0,0,0,0.0,37,0.0,0.0,0.0,0.0,11,0,0,0.0,0.0,2023-08-20T13:00:00Z,0,9,0,0,0,0,2,0,125410,0,0,4,0.0,0,-4104,4839,8943,40,True,0,4,2,2
2,2,2,0,0,0,0,0.0,37,0.0,0.0,0.0,0.0,25,0,0,0.0,0.0,2023-08-27T13:00:00Z,0,6,0,0,0,0,3,0,121502,0,3,1,0.0,0,-6187,4239,10426,40,False,0,3,2,3
3,3,3,0,0,0,0,0.0,37,0.0,0.0,0.0,0.0,37,0,0,0.0,0.0,2023-09-03T13:00:00Z,0,11,0,0,0,0,4,0,114156,0,0,3,0.0,0,-8398,1894,10292,40,False,0,3,5,4
4,4,4,0,0,0,0,0.0,37,0.0,0.0,0.0,0.0,41,0,0,0.0,0.0,2023-09-16T14:00:00Z,0,8,0,0,0,0,5,0,111359,0,1,3,0.0,0,-4542,2710,7252,40,True,0,4,2,5
5,5,5,0,0,0,0,0.0,37,0.0,0.0,0.0,0.0,55,0,0,0.0,0.0,2023-09-24T13:00:00Z,0,7,0,0,0,0,6,0,107935,0,1,0,0.0,0,-4018,1545,5563,40,False,0,3,3,6
6,6,6,0,0,0,0,0.0,37,0.0,0.0,0.0,0.0,61,0,0,0.0,0.0,2023-09-30T11:30:00Z,0,5,0,0,0,0,7,0,105147,0,1,6,0.0,0,-3229,2664,5893,39,True,0,4,3,7
7,7,7,0,0,0,0,0.0,37,0.0,0.0,0.0,0.0,80,0,0,0.0,0.0,2023-10-08T13:00:00Z,0,20,0,0,0,0,8,0,104465,0,1,1,0.0,0,-1798,4152,5950,39,False,0,3,2,8
8,8,8,0,0,0,0,0.0,37,0.0,0.0,0.0,0.0,81,0,0,0.0,0.0,2023-10-22T15:30:00Z,0,19,0,0,0,0,9,0,105319,0,1,4,0.0,0,68,4155,4087,39,True,0,4,2,9
9,9,9,0,0,0,0,0.0,37,0.0,0.0,0.0,0.0,92,0,0,0.0,0.0,2023-10-29T14:00:00Z,0,12,0,0,0,0,10,0,106072,0,1,3,0.0,0,320,5151,4831,39,True,0,4,2,10
10,10,10,0,0,0,0,0.0,37,0.0,0.0,0.0,0.0,108,0,0,0.0,0.0,2023-11-05T14:00:00Z,0,16,0,0,0,0,11,0,105106,0,0,2,0.0,0,-1156,2778,3934,39,False,0,3,2,11
11,11,11,0,0,0,0,0.0,37,0.0,0.0,0.0,0.0,112,0,0,0.0,0.0,2023-11-12T14:00:00Z,0,10,0,0,0,0,12,0,104305,0,1,3,0.0,0,-1134,2156,3290,39,True,0,4,2,12
12,12,12,0,0,0,0,0.0,37,0.0,0.0,0.0,0.0,130,0,0,0.0,0.0,2023-11-26T14:00:00Z,0,18,0,0,0,0,13,0,103951,0,2,1,0.0,0,-853,2316,3169,39,False,0,3,3,13
13,13,13,0,0,0,0,0.0,37,0.0,0.0,0.0,0.0,132,0,0,0.0,0.0,2023-12-03T14:00:00Z,0,3,0,0,0,0,14,0,104092,0,2,2,0.0,0,-199,1988,2187,39,False,0,3,2,14
14,14,14,0,0,0,0,0.0,37,0.0,0.0,0.0,0.0,141,0,0,0.0,0.0,2023-12-06T20:15:00Z,0,13,0,0,0,0,15,0,104896,0,0,1,0.0,0,518,2174,1656,39,True,0,4,5,15
15,15,15,0,0,0,0,0.0,37,0.0,0.0,0.0,0.0,151,0,0,0.0,0.0,2023-12-09T17:30:00Z,0,1,0,0,0,0,16,0,104674,0,0,1,0.0,0,-490,1649,2139,39,True,0,4,4,16
16,16,16,0,0,0,0,0.0,37,0.0,0.0,0.0,0.0,163,0,0,0.0,0.0,2023-12-17T14:00:00Z,0,4,0,0,0,0,17,0,103129,0,2,1,0.0,0,-1835,1800,3635,39,False,0,3,3,17
17,17,17,0,0,0,0,0.0,37,0.0,0.0,0.0,0.0,171,0,0,0.0,0.0,2023-12-22T20:00:00Z,0,17,0,0,0,0,18,0,100819,0,1,1,0.0,0,-1988,1146,3134,39,True,0,4,2,18
18,18,18,0,0,0,0,0.0,37,0.0,0.0,0.0,0.0,188,0,0,0.0,0.0,2023-12-26T20:00:00Z,0,14,0,0,0,0,19,0,100918,0,2,3,0.0,0,-675,1052,1727,39,False,0,3,4,19
19,19,19,0,0,0,0,0.0,37,0.0,0.0,0.0,0.0,191,0,0,0.0,0.0,2023-12-30T15:00:00Z,0,6,0,0,0,0,20,0,99380,0,2,3,0.0,0,-1534,1016,2550,39,True,0,4,2,20
20,20,20,0,0,0,0,0.0,37,0.0,0.0,0.0,0.0,207,0,0,0.0,0.0,2024-01-14T14:00:00Z,0,9,0,0,0,0,21,0,94367,0,0,0,0.0,0,-4932,813,5745,39,False,0,3,2,21
21,21,21,0,0,0,0,0.0,37,0.0,0.0,0.0,0.0,211,0,0,0.0,0.0,2024-01-30T20:15:00Z,0,15,0,0,0,0,22,0,92904,0,3,1,0.0,0,-1997,381,2378,39,True,0,4,3,22
22,22,22,0,0,0,0,0.0,37,0.0,0.0,0.0,0.0,230,0,0,0.0,0.0,2024-02-03T17:30:00Z,0,17,0,0,0,0,23,0,99522,0,5,0,0.0,0,5771,7333,1562,38,False,0,3,2,23
