,Unnamed: 0,Unnamed: 0.1,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,gw
0,0,0,0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,2023-08-11T19:00:00Z,0,13,0,0,0,0,1,0,3268,0,3,0,0.0,0,0,0,0,45,True,0,2,5,1
1,1,1,0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,25,0,0,0.0,0.0,2023-08-27T13:00:00Z,0,2,0,0,0,0,3,0,2219,0,3,1,0.0,0,-860,0,860,45,True,0,2,3,3
2,2,2,0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,34,0,0,0.0,0.0,2023-09-02T14:00:00Z,0,18,0,0,0,0,4,0,1797,0,5,2,0.0,0,-431,0,431,45,True,0,2,3,4
3,3,3,0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,47,0,0,0.0,0.0,2023-09-18T18:45:00Z,0,16,0,0,0,0,5,0,1552,0,1,1,0.0,0,-265,0,265,45,False,0,2,2,5
4,4,4,0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,54,0,0,0.0,0.0,2023-09-23T19:00:00Z,0,14,0,0,0,0,6,0,1434,0,1,0,0.0,0,-123,0,123,45,True,0,2,3,6
5,5,5,0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,66,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,15,0,0,0,0,7,0,1309,0,0,2,0.0,0,-120,0,120,45,False,0,2,4,7
6,6,6,0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,15,0,0,0.0,0.0,2023-10-03T18:30:00Z,0,12,0,0,0,0,7,0,1309,0,2,1,0.0,0,-120,0,120,45,False,0,2,2,7
7,7,7,0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,73,0,0,0.0,0.0,2023-10-07T14:00:00Z,0,7,0,0,0,0,8,0,1235,0,4,1,0.0,0,-76,0,76,45,True,0,2,3,8
8,8,8,0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,83,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,4,0,0,0,0,9,0,1190,0,0,3,0.0,0,-49,0,49,45,False,0,2,3,9
9,9,9,0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,93,0,0,0.0,0.0,2023-10-28T14:00:00Z,0,3,0,0,0,0,10,0,1134,0,1,2,0.0,0,-55,0,55,45,False,0,2,2,10
10,10,10,0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,102,0,0,0.0,0.0,2023-11-04T15:00:00Z,0,8,0,0,0,0,11,0,1098,0,2,0,0.0,0,-38,0,38,45,True,0,2,2,11
11,11,11,0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,111,0,0,0.0,0.0,2023-11-11T15:00:00Z,0,1,0,0,0,0,12,0,1063,0,1,3,0.0,0,-31,0,31,45,False,0,2,4,12
12,12,12,0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,122,0,0,0.0,0.0,2023-11-25T15:00:00Z,0,19,0,0,0,0,13,0,1040,0,2,1,0.0,0,-29,0,29,45,True,0,2,2,13
13,13,13,0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,134,0,0,0.0,0.0,2023-12-02T15:00:00Z,0,17,0,0,0,0,14,0,1016,0,0,5,0.0,0,-22,0,22,45,True,0,2,2,14
14,14,14,0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,149,0,0,0.0,0.0,2023-12-05T19:30:00Z,0,20,0,0,0,0,15,0,1007,0,0,1,0.0,0,-11,0,11,45,False,0,2,2,15
15,15,15,0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,152,0,0,0.0,0.0,2023-12-09T15:00:00Z,0,5,0,0,0,0,16,0,993,0,1,1,0.0,0,-14,0,14,45,False,0,2,3,16
16,16,16,0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,164,0,0,0.0,0.0,2023-12-16T17:30:00Z,0,9,0,0,0,0,17,0,974,0,2,0,0.0,0,-17,0,17,45,True,0,2,2,17
17,17,17,0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,173,0,0,0.0,0.0,2023-12-23T15:00:00Z,0,10,0,0,0,0,18,0,959,0,2,0,0.0,0,-16,0,16,45,False,0,2,2,18
18,18,18,0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,185,0,0,0.0,0.0,2023-12-26T17:30:00Z,0,11,0,0,0,0,19,0,953,0,2,0,0.0,0,-7,0,7,45,True,0,2,4,19
19,19,19,0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,191,0,0,0.0,0.0,2023-12-30T15:00:00Z,0,2,0,0,0,0,20,0,938,0,2,3,0.0,0,-13,0,13,45,False,0,2,4,20
20,20,20,0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,205,0,0,0.0,0.0,2024-01-12T19:45:00Z,0,12,0,0,0,0,21,0,915,0,1,1,0.0,0,-24,0,24,45,True,0,2,2,21
21,21,21,0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,220,0,0,0.0,0.0,2024-01-31T19:30:00Z,0,13,0,0,0,0,22,0,909,0,1,3,0.0,0,-8,0,8,45,False,0,2,5,22
22,22,22,0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,225,0,0,0.0,0.0,2024-02-03T15:00:00Z,0,10,0,0,0,0,23,0,904,0,2,2,0.0,0,-5,0,5,45,True,0,2,2,23
